Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for East Anglia
Areal series, starting in 1931
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.1  1940   27.4  1942   23.4  1955   12.1  2021    5.6  1941    1.3  1962    0.0  1961    0.0  1964    0.6  1969    7.2  1931   13.8  1988   23.9  2010    77.7  1963    27.1  2013     1.3  1962    15.3  1988    84.9  1963
   28.9  1963   27.3  1947   20.3  1962    9.6  1956    3.4  1996    0.0  1991    0.0  1960    0.0  1960    0.1  1986    5.3  1997   13.3  1985   22.4  1950    64.8  1947    27.1  1955     0.0  1991    14.0  1993    84.3  1947
   25.8  1979   27.1  1963   17.8  1931    9.1  2013    3.4  1979    0.0  1989    0.0  1965    0.0  1980    0.1  2003    4.2  1955   12.6  1965   21.7  1962    63.7  1942    23.5  1970     0.0  1989    13.5  1985    83.1  1940
   24.4  1945   26.1  1956   17.8  1932    8.6  1938    2.7  1944    0.0  1961    0.0  1962    0.0  1972    0.0  2018    3.8  1993   11.5  1996   21.4  1981    59.8  1940    23.0  1962     0.0  1961    13.3  1952    80.4  1942
   24.3  1942   24.2  1986   16.8  1958    8.2  1968    2.5  1935    0.0  1969    0.0  1935    0.0  1962    0.0  1952    3.3  1951   10.9  1973   20.4  1933    58.2  1979    22.3  1958     0.0  1969    13.3  1965    79.2  2010
   24.2  1985   21.7  1979   16.8  2013    7.6  1954    2.2  1949    0.0  1967    0.0  1934    0.0  1932    0.0  1948    3.3  2008   10.5  1937   18.5  1961    52.8  1934    20.9  1932     0.0  1967    12.6  1948    77.9  1962
   23.2  1959   19.8  1934   16.3  1987    7.2  1970    2.1  1945    0.0  1986    0.0  1931    0.0  1931    0.0  1932    2.9  1950   10.4  1952   17.9  1976    49.4  1985    20.5  1956     0.0  1986    12.5  1973    77.6  1956
   21.5  1947   19.8  1969   16.3  1970    7.0  1984    2.0  1981    0.0  2012    0.0  1938    0.0  1938    0.0  1944    2.9  1949   10.1  1993   16.8  1963    49.3  1956    20.3  1941     0.0  1965    11.5  1996    77.1  1955
   21.3  1941   18.8  1991   16.2  1947    6.3  1978    1.7  2010    0.0  1965    0.0  1939    0.0  1939    0.0  1974    2.8  1952   10.1  2005   16.8  2001    49.0  1941    19.3  1931     0.0  2012    10.9  1937    75.6  1979
   21.1  1933   18.8  1996   15.9  1942    6.1  1977    1.4  1971    0.0  2006    0.0  1940    0.0  1940    0.0  1931    2.8  1948    9.7  1948   16.7  1937    46.0  2010    18.9  1996     0.0  1964    10.7  2010    75.0  1941
   20.7  1987   18.8  1983   15.7  1937    6.0  1996    1.4  1957    0.0  2005    0.0  1941    0.0  1941    0.0  1943    2.8  2003    9.7  1971   16.6  1964    45.4  1953    18.5  1944     0.0  2006    10.4  1962    73.2  1952
   19.7  1997   18.8  1955   14.8  1944    6.0  1969    1.3  1932    0.0  1977    0.0  1942    0.0  1934    0.0  1972    2.7  1983    9.5  1962   16.4  1952    45.4  1968    18.2  1947     0.0  1960    10.4  1971    73.1  1985
   17.4  1964   18.8  1952   14.7  1953    5.8  1990    1.2  1980    0.0  1973    0.0  1943    0.0  1935    0.0  1988    2.7  1935    9.4  2010   15.9  1946    45.4  1936    17.7  1940     0.0  2005    10.3  1947    72.5  1933
   17.1  1953   18.4  1981   13.2  1949    5.5  1958    1.2  1962    0.0  1959    0.0  1932    0.0  1936    0.0  1940    2.6  1992    9.1  1975   15.7  1944    44.8  1982    17.1  1949     0.0  1977    10.1  2005    70.6  1996
   16.2  2013   18.0  1936   12.9  1943    5.4  1936    1.2  2013    0.0  1974    0.0  1933    0.0  1933    0.0  1979    2.3  1980    9.1  1947   15.5  1995    44.7  1965    17.1  1969     0.0  1972     9.6  1997    69.0  1931
   16.1  2021   17.8  1968   12.8  1985    5.1  2019    1.2  1974    0.0  1966    0.0  1945    0.0  1945    0.0  1975    1.9  1934    8.8  1943   15.1  1935    44.6  1933    16.9  1937     0.0  1973     9.3  1934    65.6  1969
   16.1  1966   17.1  1940   12.6  1940    5.1  1940    1.2  2020    0.0  1972    0.0  1944    0.0  1946    0.0  1964    1.8  1940    8.0  1969   14.1  2009    43.3  1959    16.9  1942     0.0  1959     9.2  1975    64.6  1981
   16.1  2017   16.1  1931   12.3  2006    4.9  2008    1.2  2021    0.0  2001    0.0  1946    0.0  1948    0.0  1990    1.8  1938    8.0  1967   13.9  1996    43.2  1945    16.6  1995     0.0  1966     9.1  1936    64.4  1970
   16.0  2010   16.1  2018   12.3  1946    4.8  1975    1.1  1946    0.0  1985    0.0  1947    0.0  1947    0.0  1973    1.8  1964    7.7  1989   13.6  1982    43.0  1964    16.6  1987     0.0  1974     8.9  1943    63.7  1965
   16.0  1980   15.8  2010   12.2  1934    4.6  1988    1.0  1967    0.0  1975    0.0  1950    0.0  1950    0.0  1939    1.7  1936    7.5  1979   13.6  1939    42.4  1952    16.4  1946     0.0  2001     8.8  1955    62.7  1968
   16.0  1931   15.5  1932   12.2  1976    4.6  2022    1.0  1982    0.0  1978    0.0  1951    0.0  1951    0.0  1957    1.6  1973    7.5  1998   13.3  1968    41.9  1996    16.3  1953     0.0  1985     8.8  1949    61.4  1937
   15.6  1954   15.5  1978   12.1  1995    4.5  2003    1.0  1938    0.0  1981    0.0  1948    0.0  1952    0.0  1962    1.5  1987    7.4  1934   13.2  1967    41.5  1986    16.0  2006     0.0  1980     8.7  1931    61.1  1987
   15.5  1965   15.3  1933   12.0  1941    4.4  1983    0.9  1997    0.0  1983    0.0  1949    0.0  1949    0.0  2004    1.5  1988    7.4  1936   13.0  1940    41.2  1969    15.9  1938     0.0  1975     8.7  1969    60.9  1932
   15.3  1982   15.2  1985   11.3  1951    4.2  1933    0.9  1959    0.0  2011    0.0  1953    0.0  1953    0.0  1985    1.4  1981    7.2  1959   13.0  2008    40.6  1981    15.6  1985     0.0  1978     8.3  1980    60.9  2013
   15.3  1946   15.0  1970   11.2  1965    4.1  1935    0.9  1942    0.0  2013    0.0  1952    0.0  1954    0.0  1960    1.4  2010    7.1  1961   12.9  1991    40.3  1987    15.4  2021     0.0  1981     8.3  1979    60.7  1964
   15.1  1952   14.7  1941   11.0  1969    3.9  1997    0.9  1956    0.0  2009    0.0  1954    0.0  1956    0.0  1942    1.3  1939    7.0  1972   12.7  1938    40.0  1962    15.2  1976     0.0  1983     8.2  1961    60.5  1936
   14.8  1956   14.3  1987   10.7  1971    3.9  2012    0.9  1991    0.0  1931    0.0  1955    0.0  1955    0.0  2024    1.2  1933    6.3  1956   12.7  2005    40.0  1955    15.2  1971     0.0  2011     8.0  1967    59.5  1944
   14.7  2009   14.1  2012   10.1  1956    3.8  1973    0.8  1995    0.0  1934    0.0  1957    0.0  1942    0.0  1959    1.2  1946    6.0  1980   12.6  1970    39.9  2009    15.1  1951     0.0  2013     8.0  1998    59.2  1973
   14.4  1968   14.1  2003    9.9  1964    3.8  2016    0.8  2016    0.0  1935    0.0  1956    0.0  1943    0.0  1971    1.2  1941    6.0  1949   12.5  1992    39.5  1951    15.0  1934     0.0  2009     7.8  2008    58.6  1958
   14.1  1960   13.8  1973    9.4  1996    3.7  1995    0.7  2011    0.0  1932    0.0  1936    0.0  1944    0.0  1987    1.2  1947    5.9  1966   11.9  1941    38.9  1997    14.8  1935     0.0  1934     7.7  1989    56.9  1934
   14.1  1955   13.6  1994    9.4  2018    3.7  1991    0.7  1948    0.0  1933    0.0  1937    0.0  1937    0.0  2025    1.1  2002    5.9  1942   11.9  1969    38.1  2013    14.4  1979     0.0  1931     7.7  1983    56.9  1950
   13.8  1977   13.3  1954    9.3  2025    3.7  1986    0.6  1984    0.0  1960    0.0  1958    0.0  1961    0.0  1991    1.1  1961    5.8  1991   11.7  2022    37.7  1970    13.8  1943     0.0  1958     7.4  1950    56.6  1976
   13.7  1978   13.3  2008    9.2  1986    3.7  1951    0.4  2015    0.0  1958    0.0  1959    0.0  1959    0.0  1978    1.1  2018    5.7  2024   11.6  1945    37.6  1977    13.8  1968     0.0  1955     7.4  1972    56.5  1978
   13.3  2001   12.5  1965    9.1  1973    3.7  2006    0.4  1977    0.0  1956    0.0  1963    0.0  1958    0.0  1967    1.0  1954    5.6  1941   11.6  1975    36.6  1932    13.4  1954     0.0  1956     7.2  1959    56.5  1991
   13.2  2022   12.3  2009    8.9  1993    3.6  1967    0.4  2005    0.0  1957    0.0  1964    0.0  1957    0.0  1965    0.9  1962    5.3  1978   11.3  2017    36.4  2011    13.2  1965     0.0  1957     6.9  1956    56.3  1986
