Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for East Anglia
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   22.8  2014   17.3  1916   20.1  2023   21.2  1998   18.6  1932   18.6  1985   18.1  1936   21.5  1912   19.8  1918   22.7  1903   19.2  1950   20.0  1915    51.8  1915    47.5  1983    49.7  1912    49.5  1960   144.9  1916
   19.3  1948   17.1  2010   19.8  1981   20.1  1920   18.6  1983   18.5  1991   17.1  1891   19.0  1891   17.1  1896   20.4  2020   18.5  1960   20.0  1911    48.4  2014    43.8  1979    44.0  1927    45.3  1974   142.7  1903
   18.8  1988   17.0  2020   18.4  1947   19.2  2012   18.2  1967   17.7  1987   16.7  1960   18.4  1956   16.5  1995   19.3  1892   18.2  1946   19.7  1914    47.0  2010    43.6  1932    43.6  1946    45.3  1944   141.4  2012
   18.4  2004   16.9  2026   17.4  1896   18.4  2000   16.7  1898   17.5  1998   16.4  2012   18.0  1917   15.8  1930   18.8  1960   17.8  2002   19.4  1934    45.6  1916    42.7  1981    43.4  1891    44.2  1903   140.8  1927
   17.8  1943   16.6  1915   17.3  1975   18.4  2001   16.6  1902   17.2  1927   16.3  1915   17.8  1941   15.7  1950   18.6  1932   17.5  1951   18.2  1929    44.9  1937    41.2  1951    42.0  1985    43.4  1976   140.4  1960
   17.4  1939   16.0  1900   17.0  1914   17.2  1983   15.8  2021   17.1  1946   16.2  1893   16.9  2004   15.4  1974   18.1  1939   17.4  2009   18.0  1919    44.0  1995    40.8  2001    41.2  2012    43.1  1935   140.3  1894
   17.2  1937   15.9  1923   17.0  2001   17.2  1932   15.6  1924   17.0  1997   15.6  1920   16.0  1954   14.8  1935   17.6  1976   17.3  2015   17.6  2009    42.8  1970    40.7  1986    40.7  1894    41.9  2019   140.3  1912
   16.8  1936   15.8  1977   16.7  1979   16.2  1935   15.4  1907   15.6  1912   15.5  1918   15.9  2006   14.8  2001   17.5  1909   17.1  1940   17.5  2023    42.5  1912    39.5  1920    40.0  1956    41.1  2000   139.7  2001
   16.7  2021   15.8  1995   16.1  1988   15.7  1970   15.3  1891   15.5  1982   15.4  1922   15.6  1963   14.7  1968   17.3  1896   16.6  2000   17.4  1978    42.2  1936    39.5  1903    39.7  1987    40.9  1939   139.5  1951
   16.4  1900   15.7  1937   15.7  1916   15.4  1931   15.3  1981   15.4  1935   15.4  1988   15.3  1946   14.3  2017   17.0  1891   16.6  1935   17.2  1959    41.9  2021    38.8  1937    39.2  1954    40.2  1918   139.3  1891
   16.4  1984   15.6  1951   15.4  1903   15.4  1907   15.0  2006   15.2  2016   14.9  1894   15.2  1927   14.2  1946   16.1  2012   16.5  2022   17.0  2012    41.8  1910    38.7  1975    39.1  1958    39.6  1896   138.4  1946
   16.3  1928   15.3  1931   15.4  2008   15.2  1989   14.9  1969   15.2  1900   14.9  2009   15.0  1924   14.1  1984   15.8  1944   16.5  1944   17.0  1993    41.8  1919    38.4  1907    38.6  1968    39.5  1946   136.3  1937
   16.3  1938   15.2  1950   15.4  1937   15.1  1986   14.1  1910   15.1  2007   14.7  1953   14.8  1902   13.8  1925   15.8  1894   16.1  1970   16.9  1896    41.7  1900    37.5  2000    38.6  1960    39.5  2001   136.0  1936
   15.9  1906   14.8  2000   15.3  1905   14.6  1926   14.0  2007   15.0  2012   14.7  1909   14.6  1894   13.8  1909   15.7  1907   16.1  1929   16.8  1966    41.4  1979    37.4  2023    38.6  1909    39.4  1932   135.6  2000
   15.9  1922   14.8  2007   15.2  1951   14.0  2004   13.8  2000   14.3  1936   14.6  1903   14.6  1897   13.7  1927   15.4  1923   15.9  1930   16.5  1965    41.3  1960    37.3  1908    37.6  1936    39.3  1930   135.4  1922
   15.9  1986   14.7  1893   15.2  2018   13.9  1951   13.6  1979   14.3  1909   14.5  1965   14.4  2010   13.5  1957   15.4  2019   15.9  2019   16.2  1918    41.1  1935    36.8  1963    37.0  1916    39.1  1950   133.0  1919
   15.8  1919   14.3  2024   15.0  1909   13.9  1925   13.3  1962   14.2  1958   14.5  1957   14.3  2008   13.4  1976   15.3  1998   15.7  1939   16.0  1920    40.9  2020    36.7  2024    37.0  1903    39.0  1952   132.9  1965
   15.5  1915   14.3  1910   14.9  1908   13.7  1975   13.2  1955   14.2  1948   14.1  1940   14.1  1900   12.9  1999   15.2  2013   15.3  1974   16.0  1910    40.6  1961    35.8  1916    36.8  1900    38.7  2022   132.4  1910
   15.5  1970   14.0  1906   14.7  1913   13.6  1963   12.9  2014   14.1  1916   13.6  1932   13.9  1960   12.9  1944   15.0  1967   15.1  1926   15.9  1979    40.4  1977    35.5  1913    36.5  1922    38.2  1954   132.4  1966
   15.3  1995   13.9  1904   14.6  1897   13.6  1919   12.8  1903   13.8  1968   13.5  1954   13.8  1910   12.9  1954   14.6  1974   14.9  1966   15.7  1999    40.4  1948    35.2  1898    36.4  1924    38.0  1998   132.4  1909
   15.1  1961   13.9  1970   13.9  1906   13.5  1979   12.8  1973   13.5  1907   13.5  1930   13.8  1903   12.8  1952   14.4  1906   14.9  1963   15.7  1909    40.0  1994    35.0  1965    36.3  1902    37.9  1894   131.9  1998
   15.0  1956   13.7  2014   13.9  1912   13.2  1905   12.7  2002   13.4  1980   13.4  1993   13.6  1968   12.8  1924   14.4  1982   14.8  1952   14.8  2019    39.8  2004    34.7  1998    36.1  2007    37.8  1936   131.8  1900
   15.0  2016   13.5  2001   13.8  1992   13.1  1922   12.5  1930   13.1  1892   13.2  1950   13.3  1931   12.5  2024   14.3  1895   14.7  1954   14.8  1952    39.7  2026    34.6  1969    35.9  2004    37.5  1984   131.1  1924
   14.9  1979   13.2  2022   13.7  1986   13.0  2016   12.2  1951   12.9  1999   13.1  1895   13.2  1925   12.3  1936   14.2  1938   14.6  1965   14.8  2021    39.1  1931    34.6  1922    35.8  1917    37.0  1967   130.9  1930
   14.5  1913   13.1  1990   13.6  1901   13.0  1965   12.1  1987   12.7  1926   12.8  1966   13.2  1951   12.2  1983   14.2  1893   14.6  1895   14.7  2002    39.0  2007    34.5  1925    35.0  1910    36.8  1909   130.8  1935
   14.4  1975   12.8  1941   13.5  1922   12.9  1937   12.0  1925   12.6  1964   12.7  1931   13.2  1895   12.2  1899   14.2  1966   14.5  1914   14.5  2017    38.8  2024    34.2  1988    34.8  1957    36.7  1892   130.3  2014
   14.2  1960   12.6  1958   13.2  1952   12.6  1966   11.9  1986   12.6  1902   12.6  1912   13.1  1930   12.2  1962   14.0  1916   14.3  1911   14.5  1938    38.8  1922    33.8  2008    34.7  1953    36.5  1891   130.0  1952
   14.2  1994   12.4  1954   13.2  1919   12.5  2024   11.7  1965   12.5  1905   12.3  1919   13.1  1985   12.1  1967   13.9  2000   14.2  1996   14.5  2015    38.7  1951    33.5  2012    34.2  1997    36.5  2020   129.7  1939
   13.9  2003   12.4  1955   13.0  1927   12.5  1899   11.7  1926   11.7  2011   12.1  1939   13.0  1905   12.1  1960   13.8  1981   14.0  2014   14.5  1997    38.4  1990    33.4  1891    34.2  1931    36.5  1938   129.5  1907
   13.9  1990   12.3  1908   12.9  1963   12.3  1908   11.5  2024   11.5  1928   12.0  1980   13.0  1958   11.9  1961   13.6  2004   14.0  1919   14.5  1906    38.3  1897    33.2  1967    34.1  1915    35.9  1925   129.4  2004
   13.8  2026   12.1  1946   12.9  1978   12.2  1961   11.5  1972   11.4  2019   12.0  2007   12.6  1916   11.8  1932   13.6  1961   13.8  1905   14.4  1946    38.1  2018    33.2  1947    33.9  1965    35.8  2012   129.4  1915
   13.7  1894   12.0  1927   12.9  1980   12.1  1934   11.3  1988   11.4  1945   11.9  1987   12.5  1977   11.7  1998   13.6  1924   13.7  1900   14.4  1891    37.6  1966    33.1  1972    33.9  1941    35.5  1923   129.2  1958
   13.7  1977   12.0  1997   12.7  2024   12.0  1950   11.2  1894   11.3  1933   11.9  1958   12.5  1974   11.6  1897   13.5  2023   13.7  1992   14.4  1998    37.4  1943    32.7  1905    33.5  1893    35.5  2015   129.1  1954
   13.6  1971   11.9  1966   12.6  1977   12.0  1953   11.2  2015   11.3  1953   11.8  2002   12.5  1971   11.6  1938   13.3  2001   13.6  2008   14.4  1937    37.2  1930    32.5  1897    33.3  1907    35.3  1927   128.7  1906
   13.5  1952   11.9  2002   12.4  1911   12.0  1910   11.1  1904   11.2  1894   11.6  2023   12.5  1922   11.6  1993   13.2  1917   13.5  2025   14.2  2020    37.0  2016    32.4  2006    32.6  1948    35.2  1961   128.3  1950
   13.5  1978   11.9  1974   12.3  1982   12.0  1913   11.1  1942   11.2  1956   11.6  1910   12.4  1896   11.6  1920   12.7  1913   13.5  1986   14.1  1912    37.0  1984    32.3  2018    32.6  1963    35.2  1940   128.3  1979
   13.5  1912   11.9  1936   12.3  1939   11.8  1959   11.1  2003   11.1  1978   11.5  1927   12.4  2001   11.5  1937   12.7  2002   13.3  1936   13.9  1928    37.0  1938    32.2  1994    32.6  1980    35.2  1924   128.1  2002
   13.4  1965   11.8  1926   12.2  1895   11.8  1939   10.9  1899   10.8  1898   11.5  1924   12.3  1992   11.2  1981   12.7  1987   13.2  1984   13.9  1960    36.9  1939    31.8  1977    32.5  1966    35.2  1911   127.3  1928
   13.4  1999   11.8  1922   12.2  1934   11.8  1917   10.6  1931   10.4  1966   11.4  1914   12.1  1950   11.1  1903   12.6  1949   13.1  2012   13.9  1916    36.8  1923    31.7  1952    32.2  1892    35.1  1905   127.0  1925
   13.3  2007   11.5  1961   12.0  1994   11.7  2018   10.5  1937    9.9  1924   11.3  2021   12.1  1915   11.0  1965   12.5  1928   12.9  1969   13.6  1947    36.8  2000    31.6  2016    32.1  1895    34.9  1926   126.4  1918
   13.2  1899   11.3  1925   11.9  1985   11.5  2008   10.5  1916    9.8  1911   11.2  1968   12.0  1908   10.8  1992   12.4  1911   12.9  1928   13.6  1935    36.5  1999    31.5  1987    31.9  1950    34.9  1982   126.0  2023
   13.2  1930   11.3  1892   11.7  1983   11.3  1903   10.2  1963    9.8  2020   11.2  1946   11.9  1999   10.8  1994   12.4  1942   12.9  1927   13.5  1958    36.4  1956    31.4  1962    31.7  1926    34.8  2002   125.4  1968
   13.0  2018   11.2  1935   11.4  2016   11.2  1930   10.2  2012    9.8  1944   10.9  1941   11.9  1961   10.7  1922   12.3  2014   12.8  1943   13.5  2011    36.0  1893    31.3  1914    31.6  1978    34.6  1966   125.3  1986
   12.9  1931   11.2  2005   11.4  1995   11.1  1927   10.2  1982    9.8  2003   10.9  2004   11.8  1928   10.7  1975   12.2  1936   12.8  1949   13.5  1942    35.9  1941    31.1  2004    31.4  2011    34.5  2013   125.1  1981
   12.9  1951   11.2  1957   11.4  1917   11.0  1972   10.1  1938    9.8  1943   10.9  1942   11.7  1948   10.6  1894   12.2  1940   12.7  1906   13.4  1969    35.8  1906    31.1  1930    31.3  1998    34.1  1992   124.7  1974
   12.8  1962   11.1  1978   11.2  1954   11.0  1901   10.1  1933    9.7  1947   10.7  2000   11.7  1952   10.6  2000   12.1  1900   12.7  2003   13.4  1923    35.7  1926    30.4  1919    31.2  1905    34.1  1981   124.5  1999
   12.8  1993   11.1  1940   11.2  1928   10.9  1994   10.1  1923    9.7  1954   10.7  1970   11.6  2015   10.6  2019   12.1  1905   12.6  1971   13.4  2018    35.5  2001    30.4  1901    30.8  1982    34.0  1906   124.0  1923
   12.8  1945   11.1  1969   11.1  1957   10.8  1964   10.1  2013    9.6  1910   10.6  1938   11.6  1957   10.5  1923   12.0  2010   12.4  1925   13.0  1901    34.5  1958    30.3  1910    30.8  2008    33.7  2010   123.9  1926
   12.7  1941   10.9  2021   11.0  2019   10.7  1967   10.1  1908    9.6  1990   10.6  1908   11.4  1969   10.4  2022   11.8  2022   12.4  1997   12.9  1984    34.4  1967    30.3  1902    30.6  1930    33.6  1968   122.7  1896
   12.6  1926   10.8  1933   10.8  1999   10.6  2023   10.0  1968    9.6  1972   10.3  1956   11.1  2014   10.3  1931   11.8  1993   12.3  1976   12.9  1986    34.4  1947    30.2  1934    30.4  1974    33.5  1951   122.6  2008
   12.6  1921   10.6  2018   10.7  1891   10.4  1973   10.0  1958    9.5  1989   10.3  2015   11.0  2018   10.3  2010   11.7  1935   12.2  1912   12.8  1994    34.3  2013    30.1  1924    30.2  1939    33.2  1893   122.2  1920
   12.5  1893   10.5  1980   10.7  1987   10.4  1897    9.8  1966    9.5  1974   10.3  2003   11.0  2023   10.3  1951   11.7  2006   12.2  1893   12.8  1945    34.3  2003    29.9  1909    29.7  2020    33.0  2008   122.1  2019
   12.5  2015   10.4  1996   10.6  1920   10.2  1918    9.8  1946    9.4  1963   10.3  1985   11.0  1893   10.2  1973   11.6  2005   12.1  2016   12.7  2000    34.1  1928    29.6  1927    29.6  1999    32.6  1916   122.1  1970
   12.4  1985   10.3  1972   10.6  1972   10.1  1993    9.8  1977    9.3  1955   10.3  1916   10.7  2020   10.2  1908   11.6  1980   12.1  1977   12.6  1907    34.1  1911    29.5  1928    29.6  1920    32.5  1913   122.0  2015
   12.4  2008   10.1  1897   10.6  1933   10.1  1924    9.7  1945    9.3  1896   10.2  2024   10.6  1965   10.2  2008   11.5  1994   12.0  1941   12.6  1955    34.0  1892    29.5  1985    29.4  1919    32.3  2025   121.9  1932
   12.4  1981    9.9  1894   10.5  1989   10.1  1952    9.6  2019    9.2  1977   10.2  2017   10.6  1982   10.0  1958   11.4  1952   12.0  1910   12.6  1985    33.9  1920    29.4  1906    29.3  2002    31.8  2006   121.4  1931
   12.3  2010    9.8  1960   10.4  1969    9.9  1894    9.6  2022    9.1  1897   10.2  2001   10.5  1892    9.6  2025   11.4  1958   11.9  2023   12.5  1900    33.9  1978    29.4  1970    29.2  1928    31.8  2023   121.1  1892
   12.3  1972    9.8  2017   10.3  1965    9.8  2005    9.5  1948    9.1  1971   10.1  1926   10.5  1978    9.6  1942   11.1  1901   11.5  2010   12.3  1961    33.7  1894    29.3  1899    29.1  1918    31.1  1963   120.6  1914
   12.3  1969    9.7  1919   10.2  1940    9.8  1898    9.4  1928    8.9  2002   10.1  1925   10.3  1979    9.6  1982   11.1  1996   11.5  2006   12.0  1936    33.4  1980    29.1  1939    29.0  1988    31.0  1993   119.8  1961
   12.3  1904    9.7  1911   10.2  1984    9.7  1947    9.4  1950    8.9  1917   10.1  1978   10.1  1987    9.5  2005   11.1  1926   11.5  1933   12.0  1967    33.4  1904    28.9  1992    29.0  2014    30.8  2024   119.8  2024
   12.1  1895    9.7  2004   10.1  1970    9.6  1962    9.3  1994    8.8  1993   10.0  1973   10.1  1943    9.4  1892   11.1  1902   11.5  1894   11.9  1908    33.1  1974    28.4  1931    28.9  1993    30.8  1987   119.6  1967
   12.1  2009    9.4  2011   10.0  1971    9.6  1916    9.3  1906    8.8  1965   10.0  1907   10.0  2011    9.3  1904   11.1  1986   11.5  2001   11.9  2013    32.9  1957    28.3  1926    28.7  1897    30.8  2014   119.5  1988
   12.0  1974    9.4  1984    9.9  1941    9.4  1969    9.3  1954    8.7  1957    9.7  2011   10.0  1967    9.3  1905   11.0  1929   11.4  1913   11.7  2003    32.8  2022    28.2  1989    28.6  1991    30.8  1970   119.4  1908
   11.9  1920    9.3  1983    9.9  1904    9.4  1991    8.8  2005    8.7  1906    9.6  2014    9.9  1907    9.3  1945   10.7  1941   11.4  1916   11.6  1922    32.8  1986    28.0  1896    28.4  2001    30.8  1929   119.1  1987
   11.9  1910    9.1  1979    9.8  1959    9.4  1968    8.8  1985    8.6  1939    9.6  1992    9.7  2012    9.1  1933   10.6  1954   11.4  1891   11.5  1981    32.7  1913    27.9  1968    28.2  1896    30.7  1900   118.9  1897
   11.6  1958    9.1  1914    9.7  2013    9.3  1977    8.8  1913    8.6  1922    9.6  1962    9.6  1909    9.1  1943   10.6  2024   11.2  1990   11.4  1989    32.4  1988    27.8  1978    28.1  2015    30.6  1943   118.8  2020
   11.5  1891    9.1  2009    9.6  2004    9.3  1999    8.8  1943    8.6  1903    9.6  1986    9.5  1921    9.0  1956   10.6  1934   11.2  2013   11.4  1995    32.0  1924    27.8  1973    28.0  2016    30.6  1933   118.6  2021
   11.2  1897    9.1  1912    9.6  2021    8.9  1928    8.8  1920    8.5  1937    9.5  2025    9.5  1962    8.7  1926   10.2  1984   11.1  1998   11.3  1925    31.7  1969    27.5  2005    27.8  1908    30.4  1895   118.2  1905
   11.2  1917    8.9  1947    9.5  1923    8.8  1940    8.7  1912    8.3  1952    9.3  2008    9.5  1939    8.7  2006   10.2  1912   11.0  1982   11.3  1964    31.5  1946    27.4  1917    27.8  1992    30.3  1942   118.1  1911
   11.1  1998    8.9  2006    9.4  1998    8.8  1985    8.7  1997    8.2  2014    9.2  2020    9.4  1942    8.6  2015   10.1  1898   10.9  1959   11.3  1894    31.1  1899    27.4  1966    27.4  2010    30.2  1949   117.8  1977
   11.1  1947    8.9  1989    9.4  2006    8.7  1990    8.6  1921    8.2  1931    9.1  1913    9.4  1898    8.5  1963   10.1  1918   10.9  1991   11.2  1983    30.8  2002    27.0  1933    27.2  2019    30.2  1999   117.6  1985
   11.0  1942    8.8  1994    9.0  1964    8.7  1948    8.6  1949    8.1  2004    8.9  1917    9.3  1934    8.5  1911   10.0  2021   10.8  1979   11.2  1921    30.7  1962    27.0  1999    26.9  1943    30.1  1907   117.1  1983
   10.9  1924    8.8  1956    8.8  2005    8.7  1987    8.5  1914    8.0  1960    8.9  1902    9.3  2017    8.4  1913    9.9  1933   10.7  1980   11.0  2022    30.6  1950    27.0  1964    26.9  1945    29.9  1928   117.1  1994
   10.9  1959    8.8  1945    8.7  1958    8.7  1936    8.3  1918    7.8  1934    8.9  1997    9.2  1919    8.4  1987    9.7  1925   10.6  1915   11.0  2006    30.3  1908    26.9  1904    26.9  2009    29.9  1996   117.1  2010
   10.8  2023    8.7  1999    8.6  1898    8.5  1992    8.3  1957    7.8  1919    8.7  1923    9.2  1966    8.3  1991    9.7  1956   10.6  1938   11.0  1956    30.2  1921    26.9  2021    26.8  2023    29.8  1912   117.1  1963
   10.8  2002    8.6  1967    8.6  1925    8.5  1949    8.3  1952    7.8  2021    8.6  1892    9.1  1996    8.2  1953    9.6  1989   10.6  1975   11.0  1897    30.2  1917    26.8  1894    26.7  1971    29.7  1919   116.8  1984
   10.7  1957    8.4  1907    8.6  1968    8.3  1892    8.2  1941    7.7  2005    8.5  1933    9.1  2007    8.2  1891    9.6  1992   10.5  1898   10.9  1904    30.0  1965    26.8  1923    26.6  1964    29.5  1914   116.6  1957
   10.4  1935    8.4  1928    8.5  1962    8.3  1909    8.1  1953    7.3  1891    8.5  1981    9.0  2005    8.1  2013    9.6  2015   10.4  1968   10.9  1976    30.0  1925    26.7  1935    26.5  2021    29.1  2005   116.2  1941
   10.4  2013    8.3  1988    8.4  2009    8.2  1945    8.0  1922    7.3  1984    8.5  1972    8.9  1986    7.6  2020    9.6  1959   10.4  1918   10.9  1924    29.8  1952    26.6  2002    26.1  1925    29.1  2004   115.7  2007
   10.4  1927    8.2  2025    8.2  1915    8.1  1896    7.9  1971    7.3  2008    8.4  1974    8.9  1945    7.6  1988    9.5  1953   10.3  1985   10.8  1930    29.5  2015    26.4  1950    26.1  1914    28.9  1994   115.7  1982
   10.3  1903    8.1  1899    8.2  2017    8.1  1900    7.7  1975    7.2  1979    8.4  1998    8.9  1926    7.5  1990    9.4  1955   10.3  1903   10.6  1980    29.5  1907    26.3  1982    26.0  1951    28.8  1965   115.3  2006
   10.3  2011    8.1  2015    8.1  1955    8.0  2006    7.7  1892    7.0  1914    8.4  1944    8.6  1953    7.5  1970    9.4  1983   10.2  1931   10.5  1940    28.9  1945    26.2  2013    26.0  2006    28.8  1917   115.1  1956
   10.1  1968    8.1  1991    8.0  2010    8.0  1978    7.6  1976    6.9  1995    8.3  1947    8.6  2002    7.4  1912    9.3  2008   10.1  1962   10.4  1957    28.8  1968    25.8  1911    25.7  1935    28.7  2017   114.8  1978
   10.1  1982    8.0  1901    7.9  1942    7.8  1921    7.5  2004    6.8  1951    8.3  1961    8.4  1923    7.2  1916    9.3  1990   10.1  1907   10.2  1950    28.8  1972    25.6  1942    25.3  1944    28.1  2009   114.7  1993
   10.0  2012    7.7  1924    7.9  1892    7.8  1895    7.5  1897    6.8  1969    8.1  1996    8.3  1997    7.2  1934    9.2  2025    9.9  1967   10.2  1951    28.7  1975    25.6  1955    25.2  1961    28.0  1937   114.5  1938
    9.9  1934    7.7  1905    7.9  2007    7.6  1911    7.4  1984    6.8  1981    8.0  1904    8.2  1932    7.1  2007    9.2  1988    9.8  1961   10.1  1970    28.7  1955    25.5  1940    25.2  2017    28.0  1990   114.2  1917
    9.9  2025    7.7  2019    7.9  1921    7.6  1981    7.4  1929    6.7  2010    8.0  2019    7.9  2013    7.0  1919    8.7  1943    9.8  1987   10.1  1893    28.6  1981    25.1  1941    25.1  1938    27.7  1957   114.0  1893
    9.8  1991    7.6  1918    7.8  1932    7.5  1944    7.3  1900    6.7  1959    8.0  2005    7.9  1938    7.0  1939    8.7  1927    9.6  1923   10.1  1990    28.4  1971    25.0  2014    24.9  1977    27.7  1986   113.9  2009
    9.6  1918    7.6  2016    7.6  2002    7.5  1929    7.3  2017    6.6  1938    8.0  1959    7.8  2000    6.9  2021    8.7  1910    9.4  2017   10.0  1949    28.1  2008    25.0  1959    24.8  1952    27.5  1958   113.8  1913
    9.3  2001    7.5  1948    7.6  1907    7.3  1891    7.2  2016    6.6  2009    7.9  1937    7.8  2019    6.9  1893    8.7  1919    9.2  1937    9.9  2024    28.0  2025    24.9  1958    24.8  1898    27.5  1983   113.0  1948
    9.3  1923    7.5  1898    7.4  1974    7.2  1923    7.1  1993    6.6  2022    7.9  1929    7.8  1920    6.8  1906    8.6  1948    9.1  1981    9.8  1962    28.0  1953    24.6  1895    24.7  2005    27.3  1899   112.7  1902
    9.3  2017    7.4  1944    7.3  1930    7.0  1941    7.1  1964    6.6  1901    7.7  1975    7.7  1914    6.8  2004    8.6  1914    9.0  1917    9.7  2007    27.9  1991    24.4  1921    24.6  1942    27.3  1995   112.2  1969
    9.2  1966    7.3  1902    7.1  1991    7.0  1943    7.1  2009    6.6  1950    7.7  1963    7.6  1904    6.6  2012    8.5  2003    9.0  1999    9.7  1898    27.9  1998    24.3  2019    24.6  1933    26.9  1962   111.5  2016
    9.2  1983    7.1  1987    7.1  1902    6.9  1946    6.9  1978    6.4  1893    7.5  1900    7.5  2021    6.6  1948    8.5  1968    9.0  1932    9.6  1895    27.9  1996    24.2  1912    24.5  1969    26.5  1980   111.4  1934
    9.1  1929    7.1  1953    6.8  1996    6.8  1988    6.9  1999    6.3  2024    7.1  1943    7.4  1994    6.5  2011    8.4  1964    8.9  1972    9.4  1927    27.8  2009    24.0  1954    24.4  1932    26.2  1956   111.4  1940
    9.1  2020    7.0  1964    6.3  2015    6.6  1902    6.9  2008    6.3  2013    7.0  1901    7.4  1918    6.5  1917    8.4  1945    8.9  1924    9.3  1948    27.8  1982    23.9  1892    23.9  1986    25.9  2016   111.1  1895
    9.0  1933    6.9  2013    6.3  2020    6.5  1942    6.7  2023    6.3  1918    6.9  1964    7.4  1988    6.4  1947    8.3  2009    8.7  2004    9.3  1973    27.5  1985    23.7  1953    23.2  2000    25.6  2003   110.4  1904
    9.0  1967    6.7  1968    6.3  2022    6.4  2013    6.6  1909    6.2  1994    6.7  1948    7.2  1906    6.4  2023    8.2  1999    8.6  1902    9.3  1977    27.4  2012    23.7  1918    23.2  1934    25.5  1975   110.2  2013
    9.0  1955    6.3  1973    6.3  1936    6.3  1933    6.5  1992    6.2  1988    6.7  1945    7.2  1980    6.3  1914    8.2  1904    8.6  2007    9.2  1899    27.4  2011    23.6  1945    23.0  1923    25.4  1897   109.8  1944
    8.8  2005    6.3  1938    6.1  1960    6.3  2002    6.4  1940    6.2  1920    6.6  1899    7.1  1944    6.3  1955    7.9  2016    8.5  1947    9.2  1972    27.3  2019    23.4  2015    22.5  1970    25.3  1941   109.5  1992
