Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for East Anglia
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  119.9  1939  112.7  2024  112.5  1947  117.8  1998  118.0  2007  128.8  1997  143.6  1875  177.1  1912  123.3  1918  153.9  1865  153.1  1940  144.3  1914   286.1  1915   228.7  1981   325.9  1879   319.5  1852   841.8  1872
  116.5  1988   95.2  1916   98.6  2023  112.4  2012  105.4  1843  120.3  1860  122.4  1880  122.2  2010  122.5  1968  137.7  1892  139.1  1970  109.9  2020   254.2  2024   222.8  1983   322.2  1912   316.1  2000   828.1  1852
  102.5  1995   86.9  1951   93.5  1851   93.4  2000  103.7  1878  109.4  1985  114.0  1888  117.8  1917  120.9  1896  136.0  1939  130.4  1852  107.9  1876   250.4  1877   222.6  1979   294.0  1903   310.4  1885   809.9  2012
  102.1  2014   84.5  2001   92.8  1981   92.1  1983   98.4  1924  106.9  1958  113.9  1936  117.2  1843  109.7  1876  135.7  2023  129.9  1878  105.9  1868   249.0  2021   219.3  1937   269.9  1860   308.5  1960   798.5  1903
  100.6  1943   83.1  1866   92.8  1916   86.3  1920   98.3  1932  105.6  1879  113.5  1879  116.5  2004  109.5  1885  132.4  1882  116.8  1875  105.6  1929   237.1  1990   215.2  1951   265.9  1987   299.4  1974   779.7  2000
   94.4  2021   82.3  2010   91.1  1914   82.2  1931   93.9  1849  102.2  2016  113.1  1855  111.5  1878  107.2  1871  130.0  1987  110.1  2000  104.8  1915   234.8  2014   202.6  2001   263.4  1958   284.3  1841   779.6  2001
   92.5  1948   81.7  1900   89.4  2001   81.7  1846   93.6  1983   99.5  2007  112.5  1853  110.1  1865  107.0  1930  128.5  1960  107.9  1974  104.8  1978   233.7  1916   201.8  2000   257.6  1946   274.8  1882   776.5  1848
   92.1  1937   81.3  1977   88.3  1979   77.5  1951   93.6  2014   98.9  2012  109.1  1903  109.3  1881  103.6  1995  128.3  1903  106.6  1929  104.3  1989   225.0  1979   200.8  1932   254.1  2012   274.5  1880   775.7  2023
   89.9  1852   79.7  1937   85.2  1836   75.2  1918   92.0  1860   98.8  1982  107.2  2012  106.9  1879  103.1  1993  127.9  1880  105.8  2002  103.9  1965   224.9  1995   200.4  2023   249.0  1865   270.2  1875   775.4  1960
   87.1  1906   79.2  1950   83.1  2008   74.6  1926   92.0  2000   96.1  1998  102.0  1872  106.1  1852  100.6  1965  125.0  2000  104.6  1950  102.5  1910   218.5  1869   196.5  2008   246.3  1852   268.4  2023   771.0  1860
   86.4  1956   78.9  1990   82.9  1848   74.3  1882   89.1  1889   94.7  1903  101.8  1915  105.9  1956  100.1  1842  123.8  1885  104.5  2009   99.7  2002   216.3  1939   195.0  2012   244.7  1872   268.4  1939   767.7  1912
   85.6  1877   78.7  2020   80.9  1862   73.8  1871   87.2  1967   94.4  1964  101.2  1850  105.9  2006   98.4  1852  123.4  1841  103.3  2022   98.4  1919   213.8  1919   189.6  1975   243.7  1853   266.9  1993   766.1  1841
   84.4  1928   75.6  1923   79.2  1951   73.3  2001   85.0  1969   94.0  1909   99.6  1922  105.6  1954   97.8  1927  122.4  1982   98.7  1939   97.9  2012   213.4  1937   188.9  1862   242.2  1875   257.5  1944   762.0  1882
   83.6  2004   73.6  1958   77.8  1896   72.6  1989   82.2  1867   93.8  1987   99.4  1918  102.9  1941   96.7  1883  116.7  1848   98.5  1954   97.5  1911   211.2  2010   185.4  1867   242.0  1968   257.0  1836   760.5  1939
   83.1  1984   73.5  2014   77.5  1941   71.7  1853   81.4  1854   91.8  1936   99.0  1865   98.1  1860   95.5  2024  113.6  2020   96.9  1906   96.9  1869   211.0  2020   185.4  2024   241.6  1927   254.5  1976   752.8  1879
   83.0  1922   73.4  1879   77.3  1937   71.6  1907   81.2  2021   91.4  1927   98.7  1851   97.3  1977   93.8  1960  112.4  1891   96.3  1861   96.4  1934   205.7  1977   183.5  1998   240.3  1917   248.5  1935   752.5  1927
   82.0  1936   72.1  2026   77.2  1975   70.6  1848   81.0  2006   89.5  1852   98.6  1950   96.9  1999   93.4  1984  112.1  1843   96.2  1952   96.1  1979   204.3  1912   180.0  1924   240.2  1956   247.9  1903   750.3  1958
   81.4  2026   72.0  1883   75.0  1988   69.9  1908   79.6  2024   89.4  1848   95.1  1988   96.2  1837   91.9  1974  109.0  1855   95.9  1946   95.8  1909   202.4  2001   179.5  1916   237.2  1880   246.3  1892   744.8  1916
   80.4  2003   70.0  1848   71.8  1964   69.1  1935   79.0  1979   87.8  2019   94.4  1841   96.0  1891   91.8  1848  108.4  1932   94.9  1996   91.0  1886   201.6  1935   178.8  1872   236.4  1954   246.2  1992   743.2  1937
   76.6  1919   68.9  1919   71.7  1909   69.0  1981   77.2  1869   87.6  1999   92.9  1890   95.2  1946   91.6  1975  108.1  1857   93.8  1872   89.8  2017   200.1  2026   177.1  1969   234.3  1909   244.9  1982   739.9  1924
   76.5  1872   68.2  1915   70.6  2018   68.4  1937   76.6  1955   85.1  1991   92.0  1946   95.2  2014   91.3  1857  104.4  1949   93.3  1842   88.2  1872   199.1  1883   176.8  1860   233.2  1888   242.8  1848   736.7  2014
   75.7  1900   67.9  1881   70.5  1888   67.9  1919   75.7  1886   84.4  1838   91.6  1895   92.0  1931   90.9  1935  104.3  1844   93.0  1935   87.6  1959   198.8  1910   176.2  1851   229.8  1841   241.4  1857   736.3  1951
   73.6  1915   67.8  1904   70.3  1952   67.6  1970   75.3  1910   84.1  1980   90.9  1930   91.6  1987   90.8  1880  101.0  1924   92.9  2025   86.4  1993   198.5  1994   175.5  1889   228.5  1848   238.0  1883   729.2  2024
   73.1  1971   67.3  1927   70.1  1864   66.4  1993   74.9  1902   83.2  1905   90.4  1867   90.2  1903   87.6  1976  100.0  1909   91.8  1951   85.9  2023   197.4  1966   173.5  2018   227.9  1936   237.6  1842   718.8  1875
   72.7  1857   66.5  1995   67.8  1897   65.9  1922   73.5  1937   78.5  1892   86.9  1886   88.1  1916   86.6  1957   99.6  1974   91.6  1930   84.9  1901   197.3  2003   173.3  1843   226.9  2007   233.7  1896   718.7  1993
   72.5  1978   66.2  1893   67.6  1912   65.6  2018   72.9  1984   76.8  1863   86.5  1931   88.0  1968   85.6  1841   98.6  1993   91.4  1944   84.6  1870   196.7  1960   172.6  1878   225.9  2004   232.6  1924   717.5  1877
   72.4  1912   65.4  2007   67.5  1876   65.5  1876   71.8  1931   75.7  1871   86.2  1968   87.7  1948   85.6  2001   98.1  1976   90.1  1926   84.5  1985   196.6  1900   171.4  1849   224.5  1966   231.9  1940   716.4  1880
   71.3  1867   65.0  2022   67.1  1940   64.5  1932   71.5  1891   74.8  1971   85.9  1894   86.5  1986   84.0  1866   96.6  2013   87.9  2014   82.0  2019   196.3  1936   169.4  2016   221.1  1843   228.8  1998   714.4  1946
   71.1  1994   63.8  1966   65.9  1963   64.2  1924   70.9  1845   74.7  1883   85.7  1891   85.5  1848   83.3  1992   95.8  1923   87.6  1992   81.4  1961   193.9  1961   169.4  1947   219.2  1891   228.3  1872   712.7  1876
   70.6  2008   62.4  1876   65.3  2016   63.8  1877   70.3  1898   73.3  1880   84.2  2015   85.4  1951   82.6  1836   95.6  1846   86.3  1960   80.9  1882   190.0  1951   169.3  1877   217.9  1892   227.3  2019   712.3  1998
   69.9  1975   60.6  1957   64.0  1992   63.8  1939   69.7  1856   71.7  1912   84.2  1920   84.4  1974   81.0  2000   94.0  1836   86.1  1839   80.5  1937   188.3  1897   168.5  1967   217.0  1931   227.2  1952   707.6  2002
   69.6  1960   60.1  2000   62.8  1872   63.5  1964   69.5  1885   71.5  1902   83.9  1909   83.9  1963   80.5  1944   93.6  1906   85.7  2003   80.4  1960   187.2  2018   167.2  1963   215.6  1839   224.5  2001   705.0  1865
   69.0  2016   59.4  1869   61.7  1890   62.9  1859   69.2  1930   71.4  1872   83.4  1861   83.6  1877   79.7  1999   93.2  1998   84.9  1963   80.3  1997   187.0  1873   166.2  1986   215.0  1999   224.4  1984   704.9  1987
   67.6  1913   59.1  1897   61.5  1980   62.2  1966   68.3  1948   70.8  1839   83.1  1940   81.6  1927   79.4  1879   93.0  1889   84.2  1888   79.5  2009   185.9  2007   166.1  1907   214.6  1985   223.5  1918   698.9  1992
   67.3  1886   59.0  1843   61.1  1919   61.9  1879   68.2  1879   70.7  1882   82.3  1908   81.6  1895   79.3  1973   92.0  2019   82.4  1911   79.3  1896   182.1  1958   166.1  1869   213.9  1890   222.7  1930   697.6  1866
   67.2  1865   58.8  2009   60.7  1842   59.6  1899   68.0  2008   70.4  1946   81.8  1893   81.4  1996   79.1  1869   91.8  1967   81.7  1894   78.9  1881   181.4  2004   164.7  1964   210.0  1997   222.1  1906   696.8  2020
   66.9  1961   58.8  1936   59.7  1978   59.3  1986   67.8  1907   70.0  1906   81.3  1992   80.9  1900   78.3  1897   90.7  1917   81.6  1969   77.5  1849   181.3  1980   164.7  1992   209.1  1894   221.8  1927   695.5  1965
   66.5  1999   58.3  1925   58.0  1877   59.0  1975   66.9  1981   69.9  1875   80.8  1965   80.7  2020   77.9  1981   90.7  1852   81.5  1916   76.9  1891   180.8  1970   162.4  1903   207.6  1855   221.5  1987   695.3  1968
   66.0  1846   58.0  1910   57.0  1860   58.8  2004   64.6  1973   69.9  1966   80.8  2023   80.6  2008   76.7  1958   90.6  1875   80.9  1910   76.8  1938   179.8  1948   162.3  1931   205.1  1960   221.5  2002   693.2  1915
