Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for East Anglia
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   96.0  2022  137.2  2019  222.0  2025  269.2  2025  309.3  2020  283.2  1976  312.8  1911  286.0  1947  212.8  1911  165.9  1920  103.5  2006   80.7  1962   253.3  2000   744.1  2025   818.6  1976   432.4  2003  1989.7  2025
   85.4  2001  123.5  1949  185.8  1995  249.0  2020  298.7  1989  277.5  1957  285.6  1935  272.2  1995  209.7  1928  162.9  1959  102.6  1989   79.6  2014   249.8  2019   724.7  2020   769.6  1911   420.2  2018  1922.0  2022
   83.8  1984  123.0  2008  185.0  1933  241.7  1912  276.6  1922  276.8  2025  284.1  2006  256.8  2022  209.4  2003  158.4  2018   96.1  1973   77.3  2001   248.8  2023   643.9  1990   762.3  1989   414.9  1959  1871.5  2003
   80.1  2024  117.4  1998  182.1  2022  237.9  1942  267.8  1919  271.2  1950  282.5  2018  255.1  1976  201.5  1964  152.1  2011   94.7  2005   73.5  1999   240.1  1949   619.9  1948   740.2  2022   398.0  1971  1822.9  1959
   79.6  2023  117.1  1988  171.3  1967  232.4  1990  266.8  1943  269.1  1975  280.4  1976  254.6  1990  194.6  1914  151.0  2003   94.3  1996   70.8  2025   239.5  2015   590.6  1921   739.7  1959   395.4  1928  1820.9  1990
   77.7  1959  110.1  2003  170.0  1938  230.8  1914  265.1  1992  268.9  1973  277.5  1928  251.2  1989  192.0  1929  150.6  2022   93.0  1923   69.0  1961   235.1  2008   580.9  1995   729.7  1975   390.9  2011  1817.7  1995
   76.9  1952  107.1  2000  169.4  1931  224.0  1984  260.0  1990  266.6  1970  271.7  1959  245.1  1923  191.2  1959  150.3  1917   91.3  1985   67.9  2008   229.1  2014   576.9  2022   724.3  2018   390.5  1921  1815.8  2018
   75.5  1991  104.6  2023  169.2  2003  217.5  2021  256.6  2018  263.4  1940  268.4  1934  243.7  1933  185.0  1934  148.2  1921   89.2  2023   66.8  1929   222.3  2012   570.0  1943   717.5  1933   388.7  1964  1811.0  2020
   75.1  2005  104.5  1939  169.0  2007  217.1  1948  252.8  2025  261.6  1969  266.6  1995  241.7  2019  184.6  1991  147.3  1997   88.3  1977   66.7  2011   222.0  2018   568.7  2003   715.5  1995   384.3  2006  1807.6  1989
   74.2  1965  102.2  2014  168.2  1924  215.8  2015  247.4  1997  260.5  2023  263.3  2013  241.0  1975  183.8  1923  143.5  1995   87.4  1988   66.4  2019   219.7  2022   564.8  1982   715.4  1935   375.7  1929  1798.9  1921
   73.5  2025  102.2  1922  166.6  1948  215.8  2011  245.5  1921  259.8  1962  262.5  1921  240.5  2016  183.6  1979  140.3  1971   86.8  1971   65.8  1994   216.5  2020   562.3  2011   699.9  2025   374.2  1917  1787.6  1911
   72.7  2000  101.7  1970  166.4  2020  215.5  2010  245.2  1929  258.9  1960  261.4  1989  238.4  1911  183.1  2025  138.0  1999   86.6  2017   65.6  2005   214.9  1989   559.2  1929   693.9  1947   372.4  2023  1786.1  1949
   72.4  1962   99.7  1934  165.7  1929  214.9  2007  245.2  1940  250.3  1925  258.9  1990  234.8  1991  180.4  1933  137.9  1996   86.5  2016   64.9  2009   214.0  2002   557.9  1997   692.1  1928   372.4  1997  1739.3  1933
   72.2  1940   99.1  2018  164.5  1961  209.6  1946  244.7  2001  249.8  1989  251.9  1994  228.6  2003  179.0  2012  137.4  1930   85.2  2021   64.7  2022   212.5  1963   553.8  2015   685.9  1949   370.0  1911  1737.6  2019
   72.1  2012   97.5  1989  160.3  1982  206.7  2022  242.5  1917  249.4  1951  250.4  1999  223.2  1949  178.1  2019  134.7  1922   85.0  2018   64.5  1984   212.2  1952   552.8  1956   675.6  1994   369.4  1923  1716.6  1929
   71.6  2015   96.6  1990  157.7  2014  206.7  1921  241.2  1956  248.6  1959  239.9  1983  222.8  2024  176.9  2020  132.4  1919   84.2  1965   64.1  1967   210.6  1962   546.9  2009   672.6  2006   368.6  1947  1707.1  1976
   71.2  1994   96.3  2022  155.6  2012  206.1  2002  238.1  1982  248.3  2022  239.2  1955  221.1  1998  176.8  2018  132.0  1965   83.9  1913   63.3  1946   209.4  1984   546.5  1922   668.2  1996   367.9  1979  1698.0  1928
   71.2  1910   96.1  1928  155.6  1910  198.8  2003  238.1  1944  246.9  1996  238.4  1929  220.5  1930  175.3  2023  131.2  1961   83.1  1925   62.4  2013   208.4  2001   544.3  2010   657.7  2024   367.7  1996  1695.2  2023
   70.8  1986   93.5  2016  155.5  2026  195.5  1949  236.3  1948  242.3  1914  238.4  1933  219.5  1997  174.7  2011  129.6  1980   82.7  1978   61.6  1951   207.6  1995   534.6  2019   654.8  1950   365.1  1973  1693.7  1999
   69.2  1989   92.4  1914  155.5  1955  193.5  2013  235.7  1980  241.1  2018  236.0  1924  219.4  1959  172.2  1915  128.9  2008   82.6  1920   61.2  1976   206.4  1998   534.5  1914   652.1  1990   360.9  1999  1683.1  2014
   68.7  1980   91.1  1999  151.5  1990  192.1  2019  234.3  1920  237.8  2006  235.9  1941  218.6  2000  172.0  1921  128.6  1912   81.4  1947   60.7  1986   204.7  1933   534.4  1942   650.9  1921   359.5  1986  1681.7  1943
   68.5  1999   90.4  2020  148.3  1972  190.5  1916  233.0  2011  236.0  1949  235.0  2022  217.1  2013  171.9  1947  128.1  1981   80.8  1910   60.6  2017   200.4  1999   524.2  1989   650.9  1934   359.0  2005  1676.7  1997
