Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for East Anglia
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.9  2007   11.5  2019   14.8  1938   17.9  2011   19.5  1947   24.0  1976   26.7  2006   25.8  2022   22.8  2023   18.1  1921   12.8  2015   12.7  2015    9.92  2016   16.05  2025   24.25  2022   17.12  2006   16.10  2022
    9.8  1921   11.4  2024   13.3  1893   16.9  2007   19.2  1992   24.0  2025   26.3  2018   25.2  1997   22.4  1929   17.6  2022   12.8  2011   10.2  1974    9.55  2024   15.94  1893   24.06  1976   17.02  2011   15.91  2025
    9.8  1916   11.0  1998   13.2  1961   16.3  1943   19.1  2020   23.0  2023   25.5  2022   24.9  1990   22.3  1895   17.4  1969   12.5  1994   10.0  1934    9.45  2007   15.77  2011   24.02  2025   16.83  2023   15.58  2023
    9.7  2008   10.9  1990   13.1  2017   16.2  2025   19.1  1922   22.2  1950   25.1  1983   24.9  1911   22.2  2006   17.4  1995   12.3  1938    9.8  2023    9.42  2020   15.34  2020   23.65  2018   16.53  2022   15.57  2014
    9.3  1975   10.6  1945   13.1  2025   16.2  1893   19.0  2018   22.0  2017   24.9  1995   24.8  1975   22.0  1898   17.3  1959   12.2  2022    9.6  2025    9.35  1990   15.25  2017   23.15  2003   16.29  2014   15.48  2020
    9.3  1983   10.6  2022   13.1  2014   16.1  2020   18.9  1989   21.9  1940   24.9  1921   24.8  1995   22.0  1949   17.3  2011   12.1  2020    9.6  1898    9.28  2014   15.25  1943   23.12  1911   16.16  1959   15.42  2011
    9.3  1990   10.5  2002   13.0  1948   15.6  1949   18.8  2025   21.9  1896   24.9  1976   24.7  1947   21.7  2016   17.2  2001   12.0  2006    9.5  1900    9.20  2008   15.24  1945   23.02  2006   16.01  2021   15.36  2024
    9.2  2020   10.3  2023   12.8  2012   15.6  1946   18.7  1964   21.9  1970   24.6  1911   24.4  2003   21.4  2021   17.1  2006   11.9  2009    9.5  2018    9.16  1975   15.21  2014   22.97  1947   15.99  1898   15.33  2018
    9.1  1993   10.2  2020   12.7  1957   15.3  2009   18.7  1917   21.9  2003   24.6  1994   24.4  1933   21.1  1911   17.1  2005   11.7  2014    9.5  1994    9.15  2019   15.13  2007   22.89  1933   15.92  2005   15.23  2003
    8.8  2014   10.2  1903   12.7  1990   15.2  2014   18.6  1919   21.8  1917   24.4  1887   24.0  2019   21.1  1947   17.0  2023   11.7  1913    9.4  1912    9.11  2022   15.01  2022   22.74  1995   15.92  1949   15.20  1990
    8.8  1932   10.0  1914   12.7  1945   15.1  1914   18.6  2022   21.7  1947   24.3  2025   23.8  2020   21.1  1959   16.9  2014   11.7  2025    9.4  1918    9.03  1998   14.89  2024   22.63  1959   15.75  1947   15.17  1921
    8.8  2005    9.9  1997   12.5  1997   15.1  1945   18.5  2011   21.6  2018   24.3  2013   23.8  2024   20.9  2011   16.3  1949   11.6  2003    9.3  2013    8.96  1989   14.84  2009   22.60  2019   15.71  2009   15.16  2006
    8.8  2012    9.9  2008   12.3  2026   14.8  1987   18.5  2024   21.4  2006   24.3  1900   23.8  1884   20.9  1999   16.2  2017   11.5  2002    9.2  2006    8.92  1899   14.84  1990   22.51  1899   15.59  2018   15.14  2019
    8.7  1974    9.7  2014   12.2  2003   14.7  1894   18.4  1990   21.4  2022   24.1  2010   23.8  2025   20.9  2003   16.1  1908   11.5  1899    9.2  2024    8.84  1995   14.78  2003   22.48  1975   15.45  1929   15.03  1989
    8.7  1999    9.7  1961   12.2  1933   14.7  1944   18.4  2017   21.1  1957   23.8  1934   23.7  1899   20.7  1934   16.0  1945   11.4  1978    9.1  1988    8.72  2026   14.60  1948   22.45  1935   15.45  2016   14.99  2017
    8.6  1944    9.7  1949   12.1  2022   14.6  1909   18.3  1893   21.1  2005   23.8  1941   23.6  2016   20.6  2005   16.0  2013   11.4  1997    9.1  2016    8.65  1949   14.46  1999   22.42  2023   15.43  2025   14.98  2015
