Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for East Anglia
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.0  2007    4.9  2024    5.1  2024    6.6  2018    9.5  2024   12.4  2025   14.2  2006   14.6  1997   13.2  2006   10.5  2001    7.0  1994    7.2  2015    3.80  2024    6.87  2024   12.89  2025    9.30  2006    7.53  2024
    4.0  1921    4.7  2026    5.1  1957    6.3  2011    8.8  2017   12.2  2017   13.6  2025   14.2  2020   12.8  2023   10.3  2005    6.5  2022    5.5  1934    3.70  2016    6.02  2017   12.65  2003    8.85  2014    7.32  2014
    3.8  2020    4.3  1990    5.1  1981    6.2  2014    8.5  1999   11.7  2021   13.5  2018   13.8  2004   12.6  2016   10.0  2006    6.3  2011    5.1  1974    3.47  1990    5.92  2014   12.40  1997    8.75  2011    7.28  2023
    3.7  2008    3.8  1926    5.0  2017    6.0  2024    8.5  2022   11.5  2023   13.5  2010   13.7  2022   12.5  1949    9.7  2014    6.3  2015    4.7  1953    3.38  2007    5.90  1999   12.36  2018    8.75  2023    7.14  2006
    3.7  1916    3.6  2002    4.5  1998    5.9  1943    8.4  2014   11.4  2003   13.4  2014   13.3  2003   12.0  1999    9.5  1968    6.0  2009    4.7  2023    3.28  1975    5.78  1998   12.34  2021    8.74  2022    7.07  2025
    3.6  1975    3.6  2011    4.4  2019    5.8  1961    8.3  2008   11.3  1982   13.3  1994   13.2  2002   11.9  2021    9.3  2013    5.9  2014    4.5  2024    3.25  2020    5.63  2007   12.31  2006    8.19  2021    7.02  2022
    3.4  1990    3.6  2017    4.2  1991    5.8  1993    8.3  2006   11.2  1950   13.3  1995   13.2  1911   11.6  2000    9.2  2017    5.8  1984    4.3  1985    3.25  1935    5.58  1992   12.30  2022    8.16  2009    7.00  2020
    3.3  1983    3.5  1961    4.2  1990    5.7  2007    8.2  1889   11.1  2016   13.3  2019   13.1  1995   11.3  1958    9.2  2022    5.8  2025    3.9  1988    3.18  2026    5.44  2011   12.29  2020    8.12  2005    6.93  2011
    3.2  1884    3.5  1945    4.2  1997    5.5  1987    8.2  1992   11.1  1976   13.3  2003   13.1  2008   11.3  1998    9.2  2023    5.6  1938    3.9  2025    2.86  2014    5.44  2022   12.28  2017    8.10  2025    6.92  2017
    2.8  1898    3.4  2014    4.1  1994    5.4  2009    8.1  1998   11.0  2000   13.1  2022   13.0  2024   11.3  1989    9.0  1995    5.5  1939    3.8  2018    2.82  1998    5.42  2018   12.23  2019    8.08  1968    6.92  2002
    2.7  1969    3.2  2020    4.0  1992    5.3  1999    8.1  1964   11.0  2007   13.1  1983   13.0  2001   11.2  2005    8.9  2011    5.4  2002    3.8  2002    2.79  1989    5.38  2000   12.21  2016    8.05  1999    6.83  2004
    2.7  2014    3.1  1995    3.9  1912    5.3  1959    8.1  1947   10.9  1998   13.1  1947   12.9  1932   11.2  1939    8.9  1990    5.4  2020    3.7  1918    2.63  1957    5.32  1981   12.18  1947    7.98  2001    6.82  1999
    2.7  1930    3.1  2022    3.8  1999    5.3  1949    8.1  2007   10.9  2004   13.0  2021   12.9  1975   11.1  1961    8.7  1969    5.3  1982    3.7  1977    2.56  2022    5.27  2002   12.12  2004    7.96  2024    6.80  2018
    2.6  2005    3.0  1997    3.8  2026    5.1  2004    8.0  2000   10.8  2019   12.9  2001   12.8  2018   11.1  1945    8.6  1954    5.3  1888    3.6  2021    2.43  1995    5.26  2023   12.08  2023    7.93  1945    6.74  2000
    2.6  1948    2.9  2004    3.8  2023    5.1  1926    7.9  2002   10.8  1947   12.9  2017   12.8  1990   11.1  2011    8.6  1989    5.2  1951    3.5  1956    2.39  1988    5.22  1993   11.92  1995    7.88  1995    6.69  2007
    2.5  1999    2.9  1998    3.7  2000    5.0  1937    7.9  1952   10.8  2018   12.8  1923   12.8  2013   11.0  2024    8.6  2025    5.2  2003    3.5  1971    2.39  1925    5.17  1945   11.87  2010    7.82  1984    6.66  1998
    2.5  1976    2.9  1966    3.7  1989    5.0  1920    7.9  2016   10.6  2020   12.8  1905   12.8  1944   10.9  2014    8.4  2021    5.2  1997    3.5  1910    2.39  2025    5.17  1994   11.86  1994    7.81  2004    6.63  1994
    2.5  1974    2.9  1946    3.6  1938    4.9  1944    7.9  2025   10.6  1997   12.7  1999   12.7  2016   10.8  1936    8.3  1921    5.1  2018    3.4  1900    2.27  1943    5.15  2009   11.84  2002    7.75  2020    6.59  2016
    2.4  1944    2.8  1903    3.6  1927    4.8  2025    7.9  2018   10.6  1935   12.7  1991   12.7  2009   10.8  2004    8.2  2024    5.1  1953    3.4  2006    2.24  2004    5.15  2004   11.79  1983    7.73  1994    6.58  2005
    2.4  2018    2.7  1914    3.5  2022    4.8  2020    7.8  2012   10.6  1896   12.7  2016   12.7  2012   10.7  1929    8.1  1910    4.9  1999    3.4  1942    2.21  2019    5.10  1952   11.79  2008    7.67  1949    6.57  2015
    2.4  1932    2.6  2007    3.5  1936    4.7  1945    7.7  1908   10.5  2006   12.7  1941   12.7  2025   10.7  1980    8.1  1976    4.9  2004    3.4  1924    2.21  1999    5.04  2005   11.77  2001    7.59  2016    6.55  1997
    2.4  2012    2.6  1923    3.4  2005    4.7  1972    7.7  2009   10.5  1917   12.6  1992   12.6  1947   10.6  1956    8.0  1898    4.9  1945    3.4  2000    2.21  2008    5.03  1959   11.71  1982    7.58  2000    6.52  1990
    2.4  1993    2.5  1918    3.4  2002    4.7  1998    7.7  2011   10.5  1992   12.6  1900   12.6  1959   10.6  2009    8.0  1906    4.9  1978    3.3  1987    2.19  1916    5.03  2025   11.71  1992    7.56  1978    6.51  2021
    2.4  1988    2.5  1935    3.4  1945    4.7  1964    7.7  1960   10.5  1966   12.6  1957   12.5  1955   10.6  1926    8.0  2020    4.8  1963    3.3  1898    2.19  1923    5.00  1960   11.65  2013    7.55  1958    6.49  2019
    2.4  1989    2.5  2000    3.4  1977    4.7  2005    7.7  1937   10.5  1905   12.6  2005   12.5  2019   10.6  1933    7.9  2009    4.8  1946    3.3  1912    2.16  1948    4.96  2008   11.64  2014    7.50  1989    6.40  2009
    2.3  1998    2.5  2023    3.4  1967    4.6  1995    7.6  2023   10.4  2005   12.6  2013   12.4  2015   10.5  1951    7.9  1977    4.7  2024    3.2  1997    2.12  1950    4.95  1920   11.63  1911    7.48  2015    6.39  1989
    2.3  2002    2.5  1885    3.3  2021    4.6  1952    7.6  1988   10.4  1970   12.6  1989   12.4  1991   10.4  1968    7.9  1967    4.7  1995    3.2  1954    2.10  1899    4.90  1957   11.63  2009    7.48  2017    6.35  1995
    2.3  1938    2.4  1937    3.3  1959    4.5  1894    7.6  1953   10.3  2002   12.5  2023   12.4  1983   10.4  2022    7.9  1959    4.6  2006    3.1  1979    2.09  1974    4.87  2019   11.54  2024    7.47  2013    6.33  1945
    2.2  1957    2.3  1974    3.2  2014    4.5  1955    7.6  1970   10.3  1940   12.5  1933   12.3  2021   10.4  1941    7.9  1978    4.6  1983    3.0  1948    2.07  2002    4.85  1961   11.53  1976    7.43  1982    6.29  2008
    2.1  2016    2.3  1912    3.2  2007    4.5  1992    7.6  1924   10.3  2014   12.5  1967   12.3  2023   10.4  1946    7.9  1886    4.4  1906    2.9  1921    2.05  1921    4.84  1988   11.53  1950    7.40  1946    6.29  2003
    2.0  1994    2.2  1950    3.1  1960    4.5  2003    7.5  1993   10.2  1930   12.4  1899   12.2  1937   10.4  1947    7.8  1945    4.4  1899    2.9  1911    2.05  1913    4.82  1997   11.44  2012    7.31  2018    6.28  2001
    2.0  2004    2.1  2025    3.1  1950    4.4  1904    7.5  2001   10.2  1897   12.3  1944   12.2  2000   10.3  1983    7.7  2004    4.4  1928    2.9  1994    2.03  1930    4.81  2020   11.43  2000    7.31  1913    6.16  1983
