Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.3  1963   27.0  1947   23.2  1955   12.9  2021    5.6  1941    0.6  1962    0.0  1965    0.0  1932    0.9  1932    7.5  1931   13.4  1965   23.7  2010    75.3  1963    27.6  1955     0.6  1962    16.5  1993    83.7  1955
   27.7  1940   26.7  1963   21.1  1962   10.1  1956    4.3  1979    0.2  1991    0.0  1954    0.0  1931    0.4  1986    5.5  1955   13.3  1985   23.1  1950    62.3  1947    26.7  2013     0.2  1991    14.5  1988    83.5  2010
   26.2  1979   26.1  1942   18.6  1937    9.3  1968    3.1  1996    0.1  1975    0.0  2000    0.0  1977    0.3  1969    5.0  1993   12.5  1996   21.2  1981    60.3  1979    25.0  1970     0.1  1975    14.3  1952    83.0  1963
   24.0  1985   24.4  1986   18.0  2013    8.7  1938    3.0  1935    0.1  1989    0.0  1960    0.0  1937    0.3  1954    4.9  1997   12.4  1988   20.3  1962    58.8  1942    24.7  1962     0.1  1989    13.7  1965    81.4  1979
   23.4  1945   24.3  1956   17.9  1931    8.7  1970    2.3  1944    0.1  1941    0.0  1962    0.0  1964    0.2  1974    4.3  1992   11.5  2005   19.5  1933    56.4  1940    23.9  1958     0.1  1941    13.5  1985    80.7  1947
   23.0  1942   21.0  1979   16.9  1958    8.4  1936    2.3  1945    0.1  1936    0.0  1961    0.0  1934    0.2  1943    3.7  2003   11.4  1952   19.1  1961    49.0  1941    23.7  1941     0.1  1936    12.8  1973    79.1  1942
   22.2  1959   20.4  1968   16.3  1970    8.0  2013    1.8  2021    0.0  1955    0.0  1973    0.0  2012    0.2  1948    3.4  1983   11.4  1993   18.6  1976    49.0  2010    22.0  1969     0.0  1955    12.5  1996    78.2  1941
   22.2  1941   19.8  1955   15.3  1987    7.4  1984    1.8  1982    0.0  1974    0.0  1959    0.0  1962    0.2  1979    3.1  1950   11.0  1971   17.6  2001    48.6  1956    20.5  1932     0.0  1974    12.0  1971    76.7  1940
   20.3  1987   19.5  1983   15.3  1947    7.1  1969    1.8  1932    0.0  1971    0.0  1990    0.0  1983    0.2  1952    3.1  1951   10.3  1937   17.0  1937    48.3  1985    20.4  1931     0.0  1977    11.9  2010    75.5  1962
   20.2  1933   19.4  1969   14.8  1932    6.9  1954    1.8  1967    0.0  1939    0.0  1947    0.0  1961    0.2  1975    3.0  1981   10.2  1973   16.6  1964    46.7  1934    20.1  1956     0.0  1971    11.7  1955    75.0  1952
   19.2  1947   19.4  1991   14.7  1953    6.7  1958    1.8  1938    0.0  1977    0.0  1971    0.0  1938    0.2  1942    2.9  1935   10.0  1969   16.1  1946    46.1  1968    19.8  1937     0.0  1939    11.6  2005    75.0  1985
   18.8  1997   18.9  1996   14.6  1969    6.6  1978    1.7  2010    0.0  2001    0.0  1943    0.0  1942    0.2  1931    2.6  1952    9.8  2010   15.7  1952    45.4  1965    19.8  1951     0.0  2001    10.7  1937    74.9  1956
   18.4  1980   18.1  1981   14.4  1951    6.5  1986    1.6  1984    0.0  1978    0.0  1966    0.0  1993    0.1  1939    2.6  1973    9.0  1962   15.6  1995    44.8  1951    18.9  1953     0.0  1934    10.4  1969    74.0  1969
   18.1  2010   17.7  1936   13.7  1944    6.2  1990    1.6  2020    0.0  1934    0.0  1952    0.0  1959    0.1  1972    2.6  2008    8.9  1947   15.4  1963    44.6  1986    18.7  2021     0.0  1978    10.4  1962    72.6  1933
   17.9  1952   16.7  1952   13.7  1946    6.1  1977    1.5  1942    0.0  1935    0.0  1972    0.0  1994    0.1  1964    2.6  2018    8.3  1972   15.3  2009    44.3  1953    18.6  1995     0.0  1932    10.2  1936    72.2  1996
   16.7  2021   16.2  1978   13.6  1942    6.1  1975    1.5  1995    0.0  2015    0.0  1939    0.0  1956    0.1  1995    2.5  1948    8.2  1943   14.8  2008    44.3  1936    18.6  1979     0.0  1935     9.9  1947    68.4  1965
   16.7  1946   15.6  1933   13.0  1995    5.6  1989    1.4  1981    0.0  1969    0.0  1940    0.0  1965    0.1  1988    2.4  1939    8.1  1936   14.6  1996    43.5  1959    18.2  1996     0.0  2015     9.4  1972    68.2  1968
   16.2  1954   15.6  1940   12.9  1985    5.6  2008    1.4  1949    0.0  1973    0.0  1996    0.0  1999    0.1  1987    2.4  1964    7.9  1967   14.4  1935    43.5  1982    17.3  1947     0.0  1969     9.4  1983    67.4  1970
   15.7  1977   15.6  2018   12.9  1941    5.5  1996    1.4  1948    0.0  1951    0.0  1969    0.0  1969    0.1  1947    2.2  1980    7.9  1942   14.3  1969    43.2  1991    17.1  1944     0.0  1973     9.4  1948    66.8  1981
   15.6  1953   15.5  2010   12.8  1949    5.3  1983    1.3  1957    0.0  1933    0.0  1968    0.0  1935    0.1  2003    2.2  1949    7.9  1975   14.0  1968    43.2  1952    17.0  1946     0.0  1951     9.2  1980    66.5  1931
   15.6  1966   15.4  1934   12.6  1965    5.2  2022    1.3  1997    0.0  1932    0.0  1938    0.0  1960    0.1  1938    2.1  2010    7.4  1989   13.2  1978    43.0  1933    16.9  1976     0.0  1933     9.0  1943    64.6  1958
   15.5  1965   15.3  1970   12.4  1976    5.2  1941    1.3  1971    0.0  1942    0.0  1942    0.0  1980    0.1  1993    2.0  1946    7.1  1979   13.0  1939    42.5  1996    16.7  1968     0.0  1931     8.8  1931    64.2  1936
   15.3  1931   15.2  1941   12.4  2006    4.9  2016    1.3  1946    0.0  2005    0.0  1941    0.0  1953    0.1  1959    2.0  1936    7.1  1977   13.0  1944    41.8  2009    16.6  1940     0.0  1942     8.8  1942    63.8  1937
   15.1  1955   15.1  1985   11.7  1940    4.9  1940    1.1  1980    0.0  1957    0.0  1945    0.0  1972    0.1  2012    2.0  1988    7.1  1980   13.0  1992    41.6  1987    16.6  1975     0.0  2005     8.7  1975    63.5  2001
   14.9  1956   15.0  1932   11.3  1934    4.7  1951    1.0  1955    0.0  1953    0.0  1944    0.0  1998    0.1  1944    1.9  2002    6.6  1998   12.9  1982    41.2  1969    16.4  1987     0.0  1957     8.3  1950    63.3  1987
   14.7  2009   14.3  1960   10.6  2018    4.6  2003    1.0  1977    0.0  1987    0.0  1937    0.0  1963    0.1  1976    1.9  1987    6.6  1948   12.9  2022    40.6  1970    16.4  1965     0.0  1953     8.0  1967    63.3  2013
   14.7  1992   14.2  1987   10.5  1964    4.6  1988    1.0  1975    0.0  1985    0.0  1936    0.0  1982    0.1  1935    1.9  1941    6.5  2024   12.8  1967    40.5  1955    16.2  1942     0.0  1987     7.7  1979    63.1  1986
   14.6  2017   14.0  2003   10.3  1973    4.5  2019    1.0  1974    0.0  2009    0.0  1934    0.0  1979    0.1  2007    1.8  1932    6.4  1976   12.4  1970    40.4  1977    16.1  2006     0.0  1937     7.5  1998    61.9  1973
   14.5  1960   14.0  2001   10.1  1971    4.5  1979    1.0  1956    0.0  1946    0.0  1931    0.0  1968    0.0  2024    1.4  1974    6.4  1961   12.1  2005    40.2  1945    16.0  1984     0.0  1954     7.4  1989    61.0  1976
   14.4  2001   14.0  2013   10.0  2010    4.5  2012    0.9  1962    0.0  2004    0.0  1932    0.0  1966    0.0  1940    1.4  1956    6.3  2016   12.0  1960    40.0  2011    16.0  1985     0.0  1964     7.4  1997    60.9  1978
   14.4  2013   13.9  1954    9.9  1943    4.4  1973    0.9  2005    0.0  1967    0.0  1933    0.0  1944    0.0  1957    1.4  1934    6.2  1955   11.9  2003    39.8  1981    15.8  1949     0.0  1965     7.3  1992    60.5  1950
   14.4  1991   13.8  1994    9.7  1979    4.3  1976    0.8  1965    0.0  1961    0.0  1958    0.0  1936    0.0  2018    1.3  1962    6.0  1966   11.7  1938    38.7  1964    15.7  1934     0.0  1985     7.3  1934    59.6  1964
   13.9  1958   13.5  1944    9.6  1996    4.3  1933    0.8  1951    0.0  1956    0.0  1955    0.0  2003    0.0  1991    1.3  2012    6.0  1959   11.7  1943    38.6  1962    15.6  1986     0.0  2009     7.3  1956    59.3  1991
   13.8  1982   13.3  1965    9.5  1975    4.2  1997    0.8  1959    0.0  1938    0.0  1956    0.0  1958    0.0  1936    1.3  1940    5.9  1983   11.6  1940    38.5  2013    15.4  1973     0.0  1961     7.2  1941    58.7  1946
   13.8  1986   13.2  2012    9.3  2001    4.2  1995    0.7  2012    0.0  1996    0.0  1957    0.0  1957    0.0  2025    1.2  1933    5.9  1934   11.5  2017    37.7  1997    15.0  1971     0.0  1946     7.2  1949    57.5  1932
   13.7  1978   13.0  1953    9.2  1980    4.2  2000    0.7  1973    0.0  1954    0.0  1949    0.0  1949    0.0  1941    1.0  1971    5.9  1956   11.2  1973    37.2  1958    14.8  1938     0.0  2012     7.1  1961    57.5  1944
   13.4  2025   12.8  1931    9.1  1956    4.2  1950    0.7  1968    0.0  1981    0.0  1950    0.0  1950    0.0  1934    1.0  1954    5.6  2025   11.2  1957    36.9  2001    14.3  2010     0.0  2004     7.1  1977    56.3  2003
   13.4  2011   12.4  2009    9.0  1986    4.1  1981    0.7  1931    0.0  2012    0.0  1951    0.0  1951    0.0  2005    1.0  1966    5.6  2017   11.1  2007    36.6  1983    14.1  1936     0.0  1967     7.1  2008    55.4  2021
   13.3  2019   12.2  1958    8.4  2025    4.1  1991    0.6  1961    0.0  1964    0.0  1953    0.0  1952    0.0  2020    1.0  1972    5.5  1944   10.9  1991    35.5  2021    14.0  1935     0.0  1938     7.0  1964    55.4  1980
   13.3  1984   12.0  1973    8.3  1993    4.0  1966    0.6  1943    0.0  1952    0.0  1946    0.0  1947    0.0  1983    0.9  1953    5.4  1995   10.8  2014    34.0  1992    13.6  1954     0.0  1956     7.0  2024    54.7  1951
   13.0  1964   11.8  1959    8.1  2005    4.0  1934    0.6  2013    0.0  2011    0.0  1948    0.0  1948    0.0  1945    0.9  1998    5.4  1991   10.2  1945    33.4  2018    13.1  1980     0.0  1983     6.9  1966    54.6  1954
   12.9  1968   11.8  1984    8.0  1963    4.0  1932    0.5  1987    0.0  1983    0.0  1935    0.0  1946    0.0  1962    0.9  1947    5.4  1978   10.2  2012    33.3  1978    12.7  1964     0.0  1996     6.7  2003    54.4  1995
   12.7  1961   11.5  2008    7.4  2011    3.9  1999    0.5  2019    0.0  1937    0.0  1967    0.0  1939    0.0  1977    0.8  2019    5.4  2013   10.0  1936    33.2  1932    12.4  2001     0.0  1981     6.5  1976    52.3  1935
   12.5  1950   11.2  1948    7.3  1974    3.8  1935    0.5  1991    0.0  1940    0.0  1974    0.0  1941    0.0  1990    0.8  1960    5.3  1941    9.9  1999    33.1  1946    12.2  1978     0.0  1952     6.3  1933    52.1  1953
   12.3  1981   11.1  2004    7.2  1952    3.8  1953    0.5  1936    0.0  1998    0.0  1975    0.0  1940    0.0  2022    0.7  1994    5.2  1950    9.8  1941    33.0  2015    12.1  2016     0.0  2000     6.3  1959    51.8  1984
   12.2  1939   10.8  2015    7.1  2003    3.7  1998    0.5  2011    0.0  2020    0.0  1963    0.0  1943    0.0  1933    0.7  2007    5.1  1933    9.6  1975    32.9  1984    11.9  2003     0.0  2011     6.3  2016    51.8  1945
   12.1  1936   10.8  2016    7.1  1935    3.7  2006    0.5  2016    0.0  2016    0.0  1964    0.0  1945    0.0  1971    0.7  1942    5.1  1958    9.5  1990    32.8  1944    11.8  2008     0.0  1960     6.2  2012    51.5  1982
   12.1  2022   10.7  1951    7.1  1984    3.6  1971    0.5  1953    0.0  2019    0.0  1977    0.0  1933    0.0  1960    0.7  1970    5.0  1949    9.5  1965    32.5  1954    11.7  1977     0.0  1998     6.2  1944    51.4  1960
   11.9  1934   10.6  1962    6.8  2016    3.4  1955    0.4  2015    0.0  1986    0.0  1978    0.0  1954    0.0  1963    0.7  1961    5.0  2007    9.5  1958    32.5  2006    11.5  1974     0.0  1940     6.1  1991    50.9  1934
   11.8  2003   10.5  2005    6.7  1933    3.3  1939    0.4  1934    0.0  1965    0.0  1980    0.0  1955    0.0  1950    0.7  1975    5.0  2001    9.4  1980    32.3  1966    11.5  2018     0.0  2020     6.1  1981    50.5  1983
   11.4  2015   10.5  2021    6.7  1968    3.3  1945    0.4  1993    0.0  1949    0.0  1979    0.0  1974    0.0  2010    0.7  1938    4.9  2012    9.4  1955    32.2  2004    11.3  1943     0.0  2016     5.9  2017    50.2  2005
   11.1  2026   10.3  2006    6.5  1954    3.2  1982    0.4  2014    0.0  1931    0.0  1982    0.0  1976    0.0  1973    0.6  1982    4.8  2019    9.3  1998    31.6  1980    11.3  2005     0.0  2019     5.9  1935    49.3  2009
   11.0  1970   10.3  1964    6.5  1972    3.2  1974    0.4  2018    0.0  2006    0.0  1983    0.0  1975    0.0  1937    0.6  1944    4.7  2021    9.2  1984    31.3  1960    11.3  1982     0.0  1986     5.8  2007    48.9  1971
   11.0  1951   10.1  1957    6.2  1982    3.1  1952    0.3  1958    0.0  2023    0.0  1984    0.0  1984    0.0  2004    0.6  1991    4.5  1964    9.2  1931    31.2  1939    11.1  1945     0.0  1993     5.8  1995    48.4  2008
   10.7  1995    9.7  1976    6.1  1988    3.0  1985    0.3  2001    0.0  1966    0.0  1981    0.0  1978    0.0  1956    0.6  1943    4.5  2008    8.9  2004    30.5  2003    11.0  1933     0.0  1959     5.7  2025    48.0  1943
   10.7  1967    9.0  1971    6.1  2008    2.9  1965    0.3  1994    0.0  1972    0.0  1985    0.0  1985    0.0  1982    0.6  1984    4.4  1982    8.6  1951    30.3  1994    10.7  1988     0.0  1949     5.7  1932    47.7  1975
