Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England
Areal series, starting in 1891
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   23.2  2014   20.1  1923   21.3  1947   20.7  1920   20.5  1967   19.1  1912   19.6  1936   22.5  1912   22.2  1918   25.5  1903   21.6  2009   22.6  1934    56.7  2014    49.0  1983    55.6  1912    54.2  1960   164.0  1903
   22.3  1948   19.7  2020   20.4  2023   19.6  1998   18.6  1924   17.7  1991   18.7  1920   20.9  1917   19.9  1896   21.1  1976   21.0  1960   22.2  1911    54.8  1915    47.5  1979    47.6  2012    52.4  1935   162.1  1960
   19.9  1928   19.5  1916   19.7  1981   19.0  2012   18.5  1983   17.2  1998   18.2  1988   19.9  1891   18.1  1950   20.5  1907   20.3  1951   21.9  1915    52.1  1916    46.5  1920    47.3  1927    51.6  2000   160.3  1912
   19.7  1988   18.9  2026   19.5  1914   18.3  2000   17.9  1969   16.9  2012   18.0  1939   19.5  1956   17.9  1974   20.5  1960   19.7  2002   21.4  1914    51.9  1910    44.6  1932    44.7  1958    50.2  1903   159.4  1916
   19.3  1984   18.8  1910   18.1  1979   18.0  1932   17.2  1932   16.9  1907   18.0  2009   18.3  1941   16.9  2017   19.9  1909   19.6  1963   21.3  1929    51.1  1912    43.9  1981    44.3  1956    49.8  1954   159.0  1927
   19.2  1943   18.5  1977   17.9  1912   16.7  1983   16.9  2021   16.9  1987   17.5  1960   17.8  1927   16.9  1935   19.7  2020   19.6  1944   21.2  1959    50.4  2026    43.5  1947    44.2  1946    49.3  1974   158.0  2000
   18.9  1939   18.1  1937   17.8  1896   16.4  2001   16.6  1981   16.8  1935   16.9  2007   17.4  1897   16.7  1954   19.5  1932   19.5  1926   20.2  1919    50.1  1937    43.2  1913    43.2  1985    48.9  2019   157.4  1951
   18.6  1900   18.0  2014   17.7  1903   16.4  1935   16.3  1925   16.4  1946   16.6  2012   17.2  1946   16.1  1927   19.3  1916   19.2  1946   20.1  1993    49.8  1995    43.0  1986    42.4  1931    48.7  1944   156.0  2012
   18.5  1919   17.3  1904   17.5  2018   15.7  1931   16.3  1902   16.4  1997   16.3  1915   17.1  1951   16.1  1924   18.9  1891   19.1  2000   19.7  2023    49.7  1960    42.9  2024    42.3  1924    47.8  1976   155.4  1923
   18.4  1936   17.3  1915   17.5  1913   15.6  1966   16.0  1898   16.2  1980   16.3  1931   17.0  2004   15.8  1968   18.9  1923   19.1  1935   19.5  1978    48.8  1994    42.4  1951    42.2  1891    46.6  1918   155.2  1930
   18.3  2016   17.3  1893   17.5  1897   15.2  1899   15.9  1979   15.7  1948   16.2  1957   16.9  1954   15.4  1946   18.8  1906   18.9  2015   19.4  1999    48.7  2021    41.7  1903    42.1  1954    45.7  1930   154.9  1900
   18.3  1937   17.2  2002   17.2  1909   15.0  1961   15.7  1907   15.7  1958   16.1  1922   16.9  2008   15.2  1957   18.5  2013   18.6  1970   19.1  2020    48.7  1900    40.5  1963    41.9  1907    45.6  2022   154.6  1924
   18.2  2026   17.0  1900   17.0  1905   15.0  1970   15.3  1891   15.7  1982   16.1  1918   16.8  1985   15.1  1930   18.4  2000   18.4  1929   18.8  2015    48.2  2016    40.4  1908    41.5  1894    44.7  1984   154.4  1954
   17.9  1970   16.9  1951   16.8  1951   14.8  1963   15.2  1955   15.5  1927   16.0  1953   16.8  1924   14.9  1995   18.2  1967   18.3  2019   18.8  1896    47.0  2020    39.9  1937    41.4  1960    44.6  1950   154.2  1910
   17.9  1975   16.9  1995   16.8  2024   14.7  1905   15.1  2006   15.4  2007   15.8  2023   16.4  1963   14.7  1965   18.0  1896   18.3  1950   18.7  1965    46.9  1919    39.7  1907    40.7  2007    44.5  1896   153.9  1894
   17.9  1938   16.5  1925   16.7  1916   14.7  1950   14.8  2014   15.0  1900   15.4  1940   16.3  1950   14.5  1999   17.9  1928   18.3  1939   18.7  1918    46.5  1970    39.6  1897    40.0  1917    44.4  1891   153.2  2014
   17.8  2004   16.2  1990   16.3  1988   14.7  1907   14.4  1972   14.8  2016   14.9  1894   16.2  1903   14.5  1967   17.8  1998   17.6  1954   18.6  2012    46.4  1922    39.2  2023    39.4  1939    44.2  1932   152.8  2023
   17.8  1922   16.0  2000   16.0  1908   14.6  1913   14.3  2002   14.6  1985   14.6  1909   16.2  1905   14.4  1899   17.7  1892   17.6  1992   18.2  1909    46.4  1977    38.9  1972    39.4  1963    43.7  1923   152.2  1928
   17.7  1906   16.0  1950   15.7  2008   14.5  1986   14.3  2007   14.6  1945   14.6  1893   16.0  1960   14.4  1984   17.5  2004   17.4  1900   17.9  1910    46.3  1990    38.9  1925    39.3  1936    43.6  1967   151.0  1966
   17.7  1986   15.9  2007   15.5  1980   14.5  1925   14.2  1910   14.3  1928   14.5  1924   15.6  1958   14.2  1976   17.5  1917   17.3  2022   17.5  2009    46.0  1923    38.5  2006    39.2  1922    43.5  1938   150.4  1891
   17.6  1990   15.7  1931   15.3  1927   14.5  2024   14.2  1986   14.2  1972   14.5  1895   15.5  1910   14.1  2000   17.4  2019   17.3  2025   17.4  1986    45.8  1939    38.3  1916    39.2  1900    43.1  1998   150.0  1946
   17.6  1999   15.5  1966   15.1  1992   14.3  1989   13.9  1906   13.8  2020   14.3  1965   15.5  1902   14.1  1932   16.9  1981   17.3  1940   17.4  1938    45.7  2007    38.2  1967    39.1  1910    42.7  1982   149.9  1950
   17.6  1894   15.4  1941   15.0  1937   14.2  1975   13.7  1926   13.3  1936   14.2  1932   15.2  1930   14.0  2024   16.6  1938   17.1  1895   17.3  1891    45.6  1936    38.0  1969    38.8  1902    42.4  1992   149.8  1907
   17.5  2008   15.4  2024   14.9  1919   14.2  1922   13.6  1894   13.2  1902   14.1  1891   15.2  1992   14.0  1981   16.6  1987   16.7  1984   17.3  1966    45.2  2010    37.9  1994    38.6  1903    42.3  2025   149.5  1998
   17.3  1995   15.1  2010   14.9  1994   14.2  2016   13.5  1973   13.2  1990   14.1  1912   14.9  1900   13.8  1994   16.4  1961   16.7  1974   17.2  1901    45.1  1935    37.8  2000    38.6  1953    42.0  2023   149.4  1958
   17.3  1926   15.0  1957   14.7  1977   14.1  1910   13.5  2003   13.1  1963   13.9  1927   14.8  2014   13.7  1952   16.4  1935   16.6  1997   17.0  2011    44.9  1931    37.6  2008    38.5  1909    42.0  1981   148.6  1936
   17.2  1994   14.8  1997   14.6  1978   14.1  2008   13.5  1903   13.0  2019   13.8  1903   14.8  1894   13.7  1992   16.3  2022   16.5  1911   16.9  1912    44.9  2024    37.1  2001    38.3  2008    41.4  1926   148.3  1922
   17.0  1956   14.8  1970   14.5  1963   13.7  1930   13.2  1958   13.0  1909   13.7  1954   14.6  1895   13.4  2025   16.3  2001   16.4  1914   16.9  1900    44.9  1966    37.0  1914    38.3  1957    41.3  1946   148.2  2002
   16.9  1899   14.7  2022   14.4  2001   13.5  1979   13.1  1942   12.8  1916   13.7  1930   14.1  1922   13.4  2001   16.2  1966   16.4  1982   16.7  1979    44.5  1951    37.0  1998    38.2  2020    41.1  1916   148.2  1918
   16.9  2021   14.5  1922   14.4  1928   13.5  1937   13.0  1923   12.7  1892   13.6  1993   14.1  2012   13.4  1925   16.2  1944   16.4  1928   16.4  2002    44.4  1948    37.0  2018    37.7  2004    40.7  1924   148.1  1935
   16.9  1895   14.4  1906   14.3  1986   13.4  1897   13.0  1945   12.4  1931   13.5  1958   14.0  2006   13.3  1958   15.8  2012   16.2  2014   16.3  1955    44.3  1926    36.9  1965    37.7  1950    40.5  1892   147.0  1920
   16.8  1930   14.4  1958   14.2  1934   13.3  2004   12.9  1951   12.3  2011   13.3  1914   13.9  1943   13.2  2019   15.8  2014   15.9  1949   16.3  1942    44.1  1904    36.5  1930    37.6  1980    40.5  2001   146.9  1909
   16.7  1993   14.0  1954   14.1  1982   13.1  1965   12.9  2000   12.3  1966   13.1  1950   13.8  1931   13.1  1962   15.6  1954   15.9  1996   16.0  2021    43.9  1930    36.2  1905    37.5  1997    40.5  1927   146.6  1906
   16.7  2018   13.8  1935   14.0  1895   13.0  1934   12.8  2015   12.2  1999   13.1  2017   13.8  1957   13.1  1909   15.5  1982   15.9  1905   16.0  2000    43.8  1920    36.1  1909    37.2  1948    40.1  1952   146.2  1965
   16.6  1974   13.7  1974   14.0  2006   13.0  1993   12.7  1931   12.2  1968   13.0  1938   13.6  1925   13.1  1936   15.5  2023   15.7  2023   16.0  1946    43.7  1957    36.0  1924    37.0  1987    40.0  1963   145.9  2008
   16.3  1921   13.6  1978   14.0  1920   13.0  1926   12.6  1904   12.1  1956   12.7  1956   13.6  1928   13.1  1983   15.4  1939   15.4  1930   15.9  1952    43.5  1984    35.6  1898    36.4  2009    40.0  1928   145.9  1999
   16.2  1972   13.4  2011   13.9  1983   12.9  1959   12.6  1962   11.9  1894   12.5  2015   13.6  1921   13.0  1993   15.3  1900   15.3  1965   15.9  2019    43.5  1943    35.5  1988    36.1  1966    39.9  2012   145.9  1914
   16.1  1961   13.3  1980   13.8  1989   12.7  1994   12.4  1968   11.8  1944   12.4  1907   13.5  1942   13.0  1903   15.3  1894   15.3  1969   15.7  1998    43.5  1894    35.4  1977    36.0  1965    39.8  1909   145.8  1974
   16.1  1904   13.1  1960   13.5  1975   12.7  1953   12.3  1899   11.8  1926   12.4  2008   13.5  2010   12.9  1944   15.2  2006   15.2  1913   15.6  1994    43.3  2000    35.3  1902    35.9  1895    39.7  1940   145.0  1939
   16.1  1915   12.9  1912   13.4  1917   12.6  1951   12.2  1965   11.6  1964   12.3  2021   13.5  1923   12.8  1908   15.1  1980   15.1  1959   15.5  2013    43.3  1961    35.1  1923    35.7  1930    39.7  2006   144.2  2020
   16.1  1913   12.9  1914   13.3  1901   12.6  1901   12.1  1908   11.5  1971   12.2  1910   13.4  1948   12.8  1923   15.1  1930   15.0  1986   15.4  1958    43.2  1999    34.8  1992    35.7  1988    39.7  2013   143.8  1994
   15.9  1920   12.9  1972   13.3  1922   12.5  1992   12.1  1930   11.4  1953   12.2  1966   13.3  1982   12.8  1960   14.9  1924   15.0  1919   15.4  1923    42.8  1897    34.8  1899    35.4  1920    39.2  1939   143.7  1979
   15.9  1912   12.8  2001   13.3  2019   12.5  2005   12.0  1976   11.4  1954   12.2  2002   13.2  1971   12.6  1975   14.8  1895   14.9  1910   15.4  1985    42.4  1925    34.8  1975    35.3  1915    39.0  2020   143.4  2019
   15.8  2007   12.8  1996   13.3  1995   12.4  1919   11.9  2013   11.3  1896   12.1  1970   13.1  1915   12.3  1998   14.7  2002   14.9  1938   15.3  1906    42.2  2018    34.7  1922    35.3  1998    38.9  1961   143.4  1931
   15.6  1962   12.7  1926   13.2  1985   12.4  2018   11.8  1920   11.3  1910   11.8  1944   13.1  2001   12.0  1938   14.6  1974   14.9  1931   15.2  2018    42.1  1979    34.6  1966    35.1  1916    38.8  1900   143.2  1926
   15.5  1927   12.7  2021   13.0  1970   12.4  1964   11.8  2022   11.1  1905   11.7  1985   13.0  2020   11.9  2022   14.4  1934   14.7  2010   15.2  1920    42.0  1974    34.6  1891    34.8  1928    38.6  1906   143.1  1919
   15.5  1960   12.6  1894   12.8  1972   12.4  1999   11.7  1997   11.0  1947   11.5  1942   13.0  1999   11.9  1891   14.2  1949   14.7  1977   15.2  1956    41.8  1978    34.6  1999    34.6  2011    38.6  1911   142.8  1925
   15.5  2015   12.5  1955   12.6  1987   12.3  1908   11.7  1916   11.0  1977   11.4  1978   12.8  1908   11.9  1943   14.1  1996   14.2  1936   15.1  1935    41.1  1941    34.5  1934    34.4  2023    38.6  1968   142.5  1967
   15.4  1978   12.4  1940   12.5  1957   12.1  1917   11.6  2024   11.0  1943   11.4  2004   12.8  1961   11.8  1897   14.0  1929   14.1  1941   15.0  1907    41.1  1928    34.4  1985    34.1  1941    38.5  1913   142.5  2004
   15.2  1971   12.3  1892   12.4  1999   11.9  1894   11.5  1938   10.9  1924   11.4  2020   12.7  1934   11.8  1961   14.0  1940   14.1  2006   15.0  1960    40.7  1892    34.3  1904    34.0  1938    38.3  1936   142.5  2024
   15.2  1965   12.3  1946   12.4  1921   11.9  2023   11.5  1954   10.7  1933   11.4  1947   12.6  1986   11.7  1922   13.9  1893   14.1  2012   14.9  2017    40.7  1956    34.2  1927    34.0  1897    38.3  2002   142.3  1970
   14.9  1951   12.2  1989   12.1  1959   11.7  1985   11.4  1933   10.6  1898   11.2  1923   12.6  1896   11.7  1942   13.9  1902   14.0  1906   14.8  1922    40.6  1980    34.2  1917    33.9  1892    37.9  1980   142.1  1937
   14.9  1910   12.2  1961   12.1  2017   11.7  1972   11.4  1937   10.5  1939   11.1  1980   12.6  1907   11.6  2008   13.9  1898   13.7  1979   14.8  1930    39.9  2001    34.0  1894    33.9  2017    37.7  1987   141.8  1977
   14.8  1977   12.1  1936   12.0  1952   11.7  1939   11.3  1966   10.5  1897   11.0  1974   12.5  2023   11.6  2010   13.7  2005   13.7  2008   14.8  1924    39.8  1913    33.9  1910    33.9  1943    37.7  1905   140.9  1986
   14.7  1952   12.1  1969   12.0  1911   11.5  1923   11.2  1963   10.3  1965   11.0  2024   12.5  1962   11.6  1892   13.6  1952   13.7  1891   14.8  1916    39.7  1958    33.9  2014    33.8  1926    37.6  1970   140.5  1897
   14.4  1931   12.1  2017   12.0  1954   11.5  1977   11.2  1988   10.3  1978   11.0  1992   12.4  1952   11.1  1945   13.6  1913   13.6  1916   14.7  1908    39.6  1899    33.7  2016    33.8  1982    37.6  1994   139.9  2015
   14.2  1969   12.0  1897   11.9  1906   11.4  1927   11.1  1913   10.3  1917   10.8  2003   12.4  1916   10.9  1951   13.5  1984   13.6  1943   14.7  1937    39.5  2004    33.5  1906    33.8  1905    37.6  2010   139.4  2001
   13.9  1903   11.9  1933   11.7  1936   11.4  1940   10.9  1921   10.1  1955   10.7  1941   12.4  2015   10.9  2023   13.4  1918   13.6  2003   14.6  1897    39.5  1967    33.4  1964    33.7  2019    37.5  2008   139.2  1981
   13.8  1983   11.7  1927   11.7  1933   11.4  1947   10.8  1947   10.1  2002   10.7  1998   12.3  2011   10.8  1956   13.3  1942   13.4  1927   14.5  1984    39.4  2002    33.2  1970    33.5  1978    37.1  2004   138.8  1915
   13.8  2002   11.7  1918   11.7  1939   11.3  1909   10.7  1993   10.0  1911   10.7  1908   12.3  1979   10.8  1934   13.2  1911   13.3  1966   14.5  1997    39.2  1938    33.1  1968    33.4  1945    37.1  1951   138.6  2009
   13.7  1998   11.7  1945   11.6  1940   11.3  1924   10.7  1892    9.9  1974   10.6  1946   12.3  1974   10.8  1982   13.1  1933   13.1  1972   14.3  1983    39.1  1893    33.0  1952    33.2  1974    37.0  2009   138.5  1963
