Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England
Areal series, starting in 1836
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  159.9  2014  160.9  2020  147.2  1947  136.5  2012  128.4  1967  148.2  2012  142.3  1888  169.6  1912  165.9  1918  191.7  1903  172.8  1929  173.3  1914   401.0  2014   288.8  1979   374.6  1912   443.8  2000  1155.5  1872
  153.7  1948  131.9  1923  138.5  1981  131.9  2000  119.2  1932  145.8  2007  135.3  1880  156.0  1917  148.9  1866  166.8  2000  172.6  1852  172.2  1876   381.8  1915   281.1  1981   363.8  1879   395.9  1960  1125.9  2012
  144.9  1995  131.6  2024  122.8  2023  117.7  1998  115.5  1878  141.1  1860  129.0  1875  147.2  2004  142.1  1976  165.2  1960  170.8  2009  169.3  1868   369.4  1877   269.6  1947   351.2  2012   381.2  1852  1109.2  2000
  140.7  1939  130.2  1990  117.0  1979  107.7  1920  115.5  1924  125.3  1879  128.5  2009  143.4  1956  139.6  1968  160.7  1865  167.3  1940  163.4  1929   368.2  1990   269.1  1983   324.3  2007   375.8  1935  1070.7  2023
  140.5  1988  124.9  1950  106.7  1836  101.9  1983  113.7  2021  122.9  1997  126.3  1936  137.9  1891  139.5  1896  154.1  1967  166.1  1951  161.9  1915   367.6  2024   265.9  2024   322.2  1860   361.1  2019  1062.5  1960
  139.9  1928  123.2  2014  106.6  1919  100.6  1882  111.5  1886  119.1  1848  124.7  2007  137.2  1878  137.3  2024  153.1  1987  160.1  2000  158.8  1934   365.6  1995   249.0  2000   304.2  1931   360.9  1976  1054.2  1852
  134.1  1943  122.9  1977  106.2  1912   99.1  1846  109.5  1979  117.0  1982  123.3  1839  132.4  1881  134.9  1927  151.4  2023  155.8  1970  156.6  1911   348.5  1869   248.9  1932   303.9  1956   356.1  1841  1042.9  1903
  132.8  1877  120.8  2002  104.0  1914   96.2  1966  107.2  1983  116.8  1980  123.2  1988  128.8  1879  131.2  1974  147.2  1891  150.0  1954  155.7  1978   342.1  2026   248.5  1862   303.1  1848   349.8  1875  1035.6  2024
  131.8  1984  120.1  1937  103.3  1862   91.4  2001  107.2  2007  116.1  1998  122.8  1920  127.0  1946  128.8  1981  145.5  1998  144.9  1926  149.4  1959   340.8  2021   247.3  1920   300.8  1927   348.3  2023  1015.6  1882
  129.1  2008  118.3  1900  103.0  2018   90.4  1935  106.9  1869  115.3  1912  122.0  2023  123.8  1860  128.6  1965  144.2  2020  144.6  1946  148.9  2012   340.8  2020   244.9  1913   298.3  1839   344.5  1872  1009.0  1848
  128.4  2021  117.9  1916  101.5  1951   90.0  1993  105.8  1843  113.1  1852  118.8  1915  119.6  1951  128.4  1871  142.4  1882  144.1  1963  148.2  2023   334.1  1960   244.6  1951   293.6  1852   341.2  1954  1008.0  1877
  127.9  1872  116.1  1848   99.8  1897   88.7  1961  104.6  1969  107.3  2019  114.4  1939  119.5  1927  124.1  1883  141.7  1976  143.2  2022  144.8  1993   330.5  2016   234.7  1998   283.0  1958   341.0  1903  1006.6  2002
  125.4  1852  114.8  1966   98.1  1903   87.9  1871  100.8  2006  104.8  1958  113.6  2012  118.9  1877  123.0  1876  141.1  1907  142.0  2002  144.0  1979   329.7  1916   234.5  1886   282.3  1872   340.0  1944  1001.9  1912
  124.3  2016  113.1  1915   97.4  1916   87.9  1913   95.7  2014  102.4  1987  113.5  1922  116.9  1852  122.8  1869  140.0  1949  138.9  1944  143.8  1965   328.0  1994   232.6  1986   279.2  1954   334.4  1974   989.1  2020
  124.2  2026  112.5  2026   95.7  1913   85.5  2024   94.2  1955   99.9  1882  109.7  1879  115.7  1954  122.3  1935  139.6  1932  137.5  2025  137.2  1999   315.8  1937   232.4  1937   279.0  1917   331.1  1880   986.6  1951
  118.5  1999  104.7  1925   95.4  1851   85.4  1931   92.9  1925   99.9  1863  109.4  1872  115.1  1992  118.7  1841  138.4  1870  136.5  1939  137.0  2020   310.1  1966   230.2  2023   277.5  1946   328.4  2022   985.2  1954
  117.9  1906  103.2  1951   95.0  1909   82.2  1877   90.4  1942   99.0  1839  109.3  1855  114.6  2020  116.8  2000  138.4  1880  136.3  1888  133.5  2015   309.7  1912   229.4  1903   276.9  1903   327.0  1984   982.9  2014
  115.9  1937  102.8  1958   94.8  2024   80.8  1989   85.8  1847   96.6  1872  108.6  1895  113.6  1865  114.9  1946  138.4  1875  135.9  1950  127.1  1919   300.5  1930   227.9  1969   275.8  1888   325.9  1885   982.2  1927
  114.5  1990  102.3  1997   94.5  1848   80.2  1986   85.5  2024   95.3  1838  106.7  1960  112.2  1986  114.7  1839  136.6  2013  134.9  1935  123.9  1986   299.3  1977   226.2  2018   271.8  2020   325.8  1882   981.4  2008
  112.9  1960  100.7  1995   92.6  1963   79.8  1843   85.0  2002   95.3  2016  105.7  1861  110.9  1941  113.7  1950  135.0  1841  133.3  1984  123.5  1989   299.0  2007   224.3  1967   271.0  1882   320.6  2025   979.4  2019
  112.8  2004   99.7  2022   92.3  1980   79.2  1867   84.7  1860   93.2  1971  105.2  1918  110.4  1931  113.5  2019  133.8  1906  133.2  1842  123.1  1909   298.9  1910   224.3  2006   270.0  2004   315.1  2012   966.7  1998
  112.5  1930   97.0  1893   91.9  1982   79.0  1970   84.4  1981   91.9  1927  105.0  1871  109.7  1848  110.7  1885  133.7  1846  130.8  1836  123.0  1910   296.4  1980   221.3  1889   267.8  1875   311.5  1967   965.0  1841
  111.1  1936   96.5  1904   91.7  2008   78.3  2018   83.3  1907   91.2  2020  104.9  1931  109.3  1903  110.6  1993  133.4  1855  129.1  1960  122.7  1886   291.0  1939   220.0  1877   267.1  1891   310.6  1940   962.5  1860
  110.6  1994   95.6  1910   91.7  1988   78.2  2004   83.2  1862   90.7  1991  104.7  1940  108.5  1950  109.7  1880  132.9  1843  127.0  1875  122.0  1901   290.9  1923   218.8  2001   266.8  1881   310.3  1836   956.3  1924
  110.0  1986   95.6  1883   90.0  1876   77.5  1850   83.1  2000   88.9  1931  103.7  1930  107.5  1948  109.5  1957  131.2  1872  124.8  1992  121.9  2002   290.8  1883   218.1  2008   265.6  2008   309.3  1883   954.7  1946
  109.9  1974   95.3  1974   89.1  1896   75.9  1932   82.1  1856   88.4  1928  102.8  1853  107.4  2014  108.9  1995  130.9  2004  124.8  1877  121.2  1872   288.9  1935   217.2  1867   265.5  1980   308.5  1998   949.4  1966
  109.4  1975   95.1  1881   88.5  1964   75.2  1859   81.1  1986   87.7  1936  101.6  1882  107.3  1845  107.6  1999  129.9  1885  123.8  1872  120.7  2000   288.8  1979   216.9  2012   261.5  2019   306.7  2024   937.5  1866
  108.3  1919   93.8  2007   88.3  1905   75.0  1922   80.5  1898   87.4  1985  100.9  1924  106.0  2008  107.1  1984  129.0  2021  123.3  1969  120.0  1994   286.7  1900   215.4  1843   259.6  1985   306.4  1839   936.5  1958
  107.9  1913   93.5  1866   88.2  2019   74.8  1876   80.0  1903   87.3  1935  100.5  2008  104.4  1900  102.8  1958  128.6  1892  120.8  1861  117.8  2013   285.5  1984   214.8  1924   257.0  1877   305.6  1929   935.7  1999
  107.3  1956   90.7  2001   87.5  2001   74.1  1848   79.9  1993   85.7  1948   97.4  1957  104.2  1962  102.0  2025  128.0  2019  119.6  2019  116.7  1896   281.7  1925   213.6  1878   256.5  1997   302.0  1981   933.8  1876
  105.2  1886   89.8  1879   86.4  1888   73.6  1907   79.6  2015   84.0  1907   97.0  1968  103.9  1985  101.6  1930  127.9  1928  119.4  2012  116.2  1891   281.3  2001   212.9  1963   255.0  1853   299.3  2002   933.5  1930
  104.9  1961   89.6  1941   85.6  1937   73.6  1899   79.2  1931   83.5  1909   96.6  1867  103.0  1971  101.5  1960  127.1  1909  117.9  1996  114.5  1985   280.9  1928   206.7  1908   253.3  1960   296.0  1930   933.1  2007
  104.6  1875   89.6  1935   83.9  1998   73.5  1937   79.1  1889   83.4  1999   96.4  1877  101.7  1897  101.4  1852  127.0  1848  117.6  2015  114.4  1852   278.4  1919   205.7  1964   252.1  1966   294.5  1946   926.6  1916
  104.0  1998   87.2  1933   83.7  1861   72.7  1963   77.4  1865   82.1  1853   95.5  1965  100.9  1966   99.0  1994  122.9  2002  117.3  1840  113.8  1900   271.1  1961   204.1  1994   249.3  1845   292.8  1992   919.9  1974
  103.7  1851   86.3  1957   82.8  1941   72.6  1849   76.4  1951   82.1  2017   94.8  1903  100.6  1910   98.5  1975  121.6  1916  116.8  1974  110.4  1869   270.0  2013   203.7  1872   247.7  1880   292.7  1982   918.8  1965
  103.5  1978   85.2  2000   82.5  1908   72.3  1959   76.1  1958   81.8  1954   93.8  1956  100.4  1930   98.1  1924  121.2  1923  115.3  1931  109.7  1847   269.6  1848   202.5  1916   246.9  1950   292.6  1927   918.1  1839
  102.7  1899   84.4  1876   81.8  1987   72.2  1856   75.6  1891   80.6  1883   93.5  1950   99.8  1999   97.6  1944  120.7  1980  114.1  1930  109.5  2006   268.9  2000   201.4  1972   246.6  1924   289.4  1968   913.9  1875
  102.3  1900   84.0  1869   80.9  2006   72.0  1947   75.2  1945   80.2  1977   93.2  1850   99.4  1960   97.6  1859  119.5  2001  113.5  1839  107.0  1924   266.9  1948   200.4  1882   246.0  1936   287.8  1918   913.8  1994
  101.2  1866   83.8  1885   78.9  1989   72.0  1889   74.2  1943   80.2  1875   92.2  1932   97.5  1963   96.6  1863  118.7  1935  112.9  2023  106.2  1882   266.6  1936   199.6  1869   245.3  2017   287.4  1950   913.8  1886
  100.9  1860   82.6  1837   78.6  1994   69.6  1992   73.9  1973   79.9  1968   92.0  1894   97.3  2010   96.2  2008  117.4  1924  112.8  1982  105.7  2019   266.5  1974   197.9  2014   245.1  1909   287.1  1891   912.5  1939
  100.2  1970   82.2  1967   78.3  2016   69.2  1908   73.3  1937   78.6  1966   91.5  1886   96.7  1957   95.3  1874  116.6  1886  112.5  1882  105.5  1922   264.1  1943   197.0  1907   244.1  1922   285.6  1949   911.9  1981
  100.1  1863   81.9  1980   77.9  1842   68.8  1999   73.1  1954   78.0  1871   90.8  2017   96.6  1905   92.7  1962  116.5  1938  111.8  1895  105.4  2025   264.0  1920   196.5  1846   244.0  1841   283.7  1924   911.1  1928
   99.7  1962   80.3  1922   77.4  1927   68.6  1934   73.1  1849   77.6  1946   90.6  1851   96.4  1868   92.1  1849  115.7  1917  108.2  1910  103.8  2011   263.8  1978   194.5  1897   243.1  1987   283.6  1987   908.9  1967
   98.8  1926   79.4  1894   76.6  1992   68.2  1872   72.5  1854   77.0  1963   90.3  1893   95.0  1892   91.2  2017  115.6  1862  107.0  1838  103.3  1918   261.8  1872   194.3  1966   243.0  1939   282.0  1939   907.8  1950
   98.2  1993   78.9  1880   75.8  1978   68.1  2023   72.1  1906   77.0  1892   89.6  1912   94.7  1952   90.2  1848  115.5  1966  106.9  1959  102.2  1983   261.3  1873   193.8  1993   242.9  2009   280.3  1866   905.8  1880
   97.6  1971   77.9  2011   75.1  1975   68.0  2005   71.3  2013   76.8  1900   89.6  1909   94.2  1841   89.9  1856  113.5  1939  106.8  1938  101.7  1960   257.2  1958   193.4  1860   242.8  1890   279.7  1938   905.8  1979
   97.2  1922   77.8  1897   74.7  1872   67.9  1858   70.9  1885   75.5  1866   89.4  1927   94.0  1866   89.6  1903  112.1  1889  105.8  1986  101.6  1938   255.9  1926   192.1  2016   242.7  1910   279.2  1876   905.4  1986
   97.1  1912   77.7  1989   74.2  1864   67.2  1924   70.3  1840   75.3  1880   88.8  1953   93.6  1856   89.4  1872  111.2  1982  104.6  1916  101.5  1880   254.8  1970   192.1  1909   241.7  1957   278.4  1932   903.9  1993
   96.7  1873   76.0  1872   73.7  1844   67.0  1953   69.8  1879   75.3  1905   88.2  1884   93.5  1977   88.9  1967  109.8  1981  104.4  2014  100.6  1907   253.1  2008   191.7  1848   241.5  1968   277.5  1896   903.3  1968
   96.7  1867   75.5  1970   72.9  1860   66.8  1925   69.6  1968   74.5  1955   87.9  1958   93.5  1857   88.7  1925  109.8  1929  102.5  1911  100.2  1912   252.2  2004   191.0  1999   241.4  1866   275.7  1923   902.5  1935
   96.7  1920   75.4  2021   72.6  1920   66.7  1951   69.0  1877   74.4  1926   86.4  1883   93.4  1922   88.5  2012  107.4  1954  102.5  1997   99.7  1897   251.1  1988   190.8  1992   238.5  1894   275.4  2006   899.6  1891
   95.8  1938   75.4  1914   71.8  1881   66.3  1836   68.1  1902   74.1  1964   85.5  1914   92.3  2015   88.4  1983  107.2  1852  102.5  1878   98.9  2018   248.8  1897   189.8  1919   238.1  1878   275.1  1874   899.4  1910
