Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   81.3  2022  120.1  2019  185.8  2025  244.8  2025  299.4  2020  284.9  1957  294.8  1911  269.4  1995  192.1  1911  137.7  1959   93.6  2006   75.3  2001   225.6  2000   692.4  2020   758.8  1976   381.9  1959  1826.4  2025
   77.5  1959  118.1  2008  171.7  1929  236.7  2020  269.7  1989  277.4  1940  288.6  2006  268.0  1947  191.7  1959  133.7  1921   92.7  2005   72.5  2014   224.6  2015   691.6  2025   731.5  1989   380.1  1971  1748.0  2003
   76.3  2023  109.1  1988  168.9  2022  228.4  2021  261.1  2025  269.1  1975  270.6  2013  250.8  1976  185.5  1914  133.6  2003   86.6  1988   66.7  1962   220.9  2019   594.4  1948   724.9  1911   374.1  2003  1741.5  2022
   74.9  2001  108.4  1949  167.0  2012  224.0  1914  254.1  2018  259.2  1925  269.3  2018  238.2  2022  179.8  1929  130.4  2018   85.3  1996   66.5  2008   220.4  2023   591.6  1990   696.5  1995   357.5  1921  1726.2  1995
   73.8  1952  101.6  2018  165.3  2003  220.6  2015  249.7  1992  256.6  1960  261.8  1989  235.3  1989  179.5  1964  130.1  2022   84.8  1973   62.7  2009   216.3  2008   557.6  2011   696.5  1975   353.3  1999  1718.9  1989
   71.0  2003   98.8  1970  163.5  1933  219.3  1912  245.4  1990  256.2  2023  261.3  1990  222.9  1975  176.0  1928  130.1  1997   84.6  1971   60.4  1999   215.3  1949   549.7  1929   680.8  2018   352.6  2018  1696.2  1959
   69.5  2000   96.5  2003  160.8  1995  218.8  1984  244.2  1948  250.4  1969  260.9  1955  221.2  1933  173.7  1991  129.7  1919   84.3  1989   59.2  2005   212.6  2018   549.3  2003   679.9  1959   351.6  1986  1692.6  1949
   69.3  2015   95.7  2000  157.3  1948  218.2  2011  240.3  1922  249.3  1976  258.7  1976  219.3  1911  171.9  2003  129.4  1971   84.2  1977   58.9  1946   209.1  2001   545.7  1995   673.2  2022   349.0  1964  1691.9  2018
   69.2  2012   93.4  2016  156.2  2020  215.8  2007  237.6  1956  245.5  1949  255.9  1934  217.1  1990  168.8  2015  125.5  2008   83.4  2017   58.5  2022   205.8  1952   542.3  2009   671.2  1949   348.6  1929  1676.3  2020
   69.0  2025   91.8  1989  155.9  2009  209.7  1942  236.0  1997  243.4  1970  252.8  1935  215.4  1983  168.1  1933  125.1  1999   82.7  1925   57.6  2019   203.1  1963   539.0  1921   667.4  2006   345.3  2006  1672.5  1990
   68.9  2024   91.7  1998  155.2  2007  207.6  1990  235.3  1943  242.1  2018  245.8  1928  212.2  1991  167.2  1915  122.2  1995   81.8  1923   57.3  1967   200.8  2003   538.1  1982   665.6  1933   341.5  1911  1662.3  1911
   67.8  1984   91.1  1934  154.9  1967  200.1  2010  229.7  2001  241.6  1996  245.0  2014  211.5  2003  166.8  1986  121.3  1917   81.1  2016   56.8  1929   196.6  2014   535.0  2007   656.9  1996   339.6  1928  1648.6  1921
