Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.7  1916   10.9  2019   13.3  1938   16.9  2011   18.4  2025   22.2  2023   25.2  2006   24.3  1995   21.1  2023   17.2  1921   12.2  2011   12.0  2015    9.46  2016   15.54  2025   22.77  1976   16.09  2006   15.14  2022
    9.5  2007   10.5  2024   12.8  2012   16.3  2007   18.3  2018   22.0  1976   24.8  2018   24.0  1947   21.1  1895   16.5  1959   12.1  2015    9.9  1974    9.06  2007   15.29  1893   22.51  2022   15.82  2011   15.09  2025
    9.3  1921   10.4  1998   12.6  1948   15.9  1893   18.2  1992   21.9  2025   24.2  1983   24.0  2022   20.7  1929   16.4  2022   12.1  1994    9.7  1934    9.05  1989   14.77  2011   22.44  2025   15.66  2023   14.75  2023
    9.2  2008   10.1  1990   12.4  1893   15.8  2025   18.1  2020   21.7  1940   23.7  1911   23.3  1975   20.7  2006   16.3  1995   11.7  1938    9.5  1898    8.99  2024   14.69  2020   22.39  2018   15.56  2022   14.65  2014
    9.0  1990    9.9  2022   12.4  2025   15.6  2020   18.0  1989   21.1  2018   23.6  1921   23.2  1911   20.4  1949   16.2  2001   11.7  2022    9.5  1988    8.87  2020   14.39  2017   22.04  2006   15.50  1959   14.54  2020
    9.0  1975    9.9  1945   12.2  1961   14.9  1943   17.9  1919   20.9  1970   23.6  2013   23.2  1997   20.2  1959   16.2  1969   11.5  2006    9.4  1900    8.83  2019   14.38  2007   22.02  1995   15.38  2014   14.50  2011
    8.9  1983    9.8  2002   12.1  1957   14.7  1914   17.8  2024   20.8  2006   23.5  1976   23.0  1899   20.2  1898   16.1  2006   11.5  2020    9.3  2023    8.81  2008   14.29  1945   22.00  1911   15.24  2021   14.47  2003
    8.8  2020    9.6  2023   12.1  2017   14.5  1946   17.7  1922   20.8  1950   23.5  2022   23.0  2003   20.1  2021   16.0  2011   11.2  1899    9.3  2013    8.80  2014   14.27  2022   21.81  1899   14.96  2005   14.46  2018
    8.7  1932    9.5  1914   12.0  2003   14.5  1945   17.7  2008   20.7  1896   23.3  1995   22.9  1990   19.8  2016   15.9  2005   11.1  1978    9.2  2018    8.80  2022   14.13  2003   21.74  2003   14.93  1949   14.42  1921
    8.7  1989    9.5  2008   11.9  2026   14.3  2003   17.7  1990   20.6  1887   23.2  1934   22.8  1976   19.7  1999   15.6  2023   11.1  1913    9.2  2024    8.78  1990   14.12  1943   21.73  1933   14.79  1898   14.41  2006
    8.6  1993    9.4  1903   11.9  1945   14.2  2009   17.6  1893   20.5  2003   23.0  1989   22.7  1933   19.6  1933   15.6  2014   11.1  2025    9.2  1912    8.77  1975   14.06  1948   21.52  1947   14.73  2009   14.39  2024
    8.6  2005    9.3  1997   11.8  2022   14.1  1949   17.6  1947   20.5  1960   22.9  2025   22.5  2025   19.6  2003   15.5  1908   11.1  2014    9.1  1918    8.71  1998   14.04  1990   21.50  1975   14.72  1999   14.30  1990
    8.5  1944    9.3  2020   11.8  2014   14.1  2014   17.5  1918   20.5  1899   22.8  1994   22.5  1955   19.4  2014   15.3  2017   11.1  2009    9.1  2025    8.51  1995   14.04  2014   21.49  1983   14.72  1947   14.29  1949
    8.4  1890    9.3  1961   11.8  1997   14.0  1944   17.5  2017   20.4  1893   22.7  2014   22.2  1884   19.4  1947   15.3  1945   11.1  2003    9.1  1994    8.43  1899   14.02  2024   21.36  1887   14.69  1995   14.25  1989
    8.4  1974    9.1  2000   11.8  1990   14.0  2015   17.5  1911   20.4  1957   22.6  1887   22.0  1983   19.3  2005   15.3  2013   11.0  1997    9.1  2016    8.30  1949   13.88  2009   21.29  1989   14.63  1921   14.24  2007
    8.3  2012    9.1  1995   11.7  1929   14.0  1987   17.5  1917   20.4  1992   22.6  1900   22.0  1893   19.3  1911   15.2  1949   11.0  2002    9.0  1921    8.29  2026   13.70  1997   21.19  1949   14.60  1978   14.21  1959
    8.3  1898    9.0  1949   11.6  1933   13.9  1894   17.4  1952   20.3  2010   22.5  1901   22.0  1984   19.2  1991   15.2  1971   11.0  1939    9.0  1953    8.19  1943   13.65  2019   21.18  1959   14.54  2003   14.20  2019
