Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.9  1916    7.5  2024    8.6  1938   11.5  2011   13.6  2024   16.9  2025   19.3  2006   18.4  1997   16.6  2023   13.1  2001    9.5  1994    9.4  2015    6.47  2016   10.23  2025   17.42  2025   12.37  2006   10.94  2025
    6.6  1921    7.0  1990    8.6  1957   11.0  2007   12.9  2025   16.7  2023   18.8  2018   18.4  1995   16.5  2006   12.8  2005    9.3  2011    7.5  1934    6.24  2024   10.21  2024   17.10  2022   12.17  2011   10.93  2022
    6.6  2007    6.9  1998    8.4  2017   10.3  2025   12.9  2008   16.3  1976   18.6  1983   18.3  2022   15.9  1949   12.7  2006    9.2  2015    7.3  1974    6.19  2007   10.01  2017   17.10  2018   11.99  2023   10.89  2023
    6.3  2008    6.7  2026    8.0  2012   10.2  2020   12.9  2018   15.9  2017   18.1  2022   18.0  1947   15.8  2016   12.7  2022    8.9  2022    6.9  1988    6.09  1989   10.01  2011   16.95  1976   11.95  2022   10.75  2014
    6.2  1990    6.6  1945    8.0  1990   10.2  1943   12.9  1992   15.8  1940   18.0  1995   18.0  1975   15.8  2021   12.6  1995    8.6  1938    6.8  2023    5.97  2020    9.86  2007   16.94  2006   11.79  2014   10.73  2024
    6.2  1975    6.6  2002    7.9  2026    9.9  2014   12.9  2017   15.8  2018   18.0  2013   17.8  1911   15.4  1999   12.6  1921    8.4  2020    6.8  2024    5.96  1975    9.80  2014   16.86  2003   11.61  2021   10.57  2006
    6.2  2020    6.5  2022    7.9  1997    9.6  1949   12.8  2022   15.6  1950   18.0  2025   17.8  2003   15.3  1929   12.4  1969    8.3  2009    6.6  1953    5.95  1990    9.72  2022   16.72  1995   11.26  2005   10.56  2020
    6.1  1983    6.5  2019    7.8  2024    9.6  1893   12.6  1998   15.6  2003   17.7  1976   17.7  1990   15.2  1895   12.3  2011    8.3  2014    6.6  1898    5.78  2014    9.65  2020   16.49  1911   11.21  2009   10.54  2011
    5.8  1898    6.4  1961    7.7  1948    9.6  1987   12.6  1999   15.5  2006   17.7  1921   17.4  2025   15.0  2011   12.2  2014    8.2  2002    6.6  1900    5.73  1998    9.58  1893   16.47  1947   11.18  1949   10.43  2018
    5.8  1989    6.3  1903    7.7  2019    9.6  2009   12.6  1989   15.5  1896   17.6  1989   17.4  2020   14.9  2005   12.2  2013    8.2  2025    6.5  2018    5.72  2022    9.54  1999   16.45  1983   11.10  2001   10.39  2017
    5.7  1884    6.3  1926    7.7  1961    9.5  2018   12.5  1952   15.5  1970   17.6  1911   17.3  1955   14.8  2014   12.1  2017    8.2  1997    6.5  2025    5.69  2026    9.53  1945   16.41  1933   11.09  1995   10.34  2007
    5.7  2005    6.2  1914    7.5  1998    9.5  1945   12.5  1964   15.3  2021   17.5  2014   17.3  1899   14.8  1898   12.1  1968    8.1  1939    6.4  1918    5.66  1935    9.41  2003   16.33  2023   11.08  1959   10.29  1990
