Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.1  1916    4.5  2024    5.0  1957    6.2  2011    9.3  2024   11.9  2025   13.4  2006   13.7  1997   12.3  2006   10.0  2001    7.0  1994    6.7  2015    3.49  2016    6.40  2024   12.44  2025    8.65  2006    7.08  2024
    3.9  1921    4.4  2026    4.7  2017    5.9  2018    8.3  2022   11.5  2017   13.1  2025   13.1  2020   12.1  2023    9.7  2005    6.3  2011    5.3  1934    3.48  2024    5.66  2017   12.00  2003    8.52  2011    7.04  2023
    3.8  2007    4.0  1990    4.5  1981    5.8  2014    8.3  1999   11.2  2023   13.1  1983   13.0  2004   11.8  2016    9.4  2006    6.2  2015    4.8  1974    3.32  2007    5.59  2014   11.86  2006    8.35  2022    6.86  2014
    3.5  2020    3.6  1926    4.4  2024    5.7  2007    8.2  2017   10.7  2016   12.8  2021   12.8  2022   11.5  1949    9.3  1968    6.2  2022    4.4  1988    3.18  1975    5.58  1999   11.84  2018    8.32  2023    6.79  2025
    3.4  1975    3.6  1961    4.1  1990    5.6  1961    8.2  2008   10.7  2021   12.8  2018   12.6  1975   11.4  2021    9.1  2013    5.6  1938    4.3  2024    3.17  1935    5.35  2007   11.81  2021    8.20  2014    6.74  2006
    3.4  1990    3.4  1998    4.1  1998    5.5  1943    7.9  2014   10.7  2003   12.7  1995   12.6  2003   11.0  1999    9.0  2017    5.5  2009    4.3  2023    3.16  1989    5.34  1998   11.73  2022    7.97  2021    6.73  2022
    3.3  2008    3.4  2011    4.1  2019    5.4  2024    7.9  1998   10.7  1976   12.7  2022   12.6  1995   10.7  2011    8.9  2022    5.4  2014    4.3  1953    3.14  1990    5.26  2011   11.72  2016    7.70  2009    6.62  2017
    3.3  1983    3.4  2002    4.1  1991    5.4  1993    7.8  1964   10.6  1982   12.6  2019   12.6  2008   10.7  1958    8.9  2014    5.4  2002    3.8  2025    3.10  2026    5.26  1992   11.71  2023    7.69  2001    6.60  2020
    3.3  1898    3.4  1945    4.0  1997    5.2  1987    7.7  1952   10.6  2007   12.6  2003   12.5  1990   10.7  1998    8.9  1995    5.3  1997    3.8  2018    3.09  2020    5.19  2022   11.67  2019    7.65  1968    6.59  2011
    3.3  1884    3.3  2017    4.0  1938    5.1  1949    7.7  1889   10.5  2018   12.6  2010   12.5  1911   10.6  2000    8.6  1969    5.3  2020    3.8  1900    2.78  1998    5.08  2023   11.65  1997    7.63  2025    6.54  2002
    2.8  1989    3.2  1903    3.9  1994    5.1  2004    7.7  1992   10.5  1950   12.4  2013   12.4  2019   10.5  1980    8.6  2023    5.2  2025    3.8  1924    2.77  2014    4.99  2002   11.62  2020    7.56  2005    6.48  2004
    2.8  2005    3.1  2022    3.9  2026    5.0  1999    7.5  2006   10.5  2004   12.4  1923   12.4  2002   10.5  2005    8.5  2011    5.2  1953    3.7  1898    2.65  2022    4.96  1952   11.60  2017    7.50  1995    6.44  1999
    2.7  1932    3.1  1995    3.7  1992    4.9  2009    7.5  2018   10.4  2020   12.4  1991   12.3  2025   10.4  1936    8.5  2021    5.2  1939    3.7  1971    2.50  1925    4.91  2025   11.51  2004    7.45  1949    6.44  2007
    2.6  1976    3.1  2014    3.5  2023    4.9  1937    7.5  2002   10.4  1896   12.3  2014   12.3  2024   10.4  1961    8.3  1954    5.1  1984    3.7  1918    2.47  1943    4.91  1981   11.44  1947    7.40  1999    6.42  2018
    2.6  1974    3.0  2020    3.5  1912    4.8  1959    7.5  2023   10.3  2005   12.3  1989   12.2  1932   10.4  2004    8.3  1990    5.1  1951    3.6  2021    2.39  1923    4.90  2018   11.43  1995    7.39  1978    6.33  1998
    2.5  1969    3.0  1918    3.5  1999    4.8  1944    7.5  2007   10.3  2006   12.2  1994   12.2  1955   10.3  2014    8.2  2025    5.0  2018    3.6  1985    2.36  1995    4.89  1959   11.42  1983    7.38  2004    6.31  2005
    2.5  1944    3.0  1997    3.4  2005    4.8  2020    7.5  2025   10.3  2014   12.2  2016   12.2  2016   10.2  1956    8.0  1989    4.9  1946    3.6  1942    2.32  2019    4.88  2009   11.25  2013    7.37  2024    6.30  1990
    2.5  2014    2.9  1914    3.4  2000    4.7  2025    7.5  1947   10.2  2000   12.1  1933   12.1  2012   10.2  1945    8.0  1921    4.9  1982    3.5  1954    2.29  2025    4.87  2004   11.25  2008    7.35  1984    6.26  2016
    2.5  1938    2.8  1946    3.3  1927    4.6  1945    7.4  2011   10.2  1966   12.1  1957   12.1  2009   10.1  1989    7.9  1977    4.9  1888    3.5  2006    2.24  2017    4.84  1961   11.19  2009    7.31  1945    6.25  2019
    2.3  1999    2.8  1966    3.3  2012    4.5  1920    7.4  1960   10.2  1947   12.1  1999   12.1  2018   10.0  1926    7.8  2024    4.8  1899    3.4  2002    2.24  1957    4.80  1993   11.15  1982    7.27  1994    6.23  2021
    2.3  1993    2.7  2023    3.3  2002    4.4  1964    7.4  2016   10.1  1970   12.1  2005   12.1  2013   10.0  2024    7.8  1978    4.8  2003    3.4  1910    2.23  1988    4.80  1945   11.13  1976    7.24  2017    6.23  1997
    2.3  1988    2.7  2007    3.3  1967    4.4  1926    7.3  1953   10.1  1998   12.1  2017   12.0  2001    9.9  1941    7.7  1898    4.8  1978    3.3  1977    2.18  1916    4.79  1960   11.12  1933    7.24  2020    6.23  2000
    2.3  2018    2.6  2000    3.3  2021    4.4  1992    7.3  1970   10.0  1992   12.1  1947   12.0  1947    9.9  2009    7.7  1908    4.7  1963    3.2  1912    2.14  1921    4.76  2000   11.12  2010    7.18  2013    6.22  2015
    2.3  1996    2.5  1923    3.3  1959    4.4  2005    7.3  1908   10.0  1960   12.0  2001   12.0  2023    9.9  2022    7.7  1959    4.7  2004    3.0  1987    2.10  1999    4.76  2005   11.11  2005    7.10  2015    6.17  1994
    2.3  2016    2.5  1897    3.2  1989    4.3  1894    7.3  2003    9.9  1935   12.0  1900   11.9  1893    9.9  1951    7.6  1949    4.5  1917    3.0  1956    2.08  1899    4.72  2008   11.09  2002    7.09  1946    6.11  1989
    2.3  2002    2.4  1935    3.2  2022    4.3  1972    7.2  2000    9.9  2019   12.0  2023   11.9  2006    9.9  1970    7.6  2009    4.5  1999    3.0  1921    2.08  1972    4.70  2003   11.07  2014    7.05  1913    6.06  2009
    2.2  2012    2.4  1980    3.2  1977    4.3  2003    7.2  2009    9.9  1897   12.0  1901   11.8  1984    9.9  1939    7.6  1886    4.4  1913    3.0  1911    2.07  2008    4.70  2019   11.07  2001    7.05  1958    6.04  1995
    2.2  1930    2.2  2004    3.1  1936    4.2  1955    7.2  1989    9.9  1940   11.9  1905   11.8  2021    9.8  1985    7.5  1996    4.4  1983    3.0  2000    2.06  2005    4.70  1957   11.02  2012    7.05  2016    6.01  2008
