Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England E and NE
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.2  1940   27.9  1963   23.3  1955   16.1  2021    5.2  1979    0.6  1962    0.0  1965    0.0  1977    2.0  1932    8.4  1931   15.5  1965   23.7  1981    77.6  1963    29.9  1955     0.6  1962    18.1  1993    90.8  1955
   26.4  1979   27.8  1947   22.1  1962   12.8  1956    4.7  1941    0.3  1991    0.0  2000    0.0  1932    0.8  1954    6.6  1955   14.7  1985   23.6  1950    63.8  1979    29.7  1970     0.3  1991    15.7  1965    89.9  1979
   26.4  1963   27.0  1942   21.1  1937   11.3  1970    3.9  1935    0.3  1975    0.0  1954    0.0  2012    0.7  1986    5.5  1993   14.2  1996   23.3  1962    63.1  1942    27.5  1962     0.3  1975    15.5  1973    88.4  1947
   25.2  1942   24.4  1956   20.8  1931   10.0  1968    3.6  1996    0.2  1974    0.0  1962    0.0  1964    0.7  1974    5.4  1992   13.6  1969   22.9  2010    63.0  1947    27.2  1958     0.2  1974    14.8  1985    88.1  1942
   24.3  1959   24.2  1986   18.8  1951    9.8  1936    2.8  2010    0.2  1955    0.0  1973    0.0  1931    0.5  1979    5.1  1981   12.3  1993   21.7  1961    59.6  1940    27.1  1951     0.2  1955    14.2  1996    86.4  2010
   24.1  1985   22.8  1979   18.5  2013    9.0  1984    2.7  1955    0.1  1971    0.0  1960    0.0  1983    0.4  1972    4.7  1997   12.2  1973   20.6  1976    55.0  1956    26.3  1969     0.1  1977    14.0  1971    86.3  1969
   23.6  1941   22.0  1968   18.4  1958    8.9  1969    2.7  2021    0.1  1941    0.0  1966    0.0  1937    0.4  1943    4.2  1983   12.1  1971   18.2  2001    53.4  1951    26.3  1931     0.1  1971    13.8  1969    85.0  1962
   23.5  1945   21.3  1955   18.3  1970    8.4  1983    2.6  1938    0.1  1989    0.0  1971    0.0  1934    0.3  1931    3.5  1935   11.6  2005   18.1  1964    52.7  2010    26.1  2013     0.1  1941    13.6  1988    84.9  1941
   21.3  1952   20.9  1969   17.6  1947    8.1  1986    2.5  1995    0.1  1978    0.0  1959    0.0  1994    0.3  1942    3.5  1980   11.0  1988   17.9  1937    51.5  1952    25.3  1941     0.1  1989    12.8  1952    83.1  1931
   20.8  1997   20.7  1983   16.9  1969    7.8  1958    2.5  1984    0.1  1977    0.0  1972    0.0  1962    0.3  1964    3.3  1964   10.9  1952   17.2  1952    51.3  1968    24.7  1995     0.1  1978    12.2  1962    82.9  1963
   20.5  1947   20.0  1936   16.5  1987    7.7  1932    2.4  1997    0.1  2015    0.0  1939    0.0  1965    0.3  1995    3.2  1973   10.7  1947   16.7  2009    51.1  1985    23.3  1956     0.1  2015    11.8  1948    82.5  1985
