Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England E and NE
Areal series, starting in 1891
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   21.8  1895   19.5  1923   20.6  1947   19.9  1920   21.4  1967   21.1  1912   19.5  1988   21.3  1917   21.6  1918   24.8  1903   20.9  1946   21.9  1915    55.4  1915    47.0  1979    56.9  1912    52.7  1960   163.9  1900
   21.4  1948   18.7  1916   19.6  1916   19.4  1998   19.1  1924   17.3  1987   18.8  1920   20.3  1912   17.1  1896   22.1  1960   20.4  1900   21.8  1914    51.5  1900    45.6  1983    47.0  1956    50.9  1903   163.1  1903
   20.6  2014   18.3  1900   19.1  1981   18.3  2012   17.8  1932   17.3  1948   17.8  2023   19.9  1956   17.0  2017   21.9  1896   20.3  1919   20.8  1911    51.2  1912    44.7  1920    46.1  1958    50.0  1935   161.9  1912
   19.5  1928   17.9  1904   18.8  2023   18.2  2000   17.5  1983   17.2  2012   17.5  1936   19.6  1954   16.1  1952   21.7  1976   20.1  2019   20.5  1978    50.6  2010    44.1  1932    45.9  2012    49.6  1944   161.0  1916
   19.0  1939   17.6  2020   18.5  1909   16.9  2001   17.2  1969   17.1  1997   17.4  1931   19.2  1891   15.8  1965   20.2  1932   20.0  2025   20.2  1934    50.1  2021    43.7  1908    44.1  2004    49.2  1954   157.9  1960
   18.7  2008   17.5  2002   18.0  1897   16.6  1905   16.8  1907   16.8  1980   17.2  1915   17.3  1927   15.8  1927   20.2  1892   19.8  2010   20.1  1929    49.9  1916    42.9  2024    43.6  1985    49.2  2019   155.5  1923
   18.5  2016   17.4  2026   17.3  2018   16.6  1931   16.8  1902   16.7  1907   17.1  2009   17.2  1905   15.8  1954   20.1  1907   19.2  1944   19.8  1896    49.9  1960    41.9  1937    43.5  1954    47.6  1896   154.9  1954
   18.4  1900   17.3  1915   17.2  1908   16.5  1932   16.7  1979   16.5  1958   16.8  1940   16.9  2008   15.8  1950   20.0  1894   19.2  1950   19.5  1959    48.2  1910    41.8  1986    43.3  1931    47.0  2000   154.6  1927
   18.3  1943   16.8  2010   17.1  1913   15.6  2024   16.7  1925   16.4  1935   16.7  1922   16.8  1963   15.3  1930   19.9  1906   19.1  2009   19.1  1919    48.1  1956    41.6  1981    42.8  1946    45.8  1905   153.8  1894
   18.0  1960   16.6  1941   16.5  1914   15.6  1986   16.2  2021   16.1  1991   16.5  1960   16.8  2004   15.0  1957   18.5  1916   19.1  1963   19.1  2020    47.9  2026    41.5  1916    42.7  1900    45.1  1974   152.9  1950
   18.0  1919   16.4  1910   16.3  1979   15.6  2016   15.9  1906   15.6  1900   16.4  2007   16.7  1950   15.0  1974   18.5  2004   19.0  1935   19.1  2009    47.6  2014    41.5  1925    42.7  1927    44.7  1976   151.7  1930
   18.0  1956   16.4  1977   16.3  1903   15.4  1899   15.4  1976   15.4  1928   16.4  1957   16.6  1985   15.0  1968   18.5  2013   18.4  1914   18.8  1938    47.6  2016    41.5  1899    41.9  1907    44.6  1950   151.5  2000
   17.9  2004   16.1  1966   16.3  2024   15.2  1966   15.3  1899   15.3  1998   16.2  1939   16.6  1951   14.8  2000   18.2  1909   18.3  1965   18.7  1937    46.2  1939    41.3  1969    41.8  2008    44.4  2025   151.5  1928
