Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  162.2  1948  141.5  2020  125.4  1981  141.2  2012  128.7  1967  181.4  2007  152.9  1940  171.3  1956  159.3  1976  196.4  1903  151.1  2000  178.1  1978   342.1  1877   279.7  1979   366.8  1912   386.7  2000  1134.5  1872
  137.0  2008  119.4  1848  121.1  1947  138.5  2000  122.3  1847  148.0  1997  140.8  1888  169.4  1917  140.0  1918  166.3  1960  148.4  2025  176.4  1876   335.1  2021   259.6  1983   343.7  1956   366.2  1872  1043.3  2012
  131.4  2021  117.9  1900  120.1  1979  122.0  1846  114.7  1932  141.6  2012  135.9  1880  166.1  2004  135.6  1965  163.0  1865  148.4  1951  155.7  1868   321.5  2016   257.0  1981   338.9  2007   356.2  2019  1000.1  2000
  123.9  1939  113.0  1966  109.4  1909  121.7  1998  112.7  1924  136.8  1848  135.7  1930  145.4  1845  129.3  1871  154.5  2023  148.3  2009  147.3  2015   314.2  1915   252.3  1920   326.1  2012   348.0  1852   960.7  2023
  123.0  1960  109.5  1923  105.2  1916  102.8  1993  110.7  1979  130.3  1982  133.5  2009  142.0  1927  127.9  1944  149.6  1892  140.6  1875  146.8  1915   308.9  2024   246.3  1998   320.7  2004   342.1  1935   957.8  1848
  120.6  2016  108.8  1941  103.9  1848  100.3  1983  104.3  2014  128.7  1912  133.3  1988  141.3  1877  123.9  1883  142.4  1870  137.1  1946  144.6  1914   304.2  1960   245.6  1947   315.4  1927   338.4  1976   951.1  2008
  118.9  2014  105.6  2002   96.9  1862   98.5  1920  101.4  2021  126.2  1980  129.4  1895  141.0  1878  122.8  1880  140.5  1976  133.9  1878  136.6  2023   296.6  1869   243.6  2000   306.3  1839   338.1  1880   946.5  1877
  117.7  1928  104.1  1950   93.5  2018   98.2  1882  101.3  1886  116.1  2019  122.0  1922  140.3  1881  121.7  1968  138.6  1880  133.0  1852  129.2  1929   288.3  1979   240.8  1986   304.0  1879   337.4  1903   940.5  1903
  113.2  1984  101.5  1977   92.2  1980   95.2  1986  100.8  1869  115.8  2017  119.9  2023  139.0  1954  120.5  1927  138.4  1848  132.6  1984  128.0  2012   287.1  1995   240.2  1937   303.9  1931   337.1  1944   940.4  1882
  107.6  1995   99.8  1958   91.4  1999   94.4  1877   98.9  1983  110.9  1839  119.2  1915  135.4  1912  117.4  1852  137.0  1906  132.6  1965  123.7  1979   285.5  1916   238.1  2024   302.6  1845   336.3  1960   936.0  1960
  107.0  2004   99.5  1990   91.2  1836   88.6  2024   96.7  1951  109.3  1860  114.3  2007  134.5  1900  117.2  1935  136.0  1907  128.5  2019  118.5  2020   284.9  1900   236.2  1951   296.5  1848   329.8  2023   925.3  2019
  105.9  1895   96.5  1916   91.0  1897   87.9  2001   96.1  2006  107.8  1998  114.0  1839  131.3  1857  115.1  1866  132.8  1841  127.7  1944  117.0  1882   277.8  2014   233.3  1932   292.6  2008   329.1  1875   921.3  1912
  105.6  1956   96.3  2001   90.4  1888   86.7  1966   95.8  1907  106.8  1948  113.4  1872  125.0  1951  114.3  1993  131.6  1846  127.4  1969  114.4  1934   274.1  1980   231.4  1877   285.2  2019   314.6  2025   920.1  1852
  104.9  1877   92.6  1933   90.2  1964   85.2  1931   94.5  1878  105.5  1928  111.3  1879  122.0  1986  113.3  1872  131.0  1896  126.8  1963  113.0  1852   270.4  1939   230.5  1969   283.0  1872   314.0  1954   908.9  1954
  104.4  1936   91.3  1881   89.6  1913   84.3  2004   93.9  1843  102.2  1879  110.7  1875  117.5  1971  112.5  2000  129.3  1872  126.3  1950  113.0  1911   270.3  1977   230.2  1886   281.0  1980   299.8  1965   902.5  2002
  104.0  1945   91.2  2022   88.9  1951   83.7  1934   89.6  1856  100.7  1882  110.3  1920  116.2  1963  110.2  2019  129.2  1885  123.7  1872  112.9  1959   266.9  1990   224.9  2012   278.4  1930   295.8  1984   901.4  1927
  103.1  1988   90.3  1915   85.9  2006   83.6  1947   88.7  1986  100.3  1931  107.0  1960  115.7  1891  107.9  2008  126.6  2004  122.5  1836  112.4  1872   266.7  1848   222.6  1913   277.9  1881   293.6  1841   899.5  1930
  102.2  1943   89.5  1925   85.8  1908   82.8  1849   88.1  1899   98.9  1911  106.3  1931  114.4  1921  105.6  1981  126.0  1889  122.0  1954  111.0  1909   266.3  1883   222.3  1916   276.3  1997   293.0  2012   898.3  1876
   99.5  1978   89.1  1894   85.2  2023   81.3  1871   87.8  1954   97.0  1892  106.2  2008  113.7  1966  105.3  1946  123.2  2002  118.6  2010  110.7  1847   265.7  1853   221.0  2006   274.0  1860   283.0  2022   892.1  1880
   99.3  1863   89.0  1937   85.1  1876   80.2  1872   87.4  1969   95.7  1987  105.3  1883  111.8  1946  104.0  1876  123.1  2000  118.5  1888  110.7  1896   263.7  1994   218.9  1889   269.8  1877   278.1  1946   886.1  1886
