Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England E and NE
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  102.6  2022  122.6  2019  176.3  2022  232.8  2025  276.1  2020  282.3  1940  292.0  2006  250.9  1995  184.4  1986  134.2  1931  100.0  2005   77.3  2014   247.9  2015   665.0  2025   728.0  1976   384.9  1986  1749.6  2025
   89.1  2023  112.9  2008  176.0  2012  232.7  2021  261.6  2018  272.0  1957  257.5  1976  240.7  1947  182.3  1911  133.6  1981   94.3  2006   65.2  1999   246.3  2019   653.3  2020   694.2  1989   357.6  2003  1740.8  2022
   81.9  1959  107.5  1988  174.4  2025  224.2  2015  257.7  2025  248.4  1960  257.4  1911  231.2  2022  171.8  1914  132.4  1959   92.4  1947   65.2  2009   239.4  2000   559.1  2011   655.5  1975   344.9  1981  1725.3  2003
   80.9  2025  106.1  1949  168.2  2003  223.6  2020  253.6  1989  245.2  1975  252.9  1955  228.2  1975  167.8  1991  130.3  2022   89.8  1973   65.1  2017   236.8  2022   549.1  2009   653.9  1995   343.8  2006  1669.1  1989
   77.5  2000  103.0  2016  160.9  2009  220.5  1914  249.5  2001  242.9  1970  247.3  1989  228.1  1976  165.2  1959  129.1  2003   89.3  1988   64.6  2001   234.4  2023   548.0  2003   644.9  1933   343.8  1959  1658.3  1995
   76.2  2015   99.8  2003  157.4  1929  216.8  2011  233.8  1992  242.3  1976  246.2  1935  219.1  1989  163.0  1929  126.9  2008   88.5  2017   63.1  2004   220.5  2001   543.5  1990   640.8  1911   341.0  1921  1640.5  2018
   73.7  1991   99.2  2022  153.9  1995  208.1  1942  230.4  2009  239.3  2023  246.1  2018  209.4  1990  162.7  2003  126.2  1995   87.3  2013   62.3  1962   218.2  2020   539.6  2022   637.9  2018   340.9  1971  1622.0  2019
   73.3  2012   98.7  1943  153.6  2020  200.2  1984  227.8  1956  238.1  1969  242.3  2013  208.7  2003  161.9  2019  125.6  2018   84.8  1996   61.2  2006   211.9  1989   539.2  2015   635.3  2022   336.3  1929  1607.7  2015
   72.9  2007   98.2  1970  152.7  1933  200.1  2007  225.7  1921  235.5  1949  240.4  1934  206.4  1933  161.7  1979  123.7  1986   84.5  1985   61.2  2003   210.6  2007   533.1  1982   630.7  2006   335.1  2018  1601.3  2006
   72.7  2001   97.6  1999  147.5  1967  198.0  1912  223.8  1982  232.8  1950  236.0  1990  202.5  2016  160.0  2006  122.0  1921   82.2  2016   60.7  2019   207.5  2018   526.5  2019   625.8  1959   334.8  2007  1581.6  1959
   70.2  2019   96.7  2000  145.7  1982  196.3  1990  222.3  1943  228.1  1933  234.9  1928  199.5  2007  159.3  1964  119.8  1955   79.8  1977   60.5  2022   202.7  2008   526.4  1948   611.9  1996   332.5  2012  1576.3  2020
   67.3  2020   96.6  1973  141.9  2026  192.4  2003  221.6  1971  227.8  1989  228.2  2014  196.8  2019  159.0  2015  117.8  1917   76.9  1930   59.2  2010   201.6  1949   518.5  2017   607.3  1949   327.5  1979  1575.1  2009
   66.6  1952   96.4  1989  141.0  2019  191.5  2022  220.1  1980  227.3  2025  219.6  1995  196.1  1991  158.5  1954  117.7  1971   76.7  1986   59.0  1967   201.0  1999   517.6  1995   604.9  1935   326.4  1999  1555.5  1955
   65.6  1962   95.5  1934  140.9  1948  190.2  2002  217.8  1997  223.3  1996  216.3  1959  196.1  1959  157.4  1997  116.9  2007   76.3  1989   58.1  2013   199.9  2012   517.1  2021   601.1  2003   326.0  2016  1546.3  2011
   65.3  1932   94.4  2015  137.5  2007  189.3  2019  217.1  2005  223.2  2018  213.2  1984  192.2  1926  157.4  1999  116.7  1930   75.7  1910   57.9  2012   199.6  1995   510.7  1921   599.0  2013   324.8  1988  1537.2  1949
   65.1  1967   94.2  2001  137.0  1931  183.3  1968  216.0  1959  220.0  2010  213.2  1999  189.0  1983  157.1  1987  114.5  1926   73.5  2010   57.8  2005   198.7  2004   508.4  2010   597.6  2025   323.7  1947  1536.2  1990
   64.5  1931   91.5  2004  135.4  2017  179.4  1921  214.9  1990  215.3  1914  210.5  1933  188.9  2000  156.3  2004  112.8  1996   73.2  2021   57.0  1994   198.6  1952   505.9  1929   596.8  1940   321.7  1964  1534.1  2017
   64.4  1965   90.2  2020  135.2  1955  177.4  2017  213.7  1922  213.4  1959  210.3  1996  188.9  1984  156.3  1921  112.2  1997   73.2  1975   56.4  2008   192.3  1967   503.0  1956   593.2  1955   317.5  1955  1530.0  2007
   63.7  1994   87.5  1995  135.1  1953  174.7  1948  213.3  1940  212.6  1962  209.2  1971  187.0  1997  156.0  2012  111.7  1919   72.9  2023   54.9  1976   192.2  2014   499.5  1943   582.3  1984   315.0  1923  1527.0  1921
   63.4  1999   86.6  1946  134.2  2008  174.4  1945  211.3  2008  212.0  2003  207.3  1997  186.5  2014  156.0  1940  111.6  1956   72.7  1922   54.4  1975   191.3  2005   497.8  2007   581.7  1928   314.0  2011  1526.4  2023
   61.6  1989   86.4  1957  132.3  1990  174.1  1951  211.1  2010  211.9  1973  206.6  1969  184.8  2025  155.5  1963  111.4  1929   72.7  1925   54.3  1973   187.5  2002   490.8  1953   580.7  1969   313.5  1911  1524.8  2010
   61.4  2024   84.9  1997  132.3  1997  174.0  1936  210.8  1977  210.5  1921  204.2  1994  183.5  1911  154.1  1981  111.2  2024   72.3  2009   54.0  1988   186.7  1992   489.8  1989   578.6  1994   312.5  2010  1518.2  2016
   60.2  1934   84.8  1998  131.9  2014  173.4  2010  210.8  1948  210.3  1917  196.4  1983  183.4  2024  153.8  2005  110.9  1998   72.2  1938   53.6  2000   186.7  2003   483.4  1955   578.4  2014   312.1  2005  1508.1  2021
   60.2  1984   84.8  2023  131.8  2011  170.7  1994  210.4  2011  210.1  2022  196.1  1943  183.0  2005  153.5  1971  110.1  2001   72.1  1978   53.6  2016   185.2  1934   483.2  1997   576.3  1934   310.0  1996  1501.3  2013
   60.2  1986   84.1  2014  130.1  1961  170.4  2006  209.7  2004  210.0  1922  195.9  1921  182.9  2017  153.2  1915  109.5  1983   71.1  1979   53.6  2018   184.4  1963   483.2  2001   567.2  2023   309.8  1928  1498.5  1975
   59.7  1992   83.4  2018  127.1  1910  168.5  1995  209.5  1949  209.7  1925  194.9  1949  181.8  1935  152.7  1933  107.4  2012   70.1  2007   53.4  1974   182.4  1962   477.4  2008   566.6  1950   309.5  1954  1492.8  2001
