Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England E and NE
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.3  1916   10.4  2019   12.9  1938   15.8  2011   17.4  2018   21.4  2025   24.4  2006   22.6  1975   20.0  2006   16.2  1921   11.4  2011   11.1  2015    8.60  1989   14.52  2025   21.58  2025   15.31  2006   14.29  2025
    9.0  2007   10.2  1998   12.5  2012   15.0  2007   17.1  2025   21.3  1940   23.4  2018   22.5  1995   19.9  1895   15.8  1995   11.3  1994    9.3  1974    8.50  2016   13.94  2011   21.51  2022   14.96  2011   14.28  2022
    8.6  1921    9.7  2024   11.8  1961   14.7  2025   17.1  2020   20.8  1976   22.6  2022   22.5  2022   19.9  2023   15.6  1959   11.2  2015    9.0  1988    8.38  2007   13.66  2020   21.37  1976   14.61  2021   13.83  2023
    8.5  2020    9.3  1945   11.7  2025   14.3  1914   17.1  2024   20.6  2023   22.5  2013   22.3  1947   19.3  2021   15.6  2001   10.9  1899    9.0  2024    8.16  2019   13.64  2017   21.18  2018   14.56  2022   13.72  2011
    8.4  1989    9.2  2023   11.7  1945   14.2  1943   16.8  1919   20.2  1950   22.3  1911   22.1  1997   19.3  1949   15.4  1969   10.8  2020    8.8  1900    8.15  2024   13.56  2003   21.16  2006   14.47  1959   13.71  2003
    8.3  1975    9.1  2022   11.5  1948   14.0  2020   16.8  1922   19.9  2006   22.2  1976   22.1  1990   19.3  1999   15.4  2006   10.7  1938    8.8  1898    8.12  1998   13.52  1945   21.01  1933   14.38  2023   13.70  2014
    8.3  1932    9.1  1914   11.4  2026   13.8  1946   16.8  2017   19.9  2003   22.2  1995   21.9  1933   19.2  1929   15.3  2022   10.6  2022    8.7  1921    8.10  2020   13.46  2022   20.73  2003   14.34  2014   13.67  2006
    8.3  2008    9.1  1990   11.4  2017   13.7  1949   16.7  1992   19.8  1960   22.2  1983   21.5  2025   19.1  2016   15.0  2011   10.6  2006    8.7  1934    8.00  2022   13.43  1893   20.62  1911   14.14  1999   13.62  2024
    8.2  1983    9.0  1903   11.4  2003   13.5  2003   16.6  1952   19.6  1970   22.0  1934   21.5  1911   18.8  1898   14.9  2005   10.5  1978    8.6  2016    8.00  1975   13.35  1943   20.54  1995   14.10  2005   13.54  2020
    8.2  1990    9.0  2002   11.3  1997   13.5  1945   16.5  2022   19.6  1899   21.9  1933   21.4  2003   18.7  1959   14.8  2017   10.3  2014    8.6  2013    7.98  2008   13.24  2007   20.53  1899   14.02  1947   13.47  2018
    8.1  1898    8.8  2008   11.3  1990   13.5  2009   16.5  1964   19.5  2018   21.8  2025   21.2  1959   18.7  2003   14.8  1908   10.3  2003    8.5  2025    7.94  2014   13.19  2014   20.49  1975   13.97  1995   13.46  2007
    8.1  2005    8.8  1997   11.2  2022   13.3  1893   16.5  1947   19.4  2022   21.7  1989   21.2  1935   18.7  1947   14.7  2014   10.2  1913    8.3  1971    7.83  1990   13.18  2009   20.44  1947   13.97  1949   13.45  1921
    7.7  1944    8.6  1943   11.2  1929   13.2  2014   16.4  1989   19.4  1992   21.7  1994   21.2  1893   18.5  1933   14.6  1945   10.2  2009    8.3  1924    7.60  1949   13.17  2024   20.37  1959   13.88  2001   13.40  1949
    7.7  1923    8.5  1961   11.2  1957   13.1  1952   16.4  1918   19.4  1896   21.7  2014   21.1  1991   18.5  2011   14.5  2013   10.1  2025    8.2  2023    7.54  2017   13.10  1990   20.32  1935   13.87  2009   13.40  1990
    7.6  1993    8.4  1949   11.1  1893   13.1  1944   16.4  1911   19.3  1887   21.7  1921   21.1  1976   18.4  1890   14.4  2021   10.1  2001    8.2  1912    7.51  2002   12.93  1948   20.31  2013   13.84  1978   13.40  2017
    7.6  1974    8.3  2000   10.8  2014   13.1  1987   16.4  2023   19.3  2017   21.6  2019   21.1  1899   18.3  1934   14.3  1971   10.1  2018    8.2  2018    7.50  1899   12.85  1938   20.16  1989   13.83  2025   13.38  2019
    7.6  2022    8.3  1989   10.8  2019   13.0  2010   16.3  1940   19.2  2021   21.6  1901   21.0  2019   18.3  1961   14.3  1978   10.1  1951    8.1  1953    7.49  1935   12.80  2002   20.15  2019   13.83  1898   13.35  1959
    7.5  2002    8.3  2020   10.7  1933   13.0  2015   16.2  2008   19.2  1933   21.6  1887   21.0  1955   18.3  2005   14.3  1947   10.1  2021    8.0  1994    7.49  2005   12.77  1997   20.07  1887   13.83  2007   13.31  2015
    7.5  1957    8.2  1920   10.7  1950   12.9  1955   16.1  1956   19.2  2010   21.5  1905   20.9  1884   18.1  1906   14.2  1968   10.1  1997    8.0  1918    7.42  1995   12.76  2019   20.06  2023   13.79  2015   13.29  1989
    7.4  1890    8.2  1992   10.5  1998   12.9  2002   16.1  2001   19.0  1889   21.5  1941   20.9  2013   18.1  1991   14.2  1996   10.0  1953    8.0  1954    7.37  2023   12.75  1999   20.01  2021   13.77  2018   13.26  2005
    7.4  2012    8.2  2007   10.5  2002   12.8  1909   16.0  1953   19.0  1930   21.4  1900   20.7  1984   18.0  1981   14.2  1989   10.0  1917    7.9  2006    7.36  1999   12.70  1952   19.99  1901   13.74  2003   13.25  1999
    7.4  1938    8.2  1995   10.4  2021   12.7  2017   16.0  1990   19.0  1917   21.4  2021   20.7  1983   18.0  2014   14.2  1949   10.0  2007    7.9  1942    7.33  1943   12.64  1992   19.95  1949   13.70  1945   13.23  2002
    7.3  2023    8.2  2014   10.4  2009   12.7  1948   16.0  2011   19.0  1957   21.2  1955   20.7  2024   17.9  1955   14.1  1954    9.9  1986    7.8  2004    7.31  1932   12.61  1921   19.92  1983   13.62  2020   13.22  2004
    7.3  1884    8.1  2011   10.3  2000   12.6  2019   15.9  1960   18.9  2005   21.2  1935   20.6  2018   17.8  1921   14.1  2007    9.9  1939    7.6  1986    7.28  1921   12.61  1959   19.74  1934   13.60  1906   13.18  1997
    7.3  1999    8.0  2017   10.3  1907   12.6  1912   15.9  1999   18.9  1947   21.1  1959   20.6  2009   17.8  1911   14.1  2024    9.8  1999    7.6  1980    7.28  1925   12.61  2004   19.73  1990   13.56  1921   13.18  2021
    7.3  2000    8.0  1926   10.2  2024   12.6  2004   15.9  1893   18.8  2004   21.0  1999   20.6  1906   17.8  2022   14.1  2023    9.8  1928    7.6  2019    7.27  1957   12.54  1961   19.72  1950   13.51  1913   13.13  1945
    7.2  1949    8.0  1928   10.2  1953   12.6  2022   15.8  2004   18.8  1973   21.0  1991   20.4  2002   17.8  2025   13.9  2018    9.7  2002    7.6  1910    7.25  2012   12.54  2023   19.67  2014   13.48  2017   13.09  1995
    7.2  1930    8.0  1918   10.2  1921   12.6  1959   15.8  1970   18.8  1949   20.9  2003   20.4  1949   17.7  1971   13.9  1977    9.7  1981    7.5  1997    7.24  2000   12.48  1933   19.65  2010   13.47  2016   13.07  2016
    7.1  2016    7.9  1891   10.2  1943   12.4  1999   15.8  2003   18.8  1893   20.9  1899   20.4  2016   17.7  1964   13.9  2009    9.7  2004    7.5  1941    7.23  2025   12.43  2012   19.60  1893   13.47  1908   13.07  2009
    7.1  1976    7.8  1946   10.1  1894   12.4  1926   15.8  1959   18.7  1959   20.8  1925   20.3  2000   17.6  1982   13.9  1985    9.7  1946    7.5  1987    7.19  1974   12.38  1912   19.59  2024   13.46  1938   12.91  1938
    7.1  2014    7.7  1939   10.1  1991   12.4  1960   15.7  1921   18.6  2014   20.8  2010   20.3  2001   17.6  2019   13.9  1990    9.6  1995    7.5  1998    7.18  1898   12.31  2010   19.59  1997   13.45  1929   12.89  1934
    6.9  1928    7.6  2026   10.1  1989   12.4  1933   15.7  2009   18.5  1935   20.6  1949   20.3  1897   17.6  1958   13.8  1984    9.4  1894    7.4  1985    7.17  2026   12.20  1914   19.58  1984   13.43  1989   12.88  1933
    6.9  2004    7.6  1935   10.1  2011   12.3  1982   15.7  1943   18.5  1895   20.6  1984   20.3  2004   17.6  2004   13.8  2015    9.4  1931    7.4  2021    7.14  1920   12.20  1982   19.58  1940   13.42  1971   12.87  1943
    6.8  1998    7.5  1934   10.1  1973   12.3  2018   15.7  1908   18.4  1989   20.5  1945   20.3  1989   17.6  1941   13.6  1898    9.4  1908    7.4  1983    7.12  2004   12.20  2018   19.58  1996   13.40  1951   12.87  1914
    6.8  1920    7.5  2004   10.0  2007   12.3  1894   15.6  1998   18.4  1914   20.5  1923   20.3  1996   17.6  2009   13.6  1965    9.4  1964    7.4  1975    7.07  1916   12.19  1998   19.57  2005   13.38  2004   12.86  2008
    6.7  1925    7.4  1899    9.9  1999   12.2  2024   15.6  1917   18.3  1919   20.5  1969   20.1  2012   17.6  1985   13.6  2025    9.4  1992    7.4  1949    7.04  1992   12.18  2015   19.54  1994   13.37  2013   12.79  2000
    6.7  1969    7.4  2025    9.9  2020   12.2  1997   15.6  1895   18.3  1975   20.5  1975   20.1  1944   17.5  1989   13.5  1986    9.4  1984    7.4  2011    7.00  1988   12.16  1957   19.54  2009   13.35  1899   12.77  1911
    6.7  1934    7.4  1974    9.9  1920   12.1  1961   15.6  2014   18.3  2011   20.4  2016   20.1  1901   17.5  1980   13.5  1970    9.4  1906    7.3  1959    6.96  1976   12.14  1953   19.51  1955   13.32  1953   12.75  1893
    6.6  1906    7.4  1908    9.8  1994   12.0  1901   15.5  1889   18.3  1941   20.4  1971   20.1  1937   17.4  2000   13.5  1979    9.4  1897    7.3  1932    6.94  1923   12.11  1896   19.48  2016   13.28  1961   12.74  1998
    6.6  1988    7.3  1967    9.7  1927   12.0  1904   15.4  1982   18.3  1961   20.3  1997   20.0  1936   17.4  1926   13.4  2016    9.3  2024    7.3  1951    6.92  1914   12.09  2000   19.47  1906   13.27  1970   12.69  1953
    6.6  2024    7.3  1999    9.6  1905   12.0  2005   15.4  1896   18.3  1966   20.3  1990   19.9  2015   17.4  2002   13.4  1943    9.3  1963    7.3  1955    6.87  1903   12.07  2005   19.45  2017   13.26  2024   12.65  1898
    6.5  1937    7.2  1885    9.6  1992   11.9  1942   15.4  2016   18.2  1921   20.2  1996   19.9  2020   17.4  1970   13.4  1958    9.2  1955    7.3  1911    6.84  1937   12.04  1944   19.44  2004   13.26  1997   12.64  2001
    6.5  2018    7.2  2016    9.5  1967   11.9  1980   15.3  1945   18.2  2020   20.2  1904   19.9  1914   17.4  2007   13.3  1906    9.2  2023    7.2  1948    6.84  1950   11.98  2008   19.34  1921   13.20  1955   12.60  1899
    6.5  1981    7.2  1950    9.5  1903   11.9  1990   15.3  2006   18.2  1942   20.2  2001   19.9  2005   17.3  1917   13.3  1999    9.2  1945    7.2  1956    6.80  1911   11.95  1940   19.31  1925   13.13  1958   12.59  1975
    6.4  1896    7.2  1913    9.5  2023   11.9  1921   15.3  1995   18.2  1901   20.1  2008   19.9  1932   17.3  1907   13.3  1920    9.2  1982    7.2  1977    6.77  1913   11.93  1949   19.30  1941   13.12  1914   12.56  1994
    6.4  2015    7.2  1921    9.5  1959   11.9  1896   15.1  1920   18.2  1996   20.1  1947   19.9  1926   17.3  1914   13.3  1961    9.1  1947    7.2  2014    6.75  2015   11.89  1929   19.26  1884   13.12  2002   12.53  2013
    6.4  1902    7.2  1938    9.5  1912   11.8  1968   15.1  1971   18.2  1915   20.0  1967   19.9  2023   17.3  2020   13.3  1972    9.1  2005    7.2  1936    6.67  1993   11.83  1989   19.25  2002   13.08  1934   12.52  1948
    6.4  2003    7.1  1971    9.5  2010   11.8  1995   15.0  1929   18.2  2024   20.0  1926   19.8  1916   17.3  1891   13.3  1957    9.1  1920    7.2  1931    6.66  1973   11.82  1960   19.23  2001   13.03  1979   12.51  2012
    6.4  1994    7.1  1911    9.4  1993   11.8  1939   15.0  1912   18.2  1968   20.0  2009   19.8  1953   17.3  1900   13.2  1942    9.1  1914    7.0  1922    6.51  1948   11.77  1946   19.23  1914   13.01  1969   12.50  1992
    6.3  1962    7.0  2021    9.4  1981   11.8  1964   15.0  2002   18.1  1925   20.0  1946   19.7  1898   17.3  2018   13.2  1963    9.1  1916    7.0  2003    6.49  1967   11.72  1920   19.21  1905   13.01  1982   12.48  1961
    6.3  1899    7.0  1973    9.4  2005   11.7  2023   15.0  1937   18.1  1934   20.0  1906   19.6  1981   17.3  1953   13.2  1962    9.0  1983    7.0  1991    6.47  2003   11.68  1995   19.16  2008   12.98  1984   12.48  1957
    6.3  1927    7.0  1957    9.4  2015   11.7  1900   15.0  2000   18.1  1945   20.0  1928   19.5  1939   17.3  1884   13.2  1925    9.0  1898    7.0  1972    6.47  1927   11.64  1993   19.15  1991   12.97  1954   12.45  1976
    6.2  1935    7.0  1993    9.4  1978   11.6  1957   15.0  1934   18.0  1994   19.9  1951   19.5  1895   17.2  2010   13.2  1927    9.0  1948    6.9  1984    6.45  1922   11.63  2021   19.14  1900   12.97  1941   12.44  1982
    6.2  1948    7.0  2012    9.3  2004   11.6  1993   14.9  1901   18.0  2009   19.9  1929   19.5  2008   17.2  1945   13.2  1913    9.0  1895    6.9  2007    6.44  1944   11.59  2016   19.14  1992   12.96  2000   12.38  1935
    6.2  2019    7.0  1982    9.3  1966   11.6  1992   14.9  2019   18.0  1911   19.9  1952   19.5  1919   17.2  1913   13.1  1937    9.0  1959    6.8  1929    6.44  1981   11.49  1895   19.13  1917   12.96  1890   12.36  1906
    6.1  1995    6.9  1912    9.3  1968   11.6  1984   14.9  1949   18.0  1900   19.9  2024   19.4  1918   17.2  1951   13.0  1910    8.9  1970    6.8  2005    6.43  1946   11.48  1939   19.13  1897   12.95  1991   12.35  1971
