Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England E and NE
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.3  1916    7.0  1998    8.6  1938   10.7  2011   13.2  2024   16.2  2025   18.3  2006   17.4  1997   15.8  2006   12.5  2001    8.5  2011    8.0  2015    5.61  1989    9.55  2024   16.70  2025   11.65  2006   10.28  2025
    5.9  2007    6.8  2024    7.8  2012   10.2  2007   12.2  2022   15.4  2023   17.8  2018   17.4  1975   15.6  2023   11.9  2005    8.4  1994    6.5  1934    5.46  2024    9.50  2025   16.40  2022   11.39  2011   10.24  2022
    5.7  2020    6.1  2023    7.7  1957    9.6  1943   12.1  2017   15.4  1976   17.6  2022   17.2  2022   15.3  2021   11.9  2006    8.1  2015    6.5  1974    5.45  2016    9.36  2011   16.16  2018   11.12  2021   10.13  2023
    5.6  1921    6.1  1990    7.6  2017    9.5  2025   12.1  2018   15.3  1940   17.3  2013   17.0  1990   15.1  2016   11.9  1995    8.0  2022    6.4  2024    5.40  2007    9.31  2017   16.08  2006   11.12  2022   10.06  2024
    5.5  1989    6.0  2019    7.6  1990    9.2  2014   12.0  2025   15.0  2003   17.1  2025   17.0  1995   15.0  1949   11.9  1921    7.7  2020    6.4  1988    5.29  1998    9.17  2014   16.04  2003   10.97  2023    9.98  2014
    5.5  1898    6.0  1945    7.5  1961    9.2  1949   11.8  2023   15.0  2017   17.0  2019   16.8  2025   14.8  1999   11.7  1969    7.7  1938    6.1  2025    5.25  2020    9.10  2022   15.81  1933   10.92  2014    9.84  2006
    5.4  2008    5.8  1914    7.4  1945    9.1  2020   11.7  1964   14.9  1950   17.0  1983   16.7  1947   14.4  1895   11.7  2022    7.6  2014    6.1  1900    5.14  1975    9.04  2007   15.80  1976   10.57  2005    9.82  2011
    5.4  1983    5.8  1903    7.3  2026    8.9  1946   11.7  1999   14.8  2006   17.0  1995   16.6  1933   14.3  2011   11.6  2017    7.6  1899    5.8  1971    5.04  2014    8.87  2020   15.67  2019   10.55  1999    9.73  2020
    5.4  1990    5.7  2022    7.3  1997    8.9  2009   11.7  1952   14.6  2021   16.9  2021   16.5  1911   14.1  2005   11.5  2013    7.5  1997    5.7  1953    5.02  1990    8.87  1999   15.64  2021   10.50  2001    9.68  2017
    5.3  1975    5.7  2002    7.1  2025    8.8  1987   11.7  1992   14.6  1992   16.8  1933   16.5  2019   14.0  1890   11.4  2011    7.4  2018    5.7  1898    4.98  1935    8.87  2003   15.63  1947   10.44  1995    9.63  2007
    5.1  2005    5.6  1997    7.0  2019    8.8  2004   11.7  2020   14.6  1960   16.6  1934   16.5  2003   14.0  1929   11.3  1959    7.3  1978    5.7  1924    4.89  2019    8.86  1945   15.54  2023   10.43  2009    9.60  2018
