Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England E and NE
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    3.3  1916    3.8  1998    4.4  1938    5.5  2011    9.3  2024   11.1  2025   12.5  2022   12.6  1997   11.6  2006    9.3  2001    5.6  2011    4.9  2015    2.79  2024    5.93  2024   11.81  2025    8.00  2006    6.51  2024
    2.9  2020    3.8  2024    4.2  1957    5.3  2007    7.8  2022   10.9  2017   12.4  2019   12.5  2004   11.3  2023    9.0  2005    5.6  1994    4.5  1934    2.63  1989    5.16  2014   11.36  2003    7.81  2011    6.42  2023
    2.8  2007    3.5  2026    3.8  2024    5.3  2014    7.6  1999   10.3  2023   12.3  2025   12.2  2002   11.2  2016    8.6  2013    5.4  2022    3.9  2024    2.51  1998    5.00  1999   11.31  2022    7.68  2022    6.28  2025
    2.8  1898    3.1  1990    3.8  2017    5.0  1943    7.5  2017   10.3  2003   12.3  2021   12.1  1975   11.2  2021    8.5  2006    5.0  2015    3.8  1974    2.50  1935    4.97  2017   11.29  2021    7.64  2021    6.28  2014
    2.7  1921    3.0  2023    3.8  1990    4.9  2004    7.5  2014   10.0  2021   12.3  2006   12.1  2019   10.7  1949    8.4  2017    4.9  1997    3.7  1988    2.49  2026    4.83  2007   11.23  2019    7.55  2023    6.22  2022
    2.6  1989    2.8  1945    3.5  1991    4.9  2018    7.2  2023   10.0  1976   12.2  2003   12.1  2020   10.3  1999    8.4  1968    4.9  2014    3.7  2025    2.44  2007    4.76  2011   11.16  2018    7.50  2014    6.03  2006
    2.6  2008    2.7  2011    3.4  1997    4.7  1949    7.1  1998    9.9  2014   12.2  2018   12.0  2008   10.2  1936    8.1  2022    4.8  1984    3.5  1953    2.43  2020    4.74  2022   11.05  2006    7.14  2001    5.99  2017
    2.5  1990    2.7  2017    3.3  2005    4.7  1961    7.1  2002    9.8  2004   12.0  2013   12.0  2025   10.1  2011    8.1  1969    4.7  2020    3.4  1900    2.42  2016    4.60  1998   11.04  2023    7.05  2005    5.94  2020
    2.5  1983    2.6  1903    3.3  2021    4.6  2024    7.1  1964    9.8  2020   11.9  1983   12.0  1990   10.0  1998    8.0  1995    4.7  1938    3.4  1971    2.30  1975    4.51  2023   10.90  2004    7.02  1968    5.93  2011
    2.4  1884    2.5  1914    3.3  2019    4.6  1993    7.0  2008    9.8  1992   11.8  2010   11.9  2022    9.9  2005    8.0  2014    4.6  2018    3.3  1924    2.24  1990    4.50  1992   10.89  1947    7.00  2009    5.91  2004
    2.4  1975    2.5  1961    3.3  2026    4.5  1987    7.0  2003    9.8  1947   11.8  1991   11.7  2009    9.8  1958    7.8  2021    4.6  1953    3.2  2023    2.15  2014    4.47  2025   10.87  2016    7.00  1978    5.84  2002
    2.1  2005    2.5  1926    3.2  1961    4.4  1999    6.9  2018    9.7  1982   11.8  1995   11.7  1955    9.8  1980    7.7  2011    4.5  2025    2.8  2002    1.92  2017    4.44  1961   10.85  2020    7.00  2025    5.83  1999
    2.0  1976    2.4  2002    3.2  1981    4.3  2009    6.9  1952    9.7  1896   11.7  1933   11.6  2018    9.8  1941    7.7  1921    4.4  1945    2.7  1898    1.83  2025    4.42  2004   10.84  1997    6.99  1999    5.81  2007
    2.0  1932    2.4  2014    3.1  1998    4.3  1964    6.8  1953    9.7  2005   11.6  1923   11.6  2016    9.8  2000    7.7  2023    4.4  2009    2.7  1910    1.80  2022    4.42  2009   10.83  2017    6.93  1995    5.80  2005
    1.9  2014    2.3  1997    3.1  2012    4.2  1944    6.8  1889    9.6  2006   11.5  1947   11.6  2003    9.7  2014    7.6  1990    4.4  1951    2.7  1987    1.78  1925    4.35  2002   10.69  2008    6.76  1984    5.77  2018
    1.8  1944    2.2  2022    3.0  1999    4.2  2025    6.8  2011    9.6  2007   11.5  2014   11.5  1911    9.6  1890    7.5  2025    4.2  1946    2.7  1954    1.72  1923    4.23  2005   10.68  2013    6.75  1945    5.71  1990
    1.8  1938    2.2  1918    3.0  1945    4.2  2020    6.8  2025    9.6  1966   11.5  1999   11.5  2013    9.6  1939    7.5  1978    4.2  1899    2.7  1977    1.67  1988    4.23  1945   10.65  1933    6.75  1949    5.70  2019
    1.8  1923    2.1  2020    2.9  1992    4.0  1937    6.7  1992    9.6  2018   11.5  1957   11.5  2024    9.5  1961    7.4  1908    4.2  2002    2.6  2016    1.66  1976    4.20  1991   10.61  2002    6.72  2017    5.66  1998
    1.7  2016    2.0  2004    2.9  2000    4.0  1959    6.6  2009    9.6  1950   11.5  1901   11.5  2023    9.5  2009    7.3  1954    4.2  1999    2.6  1932    1.65  1972    4.19  2003   10.58  2009    6.65  2004    5.66  2016
    1.7  1996    2.0  1995    2.9  1967    4.0  1946    6.6  1970    9.5  2016   11.5  1900   11.5  2021    9.5  2022    7.2  1898    4.2  1978    2.5  1921    1.65  2019    4.18  2018   10.49  2014    6.59  2020    5.64  2021
    1.6  1974    1.9  2007    2.9  1994    3.9  1933    6.6  2007    9.5  2022   11.4  2016   11.4  1995    9.5  2010    7.2  1977    4.1  1917    2.5  2018    1.55  2005    4.16  1959   10.48  2024    6.58  2016    5.62  1997
    1.6  2018    1.9  1993    2.7  2014    3.9  1955    6.6  1918    9.3  2010   11.4  2001   11.4  1933    9.4  2004    7.1  1886    4.1  2003    2.5  1942    1.54  1943    4.15  1960   10.47  2010    6.56  2024    5.56  2009
    1.6  1999    1.9  1935    2.7  1912    3.9  1992    6.6  2016    9.3  1998   11.4  1975   11.4  1893    9.3  2008    7.1  2024    4.0  2004    2.5  2006    1.47  1903    4.12  1952   10.47  2005    6.48  2013    5.50  2000
    1.6  1969    1.9  2025    2.7  1959    3.8  1926    6.6  1960    9.3  1940   11.3  1989   11.3  1947    9.3  1970    7.1  1959    4.0  1995    2.4  1956    1.45  1921    4.09  2000   10.44  1995    6.42  2018    5.47  2003
    1.5  1906    1.9  2000    2.6  2023    3.8  1945    6.5  1908    9.3  1960   11.3  1899   11.2  1942    9.3  1978    7.0  1989    4.0  1939    2.4  1997    1.43  2008    4.08  2020   10.43  1983    6.40  1913    5.43  2008
    1.5  1957    1.8  1946    2.6  2022    3.8  1972    6.5  1947    9.3  2000   11.3  1926   11.2  1932    9.3  2024    7.0  2009    4.0  2021    2.4  1918    1.42  2023    4.08  1993   10.41  1982    6.39  1938    5.40  2015
    1.5  2004    1.7  2019    2.6  2007    3.8  2022    6.5  1911    9.2  2002   11.3  2005   11.2  2012    9.3  1933    6.9  1985    3.9  1963    2.4  1985    1.42  2004    4.03  1964   10.37  1975    6.39  1898    5.39  1989
    1.5  1998    1.7  1967    2.6  1927    3.7  2003    6.4  2006    9.1  1973   11.3  1994   11.2  1969    9.3  1981    6.9  2016    3.9  1982    2.2  2013    1.39  1957    4.02  1938   10.33  2001    6.38  1989    5.38  1938
    1.5  2024    1.7  1980    2.5  2025    3.7  2023    6.4  1933    9.1  2019   11.3  1945   11.2  2006    9.2  1956    6.9  1949    3.9  2006    2.2  2019    1.36  1999    4.02  1997   10.30  1959    6.38  1946    5.36  1945
    1.4  2023    1.6  1974    2.4  1935    3.7  1960    6.4  1937    9.1  1935   11.3  2023   11.2  2001    9.2  1989    6.8  1910    3.9  1906    2.2  1959    1.34  1948    4.01  1990   10.26  1992    6.33  1990    5.29  1949
    1.4  2003    1.5  1938    2.4  1977    3.6  1904    6.3  1922    9.1  1970   11.2  1905   11.2  1939    9.2  2002    6.8  1960    3.9  1888    2.2  2021    1.31  1916    4.00  1981   10.26  1999    6.30  2015    5.28  1994
    1.3  1988    1.5  1939    2.4  2002    3.6  1896    6.3  1976    9.0  1889   11.2  1941   11.2  1991    9.2  1945    6.7  1979    3.9  1983    2.0  1994    1.30  1911    3.98  2019   10.23  2012    6.27  1994    5.23  1995
    1.3  1890    1.5  1943    2.4  1936    3.6  1930    6.3  2004    8.9  2009   11.2  1934   11.2  1959    9.2  1984    6.7  1976    3.8  1913    2.0  1949    1.30  1995    3.97  1933   10.23  1976    6.21  1982    5.20  1959
    1.3  2012    1.5  1989    2.4  1921    3.6  1985    6.2  2020    8.9  1994   11.2  2008   11.1  1944    9.1  1985    6.7  1945    3.8  1955    2.0  1979    1.26  2003    3.90  1943   10.22  1994    6.21  1997    5.18  1953
    1.3  2000    1.4  1992    2.3  1950    3.6  2005    6.2  2001    8.9  1997   11.1  1944   11.0  1984    9.1  1898    6.6  1996    3.7  1897    2.0  1911    1.26  1932    3.89  2012   10.16  2007    6.20  2007    5.18  1983
    1.3  2002    1.4  1923    2.3  1983    3.5  2002    6.2  1989    8.9  2024   11.0  2009   11.0  1917    9.1  1966    6.5  1999    3.7  1894    1.9  2000    1.26  1914    3.87  2008   10.16  1990    6.20  2000    5.17  1988
