Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England N
Areal series, starting in 1931
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.8  1940   27.9  1947   23.2  1955   15.2  2021    4.9  1979    0.6  1962    0.0  1965    0.0  1932    2.2  1932    8.1  1931   15.8  1965   23.7  1981    76.0  1963    29.2  1955     0.6  1962    19.7  1993    92.0  1955
   26.9  1963   27.7  1963   22.2  1962   11.8  1956    4.5  1941    0.4  1991    0.0  1954    0.0  1931    0.8  1986    6.9  1955   15.1  1985   23.5  1950    64.8  1979    28.7  1970     0.4  1991    15.9  1965    90.0  1979
   26.9  1979   27.0  1942   21.4  1937   10.6  1970    3.8  1996    0.3  1975    0.0  2000    0.0  1977    0.7  1954    6.2  1993   14.4  1996   23.0  2010    62.7  1947    28.5  2013     0.3  1975    15.2  1985    89.4  2010
   24.8  1942   24.6  1986   20.6  1931   10.2  1968    3.7  1935    0.2  1941    0.0  1960    0.0  1937    0.6  1974    6.1  1992   13.4  1969   21.4  1961    62.0  1942    27.6  1969     0.2  1941    14.8  1973    88.1  1969
   24.8  1985   24.0  1956   19.9  2013   10.1  1936    2.7  2010    0.1  1955    0.0  1962    0.0  1964    0.5  1979    5.1  1981   13.3  1993   21.3  1962    58.2  1940    27.2  1962     0.1  1955    14.5  1996    87.4  1942
   24.4  1941   22.7  1968   19.0  1951    8.9  1969    2.7  1938    0.1  1989    0.0  1973    0.0  2012    0.4  1972    4.6  1997   12.2  2005   20.0  1976    54.6  2010    27.1  1951     0.1  1989    14.3  1952    85.8  1947
   23.7  1959   22.5  1979   18.5  1958    8.1  1986    2.5  2021    0.1  1974    0.0  1959    0.0  1934    0.4  1943    4.3  1983   12.2  1971   18.6  2001    53.4  1956    27.1  1958     0.1  1974    13.7  1971    84.4  1941
   23.4  1945   21.1  1955   18.1  1969    8.1  1984    2.5  1984    0.1  1971    0.0  1947    0.0  1962    0.4  1931    3.6  1973   11.7  1952   17.9  1937    52.9  1951    25.4  1931     0.1  1977    13.6  1988    83.6  1963
   21.1  1952   21.1  1983   18.0  1970    8.0  1983    2.5  1995    0.1  1939    0.0  1971    0.0  1983    0.3  1942    3.4  2003   11.2  1973   17.4  1964    50.7  1968    25.3  1941     0.1  1971    13.4  1969    82.0  1985
   21.1  1987   20.9  1969   17.1  1947    7.9  2013    2.5  1945    0.1  1977    0.0  1966    0.0  1961    0.3  1964    3.3  1935   10.7  1988   17.3  1933    50.6  1941    23.2  1937     0.1  1939    12.6  1955    81.1  1962
   20.4  1997   20.2  1996   16.4  1987    7.7  1958    2.4  1948    0.1  1978    0.0  1943    0.0  1938    0.3  1952    3.0  2002   10.2  1967   17.2  2009    50.2  1985    22.8  1979     0.1  1978    12.3  2005    81.0  1952
   20.1  1933   19.6  1991   15.6  1942    7.4  1932    2.3  1955    0.1  2001    0.0  1952    0.0  1993    0.3  1939    3.0  2018   10.2  2010   16.8  1995    49.9  1952    22.7  1995     0.1  1934    12.0  2010    78.5  1956
   19.3  1947   19.6  2010   14.9  1965    7.4  1938    2.3  1967    0.1  1934    0.0  1972    0.0  1994    0.2  1995    3.0  2008   10.1  1947   16.7  1952    49.6  1936    22.3  2021     0.1  1932    11.8  1992    78.4  1996
   18.9  1980   19.2  1936   14.8  1941    7.0  1978    2.2  1982    0.1  1936    0.0  1939    0.0  1959    0.2  1947    3.0  1980    9.9  1937   16.5  1969    49.2  1986    22.3  1956     0.1  2001    11.6  1962    78.3  1940
   18.6  1991   18.0  1981   14.6  1995    6.8  1989    2.2  1997    0.1  1935    0.0  1996    0.0  1956    0.2  1988    2.7  1939    9.7  1962   16.3  1935    48.8  1982    21.4  1932     0.1  1936    11.4  1936    77.5  1981
   18.6  2021   17.7  1978   14.5  1946    6.7  1966    2.1  1975    0.1  2015    0.0  1940    0.0  1965    0.2  1938    2.7  1950    9.2  1936   16.1  2008    47.5  1991    21.3  1953     0.1  1935    10.7  1983    77.4  1931
   17.9  1946   17.6  1940   14.4  2006    6.6  1953    2.1  2020    0.0  1951    0.0  1969    0.0  1969    0.2  1987    2.6  1948    9.2  1975   15.7  1968    46.5  1959    20.7  1975     0.1  2015    10.7  1948    77.2  1958
   17.8  2010   17.4  1954   14.1  1953    6.5  1951    2.0  1957    0.0  1973    0.0  1968    0.0  1999    0.2  1993    2.6  1988    9.0  1972   15.5  1946    46.4  1970    20.3  1965     0.0  1951    10.5  1967    76.8  1965
   17.6  1977   17.4  1970   13.9  1949    6.3  1990    2.0  2012    0.0  1969    0.0  1944    0.0  1935    0.2  2012    2.6  1964    9.0  2016   15.5  1978    46.2  1969    20.2  1996     0.0  1973    10.5  1947    76.8  1968
   17.2  1984   17.1  1952   13.7  1985    6.2  1950    2.0  1942    0.0  1933    0.0  1938    0.0  1953    0.2  1976    2.5  1951    8.6  2024   15.2  1996    46.1  1965    20.2  1942     0.0  1969    10.4  1972    75.2  2001
   17.0  1931   17.1  1960   13.7  1976    6.2  2016    1.9  1932    0.0  1932    0.0  1949    0.0  1998    0.2  1935    2.4  1946    8.4  1976   15.1  1982    45.8  1977    20.2  1947     0.0  1933    10.4  1937    74.8  1970
   17.0  2001   16.9  1941   13.1  2018    6.2  1973    1.9  1946    0.0  1942    0.0  1942    0.0  1963    0.1  2007    2.4  1932    7.9  1943   14.9  1960    45.2  1996    19.9  1968     0.0  1931    10.3  1975    73.7  1937
   16.7  1954   16.9  2001   12.9  1979    6.1  1975    1.8  1944    0.0  1957    0.0  1941    0.0  1982    0.1  1975    2.3  1952    7.9  1948   14.7  2003    45.2  1987    19.0  1984     0.0  1942    10.1  1980    72.5  1936
