Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England N
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   22.7  1948   20.8  1923   21.4  1947   21.9  1920   22.4  1967   21.6  1912   21.1  1988   22.5  1917   24.0  1918   26.6  1903   22.1  2009   22.5  1911    56.1  1915    52.2  1920    58.2  1912    56.4  2000   178.2  1903
   22.2  2014   19.9  2020   19.7  1981   18.2  1998   20.9  1924   19.7  1907   21.0  1920   21.5  1912   20.1  1896   22.1  1976   21.5  1944   22.4  1915    55.5  1910    49.2  1983    49.8  2012    56.1  1954   176.2  1923
   22.2  1928   19.7  1916   19.6  2023   17.9  2012   18.3  1983   18.6  1987   19.1  1939   20.7  1956   18.9  1950   21.6  1906   21.4  1946   22.1  1929    55.1  2014    49.1  1979    49.4  1956    55.7  1903   172.3  1900
   21.0  2008   19.7  2002   19.6  1897   17.9  1932   18.1  1969   18.5  1948   19.1  2009   20.5  1891   18.5  1954   21.1  1907   20.5  1951   21.9  1914    54.9  1916    46.5  2024    49.4  1958    55.6  1935   172.3  1954
   20.6  1895   19.6  1910   18.9  1912   17.4  2000   18.1  1925   17.9  1980   18.9  2023   19.9  1954   18.2  2017   20.9  1916   20.3  1960   21.3  1934    54.1  2016    45.9  1908    47.7  1907    53.9  1960   171.9  1912
   20.4  2016   18.5  2026   18.9  1913   17.0  2024   17.8  1902   17.7  1935   18.6  1931   19.3  1985   17.4  1974   20.8  1932   20.3  1963   21.1  1959    52.7  1912    45.3  1947    47.6  1946    53.8  1944   171.7  1916
   20.4  1984   18.3  1925   18.9  1914   16.7  1905   17.6  1979   17.6  2012   18.3  1936   18.7  1923   17.4  1927   20.7  1896   20.0  2025   21.1  2015    51.6  1900    45.1  1913    47.3  1954    51.2  2019   170.3  2000
   20.1  1900   17.6  1904   18.5  1903   16.6  1931   17.3  1932   17.5  1991   18.1  1960   18.7  1927   16.8  1965   20.4  1960   20.0  1970   21.0  1919    51.4  1960    45.1  1932    47.2  1927    49.7  1923   168.2  1927
   19.9  1939   17.6  1990   18.1  2024   16.6  2001   17.1  1907   17.4  1958   17.9  2007   18.5  1950   16.7  2000   19.8  2013   20.0  1935   20.6  2023    51.4  2021    45.0  1986    46.9  1931    49.6  1918   167.3  1928
   19.6  1943   17.6  2022   17.8  1988   16.2  1899   16.9  1976   17.3  1998   17.6  1922   18.3  2004   16.5  1924   19.8  2000   19.9  2000   20.6  2020    50.8  1939    44.0  1981    46.1  1924    49.4  1974   167.3  1930
   19.0  1990   17.5  1977   17.7  1916   16.2  1950   16.9  1906   17.2  1997   17.5  1940   18.1  1951   16.5  1957   19.7  1892   19.6  1900   20.6  1993    50.8  1923    43.8  1925    46.0  2020    49.1  1896   166.9  1960
   18.7  1938   17.5  1915   17.6  1896   15.8  2008   16.7  2021   17.0  1972   17.4  1915   18.1  1943   16.3  1935   19.5  2020   19.5  2015   20.3  1999    50.7  1995    43.6  2006    46.0  1985    48.8  2022   165.9  2023
   18.7  1921   17.3  1937   17.2  1908   15.7  2016   16.5  1958   16.8  1928   17.4  1953   18.1  1897   16.3  1968   19.3  1935   19.2  1929   20.1  1896    50.5  2026    43.1  1903    45.9  2004    48.6  1938   164.9  2012
   18.6  2004   17.1  2014   17.1  1994   15.7  1925   16.0  2003   16.3  2020   17.3  1924   18.0  1930   16.1  1899   19.2  1998   18.9  1954   19.7  2011    50.1  1894    42.4  1967    44.6  1963    48.4  1950   164.0  1958
   18.6  1975   17.1  1941   17.0  1979   15.6  1910   15.9  1894   16.1  1945   17.1  1909   17.9  2008   16.0  1946   18.7  1909   18.8  1982   19.6  1986    50.0  1922    42.3  1899    44.3  2008    48.2  1984   163.6  1906
