Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England N
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  188.8  1948  207.0  2020  161.8  1981  135.5  2012  145.4  1967  187.6  2007  157.1  2023  208.7  1956  193.1  1918  219.8  1903  204.6  2009  216.6  2015   451.2  2016   314.2  1979   401.1  1956   491.8  2000  1328.7  1872
  178.2  2008  160.9  2002  138.0  1947  126.4  2000  124.5  1924  167.4  2012  156.0  1988  194.5  2004  162.6  1968  187.9  1870  189.3  1951  194.7  1868   406.4  1995   313.8  1920   397.5  1912   435.3  1954  1276.2  2012
  177.5  1928  154.8  1848  130.4  1979  121.1  1846  121.3  1886  140.2  1848  153.7  2009  180.1  1917  160.3  1976  180.2  1967  183.0  2000  179.2  1876   400.9  2024   303.0  1981   395.5  2012   427.1  1935  1243.2  2000
  155.0  2021  140.6  2022  125.5  2019  114.8  1998  120.8  1932  138.7  1980  153.5  1888  156.0  1891  155.2  1965  174.0  2000  175.7  2015  179.0  2023   400.9  1877   298.8  1983   374.5  2007   426.7  1872  1207.6  2023
  150.3  1995  137.5  1990  114.2  2023  113.6  1920  120.1  2021  136.7  1912  143.7  1895  155.9  1927  149.4  1935  168.9  1938  173.2  2025  171.5  1978   394.2  1869   298.5  1947   359.7  1931   405.6  2025  1183.4  1877
  145.2  2014  135.9  1997  113.5  2006  110.0  1993  118.2  1979  135.1  1982  142.6  1880  154.3  1845  149.2  1866  165.7  1954  160.9  1946  170.3  1915   391.0  2021   296.7  2024   359.2  1879   401.3  2019  1181.4  1954
  145.1  2016  134.2  1966  112.6  1903  109.2  1843  115.5  1847  130.2  1931  142.4  1930  151.6  1877  146.8  1869  165.6  1998  158.8  1944  167.5  1929   384.9  1915   281.2  1986   352.6  1927   398.8  1903  1164.6  2008
  143.5  1984  132.0  1923  112.5  1836  107.2  2024  109.8  1983  128.8  1860  141.6  1940  150.0  1954  145.3  1927  158.7  2023  158.1  1954  163.8  1993   377.7  2014   276.4  2006   352.0  2004   398.3  1944  1148.7  1903
  139.9  1939  126.4  1958  111.8  1897  107.0  1882  107.6  2006  128.7  1997  138.6  1920  149.2  1912  144.5  1872  155.2  1865  157.0  1969  163.5  1914   377.1  2020   273.6  1913   347.1  2020   387.9  2023  1142.8  2019
  139.4  1877  126.0  1950  111.3  1913  102.8  1867  106.3  1878  127.4  1998  138.1  1839  145.9  1881  143.1  2019  154.9  1892  155.4  1963  161.0  1979   371.2  1960   268.1  1998   338.4  2019   382.4  1984  1133.2  2020
  139.3  1960  125.6  1977  107.8  1912  102.3  1983  106.1  2014  127.4  1928  131.7  2007  145.7  1900  142.5  2025  154.2  1906  155.4  1984  160.9  2012   366.4  1990   267.3  1886   337.5  1839   373.2  1976  1117.5  2002
  137.2  1988  124.8  1894  107.7  1848  100.3  1970  106.0  1920  123.1  1907  128.8  1939  145.1  1878  141.6  1950  153.0  1841  151.9  1929  160.3  1986   353.8  1994   265.4  1932   335.5  1848   372.9  1960  1116.8  2024
  134.3  1921  120.3  1937  106.9  1919   99.9  1947  105.4  1925  121.2  2017  127.7  1922  135.3  2020  138.7  1944  151.4  1976  150.4  1852  159.8  1852   352.4  1916   256.0  1862   334.8  1872   371.3  1981  1111.8  1882
