Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England N
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   86.4  2022  113.8  2019  168.7  2022  232.8  2021  272.6  2020  284.3  1940  285.6  2006  252.1  1947  174.1  1986  125.2  2003   94.5  2005   65.8  2001   219.2  2019   663.3  2025   708.3  1976   358.3  1986  1682.4  2025
   78.3  2023  111.5  2008  166.6  2003  232.6  2025  264.2  2025  277.3  1957  260.9  1955  251.8  1995  169.3  1911  122.8  1931   85.6  1988   65.2  2014   211.9  2015   641.9  2020   670.4  1989   337.0  2003  1668.4  2003
   76.6  1959   98.5  1988  166.4  2025  225.0  2020  263.0  2018  249.9  1960  252.4  1911  229.2  1976  168.1  1991  122.5  1959   85.0  1947   58.4  2010   211.7  2000   541.2  2011   653.3  1995   330.5  1971  1634.8  2022
   72.3  2025   98.3  2003  164.4  2012  216.9  2015  249.5  1989  249.4  1975  250.2  1976  223.6  2022  167.4  1914  122.3  1981   84.4  2006   57.6  2004   209.9  2023   540.6  2003   647.5  1911   330.2  1959  1608.5  1995
   69.0  2001   96.9  2004  160.2  1929  215.6  2011  234.2  2001  244.2  2023  248.5  2013  220.9  1975  165.9  1959  117.2  2022   82.8  1973   57.2  2022   206.9  2001   531.2  1948   643.8  1975   325.8  2006  1600.0  1989
   67.7  2000   95.6  1949  149.2  2009  210.1  1914  232.4  1992  239.2  1949  246.0  1989  204.0  1989  157.2  1933  117.0  2008   82.3  2013   57.1  2009   202.4  2022   523.0  2009   628.7  2018   321.3  1981  1585.4  2018
   66.0  2012   94.8  1970  144.4  2020  203.7  2007  230.3  1935  239.0  1970  245.4  2018  198.4  2003  156.3  2015  114.4  2018   81.8  2017   57.0  1967   195.5  2004   521.7  1982   613.5  2006   318.3  1999  1549.4  2006
   65.2  1991   93.0  2016  140.4  1948  202.8  1942  228.4  1948  235.6  1969  235.6  1990  197.3  1983  154.5  2006  113.5  1995   78.3  1985   56.9  2003   194.4  2008   517.4  1990   608.8  2022   317.6  1921  1539.5  2019
   64.1  2015   88.7  2000  139.7  1933  200.5  1984  226.7  1956  230.4  2018  232.7  1934  194.1  1911  154.0  1929  113.1  1971   76.8  1996   56.6  1962   193.0  2018   515.7  1929   606.7  1933   316.2  2007  1529.8  1955
   64.0  2007   88.3  1989  138.8  1995  195.6  1912  225.6  1980  228.8  1976  231.5  2014  193.5  1933  152.8  1999  112.6  1986   76.7  2016   56.2  2008   192.7  2003   510.6  2022   606.5  1959   314.4  2010  1521.5  1959
   61.3  2003   88.2  2001  136.1  1982  193.0  2003  220.4  1943  221.6  1950  229.6  1935  189.8  1959  152.1  1915  111.7  2007   75.3  2010   55.2  1999   191.8  2007   509.5  2021   602.9  1949   311.9  1988  1512.3  2020
   60.6  2019   87.1  2018  135.4  1955  188.0  2019  218.3  1959  221.0  1925  226.1  1984  189.7  2007  152.0  2019  111.5  1955   73.0  1977   55.1  2005   189.8  1989   509.3  2017   599.5  1955   311.7  2016  1505.2  1949
   60.4  1967   86.6  1973  135.1  2007  185.6  1990  218.0  1982  220.5  1989  217.6  1928  187.8  1984  151.7  1921  110.1  1997   72.6  1925   54.8  2017   186.8  1963   505.2  2015   595.6  2013   307.4  2018  1501.9  1975
   58.9  1952   86.5  1999  134.2  1967  184.1  2002  217.6  1977  218.3  1996  211.2  1971  186.8  2016  151.6  1987  108.8  2010   71.8  1975   54.1  2012   184.4  2020   503.5  2019   595.2  1996   306.0  2012  1497.1  2015
   58.2  1965   83.7  1943  133.2  2011  183.9  2022  217.3  1971  216.9  1921  209.7  1995  186.2  1990  150.8  2003  107.6  1921   71.6  1986   51.3  2019   183.6  1999   503.1  2007   592.1  1984   305.0  1964  1495.6  2007
   57.8  2024   83.6  2022  133.0  2026  178.9  1921  217.1  1921  216.3  2010  208.6  1999  185.9  1997  150.4  1979  107.3  1956   69.6  2023   51.3  2006   181.8  1949   498.0  1995   587.4  1940   304.1  1979  1488.7  2011
   57.7  1999   82.6  2015  132.5  1931  175.7  1968  216.5  1949  215.9  1933  206.8  1997  184.9  2005  150.3  1971  106.7  1919   68.2  1989   50.5  1976   178.4  1952   495.7  1956   577.8  1935   304.1  1929  1483.0  2010
   57.5  1962   81.3  1946  130.1  2017  173.3  1945  216.3  2005  213.9  1967  205.5  1959  184.4  2019  149.0  1964  103.8  1926   67.3  1910   49.8  2000   178.1  2002   492.9  2010   574.3  2003   300.9  1947  1474.4  1911
   57.0  2017   80.5  1957  129.1  1953  171.1  2010  214.5  1997  212.7  1914  204.4  1943  182.7  1991  148.9  2020  103.2  2024   67.2  2021   49.7  2013   177.8  2005   489.6  1921   571.7  2014   299.6  1911  1474.4  2009
   56.5  1932   79.8  1934  126.9  2014  170.0  1995  214.4  2009  211.4  1939  203.6  1996  182.5  2025  148.5  2004  103.0  1917   67.0  1971   48.2  1994   175.0  1995   489.3  1943   568.8  2025   298.5  1955  1471.1  2021
   56.5  1963   79.1  2020  125.2  2008  169.6  1951  212.3  1990  211.2  1959  201.9  1917  182.3  1926  148.1  1981  102.6  1999   66.8  1969   47.5  2016   174.1  1967   483.0  1953   567.1  1969   296.6  1975  1467.4  2023
   56.3  1989   78.9  2013  124.0  1910  168.7  1936  211.5  2017  210.1  1917  197.7  1983  180.1  1935  147.2  1963  102.6  1998   66.7  1930   47.1  1973   173.2  1988   481.5  1989   564.2  1934   296.6  1991  1467.0  1921
   55.7  2011   78.2  1952  123.4  1924  168.6  2006  210.3  2023  208.8  2025  197.5  1994  179.9  2014  145.6  1940  102.6  2001   66.6  1952   47.0  1975   173.0  2012   481.2  1955   551.5  1983   294.6  2005  1452.1  2013
   55.3  2010   77.0  1996  123.3  2019  167.7  2017  209.8  2004  208.1  2003  197.3  1933  179.1  1955  144.9  1954  102.5  2012   65.9  1915   47.0  1965   170.5  2013   473.3  2012   550.4  1947   293.9  1995  1450.6  1990
   54.5  1994   77.0  1995  121.0  2010  167.6  1982  209.3  1929  205.8  1915  197.1  2021  178.9  2000  144.7  2005  102.0  1930   65.7  1965   46.1  1981   168.9  1962   473.0  1980   548.5  1928   293.7  1996  1449.7  2017
   54.4  1931   76.6  2021  119.8  2002  165.0  1969  208.0  1919  201.9  1922  196.0  1969  175.7  1949  143.9  1997  101.9  1996   65.4  1978   45.3  1988   168.9  2006   470.2  2016   548.0  2023   291.5  2011  1447.6  2016
   54.2  1934   76.5  2007  119.5  1990  164.5  1994  206.4  2000  201.5  1930  194.3  1921  173.3  1996  142.3  1955  101.2  1929   65.1  2007   45.3  1960   165.7  2010   467.5  1915   541.9  1970   288.8  1987  1440.7  1929
   54.0  2020   75.3  1997  119.2  1943  162.9  2013  204.8  1966  201.3  1973  188.0  1949  171.7  1914  142.0  1934  100.4  1961   64.1  1998   45.0  1970   165.0  2014   466.9  2001   541.6  1950   288.1  2022  1438.8  2001
   53.1  1984   75.2  1960  118.9  1956  162.8  1980  204.8  1975  201.0  1911  184.7  2022  171.7  1972  141.0  2025   99.7  1922   63.9  2012   44.8  1946   164.9  1968   466.5  2018   540.3  1921   286.3  2019  1433.3  2005
   52.8  1986   74.3  2023  118.3  1965  162.4  1948  204.0  1940  200.5  2022  181.9  1918  171.0  1961  139.7  2011   99.7  2016   63.6  1979   44.7  1979   164.7  2025   465.9  2002   536.6  1960   286.1  1997  1426.1  1999
   52.4  1982   73.7  1963  118.0  1970  160.0  1939  203.4  2016  199.9  1951  180.8  2011  170.8  2017  139.7  2012   99.1  1964   63.2  1976   44.7  2018   164.6  2011   464.4  1949   535.6  1994   285.7  1923  1420.0  1943
   52.3  1992   73.6  2005  117.6  1997  159.3  2009  201.4  1915  199.5  1962  180.6  1941  169.3  1988  139.4  2007   98.7  1920   63.1  1922   44.1  1926   162.4  1992   462.2  1942   532.6  1990   282.1  2015  1415.4  1997
   51.3  1990   73.4  1955  117.5  1973  158.9  2023  201.1  2008  199.4  1968  178.6  2019  168.9  2024  139.2  1928   98.3  1952   62.9  1999   44.0  1964   162.3  1997   459.6  1935   531.8  2015   281.9  1928  1411.6  2014
   51.3  1979   73.2  2014  116.8  1961  158.4  2016  200.8  2010  198.9  1918  177.7  1929  168.8  1992  137.8  1982   97.5  1951   62.6  1961   43.9  1986   161.7  2021   459.3  1946   527.5  1918   281.6  1985  1408.7  1984
   51.1  2018   72.7  2002  115.8  2000  158.1  1915  200.0  1922  197.3  1992  177.5  2025  168.7  2015  137.4  1923   97.5  1983   62.0  2009   43.6  1974   161.2  1934   458.3  1997   526.4  1941   281.5  1961  1405.8  1976
   50.7  2009   72.4  1928  115.5  1986  157.1  1962  199.8  2012  195.7  1942  177.2  1991  168.2  1953  136.7  2023   96.7  1970   62.0  2008   43.6  1984   160.1  2009   454.3  2023   525.6  2005   281.3  2021  1405.5  1970
   50.7  1958   72.2  1968  114.1  1972  156.3  1946  199.2  1946  195.4  2021  176.6  1977  167.3  1964  136.5  1942   96.0  1980   61.1  2025   43.4  1980   158.4  1987   453.5  2008   525.3  1967   280.8  2004  1397.9  1986
   50.2  1987   71.9  1998  113.7  2015  155.7  1977  198.6  1953  194.5  1929  176.5  1967  166.9  1970  135.3  2016   95.9  1967   61.0  2003   43.3  2007   157.9  2016   451.8  1977   525.3  1917   280.3  2008  1397.9  1935
   50.1  1910   71.8  1920  112.8  1950  155.3  1953  197.0  1942  193.1  1941  175.7  2001  166.7  1919  135.2  2002   94.6  1965   60.8  1938   43.1  1966   157.8  2017   451.4  2000   525.1  2021   280.1  1914  1395.7  1933
   49.8  1995   71.0  1986  112.6  2001  153.5  1954  196.0  1978  192.9  2006  175.2  1925  166.0  2013  134.3  1988   93.8  1936   60.5  1923   43.0  1961   157.7  1932   445.1  2006   524.4  1992   279.5  2024  1388.5  2004
   49.1  1964   70.9  1985  112.5  1962  153.2  1955  194.9  1957  192.4  2015  174.2  1950  165.7  2001  134.0  2018   93.6  1939   59.7  1943   42.7  1955   157.4  1986   437.9  1959   523.9  2019   279.4  1973  1388.1  2008
   49.1  2026   70.8  1950  111.1  2021  152.9  1916  193.2  1911  191.9  2011  173.6  2017  165.0  1930  133.9  1975   93.4  2011   59.4  1972   42.7  1925   156.7  1991   437.7  2005   521.1  1925   278.6  2023  1377.6  1973
   48.8  1945   70.6  1967  109.2  1985  151.2  1922  193.0  1974  191.8  1995  173.5  1975  164.3  1936  131.5  1919   93.3  1985   59.0  2018   42.6  1957   153.9  1958   436.1  1984   520.8  1997   277.6  1919  1376.2  1988
   48.6  1983   70.3  1933  109.0  1994  150.5  1965  192.7  1964  191.2  1986  173.4  2009  164.2  1973  130.4  2010   93.2  1958   58.8  1954   42.0  1929   153.2  1982   435.6  1922   520.4  2009   277.3  1954  1375.2  2000
   48.5  1974   69.4  2006  108.3  2016  150.1  1956  192.7  1955  190.6  1920  172.0  2008  164.2  1974  129.8  1949   93.2  1984   58.5  2024   42.0  1996   153.2  1956   435.6  1945   519.6  1914   276.8  1915  1373.9  1994
   48.4  1956   69.0  1992  108.0  1915  149.8  1943  192.4  2011  189.1  2009  170.7  2015  164.0  1981  129.4  1947   93.1  1994   58.4  2011   41.7  1936   152.2  1959   434.3  1962   512.1  1929   276.7  1933  1361.8  1940
   47.3  1977   68.5  1962  107.5  1989  149.6  2005  192.2  2019  187.6  1943  170.1  1951  162.2  2010  127.9  1932   92.7  1993   58.3  1921   41.3  1951   152.1  1985   434.0  1914   511.5  1957   275.7  2013  1358.9  1996
   46.6  2005   68.0  1910  107.2  1944  148.1  1952  189.2  1995  187.1  1932  169.6  2016  160.1  1998  127.8  2021   92.2  1962   57.7  1967   41.1  1991   151.8  1970   431.2  1970   508.9  2011   275.5  1989  1353.6  1977
   46.3  2021   67.6  1936  107.1  1945  146.7  1960  188.9  1988  184.6  1919  169.5  1945  158.0  2023  126.8  1953   92.0  1988   56.9  1964   40.9  1948   151.6  1974   430.0  1939   508.8  1999   273.9  2025  1353.4  1982
   45.8  1988   66.6  1932  106.5  1938  146.2  1929  186.8  1986  183.1  1974  169.1  1942  157.9  2009  125.9  1935   91.9  2019   56.6  1995   40.9  1952   151.3  1977   429.1  1974   508.6  2010   272.0  1926  1352.6  1915
   45.7  1930   66.1  2012  106.4  1966  146.1  1938  185.7  1960  181.5  1963  168.7  1963  157.1  1994  124.9  2022   91.3  2000   56.2  1927   40.8  2011   150.9  1981   427.9  1992   507.6  1926   271.4  1998  1351.6  1914
   45.7  1923   65.2  1937  106.4  1978  145.2  1999  185.4  1984  181.1  1994  167.8  2003  156.9  1952  123.9  2009   90.9  1975   55.7  1992   40.5  1983   150.0  1994   427.2  1973   507.0  1930   271.1  1963  1348.4  2012
   45.2  1949   65.0  1939  105.6  1993  144.6  1973  185.3  1952  181.1  2013  167.1  1966  156.3  1945  123.9  1995   90.8  1928   55.0  1911   40.3  2025   149.7  1973   427.1  1994   507.0  2024   271.0  2002  1346.1  1992
   45.0  1997   64.3  1987  105.2  1949  144.1  1991  185.1  2006  180.6  1979  164.3  1953  155.8  1937  122.8  1989   90.8  1977   54.7  1948   40.2  1993   148.4  1983   427.0  2004   506.9  1943   270.1  2020  1345.0  1967
   45.0  1940   63.8  2025  103.8  1946  143.3  1957  184.4  1987  180.5  1988  164.2  2007  155.5  2004  122.7  1926   90.5  1987   54.2  2001   40.1  1935   148.3  1933   424.0  1975   506.6  2017   270.0  2009  1342.3  1957
   44.8  1981   62.7  1981  103.8  2004  142.7  1949  182.9  1918  178.4  1934  163.7  1982  155.2  1931  122.2  1937   90.3  1969   53.4  1937   39.5  1998   148.1  1946   423.1  1987   504.0  1977   268.6  2017  1338.4  1952
