Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England N
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.2  1916   10.2  2019   12.2  2012   15.6  2011   17.5  2018   21.3  1940   24.1  2006   22.7  1995   19.6  2006   15.9  1921   11.3  2011   11.0  2015    8.50  1989   14.59  2025   21.21  1976   15.04  2006   14.03  2025
    8.9  2007    9.9  1998   12.2  1938   14.9  2007   17.3  2025   20.9  2023   23.1  2018   22.6  1947   19.5  2023   15.6  1959   11.1  1994    9.2  1974    8.42  2016   13.64  2011   20.95  2025   14.64  2011   13.99  2022
    8.5  1921    9.4  2024   11.6  2025   14.8  2025   17.2  2024   20.5  2025   22.4  2013   22.3  1975   19.5  1895   15.4  1995   11.1  2015    9.0  1988    8.27  2007   13.61  1893   20.94  2018   14.42  1959   13.65  2023
    8.4  1989    9.0  1945   11.6  1948   14.2  2020   17.2  1919   20.2  1976   22.3  1983   22.1  2022   19.1  1949   15.3  2001   10.7  1899    8.8  2024    8.02  2019   13.56  2020   20.92  2022   14.34  2022   13.52  2014
    8.3  1975    9.0  2023   11.3  1961   13.9  1914   16.9  1992   19.9  1970   22.0  1976   21.9  1997   18.9  2021   15.2  1969   10.6  1938    8.7  1898    8.00  1998   13.42  2003   20.89  2006   14.31  2021   13.50  2003
    8.3  1932    8.9  1914   11.3  2003   13.9  1893   16.8  2020   19.9  1960   22.0  1934   21.4  1976   18.9  1999   15.1  2006   10.6  2020    8.7  1900    7.98  2024   13.41  2017   20.66  1933   14.19  2014   13.48  2006
    8.3  2020    8.9  1990   11.3  1929   13.7  2003   16.8  2017   19.9  2018   22.0  1995   21.3  1911   18.7  1959   14.9  2022   10.6  2022    8.7  1934    7.96  1975   13.30  2022   20.64  1995   14.13  2023   13.44  2011
    8.2  2008    8.8  2022   11.3  1945   13.6  1943   16.6  1947   19.8  1950   21.9  1911   21.2  1933   18.7  2016   14.8  1908   10.5  2006    8.6  2016    7.96  2008   13.24  1945   20.40  2003   13.90  1999   13.34  2024
    8.2  1990    8.8  2008   11.2  2022   13.5  2009   16.6  1952   19.7  2006   21.7  2022   21.2  1990   18.6  1929   14.7  2011   10.4  1978    8.6  1921    7.92  2020   13.16  2007   20.39  1911   13.85  2005   13.32  2020
    8.1  1983    8.8  2002   11.2  2026   13.4  1946   16.6  2023   19.5  2003   21.7  1921   21.2  1955   18.6  1933   14.6  2005   10.2  2014    8.6  2013    7.86  2022   13.09  2024   20.32  1975   13.80  1995   13.27  2007
    8.0  1898    8.7  1903   11.1  1957   13.3  1945   16.5  2008   19.5  1992   21.7  1901   21.1  2003   18.3  1898   14.4  1945   10.2  2003    8.3  2025    7.84  2014   13.01  1943   20.22  1947   13.78  1949   13.27  2018
    8.0  2005    8.6  1997   11.1  2017   13.1  2014   16.5  1911   19.5  1887   21.6  1955   21.1  2025   18.2  2003   14.4  2014   10.1  1913    8.3  1924    7.67  1990   13.00  2014   20.21  1899   13.68  2001   13.25  1949
    7.7  1944    8.4  1961   11.0  1893   13.1  1949   16.5  1918   19.4  1899   21.5  2014   21.0  1899   18.1  1947   14.4  2017   10.1  2001    8.2  1912    7.49  2017   12.96  1948   20.03  2013   13.65  1947   13.25  1921
    7.6  1923    8.4  1943   10.9  1997   13.0  1987   16.5  1940   19.3  1933   21.5  1989   20.8  1959   18.0  1961   14.2  2013   10.0  2025    8.2  1971    7.46  1949   12.92  1990   19.96  1959   13.63  2015   13.24  1959
    7.6  1993    8.1  2000   10.9  1990   12.9  1944   16.4  1964   19.3  1896   21.4  1933   20.8  1984   17.9  2014   14.1  1971   10.0  1953    8.2  2023    7.45  2002   12.92  2009   19.93  1935   13.56  2009   13.13  1990
    7.6  1974    8.1  1989   10.6  1933   12.9  1952   16.3  1959   19.2  2021   21.3  2021   20.7  1935   17.9  1934   14.1  2021   10.0  1997    8.1  2018    7.42  2005   12.65  2002   19.93  1983   13.55  2007   13.12  2017
    7.5  2002    8.1  1949   10.5  2014   12.9  2019   16.3  1989   19.2  2010   21.3  1994   20.7  1983   17.9  1991   14.1  1978   10.0  2009    8.1  1953    7.38  1935   12.65  1959   19.82  2021   13.55  1978   13.10  2019
    7.5  1890    8.1  1992   10.5  1950   12.8  2015   16.3  2001   19.1  1889   21.3  2025   20.6  1884   17.9  1890   14.0  1968   10.0  1951    8.1  1918    7.38  1899   12.62  1997   19.82  1949   13.53  1945   13.09  2005
    7.5  1957    8.0  1920   10.3  2002   12.8  2010   16.3  1922   19.0  1957   21.1  2019   20.5  1893   17.9  2011   13.9  1949   10.0  2018    8.0  1994    7.36  1995   12.62  2019   19.78  1989   13.50  2025   13.08  1999
    7.4  2022    8.0  2011   10.3  1998   12.8  2002   16.2  1990   19.0  1949   21.1  1941   20.5  1991   17.9  2005   13.9  1947    9.9  2021    8.0  1942    7.33  1943   12.61  1952   19.77  2023   13.44  2003   13.05  1989
    7.3  1938    8.0  2007   10.3  2019   12.7  1955   16.1  1953   18.9  2022   20.9  1900   20.3  2019   17.7  1906   13.9  1996    9.9  2007    8.0  1954    7.32  1999   12.56  1938   19.74  1887   13.42  1898   13.05  1997
    7.2  1999    8.0  2020   10.1  1894   12.6  1912   16.1  1960   18.9  1893   20.9  1887   20.2  2013   17.6  1981   13.9  2007    9.8  1986    7.9  2006    7.26  1925   12.55  1999   19.71  1955   13.37  1913   13.03  2015
    7.2  2023    8.0  1891   10.1  2021   12.6  2022   16.1  2022   18.8  1930   20.8  1999   20.1  2004   17.6  1958   13.8  1989    9.8  1939    7.8  2004    7.24  2023   12.51  2023   19.64  2019   13.36  1908   13.02  2004
    7.2  2012    8.0  1995   10.1  1953   12.5  1909   16.0  1970   18.7  2005   20.8  1905   20.1  1937   17.6  1971   13.8  1954    9.7  1917    7.7  1986    7.18  1957   12.50  1992   19.62  1934   13.35  1921   13.01  2021
    7.2  1884    7.9  1926   10.0  2000   12.5  1894   16.0  1893   18.7  2017   20.7  1991   20.0  1949   17.5  2022   13.8  2024    9.7  1999    7.6  1980    7.17  1932   12.45  2004   19.58  1901   13.35  2018   13.00  1995
    7.2  2016    7.9  1918   10.0  2024   12.4  2004   15.9  1998   18.5  1917   20.7  1935   20.0  1906   17.5  1941   13.8  2023    9.7  2002    7.6  1997    7.15  1974   12.42  1933   19.55  1984   13.34  2020   13.00  2002
    7.2  1949    7.9  2014   10.0  1907   12.4  1948   15.9  1917   18.5  2014   20.7  1925   20.0  1996   17.5  1921   13.7  2009    9.6  1946    7.6  1998    7.13  2000   12.38  1961   19.50  1997   13.29  1971   12.93  1945
