Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England N
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.4  1916    7.0  1998    8.3  1938   10.7  2011   13.3  2024   15.8  2025   18.2  2006   17.3  1975   15.5  2006   12.4  2001    8.5  2011    8.0  2015    5.72  1989    9.55  2025   16.42  2025   11.52  2006   10.18  2025
    5.9  2007    6.6  2024    7.8  2012   10.1  2007   12.2  2018   15.7  2023   17.5  2018   17.2  1997   15.5  2023   11.9  1921    8.5  1994    6.6  1934    5.49  2016    9.51  2024   16.10  2022   11.28  2011   10.13  2022
    5.7  1921    6.1  1990    7.7  1957    9.6  2025   12.1  2017   15.2  1940   17.2  1983   17.1  1995   15.0  2021   11.8  1995    8.2  2015    6.6  1974    5.43  2007    9.24  2017   16.03  2018   11.04  2022   10.08  2023
    5.6  1989    6.1  2019    7.5  2017    9.3  1943   12.0  2022   15.1  1976   17.2  2013   16.9  2022   15.0  2016   11.8  2005    8.0  2022    6.5  1988    5.39  2024    9.23  2011   16.00  2006   10.99  2021    9.92  2024
    5.6  2020    6.0  2023    7.4  1990    9.3  2014   12.0  2025   14.9  2003   17.1  2022   16.9  1947   14.8  1949   11.8  2006    7.8  1938    6.4  2024    5.30  1998    9.12  2014   15.89  2003   10.85  2023    9.92  2014
    5.6  1898    5.9  1945    7.4  1961    9.2  2020   11.9  1992   14.8  2018   17.0  1995   16.6  1990   14.6  1999   11.7  1969    7.7  2020    6.2  1900    5.21  2020    9.04  2022   15.81  1976   10.83  2014    9.77  2006
    5.5  1990    5.8  1914    7.3  2026    8.9  1949   11.9  2008   14.8  1950   16.8  2021   16.6  2025   14.3  1895   11.6  2022    7.7  1899    6.0  2025    5.21  1975    9.00  2007   15.68  1933   10.47  2001    9.72  2011
    5.4  1975    5.8  1903    7.2  1997    8.9  2009   11.9  2023   14.7  2017   16.8  2025   16.5  1911   14.1  2011   11.4  2017    7.6  2014    6.0  1924    5.12  2014    8.86  2003   15.65  1995   10.43  1999    9.64  2020
    5.4  2008    5.7  2002    7.2  1945    8.9  1987   11.9  1952   14.7  2006   16.8  2019   16.4  1955   13.9  2005   11.4  2013    7.5  1997    5.9  1971    4.98  1935    8.82  1999   15.53  2021   10.43  2005    9.60  2017
    5.4  1983    5.7  2022    7.1  2025    8.8  2003   11.8  1964   14.7  1970   16.7  1934   16.4  2003   13.8  1961   11.4  1959    7.5  1953    5.9  1898    4.98  1990    8.82  2020   15.52  1947   10.39  1995    9.57  2007
    5.2  2005    5.5  1997    7.0  1948    8.8  1946   11.8  1999   14.6  1960   16.6  1901   16.3  1933   13.8  2014   11.3  2011    7.4  1978    5.8  1953    4.94  2019    8.74  1945   15.46  2023   10.38  1978    9.53  2018
    5.1  1932    5.5  1961    6.9  2022    8.7  2004   11.7  1919   14.6  1992   16.5  1933   16.3  2004   13.8  1890   11.3  1968    7.3  2018    5.8  2016    4.93  2022    8.69  2009   15.44  2019   10.32  1959    9.49  1999
    4.9  1884    5.4  2026    6.9  2024    8.7  1944   11.6  1947   14.5  2021   16.5  1976   16.3  2019   13.8  1958   11.1  2014    7.3  2006    5.7  2023    4.82  2017    8.58  1992   15.40  1975   10.30  1949    9.49  2003
    4.8  1923    5.4  2011    6.8  2019    8.6  1914   11.6  1998   14.5  1896   16.5  2014   16.0  2002   13.8  1933   11.1  1908    7.3  2025    5.6  1921    4.81  2026    8.56  1990   15.37  2013   10.27  2009    9.49  2004
    4.8  1944    5.3  1918    6.8  1998    8.6  1945   11.6  1911   14.2  2010   16.5  1989   16.0  1959   13.7  1898   11.0  2021    7.2  1951    5.6  2013    4.73  2008    8.53  2023   15.25  1911   10.26  2025    9.48  1990
    4.7  1974    5.3  2017    6.8  1991    8.5  2018   11.5  1953   14.2  2005   16.4  2003   16.0  1893   13.7  1929   10.9  1978    7.2  2009    5.5  2018    4.61  1925    8.52  2002   15.23  1983   10.11  1945    9.46  2005
    4.6  1976    5.2  1926    6.7  2014    8.4  1961   11.5  1918   14.2  2014   16.4  1991   15.9  1984   13.7  1941   10.7  2023    7.2  2003    5.4  1954    4.57  2005    8.49  1893   15.19  1899   10.00  2017    9.43  2002
    4.6  1938    5.2  2014    6.7  2021    8.4  1999   11.5  2020   14.2  2022   16.3  1921   15.9  2013   13.6  1947   10.6  1945    7.1  1913    5.3  1942    4.53  1943    8.48  1959   15.18  1997    9.99  2015    9.43  2019
    4.6  2014    5.1  1943    6.6  2003    8.3  2024   11.4  2014   14.1  1933   16.3  1994   15.9  1899   13.5  2022   10.6  1954    7.1  2002    5.3  2006    4.50  2025    8.47  2004   15.17  1959    9.96  2020    9.38  1997
    4.5  2016    5.1  2020    6.5  2000    8.3  1893   11.4  1970   14.1  1887   16.3  1911   15.9  1991   13.5  2000   10.6  1990    7.0  1946    5.3  1918    4.42  1923    8.46  1961   15.08  2016    9.94  2007    9.34  1949
    4.5  1957    5.1  2000    6.4  1950    8.2  1993   11.4  1960   14.1  2004   16.2  1999   15.8  2020   13.5  1980   10.5  1977    7.0  1917    5.2  1912    4.41  1995    8.45  1952   15.00  1935    9.93  1913    9.34  2021
    4.5  2002    5.1  1995    6.4  2002    8.2  1955   11.4  1989   14.1  1947   16.2  1900   15.8  1983   13.5  1981   10.5  1989    7.0  1939    5.2  1910    4.41  1949    8.43  1943   15.00  2004    9.92  1898    9.32  2016
    4.5  1890    5.0  2007    6.4  2005    8.2  1952   11.3  1889   14.1  2020   16.2  1955   15.8  1976   13.5  1959   10.5  2025    6.9  1984    5.1  1994    4.41  1999    8.41  1998   14.93  2005    9.91  2004    9.28  1989
    4.5  1999    5.0  1989    6.3  1999    8.1  2002   11.3  2001   14.0  1889   16.1  1941   15.7  2018   13.4  2004   10.5  2024    6.9  1999    5.0  1997    4.36  1976    8.38  1997   14.93  2014    9.88  2018    9.26  1959
    4.5  1993    4.9  1992    6.2  2007    8.1  1959   11.3  1959   13.9  1966   16.0  1905   15.7  2009   13.4  1998   10.4  1949    6.9  2021    4.9  1987    4.36  2023    8.37  2019   14.92  1989    9.87  1938    9.25  2015
    4.5  2023    4.7  2008    6.2  1981    8.1  2022   11.2  2011   13.9  1899   16.0  1923   15.7  2016   13.4  1936   10.4  1996    6.8  2004    4.9  1932    4.32  1957    8.23  1938   14.89  2009    9.85  2016    9.20  1921
    4.4  2022    4.7  1920    6.2  2009    8.1  2017   11.2  2003   13.8  2016   15.9  1887   15.7  2024   13.3  1985   10.3  2009    6.8  2007    4.9  1985    4.31  1921    8.22  1933   14.88  2017    9.83  2013    9.19  2009
    4.3  2012    4.7  1946    6.2  1992    8.1  2010   11.2  1940   13.8  1973   15.8  2010   15.6  1935   13.3  2003   10.3  1971    6.8  1995    4.9  2019    4.31  2002    8.20  1948   14.88  1949    9.81  1947    9.19  1998
    4.3  2004    4.6  1935    6.2  1994    8.1  2019   11.2  2016   13.8  1893   15.8  1975   15.5  1884   13.3  1934   10.2  1985    6.8  2001    4.9  1977    4.30  2012    8.18  2012   14.88  1955    9.80  1968    9.18  1995
    4.2  1949    4.6  1928    6.1  1933    8.1  1926   11.2  1990   13.8  2007   15.8  1925   15.5  2001   13.3  2009   10.2  1898    6.7  1986    4.8  2021    4.30  1988    8.14  2018   14.81  2010    9.80  2024    9.13  1945
    4.2  2000    4.6  1949    6.1  1893    8.0  1894   11.1  1922   13.8  1930   15.7  1926   15.5  1996   13.2  2010   10.1  1947    6.7  1894    4.8  1986    4.29  1899    8.12  2005   14.81  2020    9.79  1908    9.10  2000
    4.2  1906    4.6  2025    6.0  1959    8.0  1960   11.1  1893   13.7  1959   15.7  2001   15.5  2023   13.2  2002   10.1  2007    6.6  1945    4.8  1956    4.28  1974    8.08  1957   14.80  1984    9.78  1989    9.06  2008
    4.1  1998    4.6  2004    6.0  1989    8.0  1933   11.1  2004   13.7  1935   15.7  1959   15.5  2008   13.2  1970   10.1  1979    6.6  1897    4.8  1911    4.26  1898    8.08  1960   14.80  1990    9.73  1984    9.00  1938
    4.1  1969    4.5  1974    6.0  1921    7.9  2015   11.1  1908   13.6  2009   15.7  1899   15.4  2012   13.2  1991   10.0  2016    6.6  1963    4.8  1959    4.22  2004    8.07  2000   14.75  1893    9.71  1951    8.92  1953
    4.1  1930    4.4  1967    6.0  1967    7.8  1948   11.0  2009   13.6  1982   15.7  1935   15.4  1949   13.2  1955   10.0  2015    6.5  1982    4.7  1941    4.21  1932    7.98  2008   14.73  2024    9.70  1953    8.91  1934
    4.1  1925    4.4  1939    6.0  1927    7.8  1964   11.0  2002   13.5  1949   15.6  1949   15.4  1944   13.1  2019   10.0  1984    6.5  1928    4.7  1983    4.21  1916    7.96  1912   14.71  1934    9.70  1997    8.87  1933
    4.0  1988    4.4  1993    5.9  1912    7.8  1997   10.9  2006   13.5  1900   15.6  2016   15.4  1932   13.1  1989    9.9  1965    6.5  1931    4.7  2011    4.19  2000    7.90  1993   14.69  1950    9.61  1958    8.84  1994
    4.0  2018    4.3  1980    5.9  2023    7.8  2023   10.8  1917   13.4  2000   15.6  1945   15.4  1906   13.1  1971    9.8  1999    6.5  1981    4.7  2004    4.13  1914    7.86  1991   14.67  2008    9.61  1906    8.80  1943
