Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England N
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    3.6  1916    4.0  1998    4.4  1938    5.7  2011    9.4  2024   11.1  2025   12.5  2022   12.6  1997   11.5  2006    9.4  2001    5.9  1994    5.0  2015    2.94  1989    5.94  2024   11.91  2025    7.99  2006    6.51  2024
    3.1  1898    3.7  2024    4.3  1957    5.4  2014    8.0  2022   10.8  2017   12.4  2025   12.5  2004   11.4  2023    9.0  2005    5.7  2011    4.6  1934    2.77  2024    5.27  2014   11.41  2003    7.93  2011    6.50  2023
    3.0  2020    3.4  2026    3.9  1990    5.3  2007    7.7  1999   10.5  2023   12.4  2006   12.3  1975   11.2  2016    8.6  2013    5.5  2022    4.0  1974    2.62  1998    5.11  1999   11.30  2022    7.74  2022    6.34  2014
    3.0  1921    3.3  1990    3.9  2017    5.1  2004    7.6  2014   10.3  2003   12.4  2019   12.3  2019   11.1  2021    8.6  1968    5.2  2015    4.0  1988    2.60  1935    5.08  2017   11.29  2019    7.66  2021    6.33  2025
    2.9  2007    3.0  2023    3.7  2024    5.0  1943    7.5  2017   10.1  1976   12.4  2021   12.1  2025   10.6  1949    8.5  2017    5.1  1997    3.9  2024    2.59  2007    4.86  2007   11.26  2021    7.55  2023    6.27  2022
    2.9  1989    2.8  1903    3.6  1991    4.9  2018    7.3  1964    9.9  2020   12.3  2003   12.1  2002   10.3  1999    8.4  2006    5.0  1938    3.7  1924    2.54  2016    4.83  2011   11.18  2023    7.48  2014    6.10  2017
    2.8  1990    2.8  1945    3.5  1997    4.8  1949    7.3  1998    9.9  2014   12.2  1983   12.1  1990   10.2  2011    8.4  1969    5.0  1953    3.6  1900    2.51  2020    4.79  2022   11.16  2018    7.26  2001    6.08  2006
    2.7  2008    2.8  2011    3.5  1961    4.8  1961    7.3  2008    9.9  2016   12.1  1995   12.1  2008   10.0  1958    8.3  2022    4.9  2014    3.6  2025    2.49  2026    4.69  1992   11.15  2006    7.23  1978    6.00  2011
    2.6  1983    2.7  2017    3.4  2012    4.8  1993    7.2  1952    9.9  2021   12.1  2013   12.0  2020   10.0  1936    8.3  1995    4.9  2020    3.6  1971    2.46  1975    4.68  1998   11.07  2016    7.04  1968    5.97  2004
    2.6  1975    2.7  1914    3.4  2005    4.7  1987    7.2  2023    9.9  1966   12.0  1991   11.8  2022   10.0  1998    7.9  2021    4.7  1984    3.5  1953    2.39  2014    4.56  1961   10.96  2004    7.03  2025    5.96  2020
    2.5  1884    2.6  1961    3.4  2019    4.6  2024    7.1  2002    9.9  2004   12.0  2018   11.7  2009    9.9  1980    7.9  2011    4.7  1899    3.3  2023    2.31  1990    4.55  2023   10.90  2020    7.01  2005    5.93  1999
    2.4  2005    2.6  1926    3.4  2026    4.5  1999    7.1  2003    9.8  2007   11.9  2010   11.7  2016    9.9  1941    7.9  1921    4.6  2018    3.0  1898    2.16  2017    4.52  2025   10.89  1997    6.99  1995    5.89  2002
    2.3  1976    2.6  1918    3.3  1998    4.4  1944    7.0  2011    9.8  1982   11.9  1923   11.7  1955    9.8  2005    7.9  2014    4.5  1951    3.0  1954    2.01  2022    4.50  2004   10.88  1947    6.99  2009    5.88  2007
