Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England NW and N Wales
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.9  1963   27.7  1947   22.3  1955   13.0  2021    4.5  1941    0.6  1991    0.0  1954    0.1  1932    1.7  1932    7.2  1931   14.0  1965   23.7  2010    72.2  1963    31.0  2013     0.6  1991    20.5  1993    94.1  2010
   27.0  1940   27.0  1963   22.1  1962   10.1  1968    4.3  1996    0.3  1962    0.0  1965    0.1  1931    1.1  1986    6.9  1993   13.6  1985   22.6  1981    61.5  1979    27.6  1955     0.3  1962    16.0  1952    88.8  1955
   25.7  1979   25.3  1942   21.0  2013   10.0  1956    4.1  1979    0.3  1941    0.0  1960    0.0  1977    0.5  1979    5.9  1955   13.5  1993   22.0  1950    59.0  1947    26.8  1962     0.3  1941    14.2  1965    84.5  1979
   25.1  1985   24.8  1986   20.3  1937    9.7  1936    3.6  1935    0.2  1975    0.0  1973    0.0  1937    0.5  1974    5.6  1992   12.6  1996   20.0  1933    56.0  1942    26.5  1969     0.2  1975    13.8  1985    83.7  1969
   23.7  1941   22.9  1956   19.0  1931    9.1  1970    3.0  1938    0.2  1969    0.0  2001    0.0  1976    0.5  1954    4.5  1997   12.5  1952   20.0  1961    55.4  2010    25.9  1958     0.2  1977    13.7  1955    83.4  1963
   22.7  1942   22.3  1968   18.1  1958    9.0  2013    2.8  1982    0.1  1977    0.0  1971    0.0  1934    0.5  1939    4.4  2003   11.9  2005   18.2  1976    54.3  1940    25.2  1970     0.2  1969    13.2  1988    82.7  1942
   21.9  1945   20.9  1979   17.3  1951    8.6  1969    2.7  2021    0.1  1971    0.0  1962    0.0  1962    0.4  1972    4.0  1981   11.5  1969   17.6  2001    48.5  1951    24.9  1951     0.1  1971    13.0  2010    79.3  1947
   20.9  1959   20.4  2010   16.7  1969    8.4  1938    2.7  1945    0.1  1989    0.0  1984    0.0  1938    0.4  1931    3.9  1983   10.7  1971   17.3  1962    47.9  1956    24.3  1941     0.1  1973    12.6  1996    78.3  1941
   20.9  1987   20.0  1996   16.1  1970    7.7  1986    2.6  1984    0.1  1973    0.0  1947    0.0  1964    0.3  1943    3.5  1973   10.4  2010   17.2  2009    47.5  1941    22.5  1931     0.1  1989    12.3  1973    76.6  1996
   19.1  1933   20.0  1955   16.0  1947    7.2  1978    2.4  1995    0.1  1939    0.0  1959    0.0  1961    0.3  1952    3.3  2018   10.2  1988   17.0  1969    46.9  1986    21.9  1937     0.1  1932    12.0  2005    76.2  1985
