Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England NW and N Wales
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   25.7  1928   23.7  1910   23.7  1903   24.2  1920   24.0  1967   24.3  1907   23.7  1920   24.1  1912   26.7  1918   28.9  1903   26.0  2000   26.4  2015    66.1  2014    61.8  1920    61.2  1912    68.5  2000   211.2  1923
   24.9  2014   22.6  1925   23.1  1914   20.4  1932   23.4  1924   22.0  1912   22.8  1939   23.8  1917   24.2  1896   25.2  2000   25.7  2009   25.9  2011    64.2  2016    56.5  1983    57.1  1907    67.3  1954   205.9  1903
   24.7  1948   22.5  2020   22.6  1912   19.7  1950   20.4  1983   20.4  1948   22.4  1988   23.5  1985   24.0  1950   25.1  1923   24.5  1951   25.4  1911    64.0  1995    53.5  1947    56.5  1927    64.6  1935   202.4  1954
   23.8  1921   21.9  1923   22.5  1947   18.8  1998   20.2  1902   20.3  1935   21.6  2009   22.7  1956   23.1  1954   24.4  1930   24.2  1960   25.0  1959    62.4  1910    53.2  1913    56.1  1924    63.6  1903   201.2  2000
   23.8  1975   21.8  1937   22.2  1992   18.7  1899   20.1  1925   19.8  1998   20.5  1960   22.5  1891   21.8  1974   24.3  1967   23.9  1944   24.9  1929    61.7  1916    52.6  1979    55.0  2012    61.2  1923   195.7  1928
   23.7  1984   21.3  1990   21.9  1994   18.2  2012   19.9  1969   19.4  1928   20.5  1936   22.0  1943   20.2  1927   24.2  1906   23.6  2015   24.6  1993    60.5  1923    50.6  1986    54.6  1946    59.3  1967   195.5  1927
   23.7  1990   21.3  2014   21.3  1897   18.0  1910   19.5  1906   19.4  1987   20.5  2007   21.9  1923   20.2  1924   24.0  1934   23.3  1992   24.4  1999    59.9  1920    50.1  1903    54.3  1954    59.0  1944   193.9  1930
   23.2  1988   21.3  2002   21.2  1896   17.7  2024   18.9  1979   19.3  1980   20.2  1931   21.7  1897   19.8  2017   24.0  1916   23.3  1929   24.0  2023    59.6  1922    50.0  1932    53.2  1956    58.2  1974   193.2  1924
   23.1  2016   21.0  2000   21.2  2023   17.6  1931   18.5  1958   19.2  1991   20.2  2023   21.6  1903   19.8  1946   23.7  1917   23.1  1982   23.8  1919    59.2  1915    50.0  2024    53.2  2020    57.7  1950   192.8  1920
   22.8  1900   20.6  2022   21.1  1988   17.6  1970   18.5  1932   18.8  1972   20.0  1924   21.6  1927   19.7  1935   23.7  1935   23.1  1970   23.4  2020    59.1  2000    49.9  1902    52.8  1958    57.3  1938   191.7  1900
   22.6  2008   20.3  1916   20.8  1913   17.5  1983   18.2  1986   18.5  1945   19.7  1953   21.4  1930   19.3  1892   22.8  1907   21.9  1963   23.4  1934    58.6  1894    49.8  2006    52.2  1985    57.1  1918   189.7  2023
   22.3  1927   20.1  1995   20.8  1981   17.4  1905   18.2  2021   18.2  2012   19.2  1909   21.2  1924   19.0  1957   22.7  1932   21.5  1946   23.4  1915    58.5  1931    49.0  1992    52.0  1931    57.0  1960   188.9  1950
   22.1  1943   19.8  2026   20.5  1921   17.2  2001   18.2  2011   18.2  2020   19.1  1922   21.1  1950   18.9  1899   22.7  1954   21.5  1954   23.2  1918    58.2  1937    48.3  1925    50.8  1930    56.7  1892   188.8  1912
   21.8  1993   19.7  1893   20.1  1905   17.0  2008   18.2  1976   17.7  1946   19.1  1940   20.7  1946   18.9  1925   22.5  1928   21.4  1938   23.0  1966    58.2  1990    47.9  1908    49.8  1894    56.5  1930   188.5  2012
   21.7  1999   19.6  1931   20.1  2024   17.0  1961   18.1  1907   17.4  1958   18.9  2012   20.6  1954   18.6  1923   22.3  1938   21.3  1935   22.8  1986    57.6  1994    47.9  1897    49.6  1928    56.2  1984   188.4  1916
   21.6  1995   19.3  1977   19.8  1920   16.9  1994   18.0  2003   17.3  1931   18.8  1954   20.5  1941   18.4  2019   21.7  2020   21.3  1913   22.5  1965    57.2  1960    47.2  1963    49.1  1960    56.0  2022   187.0  1967
   21.5  1938   19.1  1997   19.3  1995   16.8  1913   17.8  1920   17.2  1990   18.7  1930   20.4  1951   18.4  1943   21.5  1998   21.0  1939   22.4  1914    56.9  2024    47.2  1967    48.9  1922    56.0  1981   186.9  1931
   21.4  1986   19.0  1915   19.0  2006   16.8  1992   17.8  1894   17.2  1927   18.5  1932   20.3  1910   18.1  1984   21.5  1929   21.0  1931   22.3  1994    56.8  1943    46.9  1994    48.8  1963    54.8  1970   186.9  1907
   21.4  1922   19.0  1894   18.9  2008   16.7  1925   17.7  1945   16.5  2025   18.1  1915   19.9  1929   18.0  2012   21.5  1892   20.8  1940   22.0  1912    56.6  1939    46.2  1981    48.8  1948    54.6  1992   186.8  1951
