Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England NW and N Wales
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  252.7  1928  293.2  2020  225.3  1981  157.9  1843  166.6  1967  205.7  2012  199.3  2023  253.3  1956  273.3  1918  286.1  1967  306.1  2009  342.9  2015   689.3  2016   447.4  1920   489.4  2012   672.9  2000  1724.0  1872
  252.6  1948  242.0  2002  187.3  2019  148.5  1920  159.5  2021  172.0  2007  193.8  1939  227.3  1917  233.7  1950  272.5  1903  260.9  2015  266.0  1993   626.0  1995   396.9  1947   484.6  1879   655.8  1954  1690.5  2000
  235.2  2008  214.7  1997  182.3  1903  143.1  1970  154.2  1924  171.7  1928  187.0  1920  214.3  1891  230.4  1869  259.5  2000  252.6  2000  258.5  1868   581.8  2014   383.2  2024   468.6  1956   578.0  1872  1662.7  1954
  219.4  1995  205.4  1990  180.3  1947  139.6  1867  146.1  1886  167.8  1907  186.7  1839  197.7  2004  208.8  1866  256.6  1954  248.8  1929  246.5  1986   571.2  2020   375.8  1979   466.6  2020   555.7  1935  1643.4  2020
  218.5  1990  203.8  1848  176.5  1994  139.3  1913  141.8  1920  165.7  1860  181.3  1888  196.8  1927  201.0  1935  250.7  1870  237.1  1951  242.3  1852   564.9  1869   373.1  2006   460.9  1912   554.5  1981  1624.7  2012
  208.0  1975  196.0  2022  171.3  1912  135.2  2024  141.7  2015  161.0  1998  180.7  1988  191.5  1985  200.5  2025  245.1  2008  235.3  1960  239.0  2023   561.2  2024   371.8  1981   442.7  1927   552.2  2025  1609.7  1877
  205.2  2014  188.0  2014  168.5  2023  129.8  1947  139.1  1993  156.2  1931  180.3  2009  191.2  1950  200.0  1839  240.6  1938  231.5  1954  237.9  2006   560.4  1990   369.2  1913   431.6  1928   548.4  1967  1606.9  2023
  205.0  1999  185.3  1923  161.5  1836  128.5  2012  137.5  1979  153.9  1948  175.5  2007  187.8  1879  198.8  1968  234.7  1998  224.4  2025  237.9  1999   525.5  1960   348.9  1983   426.2  1838   537.8  1903  1589.4  1903
  203.6  2016  178.7  1958  159.5  2006  127.6  2001  135.6  1865  151.0  1872  169.1  1880  186.8  1912  197.7  1872  232.4  1843  221.9  1931  235.3  1929   522.6  1915   341.9  1986   425.9  2007   526.1  1984  1557.3  1928
  202.3  1877  177.2  1925  157.6  1979  125.1  1846  133.7  2003  150.8  1838  168.3  1882  185.1  2020  194.8  1974  219.0  2021  217.2  1928  232.8  1979   522.5  1994   340.1  1862   425.8  1882   513.6  1944  1550.0  2024
  201.6  1988  176.6  1995  157.1  1920  123.7  1949  133.4  2006  147.6  1912  165.1  2010  179.6  1860  192.3  1981  215.2  1916  217.0  1877  232.3  1965   522.4  2000   336.6  1994   420.6  1931   504.9  1923  1547.7  2008
  199.1  2021  174.8  1937  156.7  1988  119.6  1993  133.3  1969  147.4  1980  157.6  1840  179.3  1962  189.6  1957  209.9  1981  216.6  1890  230.0  1994   522.2  2021   331.8  1886   416.2  1954   501.7  1863  1542.0  1852
  196.9  1974  170.9  1950  156.4  1919  119.6  1882  128.5  1906  142.9  1882  157.1  1957  176.5  1900  187.4  1976  207.4  1935  211.0  1944  223.9  2012   519.2  2007   327.9  1963   411.4  2019   501.4  2023  1529.7  2015
  196.5  1852  169.1  1977  156.2  1998  118.4  1994  127.8  1925  140.1  1879  156.7  1879  175.1  1845  186.3  2019  207.0  1987  206.4  1852  222.5  1959   518.3  1877   327.0  1903   410.8  1848   494.0  2008  1502.7  2019
  194.5  1851  166.6  1935  156.1  1989  117.2  1998  127.5  1878  140.1  2020  155.1  1895  175.1  1930  182.5  1946  206.4  1872  206.4  1963  221.8  1951   486.1  2008   320.4  1972   410.5  1839   493.9  1918  1497.5  1923
