Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England NW and N Wales
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   70.5  1959  106.9  2008  185.9  1929  237.0  2021  283.8  2025  288.3  1940  289.0  1955  271.3  1947  177.2  1959  115.0  2003   82.1  1925   66.4  2001   217.4  1963   673.4  2025   684.6  1976   333.3  1959  1599.1  2025
   68.2  2001  104.3  2019  166.7  2003  228.9  2025  271.9  2020  283.8  1957  267.6  2006  255.9  1995  170.2  1933  114.7  1959   80.6  1988   57.0  1962   199.0  2003   634.6  2020   679.3  1911   326.1  1971  1574.7  2003
   65.6  1963  100.6  2004  164.3  2022  226.5  2020  255.5  2018  259.6  1975  267.0  2013  243.0  1976  167.2  1991  113.0  1920   78.7  2005   54.9  2008   185.9  2008   580.7  1929   668.4  1995   325.7  1986  1572.7  1995
   65.5  2003   95.3  1986  160.7  2025  211.4  2011  254.6  1948  257.6  2023  250.0  1911  219.4  1911  164.5  1914  112.6  2010   74.7  1915   52.6  1961   184.3  2001   567.5  1948   646.1  1989   313.0  2010  1570.7  1955
   61.9  2022   94.8  1963  154.0  1948  210.8  2007  248.1  1935  257.6  2018  249.9  1984  215.5  2022  160.5  2015  112.4  1965   74.3  2010   51.2  1996   182.1  2004   530.2  2003   643.7  1955   312.8  1975  1555.5  1975
   58.8  2023   94.4  2003  149.2  1955  210.2  2015  246.2  1989  256.2  1925  248.5  1990  211.8  1955  160.2  1986  112.0  1931   71.1  1965   50.9  1967   176.8  2019   522.3  2011   639.2  2018   310.8  1999  1540.0  1911
   58.6  2025   94.0  2018  148.5  2012  205.3  1984  244.6  1977  253.1  1949  246.8  2018  208.0  1983  156.1  1915  110.3  1971   70.1  1975   50.4  2022   176.5  1949   521.2  2007   628.6  1975   306.8  2003  1538.6  2018
   58.1  1991   88.9  1970  141.9  2011  203.0  1912  241.2  2023  250.6  1960  245.1  1989  203.7  1975  155.2  1911  110.1  1997   69.3  2006   50.2  1960   174.8  2023   517.7  1956   623.6  1949   305.1  2006  1534.5  1949
   56.3  1933   88.1  1975  136.2  2020  200.5  1914  239.5  1992  238.5  1969  236.8  2014  192.0  1984  155.1  1971  106.9  1975   68.2  1985   50.1  1948   174.8  2018   517.0  2021   606.7  1984   304.5  1921  1530.9  1989
   56.3  1940   87.7  1949  133.7  1953  198.8  1942  237.0  1980  234.0  1970  226.0  1976  189.1  2005  153.1  1921  106.8  1922   68.1  2016   48.8  2004   169.9  2006   510.5  1953   598.7  2013   300.7  1915  1526.4  1929
