Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England NW and N Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.1  1916   10.2  2019   12.0  1948   15.4  2011   17.4  2025   21.3  2023   23.3  2006   22.9  1995   19.1  2023   15.8  1921   11.6  2011   11.1  2015    8.58  2016   14.60  2025   20.79  1976   14.81  2006   13.74  2025
    8.9  2007    9.6  1998   11.9  2012   15.0  2007   17.3  1919   20.6  1940   22.4  1983   22.7  1947   19.0  1895   15.6  1959   11.4  2015    9.2  1974    8.53  1989   13.94  1893   20.64  1995   14.51  1959   13.72  2022
    8.6  1921    9.2  2008   11.4  1957   15.0  2025   17.2  2018   20.2  2018   22.2  2018   21.7  1976   19.0  2006   15.2  1908   11.3  1994    9.1  1988    8.35  2007   13.49  2020   20.39  2018   14.41  2011   13.55  2023
    8.4  1932    9.2  2024   11.4  2025   14.7  1893   17.2  2024   20.1  1970   22.0  2013   21.5  1997   18.9  1949   15.2  1969   10.9  2022    9.1  1934    8.30  2008   13.31  2011   20.28  2006   14.29  2014   13.43  2014
    8.4  1989    9.0  1990   11.3  2022   14.5  2020   17.2  2008   19.6  1960   21.6  1955   21.4  1955   18.8  1959   15.2  1995   10.9  1938    9.0  1898    8.20  1975   13.21  2007   20.07  1911   14.28  2022   13.29  2006
    8.4  2008    8.9  1945   11.3  2003   13.8  2003   17.1  1992   19.5  1887   21.5  1934   21.4  1975   18.6  1933   15.1  2001   10.7  2020    8.9  2016    8.15  2019   13.19  2017   19.94  1933   14.08  2021   13.25  2003
    8.3  1990    8.8  1914   11.2  1938   13.4  2009   16.9  2017   19.3  1992   21.5  1921   21.3  2022   18.5  2021   14.8  2006   10.6  1899    8.9  1900    8.08  2024   13.18  2003   19.93  2022   14.06  2023   13.19  1949
    8.3  1975    8.7  2023   11.1  1929   13.3  1914   16.9  1959   19.3  1976   21.4  1995   21.3  1899   18.2  2014   14.6  2022   10.6  2006    8.8  2013    8.07  1998   13.14  2022   19.91  2025   13.83  1949   13.18  1959
    8.1  1983    8.7  2022   10.9  2026   13.2  2019   16.6  2023   19.3  1899   21.3  1976   21.0  1911   18.1  1999   14.5  2005   10.4  2014    8.8  2024    8.03  2022   13.07  1948   19.90  1983   13.77  1995   13.18  2011
    8.1  2005    8.7  2002   10.9  1893   13.2  1945   16.6  1911   19.3  1893   21.3  1911   20.9  1984   18.0  2016   14.5  2011   10.4  1978    8.7  1953    7.96  2014   12.96  2024   19.90  1899   13.69  2005   13.17  2020
    8.1  2020    8.6  1891   10.8  2017   13.2  2014   16.5  2020   19.2  1896   21.3  1901   20.6  2003   17.9  1898   14.3  2014   10.4  2003    8.7  1921    7.94  2020   12.86  1945   19.82  1975   13.67  2015   13.15  2007
    8.1  1898    8.6  1961   10.6  1961   13.1  1894   16.5  1947   19.2  2006   21.1  1989   20.5  1983   17.8  1929   14.2  1945   10.3  1997    8.7  1924    7.82  2017   12.84  2014   19.76  2003   13.64  1999   13.07  2018
    8.0  1944    8.4  1903   10.6  1933   13.0  1987   16.4  2001   19.1  1950   21.1  2021   20.5  2025   17.8  1991   14.1  2013   10.2  1953    8.6  1942    7.74  1943   12.71  1990   19.74  1955   13.56  2001   13.07  1921
    8.0  1890    8.4  1997   10.6  1945   12.9  1946   16.4  1990   19.1  2010   20.9  2014   20.2  1933   17.7  1961   14.0  2017   10.2  2025    8.6  1912    7.74  1990   12.67  1959   19.72  1947   13.50  1908   13.06  2024
    7.9  2002    8.2  2011   10.5  1997   12.9  1944   16.4  1960   19.1  1933   20.5  1999   20.0  1990   17.6  1971   14.0  1971   10.2  2002    8.5  2023    7.69  1995   12.59  1997   19.53  1949   13.46  1945   13.03  1995
    7.8  1993    8.2  1943   10.4  2014   12.8  1942   16.4  1896   19.0  1949   20.5  2022   20.0  1884   17.6  1941   13.9  1949   10.2  1913    8.5  1918    7.68  2002   12.56  2009   19.52  2013   13.40  2009   13.03  1997
    7.8  1974    8.1  1918   10.4  1990   12.8  1943   16.3  1998   19.0  1957   20.5  1933   20.0  1959   17.4  2005   13.9  1968   10.2  2001    8.4  2018    7.62  1899   12.50  1943   19.43  1984   13.40  1971   12.96  2005
    7.5  2022    8.1  2000   10.3  1950   12.7  2015   16.2  1893   18.9  2025   20.4  1984   19.9  2004   17.4  1958   13.9  1978   10.1  1939    8.4  1994    7.58  1949   12.49  2023   19.42  2021   13.38  1921   12.93  2017
    7.5  2016    8.1  1926   10.2  2002   12.7  2022   16.2  1917   18.9  1889   20.3  2025   19.9  1937   17.4  1890   13.9  2009   10.1  2007    8.4  2025    7.57  2005   12.48  1952   19.35  1893   13.37  1913   12.92  1990
    7.5  1957    8.1  1920   10.1  1894   12.6  2010   16.2  1918   18.8  2003   20.3  1994   19.8  1893   17.4  2003   13.8  2023   10.1  2018    8.3  1971    7.56  1935   12.44  2019   19.33  2023   13.33  2007   12.92  1999
    7.5  1923    8.0  1989   10.1  1998   12.6  1952   16.2  1952   18.8  2021   20.2  2019   19.7  1944   17.3  1906   13.8  1977   10.0  2009    8.1  2006    7.53  1999   12.44  2002   19.32  1887   13.32  1947   12.90  2021
    7.4  1999    8.0  1928    9.8  1991   12.6  1912   16.2  1989   18.7  1925   20.1  1949   19.6  1935   17.3  1907   13.8  2021   10.0  1951    8.1  2004    7.53  1925   12.40  1992   19.25  1997   13.32  1978   12.85  2016
    7.4  1938    8.0  2007    9.8  2011   12.5  2002   16.1  2016   18.6  2009   20.1  1941   19.6  1991   17.3  2022   13.8  2007   10.0  2021    8.1  1954    7.39  1920   12.39  1957   19.22  1934   13.21  1898   12.84  2019
    7.4  2012    8.0  2020    9.8  2007   12.3  1949   16.1  1940   18.5  1930   20.1  1900   19.5  1949   17.3  1934   13.7  2024    9.9  1986    8.1  1986    7.37  2026   12.36  1933   19.18  1989   13.20  2025   12.83  1989
    7.4  2023    8.0  1949    9.8  1953   12.3  1926   16.1  1901   18.5  2014   20.0  1925   19.4  2020   17.2  1947   13.6  2015    9.9  1995    8.0  1998    7.37  1957   12.34  2012   19.16  1959   13.19  2020   12.81  2004
    7.4  2014    7.9  1995    9.8  2024   12.2  1984   16.0  1964   18.4  1975   20.0  1990   19.3  1996   17.1  2002   13.6  1996    9.8  1946    7.9  1983    7.37  1974   12.25  1999   19.01  1935   13.16  2003   12.80  2002
    7.4  1949    7.9  1992    9.7  2005   12.1  1955   16.0  1953   18.4  1941   20.0  1991   19.3  1939   17.1  2011   13.6  1965    9.8  1999    7.9  2011    7.35  2012   12.23  1961   18.97  1921   13.15  2002   12.78  2015
    7.3  1884    7.9  2017    9.7  2019   12.1  1999   16.0  1895   18.4  1905   20.0  1971   19.3  2013   17.1  1921   13.6  1947    9.8  1908    7.9  2021    7.33  2023   12.23  1960   18.94  2014   13.12  1938   12.74  1945
    7.3  1928    7.6  2014    9.7  1943   12.1  1961   15.9  1970   18.4  1915   19.9  1887   19.2  2019   17.0  1884   13.5  1989    9.7  1948    7.8  1972    7.28  2004   12.21  2004   18.89  1925   13.09  1941   12.73  1893
    7.3  1925    7.6  2026    9.6  2021   12.1  1974   15.8  1889   18.3  2016   19.9  1926   19.2  1932   17.0  1981   13.5  1954    9.7  1917    7.8  1997    7.26  2000   12.20  1896   18.87  2005   13.09  1906   12.60  2009
    7.2  1930    7.4  1939    9.6  2000   12.1  1993   15.8  2000   18.3  2005   19.8  2003   19.2  1914   16.9  2000   13.4  1990    9.6  1981    7.8  1980    7.23  1932   12.20  1998   18.79  2019   13.08  1997   12.57  2000
    7.2  2004    7.4  2004    9.6  1907   12.1  1997   15.6  1978   18.2  1934   19.8  1917   19.2  1906   16.9  1913   13.4  1920    9.6  1928    7.8  2019    7.22  2025   12.10  2008   18.74  1901   13.07  2016   12.53  1933
    7.1  1976    7.4  1899    9.5  2020   12.0  1909   15.6  2004   18.2  2020   19.7  1997   19.1  2005   16.8  1998   13.4  1979    9.6  2004    7.8  1911    7.20  1898   12.06  1938   18.70  1990   13.05  2024   12.53  1998
    7.0  1920    7.3  1946    9.5  2009   12.0  1980   15.5  1980   18.1  2007   19.7  1935   19.1  1916   16.8  1964   13.3  2016    9.6  1894    7.7  1985    7.19  1921   12.03  2000   18.67  1897   13.02  1951   12.53  2008
    7.0  1937    7.3  1935    9.5  1989   12.0  1901   15.5  1999   18.1  1921   19.6  1975   19.1  2002   16.8  2004   13.3  1972    9.5  1897    7.7  1949    7.18  1923   11.99  1929   18.67  2016   12.99  2013   12.53  1911
    7.0  2000    7.3  1980    9.4  1959   12.0  1960   15.4  2022   18.1  1932   19.5  1959   19.0  2016   16.8  1945   13.1  1999    9.5  1964    7.7  1941    7.16  1913   11.99  2018   18.60  1940   12.99  1953   12.50  1975
    7.0  1934    7.3  2025    9.3  1981   12.0  2004   15.4  1922   18.1  1988   19.5  1905   19.0  1945   16.7  1985   13.1  1913    9.5  1963    7.6  1910    7.14  1916   11.99  1953   18.58  2009   12.98  1961   12.47  1953
    7.0  1998    7.2  1974    9.3  1973   12.0  2023   15.3  1948   18.0  1895   19.4  2001   19.0  1897   16.7  1955   13.1  1943    9.5  2024    7.6  1951    7.09  1937   11.93  2010   18.55  1884   12.98  2017   12.46  1934
    6.9  1988    7.2  1950    9.3  1956   11.9  1948   15.2  1997   18.0  2017   19.4  1923   19.0  1973   16.7  1915   13.1  1927    9.4  1920    7.6  1955    7.03  1950   11.91  2005   18.55  1999   12.96  1899   12.45  1943
    6.9  1906    7.1  1999    9.2  1923   11.9  2018   15.2  1988   18.0  2022   19.4  1904   19.0  2000   16.7  1900   13.1  1985    9.4  1992    7.6  1936    7.01  1992   11.90  1912   18.54  1970   12.93  2018   12.43  1957
