Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England NW and N Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.7  1916    7.0  1998    8.2  1957   10.6  2011   13.2  2024   16.0  2023   17.9  2006   17.5  1995   15.3  2023   12.3  2001    9.0  1994    8.4  2015    6.07  1989    9.60  2025   15.90  2025   11.47  2006   10.15  2023
    6.2  2007    6.6  2024    7.9  2012   10.1  2007   12.5  2008   15.1  2025   17.4  1983   17.1  1997   15.2  2006   12.0  1969    8.7  2011    7.1  1934    5.83  2016    9.46  2024   15.84  1995   11.31  2011   10.10  2025
    6.2  1921    6.4  1990    7.8  1938    9.8  2025   12.3  1992   15.0  2018   17.0  2013   17.0  1947   14.8  2021   12.0  1921    8.6  2015    6.9  1974    5.69  2007    9.22  2017   15.75  2006   11.12  2022   10.06  2022
    6.0  1989    6.3  2019    7.5  1948    9.4  2020   12.2  2017   15.0  1970   16.9  1995   16.7  1975   14.7  1949   12.0  1995    8.3  2022    6.9  1988    5.58  2024    9.11  2014   15.71  1976   10.98  2021    9.94  2014
    5.8  1898    6.0  1945    7.4  2017    9.4  2014   12.2  1919   14.9  1940   16.9  2018   16.6  1955   14.6  2016   11.8  2005    8.3  1938    6.5  2024    5.57  1975    9.10  2011   15.70  2018   10.92  2023    9.83  2024
    5.8  1990    5.9  2022    7.3  1990    9.1  2003   12.0  2018   14.7  1976   16.6  2021   16.6  2022   14.3  1895   11.7  2006    8.0  1899    6.5  1924    5.51  1998    9.03  2007   15.61  2003   10.88  2014    9.78  2006
    5.8  1975    5.9  2023    7.2  2026    9.1  1893   11.9  2025   14.6  1960   16.6  1934   16.5  1911   14.2  1999   11.7  1959    7.9  1953    6.4  1900    5.47  2014    8.98  2022   15.51  2022   10.60  2001    9.67  2011
    5.8  2008    5.9  1914    7.2  1961    9.0  1987   11.9  1998   14.6  2006   16.4  1976   16.3  2025   13.9  1958   11.6  2022    7.9  2020    6.4  1898    5.40  2020    8.97  1893   15.37  1933   10.58  1959    9.66  2020
    5.7  2020    5.9  1918    7.2  1997    8.9  1943   11.9  2023   14.5  2003   16.4  1989   16.2  2003   13.8  1941   11.6  1908    7.9  1997    6.3  1953    5.36  2022    8.87  2003   15.36  2023   10.49  1949    9.64  2017
    5.6  1983    5.9  2002    7.1  2025    8.9  2009   11.9  1952   14.5  1896   16.4  1901   16.2  1990   13.8  2014   11.5  2013    7.7  2014    6.2  2016    5.31  2019    8.83  2020   15.29  1983   10.47  1978    9.63  2007
    5.6  2005    5.8  1903    7.0  1998    8.8  1944   11.9  1964   14.4  1950   16.4  1921   16.2  2004   13.8  1961   11.5  2011    7.7  1978    6.1  1971    5.28  1935    8.81  1999   15.23  2021   10.47  1995    9.56  1999
    5.5  1932    5.8  1961    7.0  2022    8.7  1945   11.8  1959   14.4  2016   16.3  2025   16.1  1899   13.7  2011   11.4  1968    7.6  2002    6.1  2018    5.23  2017    8.76  1992   15.23  1911   10.40  2005    9.52  1990
    5.3  1944    5.7  2011    6.9  1945    8.7  1946   11.8  2022   14.4  1992   16.3  2022   16.1  1984   13.7  2005   11.3  2017    7.5  1939    6.1  2023    5.13  1990    8.70  1945   15.21  1947   10.36  1999    9.51  2005
    5.2  1923    5.6  1926    6.8  2024    8.6  1949   11.7  1999   14.4  2017   16.3  1955   16.0  1976   13.7  1933   11.1  2014    7.5  2025    6.1  2025    5.11  1943    8.69  1959   15.17  1975   10.25  2009    9.51  1949
    5.1  1974    5.6  2026    6.8  1991    8.6  1961   11.7  1947   14.2  2021   16.1  2019   15.9  1933   13.6  1890   11.1  2021    7.5  2006    6.1  2013    5.08  2008    8.64  1990   15.09  2013   10.20  2025    9.50  1997
    5.1  2002    5.6  1997    6.7  2019    8.6  1914   11.7  1911   14.2  2020   16.1  1911   15.8  2019   13.5  1898   11.0  1978    7.5  2003    6.0  1918    5.06  2026    8.61  1952   15.08  1899   10.14  1945    9.49  2004
    5.1  1884    5.5  2017    6.7  2014    8.6  2019   11.6  1960   14.2  2010   16.1  1991   15.8  2020   13.5  2000   10.9  1977    7.4  1913    6.0  1942    5.05  1925    8.59  2023   15.08  1955   10.11  1908    9.48  2018
    5.0  2014    5.4  1943    6.7  2003    8.6  2004   11.6  1970   14.1  1887   16.1  1999   15.7  1983   13.5  1959   10.9  2023    7.4  2018    5.9  1921    4.92  1995    8.58  1997   15.07  1997   10.11  1913    9.48  2003
    5.0  1993    5.3  2000    6.6  2005    8.5  1993   11.6  2016   14.1  1933   16.1  2003   15.7  1893   13.5  1998   10.8  1945    7.4  2009    5.9  1954    4.91  1923    8.57  1998   15.05  2019   10.08  1938    9.43  2002
    5.0  2016    5.3  1995    6.6  2002    8.5  1894   11.6  1953   14.1  2007   16.1  2014   15.6  1959   13.4  2004   10.7  1954    7.4  1951    5.8  2006    4.90  2005    8.57  2009   15.00  2016   10.08  2015    9.42  2019
    5.0  1976    5.3  2020    6.5  1950    8.4  1999   11.5  2001   14.1  2005   16.0  1933   15.5  2013   13.4  1985   10.7  1990    7.3  1946    5.8  1912    4.78  1999    8.50  1961   14.91  1949   10.03  2007    9.42  2016
    4.9  1890    5.3  1989    6.5  1981    8.4  2018   11.5  1989   14.1  2014   15.9  1926   15.4  2016   13.4  1929   10.7  1996    7.3  1917    5.7  1994    4.76  2012    8.50  2002   14.85  1893   10.03  2017    9.39  1959
    4.9  1938    5.3  2014    6.4  2000    8.3  2024   11.5  1893   14.1  1893   15.7  1900   15.4  1991   13.4  2022   10.6  1989    7.2  2001    5.5  1910    4.76  1949    8.45  2019   14.79  1959   10.00  2004    9.37  2021
    4.8  2023    5.1  1992    6.4  2021    8.3  1926   11.5  1990   14.0  1899   15.7  1923   15.4  2002   13.4  1980   10.6  1949    7.2  2007    5.5  2011    4.72  2025    8.43  1957   14.77  1984    9.97  2013    9.37  1995
    4.8  2012    5.1  1920    6.4  1893    8.3  1952   11.3  1889   13.8  2009   15.7  1994   15.3  1932   13.3  1947   10.5  2024    7.2  2004    5.4  2021    4.67  1974    8.40  1948   14.75  1989    9.97  2020    9.34  1998
    4.7  2022    5.1  1928    6.3  1933    8.1  2022   11.3  1918   13.8  2004   15.6  1949   15.3  1949   13.2  1971   10.5  1971    7.1  2021    5.4  1986    4.66  2002    8.40  2004   14.75  2005    9.95  1997    9.32  1989
    4.7  1999    5.0  2007    6.3  1959    8.1  1997   11.3  2020   13.8  1966   15.6  1975   15.3  2012   13.2  1956   10.5  2009    7.0  1999    5.3  1911    4.65  1899    8.32  1960   14.75  2004    9.91  1968    9.28  1921
    4.7  1957    5.0  2008    6.3  1992    8.1  1942   11.3  2014   13.8  1949   15.5  1925   15.2  1906   13.2  1981   10.4  2025    7.0  1894    5.3  1985    4.63  1957    8.28  1933   14.68  2020    9.91  1953    9.22  2015
    4.7  1949    4.9  1946    6.3  2007    8.1  1937   11.2  1917   13.8  1982   15.4  1941   15.2  1944   13.2  1991   10.2  2007    7.0  1948    5.3  1941    4.63  1976    8.28  2012   14.67  1990    9.90  1958    9.18  2000
    4.7  1925    4.9  1949    6.2  1999    8.0  1955   11.2  1940   13.7  1889   15.4  1997   15.2  1996   13.2  1936   10.2  1979    7.0  1986    5.3  1983    4.61  1916    8.27  1943   14.66  2014    9.90  2024    9.14  2009
    4.6  2004    4.9  1935    6.1  1994    8.0  2002   11.1  2011   13.6  2022   15.4  2001   15.2  1937   13.1  1934   10.1  1898    7.0  1995    5.3  2004    4.58  1920    8.26  2008   14.65  2009    9.90  1898    9.13  1945
    4.6  1906    4.7  1980    6.1  1989    8.0  2017   11.1  2000   13.6  1947   15.3  1990   15.2  2024   13.1  1970   10.1  1965    6.9  1984    5.2  1997    4.57  1921    8.22  2005   14.63  2017    9.88  1994    9.11  2008
    4.5  1988    4.7  2025    6.1  2009    7.9  2023   11.1  1908   13.6  1988   15.3  1887   15.2  1884   13.1  1955   10.0  1984    6.9  1981    5.2  2019    4.57  1898    8.12  2000   14.57  1934    9.85  1951    9.03  1953
    4.4  1969    4.7  1993    6.0  1927    7.9  1959   11.0  2004   13.6  1925   15.3  1971   15.2  2023   13.1  2002   10.0  1985    6.9  1931    5.2  1956    4.55  2000    8.09  1993   14.56  1935    9.83  1989    8.98  1957
    4.4  1998    4.6  1974    6.0  1921    7.9  1960   11.0  1896   13.6  1930   15.3  2005   15.1  1939   13.0  1945   10.0  1913    6.9  1897    5.2  1932    4.52  2023    8.05  2018   14.50  1999    9.81  1947    8.97  1938
    4.4  1937    4.6  1939    6.0  1912    7.9  2010   10.9  2006   13.6  1959   15.3  1935   15.1  2018   13.0  1884   10.0  2015    6.9  1982    5.1  1977    4.50  1988    8.02  1896   14.48  1925    9.81  1971    8.92  1994
    4.4  1928    4.6  1891    5.9  2023    7.9  2005   10.9  2003   13.6  1993   15.3  1984   15.1  2009   13.0  2010    9.9  1947    6.8  1963    5.1  1972    4.47  1937    8.02  1912   14.45  2010    9.80  2002    8.91  1983
    4.4  1930    4.6  1999    5.9  1977    7.9  1896   10.9  2002   13.5  1963   15.2  1905   15.0  2008   13.0  1951    9.9  1963    6.7  1920    5.1  1949    4.47  1932    8.00  1938   14.42  1970    9.79  1970    8.91  1911
    4.3  2000    4.5  1967    5.9  1936    7.8  1912   10.8  1933   13.5  1986   15.2  2010   15.0  2001   13.0  2003    9.9  2016    6.7  1928    5.0  1922    4.42  1913    7.99  1991   14.37  2001    9.77  1941    8.89  1934
    4.3  2018    4.5  1923    5.8  1967    7.8  2015   10.8  1978   13.5  1957   15.2  2008   15.0  2000   13.0  2019    9.9  1958    6.7  1908    5.0  1980    4.42  2004    7.92  1981   14.37  1921    9.77  2016    8.89  1948
    4.3  1926    4.5  1908    5.8  1943    7.8  1995   10.8  2007   13.5  1935   15.2  1959   15.0  1969   13.0  1926    9.9  1999    6.6  1970    5.0  1975    4.41  1914    7.81  1940   14.35  1926    9.75  1961    8.87  1943
    4.2  1994    4.4  2004    5.8  2020    7.8  1980   10.8  1895   13.5  1973   15.1  2016   15.0  1916   12.9  1917    9.8  1957    6.6  1983    5.0  1959    4.34  1950    7.77  2016   14.34  1932    9.74  1984    8.85  2001
    4.1  1920    4.4  1897    5.8  1923    7.7  1948   10.8  2009   13.4  1941   15.1  1899   14.9  1942   12.9  1891    9.8  1886    6.6  2023    5.0  1998    4.30  1972    7.77  1989   14.34  1950    9.72  2018    8.85  1975
    4.1  2024    4.3  1938    5.8  1920    7.7  1933   10.7  1937   13.4  2000   15.1  1952   14.9  1914   12.9  1913    9.8  1920    6.6  1964    5.0  1931    4.29  1973    7.74  1988   14.33  1897    9.70  1969    8.84  1893
    4.1  2017    4.3  1966    5.8  1935    7.7  1964   10.7  1922   13.4  1968   15.1  1904   14.9  1926   12.9  1953    9.8  1961    6.6  1945    4.9  1905    4.28  1967    7.73  1950   14.32  2008    9.67  1921    8.83  1971
    4.0  1948    4.3  2021    5.7  1894    7.7  1992   10.6  1988   13.4  1934   15.0  1982   14.9  1935   12.9  2009    9.7  1941    6.5  1906    4.9  1929    4.26  1992    7.69  1964   14.32  1887    9.64  1982    8.83  1988
    4.0  1927    4.3  1982    5.7  1966    7.6  1957   10.5  1901   13.4  1910   15.0  1945   14.8  1897   12.9  1989    9.7  1986    6.5  2024    4.8  1987    4.24  1911    7.64  1944   14.32  1982    9.59  1948    8.82  1898
    4.0  1896    4.2  1885    5.7  1903    7.6  1909   10.5  1890   13.4  1897   15.0  2017   14.8  1973   12.8  1907    9.6  1970    6.5  1959    4.8  1936    4.24  1993    7.63  1949   14.31  1901    9.59  2000    8.82  1914
    4.0  1996    4.2  1950    5.7  1952    7.5  1982   10.5  2012   13.4  1905   15.0  2009   14.8  2005   12.8  1973    9.6  1938    6.5  1992    4.8  1955    4.20  1903    7.61  1920   14.24  2024    9.55  1906    8.82  2012
    4.0  1934    4.2  1937    5.7  1905    7.5  2006   10.5  1997   13.3  1900   14.9  1947   14.8  1989   12.8  1982    9.6  1906    6.5  1888    4.8  2014    4.13  1922    7.60  1914   14.24  1992    9.55  1946    8.81  1992
    4.0  1981    4.1  1912    5.7  1993    7.5  1996   10.4  1945   13.2  1953   14.9  1917   14.8  2021   12.8  1997    9.6  1943    6.4  1955    4.8  1951    4.10  1948    7.60  1953   14.21  1945    9.50  2003    8.80  1933
    3.9  1943    4.1  1959    5.6  2011    7.5  1904   10.4  1981   13.2  1936   14.9  2023   14.8  1999   12.8  1969    9.6  1972    6.3  2008    4.7  1984    4.08  1912    7.60  1921   14.20  1914    9.49  1998    8.77  2013
    3.9  2015    4.1  1988    5.6  2004    7.4  1928   10.4  1995   13.2  1975   14.9  1969   14.8  2006   12.7  1939    9.6  1927    6.2  1924    4.7  2000    4.06  2015    7.58  1982   14.19  2000    9.46  1991    8.76  1976
    3.9  1973    4.1  1913    5.6  1929    7.4  1984   10.3  1971   13.1  1906   14.8  1944   14.7  1970   12.7  2013    9.5  1910    6.2  1947    4.7  1979    3.99  1906    7.55  2010   14.17  1900    9.46  1954    8.74  1982
    3.9  1971    4.1  1905    5.5  1978    7.4  1939   10.3  1956   13.1  2019   14.8  1893   14.7  1918   12.7  1964    9.5  1967    6.2  2017    4.7  1948    3.95  2003    7.54  1939   14.17  1973    9.43  1963    8.71  1984
    3.9  1935    4.0  1921    5.5  1902    7.4  1940   10.3  1980   13.1  1891   14.8  1957   14.7  1981   12.7  1921    9.5  2018    6.2  1916    4.7  2002    3.93  1971    7.53  2015   14.17  1991    9.43  1979    8.70  1913
    3.9  2003    4.0  2012    5.5  1983    7.4  1988   10.3  1939   13.1  1915   14.7  1897   14.7  1953   12.7  1978    9.5  2020    6.1  1949    4.6  1966    3.93  1926    7.51  1994   14.17  1996    9.42  1920    8.69  1961
    3.8  1968    4.0  1894    5.5  1956    7.4  1901   10.3  1976   13.1  1914   14.7  1927   14.6  1945   12.7  2007    9.4  2004    6.1  1895    4.5  1919    3.88  2006    7.50  1946   14.16  2002    9.41  1996    8.67  1926
    3.8  1924    4.0  1971    5.4  1907    7.4  1963   10.3  1929   13.1  1917   14.7  1967   14.6  1936   12.7  2025    9.4  2010    6.1  1940    4.5  1991    3.87  1944    7.48  1995   14.15  1957    9.41  1983    8.63  1991
    3.8  1995    4.0  2016    5.4  1960    7.3  1898   10.3  1950   13.1  1995   14.7  1912   14.6  1898   12.7  1946    9.4  1916    6.1  1954    4.4  1913    3.83  1981    7.47  1911   14.15  1969    9.39  1899    8.60  1960
    3.8  1967    4.0  1910    5.4  1910    7.3  1974   10.2  1936   13.0  1932   14.7  1992   14.6  2015   12.7  1966    9.4  1962    6.1  2000    4.4  2007    3.82  1946    7.46  1926   14.13  2007    9.39  1990    8.58  1935
    3.8  1902    3.9  1896    5.4  1973    7.2  1972   10.2  1973   13.0  1965   14.6  2024   14.5  2017   12.6  1901    9.4  1914    6.1  1902    4.4  1947    3.81  1939    7.44  2006   14.12  1906    9.35  1977    8.57  1939
    3.7  1950    3.9  1957    5.3  1972    7.2  1985   10.2  1954   13.0  1911   14.6  1932   14.5  1998   12.6  2024    9.4  1930    6.1  1979    4.4  1894    3.78  1938    7.42  1927   14.12  1994    9.30  1929    8.56  1973
    3.7  1962    3.9  1925    5.3  1926    7.2  1991   10.2  1912   13.0  1921   14.6  1977   14.4  1958   12.6  1968    9.4  1988    6.1  1898    4.4  1945    3.78  1927    7.39  1918   14.11  1940    9.29  1955    8.51  1920
    3.7  2006    3.9  1899    5.3  2015    7.2  1900   10.2  1920   13.0  1989   14.6  1951   14.4  1938   12.5  2020    9.4  1998    6.0  1900    4.3  2020    3.77  1918    7.38  1942   14.09  1941    9.29  1934    8.50  1899
    3.6  2019    3.9  1975    5.2  1896    7.1  1975   10.2  1965   13.0  1920   14.6  1985   14.4  1927   12.5  1906    9.4  1942    6.0  1960    4.3  2005    3.75  1961    7.36  1928   14.08  1937    9.24  1916    8.49  1944
    3.6  1899    3.8  1884    5.2  2008    7.1  1990   10.2  1982   13.0  1945   14.6  1914   14.3  1952   12.5  1996    9.4  1934    6.0  1929    4.3  1888    3.74  1960    7.34  2001   14.07  1884    9.23  1933    8.48  1970
    3.5  2026    3.8  1976    5.2  2016    7.1  1921   10.1  1925   13.0  2002   14.6  1943   14.3  1901   12.5  1948    9.3  1983    6.0  1987    4.3  1893    3.70  2018    7.32  1978   14.06  1917    9.22  1914    8.47  1918
    3.5  1900    3.8  1962    5.2  1988    7.1  1947   10.1  1993   12.9  1984   14.6  1996   14.3  1925   12.5  2017    9.3  1925    6.0  1989    4.3  2017    3.69  2021    7.30  1894   14.04  1953    9.22  1956    8.47  1967
    3.5  1904    3.8  1948    5.2  1968    7.0  2008   10.1  2005   12.9  1939   14.6  1987   14.3  1968   12.4  1915    9.3  1976    5.9  1889    4.2  1973    3.68  1980    7.29  1972   14.04  1944    9.20  1890    8.45  1974
    3.4  1911    3.8  1953    5.2  1953    7.0  1930   10.1  1943   12.9  1895   14.5  1950   14.3  2007   12.4  1995    9.3  1948    5.9  1991    4.2  2003    3.67  1984    7.29  1974   14.01  1939    9.18  1924    8.43  1928
    3.4  1913    3.8  1911    5.1  1897    7.0  1968   10.1  2019   12.9  1943   14.5  1937   14.3  1980   12.4  1938    9.3  1994    5.9  1914    4.2  1993    3.64  1930    7.29  1935   13.99  1952    9.18  2008    8.42  1884
    3.4  1918    3.8  1973    5.1  1982    7.0  1916   10.0  1991   12.8  2024   14.5  1894   14.2  1917   12.4  2008    9.3  1909    5.9  1886    4.2  1897    3.58  1896    7.26  1954   13.96  1905    9.17  1939    8.39  1947
    3.3  1905    3.8  2005    5.0  2010    7.0  1935   10.0  1910   12.8  1998   14.4  1896   14.2  1943   12.4  1900    9.3  1897    5.9  1957    4.1  1915    3.58  1894    7.24  1956   13.95  1960    9.16  1886    8.39  1932
    3.3  1960    3.7  2009    5.0  1890    7.0  1913   10.0  1948   12.8  1967   14.4  1958   14.2  1957   12.3  1930    9.2  1991    5.9  1958    4.0  1999    3.58  1928    7.21  1890   13.94  2012    9.12  1964    8.38  1993
    3.3  1953    3.7  1977    5.0  1963    7.0  1976   10.0  1924   12.8  2015   14.4  1956   14.2  1967   12.3  1914    9.2  1982    5.9  1990    4.0  1957    3.57  1994    7.21  1913   13.93  1936    9.11  1928    8.37  1964
