Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England S
Areal series, starting in 1931
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.1  1963   26.6  1947   23.3  1955   11.7  2021    6.2  1941    0.7  1962    0.0  1965    0.0  1964    0.5  1969    7.2  1931   13.3  1988   24.0  2010    75.0  1963    26.8  1955     0.7  1962    15.0  1988    82.7  1963
   27.1  1940   26.2  1963   20.5  1962    9.4  1938    4.0  1979    0.1  1991    0.0  1961    0.0  1934    0.2  1948    5.1  1997   12.3  1985   22.9  1950    62.1  1947    25.7  2013     0.1  1991    14.8  1993    80.5  2010
   25.8  1979   25.6  1942   17.1  1937    9.2  1956    2.8  1996    0.1  1936    0.0  1960    0.0  1942    0.2  1986    4.7  1955   12.1  1965   20.6  1933    57.9  1979    23.3  1962     0.1  1936    14.2  1952    79.3  1955
   23.6  1985   24.5  1956   17.1  2013    8.9  1968    2.6  1944    0.0  1989    0.0  1990    0.0  1960    0.2  1975    4.4  1993   11.4  1996   19.9  1981    57.2  1942    23.0  1970     0.0  1989    12.5  1985    78.1  1947
   23.4  1945   24.4  1986   16.5  1931    8.1  2013    2.6  1935    0.0  1975    0.0  1962    0.0  1980    0.2  1932    3.9  2003   11.3  1952   19.7  1962    55.4  1940    22.8  1941     0.0  1975    12.5  1965    76.8  1979
   22.0  1942   20.2  1979   16.2  1932    7.7  1970    2.2  1945    0.0  2001    0.0  1934    0.0  1972    0.2  1943    3.4  1951   11.2  2005   17.9  1976    51.2  1934    22.3  1958     0.0  2001    11.8  2010    75.9  1940
   21.5  1959   19.2  1991   16.0  1958    7.5  1936    1.7  1932    0.0  1961    0.0  1931    0.0  1962    0.1  1952    3.3  1992   10.6  1937   17.9  1961    48.1  1941    20.1  1932     0.0  1961    11.8  1973    74.9  1941
   21.0  1941   19.1  1968   15.4  1970    7.4  1954    1.7  1949    0.0  1969    0.0  1938    0.0  1937    0.1  2003    3.3  1950   10.4  1971   17.1  2001    47.3  1985    19.0  1969     0.0  1969    11.5  1996    74.7  1942
   20.2  1933   19.1  1955   15.1  1953    7.0  1984    1.6  1982    0.0  1977    0.0  1939    0.0  1938    0.1  1939    3.0  1983   10.4  1993   16.6  1963    46.1  1956    19.0  1956     0.0  1977    11.3  1955    73.7  1933
   19.9  1987   18.6  1983   14.8  1987    6.4  1978    1.5  1967    0.0  1967    0.0  1940    0.0  1940    0.1  1959    2.8  1952    9.7  1973   16.5  1937    46.0  2010    18.0  1937     0.0  1964    11.2  2005    73.0  1956
   19.1  1947   18.6  1969   14.6  1944    6.3  1958    1.4  2021    0.0  2011    0.0  1941    0.0  1939    0.1  1942    2.7  1935    9.6  2010   16.4  1946    45.1  1953    18.0  1944     0.0  1934    11.1  1971    72.5  1962
   18.3  2010   18.2  1996   14.3  1947    6.2  1969    1.3  1981    0.0  1973    0.0  1942    0.0  1933    0.1  1957    2.5  1948    8.7  1962   16.2  1964    45.1  1965    17.8  1931     0.0  1967    10.8  1937    71.7  1952
   18.1  1980   18.2  1981   13.2  1946    6.2  1990    1.3  2020    0.0  1986    0.0  1935    0.0  1935    0.0  2018    2.4  2008    8.3  1947   15.2  1952    43.7  1968    17.7  1953     0.0  2011     9.7  1962    71.2  1985
   17.9  1997   17.7  1934   12.8  1969    6.1  1977    1.3  1942    0.0  2012    0.0  1932    0.0  1936    0.0  1931    2.3  2018    8.3  1943   15.0  1995    43.4  1933    17.1  1996     0.0  1965     9.6  1936    69.0  1996
   16.9  1953   16.9  1936   12.6  1942    6.1  1975    1.3  1938    0.0  1987    0.0  1933    0.0  1932    0.0  1941    2.2  1939    8.3  1969   14.3  1996    42.1  1986    16.8  2021     0.0  1973     9.6  1947    66.5  1969
   16.2  1952   16.5  1952   12.5  1985    5.7  1986    1.2  1971    0.0  1965    0.0  1945    0.0  1945    0.0  1944    2.2  1964    8.0  1942   14.3  2009    41.9  1959    16.5  1946     0.0  1986     9.0  1943    63.9  1965
   16.1  1946   15.8  1932   12.2  1949    5.5  2008    1.2  1962    0.0  1974    0.0  1944    0.0  1946    0.0  1974    2.2  1949    7.9  1972   14.0  2008    41.5  1936    16.5  1938     0.0  2012     8.9  1972    63.6  1968
   15.9  1954   15.5  1933   12.1  1995    5.2  1996    1.2  2010    0.0  2006    0.0  1946    0.0  1948    0.0  1987    2.2  2010    7.6  1936   13.7  1939    41.1  2009    16.4  1995     0.0  1942     8.8  1969    63.5  1970
   15.8  2021   15.4  1978   11.9  1941    5.0  1989    1.1  1984    0.0  2005    0.0  1947    0.0  1947    0.0  1972    2.1  1973    7.5  1989   13.5  1935    41.1  1996    16.3  1979     0.0  1987     8.8  1942    61.1  1981
   15.1  1966   15.1  2018   11.9  1951    4.8  2022    1.0  1956    0.0  1985    0.0  1950    0.0  1950    0.0  1979    2.0  1936    7.2  1975   13.4  1944    41.0  1991    16.1  1976     0.0  1974     8.8  1980    60.8  1931
   15.1  2009   14.5  1940   11.8  1976    4.7  1941    1.0  1957    0.0  1966    0.0  1951    0.0  1951    0.0  1988    1.9  1987    7.1  1980   13.2  1970    40.6  1982    16.0  1940     0.0  2006     8.7  1948    60.3  1987
   15.0  1965   14.4  1985   11.4  1965    4.6  1988    0.9  1974    0.0  1959    0.0  1948    0.0  1952    0.0  1964    1.9  1981    6.9  1979   13.2  1969    40.5  1951    15.9  1951     0.0  2005     8.7  1983    59.8  1936
   14.9  2017   14.3  1941   11.4  1940    4.6  2003    0.9  1946    0.0  1972    0.0  1949    0.0  1949    0.0  1936    1.9  1941    6.7  1967   13.1  1968    40.4  1945    15.8  1947     0.0  1960     8.3  1997    59.3  1986
   14.7  1977   14.2  1970   11.3  2006    4.6  1940    0.9  1980    0.0  1978    0.0  1953    0.0  1953    0.0  1962    1.9  1946    6.6  1977   12.7  1940    39.7  1987    15.4  1949     0.0  1985     8.2  1931    59.2  2013
   14.6  1955   14.0  1965   10.8  1973    4.5  1933    0.9  1995    0.0  1942    0.0  1952    0.0  1954    0.0  1940    1.8  1980    6.5  1955   12.4  2005    39.7  1952    15.4  1987     0.0  1966     7.9  1975    59.1  1973
