Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England S
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   23.8  2014   19.7  1923   21.3  1947   20.4  1998   19.5  1967   17.8  1912   20.3  1936   23.1  1912   21.2  1918   24.9  1903   21.4  2009   23.2  1934    57.6  2014    49.0  1983    54.3  1912    54.4  1960   159.6  1960
   22.1  1948   19.6  2020   20.8  2023   20.1  1920   18.6  1983   17.7  1991   17.5  1920   20.1  1917   19.7  1896   20.7  1976   21.3  1960   22.1  1911    54.1  1915    46.7  1979    47.3  1927    50.7  1935   156.5  1903
   20.4  1988   19.4  1916   19.9  1914   19.5  2012   17.8  1969   17.2  1998   17.4  1939   19.6  1891   18.2  1974   20.5  1960   20.4  2002   21.7  1915    51.2  1937    44.2  1932    46.5  2012    49.2  1974   156.4  1951
   19.0  1943   19.1  2026   19.6  1981   18.8  2000   17.3  1924   16.7  1946   17.4  2009   18.9  1956   17.6  1950   20.5  1909   20.2  1951   21.2  1959    50.6  1916    44.0  1951    42.8  1891    49.1  2000   154.2  1927
   18.9  1937   19.1  1977   18.7  1979   18.1  1932   17.2  1981   16.6  2012   17.1  1960   18.6  1941   17.2  1935   20.2  1907   19.9  1926   21.1  1914    50.3  2026    43.8  1981    42.5  1946    47.9  1976   154.1  1912
   18.8  1984   18.6  1937   18.2  2018   17.3  1935   17.2  1898   16.4  1935   16.6  1988   17.3  1927   16.3  2017   19.8  2020   19.3  1963   20.9  1929    50.2  1912    43.6  1920    42.2  1958    47.7  2019   152.8  1916
   18.6  1928   18.5  2014   17.9  1896   17.3  1983   17.2  1932   16.0  1987   16.4  2012   17.1  1897   15.9  1924   19.5  1891   18.7  2000   19.8  1993    50.0  1910    42.5  1947    41.7  1985    47.3  1903   151.5  2000
   18.6  1936   18.4  1910   17.7  1951   16.3  2001   17.0  2021   15.9  1997   16.4  2007   17.0  1946   15.8  1954   19.0  1923   18.7  1939   19.7  1919    49.3  1995    42.2  1913    41.6  1956    46.5  1954   151.3  2012
   18.6  2026   17.6  1893   17.4  1912   16.2  1966   15.8  1891   15.9  1927   16.0  1918   16.7  1924   15.6  1968   18.8  1932   18.6  1935   19.5  1978    48.9  1994    42.0  1986    41.0  1960    46.0  1944   150.7  1910
   18.4  1939   17.5  1951   17.3  1903   15.6  1907   15.5  1902   15.8  1982   15.8  1957   16.5  1951   15.6  1995   18.4  1916   18.6  1944   19.2  2023    48.8  1960    41.0  2024    40.4  1894    45.0  1918   149.9  1924
   18.4  1919   17.3  1995   17.3  1909   15.2  1931   15.4  1955   15.6  1985   15.7  1915   16.4  2008   15.5  1927   18.1  1967   18.5  2015   18.9  1999    47.8  2020    40.9  1903    40.3  1924    44.4  1930   149.6  2014
   17.9  1970   17.2  1915   17.0  1905   15.2  1963   15.4  1925   15.4  1907   15.4  1922   16.4  2004   15.1  1946   17.7  2013   18.1  2019   18.6  1965    47.3  2021    40.5  1963    40.1  1931    43.9  2022   148.9  1894
   17.8  1906   17.2  1904   16.7  1913   14.9  1961   15.0  1907   15.4  2007   15.3  1953   15.9  1902   14.9  1999   17.7  2019   18.1  1950   18.5  2012    47.1  1900    40.0  2023    40.0  1917    43.3  1891   148.8  1930
   17.8  1900   17.1  1900   16.3  1897   14.8  1970   15.0  2006   15.3  1980   15.2  1894   15.7  1963   14.9  1930   17.7  1928   18.0  1946   18.4  1918    46.9  1970    39.5  1937    40.0  2007    42.8  1984   148.0  1891
   17.7  1922   16.3  2007   16.3  2001   14.7  1913   15.0  1979   15.1  2016   15.1  1931   15.6  1985   14.6  1957   17.6  2000   17.9  1929   18.3  2020    46.9  1919    38.6  2001    39.3  1954    42.7  1950   147.5  1936
   17.5  1995   16.0  1950   16.1  1916   14.6  1899   14.8  2007   14.7  1958   14.7  1965   15.5  1905   14.5  2024   17.3  1906   17.8  1970   18.0  1896    46.6  1977    38.5  1907    39.1  1936    42.6  1932   145.8  2023
   17.5  1975   15.8  2002   16.0  2024   14.6  1922   14.5  2014   14.6  1900   14.6  1893   15.5  1960   14.5  1967   17.0  1998   17.4  2022   17.8  1910    46.3  1936    38.3  2000    38.8  1907    42.5  1967   145.8  1900
   17.4  1938   15.8  2024   15.6  1988   14.4  1989   14.3  1910   14.3  1948   14.4  1891   15.5  1903   14.2  1976   16.9  2004   17.3  1940   17.7  1909    45.2  1990    38.2  1897    38.4  1939    42.1  1896   145.5  1966
   17.4  2004   15.7  2000   15.4  1908   14.3  1986   14.0  2002   14.0  1936   14.3  1940   15.4  1954   14.1  1932   16.9  1917   16.9  1895   17.6  2015    45.1  2016    38.1  2018    38.3  1902    42.1  1998   145.3  1946
   17.2  1986   15.7  2010   15.3  1927   14.2  1926   14.0  1972   13.9  1909   14.1  2023   15.2  1992   13.8  1909   16.9  1981   16.9  1974   17.3  1891    45.0  2007    37.8  1972    38.3  1910    41.1  1982   144.9  1954
   17.1  2016   15.6  1957   15.3  1980   14.0  1950   13.6  1973   13.8  1902   14.1  1927   15.2  1958   13.7  1981   16.7  1987   16.9  1992   17.2  1966    44.5  2010    37.6  1994    37.5  1903    41.0  1992   144.7  1935
   17.1  2021   15.6  1925   15.2  1937   13.9  1925   13.6  1903   13.8  1945   13.7  1914   15.1  1950   13.7  1994   16.6  1896   16.9  1954   16.9  1912    44.5  1922    37.5  1908    37.3  1922    40.8  1938   144.4  1923
   17.1  1999   15.5  1990   15.1  2008   13.7  1905   13.5  2000   13.0  1928   13.6  1950   14.7  1910   13.7  1984   16.6  1892   16.7  1997   16.7  2009    44.2  1951    37.3  2008    36.6  1963    40.5  1923   144.2  1928
   17.1  1894   15.3  1970   15.1  1919   13.6  1975   13.5  1986   12.9  1905   13.5  1912   14.3  1900   13.6  1965   16.4  1966   16.6  2014   16.7  2019    44.2  1966    37.0  1914    36.6  1900    40.4  1909   143.6  2002
   17.0  1994   15.2  1966   14.7  1975   13.6  1897   13.4  1942   12.7  1968   13.3  1909   14.2  1931   13.6  1899   16.4  2012   16.3  1984   16.6  1938    44.2  1935    36.8  1916    36.5  1909    40.3  1924   143.1  1907
   17.0  1926   15.1  1931   14.7  1963   13.4  2016   13.1  1951   12.7  1972   13.2  1903   14.0  1894   13.3  1998   16.2  1939   16.3  1900   16.4  1901    43.7  1904    36.7  1965    36.1  1997    40.3  1981   142.8  1950
   16.8  1990   14.9  1906   14.6  1977   13.4  1910   13.0  1930   12.7  1916   13.2  1895   14.0  1895   13.2  1993   16.0  2001   15.8  2025   16.4  2002    43.7  1979    36.4  1969    36.1  1950    40.1  1926   142.2  1998
   16.5  1971   14.5  1941   14.4  1978   13.3  2004   12.8  1926   12.5  2020   13.1  1932   13.7  1922   13.1  1992   15.8  1944   15.8  1930   16.4  2000    43.5  1931    36.2  1925    35.9  1953    40.0  1946   142.2  1939
   16.5  1974   14.3  1922   14.3  1982   13.3  1951   12.5  1904   12.5  2019   13.1  1954   13.7  1930   13.0  1936   15.7  1938   15.7  1911   16.3  1942    43.4  1923    36.1  1998    35.8  1957    39.9  1939   141.8  1918
   16.5  1899   14.0  1997   14.2  1992   13.2  2024   12.4  1894   12.1  2011   13.0  1924   13.6  2010   12.9  1983   15.5  2014   15.5  1928   16.3  1986    43.4  2024    36.0  1967    35.4  1941    39.5  2023   141.8  1958
   16.4  2018   13.9  1954   14.2  1986   13.2  2008   12.4  1962   12.1  1963   12.8  1993   13.6  2012   12.9  1952   15.4  1982   15.3  1914   16.2  1900    43.2  1999    36.0  1930    35.2  1965    39.5  1916   141.7  1922
   16.3  1904   13.7  1974   13.7  1934   13.2  1930   12.4  1906   12.0  1999   12.8  1930   13.5  2014   12.9  1958   15.3  1961   15.3  1996   16.0  1998    43.1  1939    35.8  2006    35.1  1980    39.3  1952   141.6  1974
   16.3  1956   13.5  1972   13.7  1994   13.0  1937   12.3  1945   11.7  1990   12.6  2021   13.3  1942   12.8  2000   15.2  2022   15.2  2023   15.9  1955    42.8  1926    35.4  1975    35.1  2008    39.2  2025   141.6  1914
   16.3  1930   13.4  1958   13.6  1917   13.0  1979   12.3  1931   11.7  1966   12.3  1958   13.2  1925   12.6  1925   15.1  1924   15.1  1982   15.6  2017    42.8  1948    35.4  1952    34.3  1948    38.9  2013   141.5  1965
   16.1  1993   13.2  2022   13.5  1928   12.8  1959   12.2  2003   11.5  1910   12.1  1910   13.1  1971   12.5  1960   14.8  2023   14.9  1965   15.6  2011    42.8  1930    35.3  1924    34.1  2020    38.8  1940   141.0  1909
   16.1  1913   13.2  1978   13.4  1895   12.7  1993   12.2  1923   11.2  1953   11.6  1966   13.0  1999   12.4  1962   14.8  1935   14.9  1986   15.5  1908    42.6  1961    35.1  1898    34.0  1987    38.5  2001   140.7  1999
   15.8  1915   13.1  1935   13.1  1959   12.6  1953   12.1  1965   11.2  1892   11.6  1907   12.8  1974   12.4  2001   14.6  1893   14.9  1949   15.4  1952    42.5  1943    34.9  1923    34.0  1905    38.4  2002   139.5  1937
   15.7  2008   12.9  1960   13.1  1989   12.5  1901   12.0  1968   11.2  1894   11.5  1925   12.7  2006   12.4  2025   14.6  1949   14.8  1905   15.4  1979    42.1  1957    34.8  1905    33.9  1966    38.2  1928   139.1  1994
   15.4  1961   12.9  1912   13.1  1983   12.5  1965   11.9  1994   11.2  1956   11.5  1956   12.7  1952   12.3  1908   14.3  1894   14.7  1910   15.3  1946    41.5  1974    34.7  1977    33.8  1915    38.1  1963   138.8  1920
   15.4  1972   12.9  2001   13.1  1901   12.5  1934   11.8  1997   11.0  1933   11.5  1938   12.7  1948   12.0  1903   14.2  2002   14.2  1931   15.3  2013    41.5  1984    34.3  1922    33.7  1920    38.0  1913   138.6  1977
   15.3  1962   12.8  1980   13.0  1920   12.4  2018   11.8  2015   11.0  1971   11.4  1980   12.5  1916   11.9  1975   14.2  2006   14.0  1969   15.3  2018    41.3  2018    34.0  1909    33.6  1916    37.9  2012   138.1  2020
   15.1  2015   12.7  1914   13.0  1985   12.3  1999   11.7  2024   10.9  1926   11.3  2002   12.5  1908   11.9  2019   14.1  1913   14.0  1913   15.3  1935    41.0  1897    34.0  1966    33.5  1968    37.9  1927   137.8  1979
   15.1  1912   12.5  1940   13.0  1922   12.3  1919   11.6  1916   10.9  1954   11.3  1944   12.4  1977   11.6  1923   14.1  1974   13.9  1959   15.1  2021    41.0  1920    33.9  1988    33.4  2004    37.8  2020   137.6  1906
   15.1  2007   12.5  1946   12.7  1952   12.2  2023   11.5  1958   10.8  1964   11.2  2008   12.3  2001   11.6  1961   14.0  1980   13.9  1941   15.1  1958    40.9  2000    33.4  2016    33.2  2009    37.8  1951   137.6  1970
   15.1  1921   12.4  1927   12.6  1970   12.1  1994   11.4  1952   10.8  1931   11.2  1970   12.2  1957   11.6  1944   13.9  1940   13.9  1938   15.0  1945    40.8  1925    33.4  1891    32.8  1895    37.6  1892   137.3  2019
   15.0  1977   12.4  1936   12.6  2006   12.0  1939   11.3  2013   10.7  1977   11.2  2017   12.1  1896   11.3  1938   13.9  1895   13.9  1936   14.9  1930    40.7  2001    33.4  2012    32.6  1982    37.4  2006   137.1  1925
   14.9  1895   12.4  1961   12.6  2019   11.9  2005   11.2  1937   10.7  1944   11.0  2015   12.1  2015   11.3  2022   13.9  1954   13.7  1943   14.8  1960    40.5  1978    33.1  1917    32.6  1988    37.3  1936   136.8  1919
   14.9  1965   12.1  1996   12.5  1954   11.9  1964   11.1  2022   10.5  1947   10.9  1941   12.1  1928   11.2  1897   13.9  1996   13.6  2003   14.8  1985    39.9  1894    33.0  1910    32.4  2011    37.1  1961   136.7  2008
   14.9  1920   12.1  1926   12.3  1972   11.8  1923   11.1  1954   10.5  1924   10.8  1978   12.1  2023   11.1  1951   13.7  1930   13.6  1977   14.8  1984    39.4  1941    33.0  1985    32.3  1974    37.0  1911   136.2  2001
   14.9  1951   12.1  1955   12.2  1965   11.7  1917   11.1  1966   10.2  1896   10.7  1992   12.0  2020   11.1  1945   13.6  1900   13.5  2008   14.7  1923    39.3  1906    33.0  1902    32.0  1992    36.9  1968   136.2  1952
   14.7  1927   12.0  1994   12.2  1987   11.5  1894   10.9  1938   10.2  1943   10.6  1947   11.9  1915   11.0  2008   13.4  1952   13.5  2006   14.6  1994    39.3  1928    32.9  2014    31.8  1892    36.6  2024   136.0  2024
   14.7  1969   12.0  1989   12.1  1957   11.5  1972   10.9  1988   10.1  1917   10.6  2003   11.9  1934   11.0  1937   13.3  2005   13.4  2012   14.5  1906    39.3  1913    32.7  1970    31.8  1945    36.6  1987   135.8  1926
   14.7  1960   11.9  2011   11.8  1995   11.5  1924   10.8  1913    9.9  1974   10.6  1985   11.8  1997   10.9  1891   13.1  1911   13.3  1919   14.5  1907    38.9  1893    32.4  2004    31.8  1998    36.2  1906   135.5  1967
   14.6  1978   11.8  2021   11.8  1936   11.3  1992   10.8  1908    9.8  1939   10.5  1919   11.8  1982   10.9  1943   13.1  1898   13.2  1906   14.5  1920    38.8  2013    32.3  1992    31.7  1897    36.0  2015   135.2  1986
   14.5  1952   11.6  1892   11.8  1911   11.3  1918   10.8  1933    9.8  1978   10.3  1926   11.8  1907   10.7  1922   13.0  1942   13.1  1976   14.1  1956    38.6  2004    32.2  1964    31.7  2023    36.0  1949   135.2  1915
   13.9  1910   11.5  1897   11.5  1933   11.3  1952   10.7  1946    9.8  1911   10.1  1942   11.7  1892   10.7  1956   12.8  1929   13.0  1916   14.1  1997    38.6  1892    32.1  1894    31.7  1930    35.9  1907   134.8  1931
