Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England S
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  167.7  2014  145.5  2024  152.1  1947  137.0  2012  120.4  1878  147.6  1860  137.9  1875  180.4  1912  151.5  1918  176.9  1903  184.6  1940  178.5  1914   413.3  2014   275.4  1979   366.2  1879   418.3  2000  1063.9  1872
  142.2  1988  136.6  2020  127.3  2023  134.8  2000  119.5  2007  138.0  2012  136.3  1888  143.3  1917  148.9  2024  175.2  1960  184.4  1852  168.8  1934   380.1  1915   269.5  1981   362.5  1912   408.1  1960  1046.4  2012
  142.1  1995  131.9  1923  126.2  1981  119.2  1998  119.3  1967  130.3  1879  133.3  1936  134.1  1879  148.7  1866  166.3  1891  183.9  1929  168.5  1876   369.2  1990   254.3  1947   327.8  2012   395.3  1852  1044.9  1960
  141.1  1939  126.3  1990  112.2  1914  104.6  1920  118.3  1932  123.6  2007  131.4  1880  133.0  1878  143.9  1896  163.5  1865  163.5  1970  161.2  1929   353.8  2026   253.3  1983   325.7  1860   363.2  1841  1038.3  2000
  137.2  1943  125.8  2014  109.9  1979  101.6  1983  112.9  1843  119.9  1997  120.9  2007  128.3  1891  137.5  1974  163.0  2000  153.8  1951  160.9  1911   352.8  1877   249.5  2024   298.4  1852   354.3  1976  1034.1  1852
  136.8  2026  124.4  1950  109.2  2018   97.9  1966  110.8  1924  117.6  1852  117.4  1915  125.4  1881  132.4  1976  159.8  1987  152.9  2009  157.4  1915   350.0  2024   247.0  2000   297.8  2007   348.7  1935   998.3  2023
  135.1  1948  121.5  1916  106.4  1919   97.2  1882  110.6  1869  110.1  1998  115.5  1839  123.6  1860  130.8  1871  156.6  1882  151.6  2022  155.8  1868   344.1  1995   244.5  1862   285.9  1848   347.0  1875   992.6  2024
  129.3  1877  121.4  1977  105.3  1912   95.1  1935  110.4  2021  108.0  1848  115.2  2009  123.4  1852  129.4  1927  154.6  1949  151.0  1926  149.0  1959   324.4  1869   244.0  1951   283.4  1917   339.8  2019   986.9  1903
  128.0  1872  120.0  1937  104.9  2001   90.5  1871  108.2  1969  107.4  1982  114.4  1920  123.0  1946  129.4  1876  149.0  1880  150.8  2002  147.4  1978   321.5  2020   240.2  1932   281.9  1903   339.1  1974   964.7  1882
  125.7  1984  119.7  1900  103.6  1836   89.8  1961  106.4  1886  105.2  1980  112.7  1855  122.2  2004  129.2  1841  147.5  2023  149.4  1842  142.6  2012   317.7  1916   239.6  2023   277.6  1839   337.9  1882   962.2  1912
  124.1  1852  117.1  2026  103.5  1862   87.5  1846  105.8  1983  105.0  1958  111.9  2012  114.9  1992  127.4  1968  145.9  2020  148.0  2000  142.2  1965   314.4  1960   236.1  1937   274.8  1931   333.2  1885   959.1  2014
  121.3  1937  111.8  1915  102.7  1851   87.2  2001  105.0  1979  104.9  1971  106.7  1939  114.7  1951  124.3  1981  145.5  1875  145.7  1954  138.8  1989   314.4  1994   235.8  2018   274.4  1958   327.4  2023   958.4  1848
  120.1  1928  111.4  1951  100.4  1951   84.2  1848  100.8  1955  104.0  2019  105.9  1922  111.7  1865  118.4  1883  140.3  1967  139.4  1939  138.0  2020   314.3  2021   233.2  2001   273.4  1927   324.7  1880   950.8  1924
  119.9  1906  104.6  1966  100.4  1916   84.1  1931   97.2  2006  104.0  1912  105.9  1988  111.0  1941  115.5  1995  139.6  1932  138.9  1935  134.9  1979   314.1  1912   229.8  1913   268.6  1888   324.6  2024   948.0  2002
  114.4  2021  102.7  1883   96.1  2024   83.4  1907   95.1  1942  100.9  1863  104.3  1918  109.7  2010  115.2  1885  139.5  1907  138.2  1963  134.7  1993   314.0  1937   228.3  2008   267.5  1875   317.3  2022   946.5  1951
  113.2  2016  100.6  1974   94.7  1963   83.3  1913   90.2  2014   99.0  1985  103.7  1861  109.1  1999  114.4  1965  136.9  2013  138.1  1950  134.3  1910   298.8  1977   223.3  1903   262.3  1853   310.4  1903   938.1  1927
  113.1  1999  100.6  1904   94.5  1905   81.4  1989   89.8  1981   96.4  1839  103.4  2023  108.8  1956  112.2  1960  136.5  1976  136.0  1946  132.0  2023   297.0  1966   221.9  1878   259.4  1954   309.4  1940   932.2  1860
  112.6  1971  100.3  2007   93.5  1897   80.8  1877   88.3  2000   96.0  2016  102.8  1871  108.6  1848  111.5  1999  134.8  1998  131.5  1888  130.0  1999   289.5  1930   218.9  1924   257.5  1946   309.1  1944   931.8  1841
  110.0  1913   99.6  2002   92.8  1937   80.0  1922   87.8  1860   96.0  1991  101.8  1879  108.6  1931  110.5  1993  132.3  1855  128.4  1944  124.6  1919   288.2  1979   217.6  1889   254.5  1872   309.0  1929   915.2  1877
  109.1  1936   96.7  1925   91.7  1909   79.9  1850   87.1  1898   94.5  1987  101.5  1853  107.1  1977  110.1  1869  131.9  1909  126.3  1992  123.9  2000   286.3  2001   217.1  1886   252.9  1891   304.5  1836   912.8  2020
  108.4  1919   95.7  1848   91.3  2008   79.4  1993   86.3  1925   92.5  1838  100.1  1872  106.8  1986  107.9  1935  127.5  1846  126.0  1877  122.6  2002   278.5  1883   217.0  1998   252.5  1956   301.9  1839   911.7  1946
  105.5  1986   95.2  1879   90.4  1903   76.5  1858   85.6  2002   89.9  1882   99.2  1931  104.8  1903  107.4  2000  127.4  1843  123.5  1875  122.0  1886   276.9  1935   216.1  1867   251.6  1997   300.9  1872   909.0  1875
  105.5  1974   93.5  1866   88.8  1982   76.3  1924   82.3  1931   89.8  1927   97.7  1894  103.7  2020  107.3  1958  127.2  2019  121.6  1984  121.8  1872   276.4  1923   215.5  1969   249.7  1960   299.1  1998   904.7  1958
  105.3  1956   93.1  1995   88.0  1980   75.6  2018   81.6  1862   89.1  1872   97.6  1965  102.0  2014  106.4  1839  126.3  2004  121.3  1836  121.2  1901   276.2  2007   213.8  1967   246.8  1968   299.0  2002   899.3  1998
  104.1  1990   91.0  1910   87.7  1964   75.1  2004   81.1  1849   87.7  1905   97.5  1950  101.6  1877  103.8  1930  126.2  1923  120.7  1960  119.8  2013   275.6  1900   212.3  1963   243.6  1882   297.7  1984   898.6  1876
  103.8  2004   90.9  1893   87.6  1848   75.0  1876   81.1  1889   87.5  1909   96.6  1924  100.3  1927  103.4  1946  125.4  1841  119.7  1840  113.7  1985   274.7  1910   212.2  1920   243.4  1985   293.8  1883   895.7  1974
  103.7  1994   90.6  1957   87.5  1913   74.6  1849   79.6  2008   86.4  1935   95.6  1960   99.8  1960  103.4  1880  125.2  1928  119.7  1872  113.2  1896   273.0  1919   210.3  2012   242.7  1881   291.5  1954   893.0  2019
  103.5  1930   90.3  1958   86.1  1988   74.3  1932   79.6  1891   85.4  1903   95.1  1968   99.1  1843  101.7  1957  125.0  1885  119.7  1974  112.5  1909   272.2  1939   209.6  1877   242.3  1865   291.5  1949   888.1  1966
  103.4  1975   88.8  1881   85.7  1876   74.1  2024   79.4  2024   84.9  1853   94.7  1867   99.0  1948  101.2  1852  123.8  1939  119.1  1838  112.1  2019   268.4  1980   206.9  1986   239.2  1980   291.4  1982   887.3  2007
  103.1  2008   84.6  2001   85.7  1888   73.7  1856   79.0  1903   84.4  1954   92.1  1957   98.1  1868   99.3  1975  123.3  1966  118.7  1895  111.1  1900   268.3  1936   206.3  1843   236.8  1924   290.7  1939   887.2  1839
  102.6  1970   84.5  1997   84.2  1975   73.3  1963   78.7  1856   83.2  1968   91.8  1882   97.6  1954   99.1  1874  123.0  1906  118.6  2025  108.9  1994   266.6  2016   204.8  1964   235.5  1880   289.2  1924   886.3  1939
  101.8  1851   83.6  1885   81.6  1896   72.2  1951   78.4  1946   83.0  1936   91.6  1903   97.2  1952   98.9  1950  122.4  2021  117.8  1894  105.4  2017   265.4  1925   199.3  1994   234.5  1936   288.3  2012   885.6  1915
  101.6  1875   83.5  2000   81.5  1941   72.1  1926   75.6  1854   79.8  1875   91.1  1893   97.0  1897   97.9  2019  121.0  1872  116.4  1996  104.7  1986   262.1  1943   198.1  1869   234.3  1992   284.2  1992   885.5  1999
   99.6  1866   83.2  1927   79.8  2016   71.5  1937   75.2  1948   79.2  2020   90.6  2008   96.7  2015   97.5  1994  120.6  1848  116.3  1839  104.6  1869   261.8  2013   196.7  2006   233.2  1966   283.7  1891   884.5  2008
   99.5  1998   80.1  1880   79.5  1867   71.4  1879   75.1  1973   79.2  1999   90.0  1895   96.6  1997   96.5  1924  120.0  1924  114.9  2012  103.7  1972   261.1  1873   195.3  1908   233.0  1950   281.9  1967   881.4  1954
   98.9  1960   80.1  1837   76.8  1908   71.1  1908   73.7  1879   77.1  1964   89.8  1877   94.9  1974   95.6  1998  119.4  1982  114.8  2019  102.5  1891   260.6  1961   191.2  1872   232.0  2020   280.8  1876   880.4  1916
   98.5  1886   79.4  1897   76.1  1927   70.5  1889   72.9  1907   76.5  1946   88.6  1890   94.5  2008   95.4  1984  118.6  2001  113.5  1930  101.8  1924   258.8  1928   190.2  1848   231.7  1878   279.8  1930   873.9  1910
   98.2  2025   78.7  1876   73.8  1952   70.4  1986   72.7  1885   75.2  1977   88.4  1851   94.4  1950   94.3  1849  116.0  2002  112.0  2014  100.6  1960   258.0  1974   189.9  2016   229.7  1939   279.2  1993   872.6  1879
   97.4  1900   78.0  2022   73.7  1998   69.9  1859   71.8  1937   75.1  1871   88.4  1850   93.3  1905   93.3  1848  114.6  1892  109.3  1997  100.6  1948   255.7  1978   189.4  1836   229.6  2008   277.4  1842   871.4  1937
   97.3  1926   77.6  2010   73.1  1864   69.7  1836   71.4  1951   75.1  1902   87.6  2017   93.1  1837   92.4  1859  112.3  1870  109.2  2023  100.3  1945   255.6  1984   189.0  1916   226.5  2004   277.0  1946   871.0  1866
