Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England S
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   81.7  1952  123.3  2019  196.1  2025  251.2  2025  313.7  2020  289.0  1957  317.2  1911  278.8  1995  205.4  1959  147.6  1921   98.4  2006   80.4  2001   233.0  1949   719.0  2020   785.5  1976   409.3  1959  1902.6  2025
   78.6  2022  121.6  2008  177.7  1929  242.9  2020  280.4  1989  279.5  1975  290.2  2006  276.4  1947  204.2  1911  145.7  1959   94.0  1971   76.3  2014   232.9  2000   706.6  2025   765.9  1911   406.3  1971  1798.0  2022
   78.1  2001  115.2  1949  176.1  1933  231.9  1912  262.9  1990  279.4  1925  282.3  2013  262.2  1976  195.6  1964  141.9  1919   93.1  1923   72.1  1962   231.4  2015   630.8  1990   763.9  1989   393.6  2003  1791.7  1949
   78.0  1959  114.7  1988  172.5  1995  231.4  1914  261.6  1922  273.8  1940  281.9  2018  251.9  1989  195.5  1928  140.7  1997   92.9  1989   71.9  2008   227.9  2008   627.8  1948   724.4  1975   378.6  1921  1790.1  2003
   76.1  2003  109.3  2018  169.1  2022  228.5  1984  259.4  2025  262.5  2023  274.9  1990  245.9  2022  195.1  1914  138.9  2018   91.8  2005   66.4  1946   226.0  2023   570.9  1995   719.4  1995   376.5  2018  1789.9  1990
   75.6  1984  102.1  1998  168.4  2012  226.1  2021  258.9  1992  260.1  1976  270.2  1989  235.8  1933  193.5  1929  138.0  1971   90.1  1977   65.7  2009   222.9  2018   568.4  1997   718.7  1959   372.3  1964  1788.6  1959
   75.2  2023  100.9  1970  166.3  1948  222.5  2015  252.5  1948  260.1  1960  268.2  1934  233.4  1990  183.1  2003  138.0  2003   89.8  1996   65.2  2025   221.8  2019   567.7  1929   708.4  2018   372.2  1929  1788.5  1995
   74.8  2024   99.4  2000  165.9  1967  222.3  2007  249.3  2018  259.1  1962  265.0  1935  232.6  1911  176.7  1991  137.0  1999   88.1  1925   64.7  1929   220.3  1952   566.3  2011   707.3  2022   371.8  1999  1781.9  1989
   72.1  2015   97.1  1934  165.9  2007  219.5  2011  247.3  1997  258.2  1969  263.1  1976  231.0  1998  175.5  2015  136.9  2022   87.1  1988   63.1  1999   213.2  2014   565.1  1921   707.3  1949   370.2  1928  1763.1  2020
   71.1  1940   95.6  2003  164.7  2003  219.3  1990  243.4  1956  254.0  1996  260.9  1955  228.1  1923  175.1  1915  131.0  1917   85.9  1973   63.1  1961   211.7  1963   553.9  2003   696.7  1933   363.7  1911  1761.7  1911
