Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England S
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    7.1  1916    8.0  2024    9.0  1957   12.0  2011   13.7  2024   17.4  2025   19.8  2006   19.1  1995   17.2  2023   13.5  2001   10.0  1994   10.1  2015    6.99  2016   10.58  2025   17.95  2025   12.82  2006   11.35  2022
    7.1  1921    7.5  1990    8.8  2017   11.4  2007   13.5  2008   17.2  2023   19.4  2018   19.1  2022   17.0  2006   13.3  2005    9.7  2015    7.9  1934    6.69  2024   10.58  2024   17.67  2018   12.64  2011   11.34  2025
    7.0  2007    7.4  2026    8.8  1938   10.7  2020   13.4  1992   17.0  1976   19.3  1983   19.1  1997   16.5  1949   13.2  2006    9.7  2011    7.7  1974    6.58  2007   10.42  2011   17.64  2022   12.60  2023   11.32  2023
    6.7  2008    7.1  2002    8.2  2024   10.6  1943   13.4  2025   16.4  2017   18.6  2025   18.6  1911   16.3  2016   13.2  2022    9.4  2022    7.4  2023    6.46  1990   10.42  2017   17.55  1976   12.43  2022   11.18  2014
    6.6  1990    7.0  1945    8.2  1990   10.6  2025   13.3  2018   16.3  2018   18.6  2022   18.6  1947   16.1  2021   13.0  1995    9.1  1938    7.1  1988    6.38  2020   10.31  2007   17.44  2006   12.29  2014   11.15  2024
    6.6  1975    7.0  2022    8.2  2026   10.3  1893   13.3  2017   16.1  1940   18.6  1995   18.6  2003   16.1  1929   13.0  1921    8.9  2009    7.1  2018    6.36  1975   10.16  2014   17.37  2003   11.94  2021   11.05  2020
    6.5  1983    6.9  1998    8.2  1997   10.3  2014   13.2  1989   16.1  1950   18.4  2013   18.3  1975   15.8  1999   12.8  2014    8.8  2002    7.0  1953    6.29  1989   10.16  1893   17.29  1995   11.71  2009   10.99  2006
    6.4  2020    6.9  1961    8.2  2012   10.1  2018   13.1  2022   16.1  1896   18.4  1921   18.2  1990   15.7  1895   12.8  2023    8.7  2020    7.0  1898    6.16  2026   10.09  2022   17.14  1911   11.69  2005   10.97  2011
    6.2  1884    6.8  1926    8.2  2019   10.0  1945   13.1  1998   16.0  2003   18.3  1976   18.2  2020   15.5  2011   12.8  2011    8.7  2025    7.0  1918    6.13  2022   10.08  2020   17.09  1983   11.64  1949   10.91  2018
    6.0  1993    6.7  2020    8.1  1948   10.0  1987   13.0  1999   16.0  2006   18.3  1911   18.1  1899   15.4  2005   12.7  1969    8.6  2014    7.0  2024    6.13  2014    9.95  1945   16.97  1947   11.49  2025   10.81  2017
    6.0  2005    6.7  2019    8.0  1981    9.9  1949   13.0  1947   15.9  1970   18.2  1989   17.8  1955   15.4  2014   12.6  2013    8.6  1939    6.8  2021    6.02  1935    9.92  1999   16.92  1899   11.48  1959   10.74  2007
    5.9  1932    6.6  1995    7.9  1998    9.9  1961   12.9  1952   15.8  2021   18.1  1994   17.8  2025   15.4  1898   12.5  1968    8.5  1997    6.8  1900    5.96  1998    9.81  1992   16.79  1933   11.46  1995   10.73  2002
    5.9  1898    6.6  1903    7.9  2022    9.9  2009   12.9  1964   15.6  2004   18.1  2014   17.7  1933   15.2  1959   12.5  2017    8.3  2003    6.7  2025    5.95  1995    9.73  2009   16.79  2023   11.43  2001   10.72  1990
    5.9  1974    6.5  1997    7.8  1991    9.8  1944   12.8  1893   15.6  1960   17.9  2019   17.7  2004   15.1  1933   12.4  1959    8.3  1951    6.7  1912    5.89  2019    9.72  1943   16.71  2019   11.38  1999   10.67  1999
    5.9  1989    6.5  2011    7.8  2014    9.8  2024   12.8  2020   15.6  2005   17.9  1934   17.5  1932   15.1  1961   12.2  2021    8.3  1978    6.6  1985    5.79  2008    9.71  2003   16.66  1975   11.34  1898   10.65  1989
    5.8  1944    6.4  1914    7.8  1961    9.7  1894   12.8  1919   15.5  1992   17.8  2021   17.5  2024   15.1  1947   12.1  1990    8.2  2006    6.5  1942    5.75  1899    9.68  1998   16.65  1997   11.34  2020   10.64  2019
    5.8  2014    6.4  2014    7.7  1994    9.6  1946   12.8  1922   15.5  1982   17.8  1900   17.4  2019   15.0  2004   12.0  1954    8.2  2018    6.5  2006    5.72  1943    9.65  1990   16.63  2020   11.31  1978   10.62  2015
    5.8  2012    6.3  2023    7.7  2025    9.6  1914   12.7  1917   15.4  2020   17.7  2010   17.4  1893   15.0  2000   11.9  1989    8.2  1899    6.5  1954    5.58  1925    9.59  1952   16.63  2016   11.29  2024   10.62  2003
    5.7  1999    6.3  2017    7.7  1945    9.5  2003   12.7  1990   15.4  2010   17.7  1999   17.4  1983   15.0  1958   11.9  1949    8.2  1953    6.5  1994    5.50  1999    9.59  2019   16.58  2021   11.25  2015   10.59  2004
    5.7  2002    6.2  2007    7.6  2002    9.4  1993   12.6  1911   15.4  2014   17.6  1933   17.4  2016   14.9  1989   11.8  1908    8.1  1913    6.3  1924    5.49  1916    9.58  2002   16.57  2017   11.21  2004   10.55  1921
    5.7  1890    6.2  2000    7.6  1989    9.4  1999   12.6  1918   15.4  1947   17.6  1923   17.4  1984   14.9  1926   11.7  2024    8.1  1984    6.2  2013    5.46  1949    9.55  1997   16.56  2013   11.17  2002   10.54  1995
    5.6  1930    6.1  1918    7.6  2003    9.4  2004   12.6  2016   15.4  1889   17.6  1901   17.3  1976   14.9  1998   11.7  1945    8.1  1963    6.2  1921    5.45  1957    9.52  1959   16.54  1989   11.15  1913   10.54  2016
    5.6  2018    6.0  1946    7.4  1950    9.4  2015   12.6  1889   15.4  1893   17.5  2003   17.3  1959   14.8  1991   11.7  1978    8.0  1982    6.2  1910    5.40  1923    9.51  1961   16.50  1959   11.14  2016   10.54  1997
    5.6  1938    5.9  1966    7.4  2000    9.4  1952   12.5  1970   15.3  1887   17.5  1905   17.3  1944   14.7  1980   11.7  2009    8.0  1946    6.2  1971    5.40  2002    9.51  2023   16.44  2004   11.13  1989   10.53  2005
    5.6  2016    5.9  1885    7.4  1893    9.3  1959   12.5  2023   15.3  2007   17.5  1887   17.2  2013   14.7  1890   11.6  1977    7.9  1970    6.1  2011    5.39  1920    9.48  2018   16.42  1893   11.10  2013   10.51  1949
    5.6  1969    5.8  1989    7.3  1992    9.3  2002   12.5  1960   15.2  1897   17.5  1899   17.2  2018   14.7  2022   11.6  2025    7.9  1888    6.1  1911    5.39  1974    9.45  1948   16.34  1949   11.10  2018   10.45  2021
    5.6  1948    5.8  1980    7.3  1999    9.2  2022   12.5  2011   15.2  2016   17.4  1935   17.2  1991   14.7  2019   11.5  1996    7.8  1895    6.1  1977    5.36  2017    9.38  1912   16.32  2014   11.10  2017   10.39  1959
    5.4  1976    5.8  1928    7.3  2007    9.1  2019   12.4  2014   15.2  1917   17.4  1949   17.1  2002   14.6  1884   11.4  1898    7.8  2004    6.0  2016    5.31  1921    9.36  2004   16.32  1994   11.10  1997   10.38  1998
