Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England S
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.4  1921    5.0  2026    5.4  1957    6.4  2011    9.3  2024   12.2  2025   13.9  2006   14.3  1997   12.7  2006   10.3  2001    7.5  1994    7.6  2015    4.00  2016    6.65  2024   12.72  2025    9.00  2006    7.37  2024
    4.3  1916    5.0  2024    5.2  1981    6.4  2018    8.7  2008   11.8  2017   13.5  1983   13.7  2020   12.5  2023   10.1  2005    6.8  2015    5.7  1934    3.86  2024    5.96  2017   12.30  2003    8.84  2011    7.33  2023
    4.2  2007    4.4  1990    5.1  2017    6.1  1961    8.6  2017   11.6  2023   13.4  2025   13.2  2022   12.2  2016    9.8  2006    6.7  2011    5.2  1974    3.71  2007    5.83  1999   12.24  2006    8.73  2023    7.14  2014
    3.8  1975    4.1  1926    4.8  2024    5.9  2014    8.6  1999   11.2  2016   13.2  2018   13.2  2004   12.0  1949    9.6  1968    6.6  2022    4.9  2023    3.58  1990    5.75  2014   12.19  2018    8.67  2022    7.09  2006
    3.8  2020    4.1  1961    4.6  1998    5.9  2024    8.4  2022   11.2  2021   13.1  2021   13.1  2003   11.5  2021    9.4  2014    6.1  2009    4.7  1953    3.56  1975    5.69  1998   12.11  2021    8.58  2014    7.04  2025
    3.7  1990    3.8  2002    4.5  2019    5.9  2007    8.2  1998   11.0  1982   13.1  1995   13.1  1995   11.3  1999    9.4  2013    5.9  1938    4.6  1988    3.48  1935    5.61  2007   12.06  2016    8.14  2021    6.97  2022
    3.7  2008    3.7  2011    4.4  1994    5.7  1943    8.1  1964   11.0  2007   12.9  2010   12.9  1911   11.1  1958    9.3  2022    5.9  2002    4.6  2024    3.42  2026    5.55  1992   12.06  1997    8.08  2009    6.94  2020
    3.7  1983    3.7  1945    4.3  1991    5.7  1993    8.1  2014   11.0  1976   12.8  2003   12.8  2008   11.1  1998    9.2  1995    5.7  1939    4.3  2018    3.40  2020    5.49  2011   11.99  2020    7.98  1968    6.90  2011
    3.7  1884    3.6  1995    4.3  1990    5.4  1987    8.1  1889   10.9  2003   12.8  2019   12.8  1975   11.1  2011    9.2  2017    5.7  2014    4.3  2021    3.28  1989    5.40  2022   11.98  2023    7.94  2025    6.89  2017
    3.4  1898    3.5  2017    4.2  1997    5.3  1999    8.1  2006   10.9  2018   12.8  2014   12.7  1932   11.0  2000    9.1  2023    5.6  2025    4.2  1918    2.99  2022    5.36  2023   11.98  2017    7.91  2001    6.88  2002
