Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England SE and Central S
Areal series, starting in 1931
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.5  1963   26.3  1963   22.8  1955   12.0  2021    6.8  1941    0.8  1962    0.0  1931    0.0  1934    0.5  1948    7.1  1931   13.9  1988   24.8  2010    76.6  1963    27.9  1955     0.8  1962    15.7  1952    84.4  1963
   27.1  1940   26.0  1947   19.8  1962   10.5  1938    3.9  1979    0.1  1991    0.0  1932    0.0  1964    0.5  1943    5.2  1955   13.4  1985   23.6  1950    63.3  1947    23.7  2013     0.1  1991    15.5  1993    82.0  2010
   25.5  1979   25.9  1942   17.3  1932    9.6  1956    3.3  1944    0.0  2001    0.0  1933    0.0  1932    0.2  1952    5.2  1997   12.6  1952   22.1  1933    58.6  1942    23.3  1970     0.0  2001    15.0  1988    81.0  1955
   24.4  1945   25.0  1956   16.1  1958    9.4  1968    2.5  1935    0.0  1975    0.0  1934    0.0  1933    0.2  2003    4.2  1992   12.5  1965   20.8  1962    55.8  1979    22.5  1958     0.0  1975    13.8  1985    78.7  1947
   23.2  1985   24.3  1986   16.0  1937    9.1  1954    2.1  1938    0.0  1989    0.0  1935    0.0  1935    0.2  1969    4.0  2003   12.4  1996   18.7  2001    54.7  1940    22.5  1962     0.0  1934    13.0  1973    77.2  1940
   22.5  1959   19.3  1991   15.8  1944    8.1  1936    2.1  1996    0.0  1956    0.0  1936    0.0  1936    0.1  1957    3.9  1950   12.2  1937   18.4  1981    54.6  1934    22.3  1941     0.0  1989    12.9  1965    76.7  1942
   22.3  1942   18.9  1955   15.8  1953    8.0  1970    2.0  1932    0.0  1969    0.0  1937    0.0  1931    0.1  1931    3.7  1993   11.8  2005   17.9  1961    48.2  1985    20.8  1932     0.0  1956    12.7  2010    76.5  1933
   20.2  1987   18.9  1979   15.7  2013    7.7  2013    1.9  2021    0.0  1973    0.0  1938    0.0  1938    0.0  2018    3.3  1951   11.7  1993   17.7  1976    47.1  1941    19.9  1944     0.0  1969    12.4  1996    76.2  1956
   20.0  1933   18.8  1983   15.3  1970    7.4  1977    1.8  1945    0.0  2005    0.0  1939    0.0  1939    0.0  1959    3.0  1949   11.2  1973   17.5  1946    46.8  1956    19.9  1956     0.0  1973    12.4  1937    75.1  1979
   19.9  1947   18.6  1934   15.0  1987    7.1  1984    1.7  1982    0.0  1972    0.0  1940    0.0  1940    0.0  1962    3.0  1936   10.4  1971   17.4  1963    46.6  2010    19.2  1938     0.0  1964    12.1  1955    74.8  1952
   19.6  2010   18.6  1981   14.8  1931    6.6  1969    1.7  1949    0.0  1932    0.0  1941    0.0  1941    0.0  1940    2.8  1952   10.0  2010   16.3  1937    46.6  1953    18.1  1953     0.0  2005    11.8  2005    74.1  1962
   18.6  1980   18.4  1968   13.5  1947    6.4  1975    1.7  1967    0.0  1934    0.0  1942    0.0  1942    0.0  1939    2.8  1939    9.7  1942   15.5  1964    45.4  1965    18.1  1969     0.0  1972    11.5  1971    73.9  1985
   18.5  1941   18.3  1969   13.2  1985    6.4  1958    1.5  1962    0.0  1935    0.0  1943    0.0  1943    0.0  1944    2.8  2010    9.6  1943   15.5  1952    45.1  1968    17.9  2021     0.0  1935    10.7  1936    73.3  1941
   17.7  1997   18.2  1996   13.2  1946    5.9  1978    1.4  2010    0.0  1936    0.0  1944    0.0  1944    0.0  1974    2.8  1935    9.0  1969   15.1  2009    42.6  2009    16.9  1937     0.0  1933    10.3  1943    66.4  1996
   17.6  1953   18.0  1952   12.6  1973    5.7  2008    1.4  1981    0.0  1931    0.0  1945    0.0  1937    0.0  1938    2.5  1983    8.6  1972   14.4  1940    42.6  1933    16.8  1996     0.0  1932    10.2  1942    65.7  1969
   16.9  1954   17.0  1932   12.3  1942    5.6  1986    1.3  1942    0.0  1945    0.0  1946    0.0  1946    0.0  1941    2.5  1948    8.6  1962   14.4  1944    42.5  1959    16.5  1985     0.0  1945    10.0  1947    64.7  1965
   16.8  2017   17.0  1936   12.3  1949    5.6  2003    1.2  1971    0.0  1946    0.0  1947    0.0  1947    0.0  1987    2.4  1964    8.3  1947   14.3  2005    41.9  1945    16.4  1946     0.0  1946    10.0  1980    63.7  1968
   16.7  1946   15.9  2018   12.2  1995    5.5  1933    1.1  2020    0.0  1948    0.0  1948    0.0  1948    0.0  1936    2.4  2008    8.1  1980   14.3  2008    41.7  1987    16.3  1995     0.0  1948     9.6  1956    63.4  1973
   16.0  2009   15.5  1985   11.6  2006    5.3  1990    1.1  1961    0.0  1947    0.0  1949    0.0  1949    0.0  1950    2.3  1941    7.9  1989   14.1  1995    41.5  1986    16.1  1976     0.0  1947     9.5  1962    63.0  1970
   15.9  1952   15.4  1965   11.5  1969    5.0  1997    1.0  1974    0.0  1950    0.0  1950    0.0  1950    0.0  1972    2.0  2018    7.8  1956   14.0  1970    41.4  1952    16.0  1973     0.0  1950     9.5  1969    61.9  1944
   15.5  2021   14.8  1978   11.3  1965    4.9  1976    0.9  1956    0.0  1951    0.0  1951    0.0  1951    0.0  1988    1.9  1940    7.7  1936   13.8  1939    40.0  1991    16.0  1931     0.0  1951     9.4  1972    61.8  1987
   15.4  1966   14.6  1933   11.2  1976    4.8  1955    0.9  1997    0.0  1952    0.0  1952    0.0  1952    0.0  1986    1.9  1933    7.4  1979   13.5  1969    39.8  1951    15.8  1979     0.0  1936     9.3  1997    60.9  1981
   14.8  1955   14.5  2012   11.2  1934    4.7  1941    0.9  2005    0.0  1933    0.0  1953    0.0  1953    0.0  1954    1.9  1946    7.2  1975   13.3  1968    39.4  1936    15.8  1949     0.0  1931     8.7  1950    60.8  1936
   14.7  1992   14.3  1944   10.8  1941    4.7  1996    0.9  1948    0.0  1938    0.0  1954    0.0  1954    0.0  1935    1.9  1980    6.9  1955   13.3  1967    39.4  2011    15.6  1987     0.0  1938     8.6  1949    60.0  1931
   14.6  2019   14.1  1941   10.5  1943    4.6  1988    0.8  1957    0.0  1939    0.0  1955    0.0  1955    0.0  1990    1.9  1932    6.6  1977   12.6  1935    39.3  1981    15.5  1947     0.0  1939     8.2  1931    59.9  1932
   14.5  1931   14.0  1987   10.4  1951    4.5  1940    0.8  1995    0.0  1940    0.0  1956    0.0  1956    0.0  1994    1.8  1956    6.6  1959   12.5  1975    39.2  1996    15.4  2006     0.0  1940     8.2  1983    59.6  1986
   14.4  1965   14.0  1970   10.3  1940    4.5  1979    0.8  1980    0.0  1941    0.0  1957    0.0  1957    0.0  1979    1.8  1973    6.6  1998   12.1  1996    38.6  1955    15.1  1935     0.0  1941     7.9  1941    58.2  1946
   14.4  1956   13.9  1940   10.1  1971    4.4  1999    0.7  1984    0.0  1942    0.0  1958    0.0  1958    0.0  1975    1.7  1947    6.3  1967   12.1  1991    38.4  1962    14.8  1940     0.0  1942     7.9  1989    58.2  2013
   14.4  1977   13.5  1953   10.0  1996    4.4  2012    0.7  2016    0.0  1943    0.0  1959    0.0  1959    0.0  2020    1.7  1934    6.1  2007   11.9  2017    38.2  1982    14.8  1954     0.0  1943     7.9  1933    58.1  1976
   14.2  1960   13.4  1973    9.7  2025    4.4  2022    0.6  1953    0.0  1944    0.0  1960    0.0  1960    0.0  1937    1.5  2012    6.1  1961   11.8  1992    37.8  1969    14.8  1986     0.0  1944     7.9  1948    57.9  1950
   13.9  1934   13.3  2003    9.3  1956    4.1  2016    0.6  1934    0.0  1937    0.0  1961    0.0  1945    0.0  2005    1.5  2002    6.0  1995   11.8  2022    37.5  1964    14.7  1968     0.0  1937     7.7  1979    57.3  2001
   13.9  2022   12.9  1931    9.2  1986    4.0  1935    0.5  1977    0.0  1961    0.0  1962    0.0  1961    0.0  1993    1.5  1981    6.0  1944   11.8  1938    37.5  1992    14.4  1984     0.0  1961     7.6  1975    56.0  1958
   13.4  1968   12.8  2013    8.9  1993    4.0  1939    0.5  1936    0.0  1960    0.0  1963    0.0  1962    0.0  2025    1.4  1974    6.0  1933   11.7  2007    37.2  1977    14.2  1934     0.0  1960     7.3  2007    55.5  1978
   13.1  1978   12.3  2009    8.9  1964    4.0  1989    0.5  1954    0.0  1959    0.0  1964    0.0  1963    0.0  1996    1.4  1960    5.9  2001   11.4  1978    37.1  1970    14.1  1951     0.0  1959     7.1  1959    55.3  1991
   13.1  2013   12.3  1959    8.8  2010    3.9  1983    0.4  1991    0.0  1958    0.0  1965    0.0  1965    0.0  2019    1.3  1987    5.7  1991   11.4  1943    36.4  2013    13.9  1975     0.0  1958     7.0  1998    55.2  1937
   13.0  2025   12.3  2008    8.6  1935    3.8  2006    0.4  1946    0.0  1957    0.0  1966    0.0  1966    0.0  1967    1.2  2007    5.7  1976   11.1  1957    35.1  2006    13.9  1936     0.0  1957     7.0  1940    54.7  1934
   12.8  2001   12.0  1954    8.2  2005    3.6  1951    0.4  1973    0.0  1955    0.0  1967    0.0  1967    0.0  1955    1.1  1988    5.7  1983   11.1  2014    34.3  2021    13.9  1971     0.0  1955     6.8  1961    54.0  1954
   12.8  1950   11.9  2010    7.9  2018    3.6  2019    0.4  2018    0.0  1954    0.0  1968    0.0  1968    0.0  1951    1.1  1938    5.7  2024   11.0  1982    34.3  1997    13.6  1942     0.0  1954     6.8  1991    53.6  1953
   12.8  1982   11.9  2001    7.6  2016    3.5  1981    0.3  1965    0.0  1953    0.0  1969    0.0  1969    0.0  1947    1.1  1991    5.7  1941   10.8  1990    33.9  1932    13.4  1965     0.0  1953     6.8  1934    53.2  1964
   12.3  1986   11.6  1994    7.4  1979    3.5  1998    0.3  1955    0.0  1949    0.0  1970    0.0  1970    0.0  1946    1.0  1971    5.6  2017   10.7  1945    33.0  1958    12.9  2010     0.0  1949     6.6  1977    53.1  1980
   12.1  2000   11.5  1962    7.4  1963    3.4  2000    0.3  1959    0.0  1967    0.0  1971    0.0  1971    0.0  1949    0.9  1962    5.6  2025   10.5  2012    32.9  2015    12.4  2016     0.0  1952     6.6  1944    53.1  2003
   12.1  1958   11.2  1948    7.3  1980    3.4  1991    0.3  1998    0.0  1968    0.0  1972    0.0  1972    0.0  1942    0.9  1954    5.6  1949   10.4  1941    32.9  1983    12.1  1977     0.0  1968     6.3  2003    52.5  2021
