Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England SE and Central S
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   23.9  2014   21.4  2014   21.2  1914   19.6  1998   18.5  1967   18.4  1991   19.4  1936   24.4  1912   20.7  1896   24.1  1903   22.6  1960   24.0  1934    62.3  2014    47.8  1983    51.4  1912    56.0  1960   163.2  1960
   21.2  1948   19.8  1923   20.6  2023   19.3  2000   17.6  1981   16.4  1946   16.8  1988   19.8  1891   20.1  1918   22.0  1907   22.6  2009   23.0  1911    54.0  1915    45.2  1979    47.1  1927    50.8  1976   156.6  1951
   20.4  1988   19.8  2020   20.4  1947   18.7  2012   17.5  1983   16.1  1935   16.6  1920   19.7  1941   18.1  1974   20.9  1909   22.2  1926   21.9  1915    52.4  1937    44.0  1981    43.0  1891    49.6  1935   152.1  1924
   19.8  1936   19.5  1951   20.3  1981   18.4  1920   17.3  1924   16.1  1998   16.5  1960   19.5  1956   17.4  1935   20.7  1976   21.5  2002   21.8  1929    51.3  1912    43.6  1951    42.2  1985    49.1  2000   152.0  2014
   19.5  1937   19.4  1910   19.3  1979   17.3  1935   17.1  1969   15.8  1912   16.5  1939   19.2  1917   17.2  1950   20.7  1960   20.8  1951   21.8  1914    50.4  1910    41.5  1913    41.7  1956    48.5  1974   151.2  1894
   19.4  1919   19.0  2026   18.9  1909   17.2  1932   16.9  1955   15.6  1997   16.0  2007   18.2  1927   16.5  1954   20.2  1891   20.4  1963   21.7  1959    50.2  2026    41.3  1986    41.4  2012    46.6  2019   151.2  1927
   19.3  1894   18.9  1937   18.7  2018   17.1  1983   16.5  1898   15.5  1985   16.0  1957   17.7  1924   16.3  1924   20.1  2020   19.9  1939   19.7  1993    50.0  2020    41.3  1932    40.5  1946    45.3  1891   150.6  1891
   18.6  2026   18.8  1916   18.0  1951   16.4  1966   16.4  1902   15.1  1909   15.9  1894   16.6  1946   16.0  1968   19.9  1923   19.0  2000   19.6  1919    49.6  1960    40.5  1947    40.5  1924    44.9  1954   149.4  1903
   18.6  1984   18.7  1893   17.4  1912   16.1  1907   16.1  2021   15.1  2016   15.9  2009   16.4  1897   15.7  2024   19.1  1928   18.8  1935   19.2  1978    49.5  1916    40.1  2023    40.3  1960    44.0  1944   149.3  1912
   18.6  1975   18.0  1977   17.2  1897   16.0  1926   16.1  1932   15.1  1936   15.9  1918   16.3  1958   15.5  1909   18.9  1932   18.4  1974   18.7  1891    49.2  1995    40.0  1920    39.8  1958    44.0  1903   148.8  1910
   18.4  1943   17.9  1900   17.0  1913   15.8  1913   15.8  1891   14.9  1987   15.7  2012   15.8  2008   15.5  1999   18.7  2019   18.4  2014   18.4  1999    48.3  1994    39.5  2000    39.7  1917    43.9  1918   147.6  1916
   18.4  1939   17.7  1995   16.8  1905   15.4  2001   14.8  1925   14.9  1927   15.2  1953   15.7  1985   15.5  1995   18.6  2000   18.0  1997   18.3  2023    47.4  1919    39.5  2024    39.2  1894    43.7  2022   146.4  2000
   18.1  1938   17.3  1957   16.6  1896   15.3  1931   14.7  2007   14.7  2007   14.9  1950   15.6  2004   15.0  1976   18.3  2012   18.0  1944   18.1  2020    47.3  2021    39.3  1963    39.1  1936    43.2  1896   145.8  1936
