Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England SE and Central S
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  205.2  2014  154.2  1951  152.8  1947  146.2  2000  122.0  1843  145.6  1860  131.9  1888  156.2  1912  168.2  1974  200.9  1865  199.2  1940  205.7  1914   513.4  2014   281.8  1979   351.6  1879   477.1  2000  1109.2  2000
  159.0  2026  147.3  2024  134.3  1981  133.8  2012  117.3  1967  138.3  2012  128.4  1920  144.6  1917  167.0  1896  197.4  2000  190.4  1929  196.8  1934   437.1  1915   268.3  2000   322.6  1860   438.3  1852  1092.4  1852
  158.9  1988  146.9  2014  130.5  2023  105.4  1998  109.8  1932  138.0  1852  126.9  1875  137.0  1879  164.2  2024  197.0  1960  189.8  2009  181.7  1911   396.0  1990   267.8  1981   317.4  1852   435.6  1960  1064.3  1960
  156.9  1995  137.2  2020  128.0  1914  101.8  1983  109.0  1955  136.5  1971  123.1  1918  133.9  1891  156.0  1968  189.7  1949  189.5  2022  180.9  1915   383.0  1877   255.9  1862   315.6  1917   404.2  1841  1044.7  1951
  155.7  1877  135.4  1990  122.0  2001   98.8  1966  106.1  1979  116.7  1879  119.6  2007  129.2  1881  151.6  1866  187.1  1987  188.2  1970  180.3  1876   371.2  1995   247.2  2023   314.0  1903   403.9  1976  1039.0  2014
  144.0  1937  130.5  1900  114.8  1919   96.7  1848  104.8  1869  114.1  1903  117.5  1894  126.6  1946  147.4  1918  187.1  1903  183.8  2002  179.5  1929   369.1  2026   246.5  1947   299.6  1912   394.2  1974  1022.9  2023
  143.9  1943  129.1  1937  114.4  1979   93.8  1871  104.6  1878  113.7  1991  111.0  1855  124.8  1878  138.4  1927  186.1  1891  182.6  1852  168.6  1959   349.0  1937   244.7  2024   298.0  2012   387.9  1935  1019.7  1903
  143.7  1872  128.4  1950  112.0  1862   93.0  1935  104.5  2007  113.5  1997  109.1  1867  121.6  1852  137.5  1839  182.4  2020  175.2  1951  163.1  1868   346.8  2024   244.4  1983   287.3  1848   369.3  2022  1011.3  1872
  137.9  1939  127.0  1915  109.6  1897   92.4  1856  101.5  1924  110.7  1905  108.4  1936  120.3  1951  134.9  1981  170.3  1882  172.7  1926  161.4  2013   345.6  2020   241.8  2008   280.0  1927   357.1  2023  1009.3  2002
  133.5  1984  122.1  1923  108.8  1912   91.1  1882  100.2  1886  104.8  1980  106.6  1853  119.1  1977  134.0  1975  161.8  2023  171.6  2000  160.0  1978   340.0  1916   240.5  1937   274.1  2007   351.7  1880  1005.6  2012
  132.1  1948  122.0  1916  106.8  1905   90.7  1836   99.7  2000  104.0  1848  105.9  1915  115.5  1860  132.4  1976  161.7  1909  164.2  1935  146.4  1989   336.0  1912   240.2  1964   261.7  1888   343.0  2024   999.2  1927
  131.2  2016  114.4  2026  103.1  1836   90.4  1926   98.2  1983  103.0  1998  105.4  1880  112.8  1941  130.4  1841  161.1  1880  162.1  1877  142.5  2012   332.2  2001   235.0  1951   256.6  1954   337.4  1882   998.3  2024
  130.1  1906  113.7  1974  103.1  1916   90.0  1907   96.3  2006  102.9  1863  104.8  1839  112.5  1848  129.9  1995  159.7  1841  155.3  1950  140.8  2002   326.7  1869   233.0  2001   256.2  1958   337.3  1940   975.9  1848
