Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SE and Central S
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   87.9  1952  134.2  2008  198.5  2025  255.2  2025  327.5  2020  295.2  1975  342.5  1911  291.3  1995  226.6  1911  162.7  1921  104.5  1989   85.7  2001   254.0  2008   746.2  2020   838.1  1976   441.5  1959  1969.6  2025
   86.5  2003  122.5  2019  187.6  1933  249.8  2020  300.2  1989  293.5  1957  307.4  2006  282.0  1976  224.4  1959  160.1  1997  100.1  2006   84.4  1962   253.6  1949   713.4  2025   818.6  1911   431.6  1971  1916.9  1949
   84.8  1959  122.3  1949  185.0  1995  243.5  1912  282.3  1922  288.9  1925  300.8  2018  281.4  1947  216.5  1928  155.2  1959  100.1  1971   77.6  2008   242.0  2000   664.1  1990   788.4  1989   416.6  2003  1893.1  1990
   84.2  1984  121.7  1988  184.4  1929  239.0  2007  278.7  1990  280.5  2023  291.5  2013  260.5  1989  211.1  1964  154.0  1999   96.0  1996   75.0  2014   229.6  2019   643.2  1948   759.9  1959   413.2  1997  1881.5  2003
   79.2  2001  119.2  2018  178.5  1938  235.8  2011  267.3  1992  278.7  1940  286.8  1934  257.6  1998  210.0  1914  147.3  1919   95.2  1923   70.2  1946   228.4  2018   614.2  1997   757.0  1975   412.7  1921  1879.4  1959
   76.5  2024  107.0  1970  178.1  2007  234.1  2010  261.6  2018  275.2  1976  286.6  1959  255.3  1933  200.9  1929  146.6  2003   93.8  2005   69.8  1999   226.1  1952   613.0  2011   756.3  2006   402.8  2018  1864.4  1995
   75.3  1940  105.6  1939  174.5  2012  233.8  1990  259.7  2025  269.9  2006  286.2  1928  253.4  1990  194.6  2003  145.9  1971   92.9  1977   69.6  1961   224.5  1963   608.7  1995   755.3  2018   397.9  1964  1863.3  1911
   75.1  2017  104.3  1998  173.8  2009  233.4  1984  252.7  1948  268.6  1962  280.9  1976  251.4  1991  190.3  1997  143.8  1994   91.8  1988   68.6  2005   223.8  2015   595.3  2007   750.8  1949   394.9  1999  1860.0  1989
   73.2  2012  104.1  1928  172.7  1924  229.1  1914  252.6  1997  267.7  2025  279.8  1935  249.9  1911  187.6  1923  142.7  2018   90.5  1973   67.3  2025   220.8  1998   595.0  1929   750.5  1933   392.0  1928  1853.6  2018
   73.1  1980  100.2  2000  168.9  2020  227.7  2015  250.7  1956  266.4  1996  278.6  1990  247.6  1923  187.2  1933  137.2  1965   90.4  1925   66.2  2009   217.7  1984   583.9  2009   744.0  1995   392.0  1911  1833.9  1933
