Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England SE and Central S
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.9  2007   11.1  2024   13.9  1938   18.2  2011   19.5  1989   23.5  2023   26.1  2018   25.7  1995   22.6  2023   18.5  1921   13.2  2011   12.8  2015   10.21  2016   16.32  2025   24.10  1976   17.04  2006   16.11  2022
    9.8  2008   11.0  2019   13.5  2012   17.7  2007   19.4  2018   23.4  1976   26.1  2006   25.4  2022   22.6  1929   17.6  2022   12.9  2015   10.4  1934    9.72  2024   16.30  1893   23.87  2022   17.01  2023   15.93  2025
    9.8  1916   10.9  1990   13.2  1948   17.1  1893   19.4  2025   22.8  2025   25.7  1983   25.3  1947   21.9  1895   17.2  2023   12.8  1994   10.3  2023    9.67  1990   15.71  2011   23.57  2018   16.71  2011   15.66  2023
    9.7  1921   10.6  2022   13.0  2017   16.8  2025   19.3  1992   22.3  1940   25.3  1911   24.9  2003   21.7  1898   17.1  1995   12.8  2022   10.3  1974    9.67  2007   15.58  2020   23.53  2025   16.63  2022   15.65  2014
    9.6  1990   10.6  2002   12.9  1961   16.7  2020   19.2  2020   22.0  2018   25.1  2022   24.8  1911   21.7  1959   17.1  1959   12.5  2006   10.1  2018    9.67  2014   15.52  2007   23.31  1911   16.50  1959   15.64  2020
    9.6  1975   10.5  1998   12.9  1893   15.9  1943   19.0  2008   21.9  1970   25.0  1921   24.6  1899   21.6  1949   17.1  1969   12.4  1938   10.0  1994    9.64  2020   15.31  2017   23.26  1995   16.46  2014   15.47  2018
    9.4  2014   10.3  1945   12.9  2025   15.5  1945   19.0  1893   21.9  2017   24.9  1976   24.3  1990   21.6  2006   17.1  2006   12.3  2020    9.9  1898    9.52  1989   15.20  1945   23.22  1899   16.02  1949   15.34  1921
    9.4  1993   10.3  2026   12.8  2014   15.3  1946   18.9  1990   21.8  2006   24.6  2013   24.2  1997   21.0  2016   17.0  2005   12.1  2009    9.9  1900    9.52  2022   15.05  2022   23.10  2006   15.93  2021   15.33  1989
    9.4  1983   10.3  2008   12.8  1957   15.0  2014   18.8  1922   21.8  1957   24.4  1989   24.1  1975   21.0  2021   17.0  2011   12.1  2002    9.9  1918    9.48  2008   15.04  1948   23.02  2003   15.92  2005   15.33  2003
    9.3  2012   10.2  2020   12.6  2026   15.0  1914   18.8  1998   21.6  1950   24.4  1995   24.0  1976   20.9  1911   16.9  2001   12.0  2025    9.9  1988    9.46  1975   15.04  1943   22.86  1947   15.89  1898   15.31  2011
