Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England SE and Central S
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    7.1  2007    8.1  2024    9.2  2017   12.4  2011   14.0  2008   17.6  2023   20.2  2006   19.6  1995   17.7  2023   13.8  2001   10.4  1994   10.5  2015    7.23  2016   10.78  2025   18.15  2025   13.18  2006   11.61  2022
    7.1  1921    7.9  2026    9.1  1957   11.9  2007   13.8  1992   17.6  2025   19.9  2018   19.5  2022   17.3  2006   13.7  2006   10.0  2015    8.1  1934    6.82  2024   10.72  2024   18.03  2022   12.94  2023   11.53  2023
    7.1  1916    7.8  1990    8.8  1938   10.9  2020   13.7  2025   17.4  1976   19.9  1983   19.4  1997   16.9  1949   13.6  2005   10.0  2011    7.7  1974    6.77  1990   10.72  2017   18.00  2018   12.84  2011   11.52  2025
    6.8  1975    7.4  2002    8.5  2024   10.9  2025   13.7  1989   16.9  2017   19.0  2025   19.2  2003   16.7  1929   13.6  2022    9.8  2022    7.7  2023    6.75  2007   10.67  2007   17.99  1976   12.75  2022   11.49  2014
    6.8  1990    7.1  2022    8.4  2019   10.8  1943   13.7  1998   16.6  2018   19.0  2022   19.1  1947   16.7  2016   13.3  1995    9.3  2009    7.2  2018    6.58  2020   10.65  2011   17.79  2003   12.68  2014   11.40  2020
    6.8  2008    7.0  1926    8.4  2026   10.5  2014   13.7  2018   16.4  1940   18.9  1995   18.9  1911   16.3  2021   13.2  2014    9.3  1938    7.2  1953    6.54  1975   10.37  2014   17.77  2006   12.04  2009   11.36  2024
    6.6  1983    7.0  1961    8.4  1997   10.5  1893   13.7  2024   16.4  1950   18.9  1976   18.8  2020   16.1  1999   13.2  1921    9.2  2002    7.2  1918    6.49  2026   10.34  2020   17.69  1995   12.00  2021   11.24  2006
    6.5  2020    7.0  1995    8.4  2012   10.5  2018   13.5  2017   16.3  2003   18.7  1989   18.6  1899   16.0  1895   13.2  2023    9.1  2020    7.2  1988    6.39  1989   10.31  1893   17.56  1983   11.97  1949   11.18  2018
    6.3  1993    7.0  2020    8.3  1990   10.3  2009   13.3  2022   16.3  1970   18.7  2013   18.5  1990   15.8  2014   12.9  2011    9.0  2014    7.1  2021    6.38  2014   10.28  2022   17.45  1911   11.89  2005   11.17  2011
    6.2  2014    6.9  1945    8.2  1981   10.2  1945   13.3  1999   16.2  1896   18.6  1921   18.5  1975   15.7  1898   12.9  1969    8.9  2025    7.0  1898    6.29  2022   10.15  1945   17.42  1947   11.74  2020   11.03  2002
    6.2  1974    6.7  2014    8.2  1998   10.2  1961   13.2  1952   16.2  2006   18.6  1911   18.0  1933   15.7  2005   12.8  1968    8.8  1939    7.0  2024    6.22  1995   10.10  1999   17.40  1899   11.73  2025   11.02  2017
    6.1  1884    6.6  2019    8.1  1948   10.1  1949   13.1  1947   16.1  2021   18.6  1994   18.0  2004   15.7  1959   12.8  2013    8.7  2003    6.9  1985    6.03  1935   10.04  1998   17.14  2020   11.72  1959   11.01  1989
    6.1  1930    6.5  1998    8.1  2022   10.1  1894   13.1  1893   15.9  1982   18.5  2014   18.0  1932   15.6  2011   12.6  2017    8.6  1984    6.9  1912    6.00  1998   10.03  1992   17.12  1933   11.71  1995   10.96  2007
    6.0  1999    6.5  1903    8.1  2014   10.0  2024   13.1  1917   15.9  2005   18.2  2019   17.9  1955   15.5  1961   12.4  1959    8.6  1997    6.9  2025    5.94  1899   10.01  2009   17.11  2023   11.62  1898   10.93  1990
    6.0  2012    6.5  1997    8.0  1989   10.0  1987   13.1  2020   15.8  2004   18.1  1900   17.9  2024   15.4  1947   12.4  2021    8.6  1951    6.8  1900    5.89  2008    9.95  1943   17.03  1997   11.59  2001   10.92  2015
    6.0  2005    6.4  2007    8.0  1991    9.9  1944   13.1  1964   15.8  2020   18.1  1934   17.8  2025   15.4  1933   12.4  1949    8.5  1963    6.7  1994    5.84  2019    9.89  2019   17.01  2017   11.57  2024   10.89  1999
    6.0  1932    6.4  2011    7.9  1994    9.7  1914   13.0  1918   15.8  1917   18.1  2010   17.8  2016   15.4  1989   12.3  1989    8.5  2006    6.7  2006    5.70  1999    9.87  1990   17.00  2019   11.56  1999   10.86  2019
    6.0  2018    6.4  2000    7.9  2002    9.7  1946   13.0  1990   15.7  2014   18.1  1999   17.8  1983   15.3  2004   12.3  1990    8.5  1978    6.6  1954    5.70  1943    9.86  2018   16.99  1989   11.54  2002   10.86  1995
    6.0  1989    6.4  2017    7.9  2003    9.6  1952   13.0  2016   15.7  1947   18.0  1899   17.7  1944   15.3  1926   12.2  1954    8.4  2018    6.4  1942    5.68  1916    9.86  2002   16.91  2016   11.49  2015   10.85  2003
    5.9  1898    6.3  1914    7.8  1961    9.6  1993   13.0  1919   15.7  2010   17.9  2021   17.7  1976   15.3  1998   12.1  2024    8.4  1982    6.4  1911    5.63  1925    9.86  2003   16.84  1975   11.47  2004   10.79  2016
    5.9  1944    6.3  1966    7.7  2025    9.6  2015   12.9  1922   15.7  2007   17.9  1933   17.6  1991   15.2  1958   11.9  1977    8.4  1899    6.3  2002    5.61  1957    9.82  1952   16.83  2013   11.46  1989   10.76  2004
    5.8  2002    6.1  2023    7.6  1945    9.6  2002   12.8  1911   15.7  1889   17.9  2003   17.6  1984   15.2  2000   11.9  2025    8.3  1913    6.3  2011    5.57  1974    9.74  1997   16.78  1959   11.45  1978   10.76  1997
    5.8  1890    6.1  1885    7.6  1950    9.5  2003   12.8  1889   15.7  1992   17.9  1923   17.6  1959   15.1  1991   11.9  2009    8.3  1953    6.3  1910    5.55  2002    9.73  1959   16.77  2021   11.41  1913   10.73  1949
    5.7  1948    6.1  1923    7.6  2000    9.5  1999   12.7  2023   15.6  1960   17.8  1935   17.6  1893   15.0  2020   11.9  1945    8.2  1970    6.3  2013    5.54  1949    9.72  1948   16.77  1994   11.40  2016   10.73  1921
    5.7  1969    6.0  1946    7.5  2007    9.5  1959   12.7  2011   15.6  1957   17.8  1905   17.5  2019   15.0  2019   11.8  1908    8.1  1895    6.3  2019    5.52  1913    9.72  2008   16.77  2004   11.39  1994   10.69  2005
    5.7  1938    6.0  1989    7.5  1992    9.5  2019   12.7  1970   15.6  1893   17.8  1949   17.5  2013   15.0  1911   11.7  1996    8.1  1888    6.2  1971    5.47  1920    9.71  1961   16.70  2014   11.37  1997   10.68  1994
    5.7  2016    6.0  1937    7.5  1999    9.4  2022   12.7  2000   15.5  1899   17.7  2017   17.5  2018   15.0  1980   11.7  1978    8.1  1986    6.2  1924    5.41  1937    9.65  2023   16.68  1949   11.31  1984   10.64  1998
    5.6  1988    6.0  1950    7.5  1912    9.4  2017   12.7  2007   15.5  2022   17.6  1901   17.4  2002   14.9  2009   11.6  1898    8.0  1928    6.2  1977    5.40  2004    9.63  1912   16.63  1893   11.30  2018   10.59  2000
    5.5  1994    5.9  1980    7.4  1920    9.4  2004   12.6  2001   15.5  1897   17.6  2001   17.4  1937   14.9  1982   11.6  1971    8.0  1946    6.1  2000    5.40  1923    9.62  2012   16.63  2010   11.29  2013   10.59  2021
    5.4  1998    5.9  1928    7.4  1933    9.3  1995   12.6  1953   15.5  1930   17.6  1941   17.4  1884   14.9  1934   11.6  1913    7.9  2023    6.1  1921    5.40  2012    9.57  1989   16.61  2005   11.28  1970   10.59  1959
    5.4  2004    5.9  1920    7.3  1959    9.3  2005   12.6  1940   15.5  1966   17.6  1959   17.4  2001   14.9  1884   11.6  1979    7.9  1992    6.1  2016    5.39  1921    9.52  1957   16.57  1921   11.23  1938   10.56  2009
    5.4  1976    5.8  1918    7.3  1927    9.3  1937   12.6  2009   15.4  2016   17.5  2016   17.4  1973   14.9  2022   11.5  1906    7.9  1995    6.0  1959    5.37  1988    9.48  1933   16.56  2001   11.21  2017   10.42  2008
    5.4  1899    5.8  1977    7.3  2023    9.2  1948   12.6  2012   15.4  1993   17.4  1947   17.3  2009   14.8  1921   11.5  1986    7.9  2024    6.0  1997    5.34  2017    9.47  2000   16.55  1935   11.21  1945   10.34  2001
    5.3  1949    5.8  1897    7.3  1896    9.2  1942   12.6  1960   15.4  2009   17.4  1904   17.3  1949   14.8  1973   11.4  1886    7.8  2004    6.0  1915    5.30  1912    9.44  1920   16.55  2024   11.20  1968   10.32  1983
    5.3  1925    5.7  1957    7.3  1903    9.1  2010   12.6  2006   15.4  1933   17.4  1887   17.2  2012   14.7  1997   11.4  1984    7.8  1931    6.0  1929    5.30  2025    9.44  1993   16.54  1955   11.19  1982   10.31  1945
    5.3  1957    5.6  2008    7.3  1893    9.0  2006   12.6  1945   15.3  1934   17.4  1955   17.2  1989   14.7  1890   11.3  1988    7.8  1894    6.0  1979    5.30  2000    9.43  2004   16.50  2009   11.17  1929   10.28  1957
    5.3  1937    5.6  1935    7.2  1921    9.0  1926   12.5  2014   15.3  2000   17.3  2005   17.2  2000   14.7  2024   11.3  1967    7.7  1999    6.0  1986    5.29  1950    9.39  2015   16.48  1990   11.10  1947   10.23  1898
    5.2  1943    5.5  1912    7.2  1967    8.9  1904   12.5  1912   15.2  1925   17.3  1975   17.1  1906   14.7  1970   11.3  2015    7.7  1917    6.0  1955    5.14  2005    9.33  1896   16.43  1999   11.10  2000   10.23  1961
    5.2  2023    5.5  1974    7.2  2009    8.9  1955   12.4  1976   15.2  2019   17.3  1969   17.0  1898   14.7  1939   11.3  1916    7.7  1960    5.9  1998    5.14  1898    9.32  2005   16.39  1982   11.10  1969   10.23  2012
    5.1  1906    5.4  1884    7.2  1977    8.9  1957   12.4  1943   15.2  1959   17.2  1971   16.9  1999   14.7  1956   11.2  2004    7.6  1964    5.9  1951    5.10  2023    9.28  1960   16.37  1984   11.07  1906   10.23  1911
    5.1  1920    5.4  1939    7.1  2021    8.9  1997   12.4  2004   15.1  1986   17.2  1928   16.9  2023   14.7  1964   11.2  2018    7.6  1983    5.9  1972    5.10  1994    9.23  1921   16.34  1934   11.02  1921   10.21  1943
    5.0  1928    5.4  1949    7.0  2020    8.9  1896   12.3  1959   15.1  1941   17.1  1991   16.9  2006   14.7  2003   11.2  1910    7.6  1981    5.9  1993    5.09  1948    9.19  1927   16.31  1897   11.00  1990   10.20  1948
    5.0  1995    5.4  1943    7.0  1972    8.9  1912   12.3  1988   15.0  1973   17.1  1967   16.9  1994   14.6  1985   11.2  1957    7.5  2008    5.9  1948    5.08  1930    9.16  1981   16.28  1992   10.99  1958   10.20  1976
    5.0  1913    5.4  2016    7.0  2005    8.9  2023   12.3  1908   15.0  1935   17.1  1952   16.8  1916   14.6  1981   11.2  1943    7.5  1898    5.9  1949    5.03  2003    9.10  1988   16.23  1950   10.97  1961   10.16  1982
    4.9  2015    5.4  2004    6.9  1936    8.8  1933   12.3  1937   15.0  1887   17.1  1990   16.8  1981   14.6  2002   11.2  1985    7.5  1948    5.8  1956    5.03  1967    9.10  1940   16.20  1957   10.96  1954   10.16  1992
