Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England SE and Central S
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.5  1921    5.4  2026    5.6  1981    6.7  2018    9.2  2024   12.4  2025   14.2  2006   14.7  1997   13.1  2006   10.6  2001    8.1  1994    8.2  2015    4.28  2016    6.74  2024   12.82  2025    9.33  2006    7.52  2024
    4.4  1916    5.2  2024    5.5  1957    6.6  2011    9.0  2008   11.9  2017   14.0  1983   14.1  2020   12.8  2023   10.3  2006    7.2  2015    5.9  1934    3.95  2024    6.15  2017   12.56  2003    9.00  2011    7.43  2023
    4.4  2007    4.8  1990    5.5  2017    6.5  1961    8.7  2017   11.8  2023   13.8  2025   13.6  2022   12.4  2016   10.2  2005    6.9  2011    5.3  1974    3.90  1990    5.99  1998   12.47  2018    8.92  2014    7.35  2014
    4.1  1975    4.4  1926    4.9  2024    6.1  2024    8.7  1999   11.5  2021   13.7  2018   13.5  1995   12.3  1949    9.8  2014    6.8  2022    5.1  2023    3.85  2007    5.85  1999   12.42  2006    8.90  2023    7.26  2006
    4.0  1990    4.2  1961    4.8  1998    6.1  2014    8.6  1998   11.4  1982   13.4  1995   13.4  2003   11.8  1999    9.8  1968    6.6  2009    4.7  1953    3.68  2026    5.85  2014   12.39  1997    8.89  2022    7.18  2020
    3.9  1983    4.1  2002    4.8  2019    6.0  2007    8.4  2022   11.4  1976   13.3  2021   13.4  2004   11.6  2021    9.6  2022    6.3  2002    4.6  2021    3.66  1975    5.84  2007   12.34  1983    8.33  2009    7.14  2002
    3.8  2020    4.1  1995    4.5  1994    5.8  1943    8.4  1964   11.4  2007   13.2  1994   13.1  1911   11.3  1958    9.5  1995    6.2  1938    4.6  2024    3.55  2020    5.76  1992   12.30  2017    8.11  2025    7.14  2022
    3.8  2008    3.9  1966    4.5  1991    5.8  1993    8.4  1992   11.4  2016   13.2  2017   13.0  2024   11.3  1998    9.4  2013    6.1  2014    4.6  1985    3.47  1935    5.64  1981   12.29  2016    8.08  2021    7.13  2025
    3.5  1884    3.8  2020    4.3  1990    5.6  2009    8.3  1889   11.2  2003   13.1  2010   13.0  2008   11.2  2011    9.3  2023    5.9  2020    4.5  1988    3.31  1989    5.60  2018   12.27  2021    8.08  1968    7.06  2011
    3.4  1898    3.7  2014    4.3  1992    5.4  1987    8.3  2006   11.1  2018   13.1  2014   12.9  1975   11.2  2000    9.1  2017    5.8  1939    4.5  1918    3.15  2014    5.60  2011   12.24  2020    8.01  2024    6.97  2017
    3.4  1974    3.6  2011    4.3  2026    5.4  1959    8.3  2007   11.1  1950   13.0  2003   12.9  1932   11.1  1961    8.9  2011    5.8  2025    4.4  2018    3.09  2022    5.57  2002   12.22  2022    7.96  2001    6.92  2018
    3.2  1930    3.6  2017    4.2  1997    5.3  1937    8.2  2000   10.9  2020   13.0  1989   12.9  1947   11.0  1980    8.8  1954    5.7  1982    4.2  2002    3.07  1995    5.53  2022   12.16  2023    7.96  1994    6.88  2015
    3.1  1932    3.6  1945    4.2  1989    5.3  1894    8.2  1952   10.8  2000   13.0  2022   12.9  1990   11.0  1989    8.8  2021    5.7  1984    4.2  1898    2.85  1957    5.45  1952   12.14  1995    7.95  1949    6.85  2007
    3.1  1993    3.6  2022    4.2  2023    5.3  1999    8.2  2025   10.8  2005   12.8  2019   12.8  2012   11.0  1956    8.7  1990    5.6  1888    4.1  1912    2.82  1925    5.43  2023   11.99  1947    7.92  1995    6.83  1999
    3.1  1969    3.4  1903    4.2  1912    5.3  1949    8.2  2014   10.8  1896   12.8  1976   12.8  2001   10.9  1945    8.7  2025    5.6  1951    4.0  2025    2.81  1916    5.38  2000   11.95  2019    7.88  2005    6.81  1994
    3.1  1999    3.4  1997    4.0  2002    5.2  1920    8.1  2016   10.8  1998   12.8  1957   12.8  2016   10.9  2005    8.6  1969    5.6  1963    3.9  1900    2.77  1998    5.36  2008   11.93  2004    7.87  2020    6.78  2004
    3.0  2005    3.3  1923    3.9  1977    5.1  2020    8.1  2012   10.7  2004   12.8  1991   12.7  2002   10.9  2004    8.6  1989    5.5  2003    3.9  2006    2.75  1899    5.30  1959   11.89  1976    7.84  1984    6.76  1998
    3.0  2014    3.2  2007    3.9  2022    5.0  1945    8.0  2002   10.7  1970   12.8  2013   12.6  1899   10.8  1929    8.4  2024    5.4  1997    3.9  1942    2.70  1943    5.29  1993   11.85  1982    7.84  2004    6.74  2000
    2.9  2018    3.2  1946    3.9  1927    5.0  2025    8.0  2018   10.6  1935   12.7  1923   12.6  1991   10.8  2014    8.3  1949    5.3  1953    3.8  2000    2.67  1999    5.27  2009   11.75  2008    7.77  2015    6.72  1989
    2.9  1938    3.2  1885    3.7  2000    4.9  1944    8.0  1989   10.6  2014   12.7  2016   12.5  1984   10.7  1926    8.2  1977    5.3  2018    3.8  1910    2.65  1913    5.26  1957   11.75  1994    7.74  1999    6.68  2016
    2.9  1988    3.1  1937    3.6  1938    4.9  1995    7.9  1947   10.6  1997   12.7  1992   12.5  2009   10.7  1936    8.2  1898    5.3  1978    3.8  1954    2.60  1912    5.25  2025   11.75  1992    7.66  2002    6.68  1990
    2.8  1989    3.0  1914    3.6  1959    4.9  2004    7.8  2011   10.6  2006   12.6  1933   12.5  1955   10.6  2024    8.1  1967    5.2  1946    3.7  1971    2.59  1974    5.24  1994   11.66  2009    7.65  1958    6.63  1995
    2.8  2002    3.0  1918    3.6  1999    4.9  2005    7.8  1960   10.6  1966   12.6  1905   12.5  1944   10.5  1951    8.1  2009    5.1  1899    3.7  1977    2.55  1988    5.23  2019   11.66  2013    7.61  1913    6.61  2021
    2.8  1944    3.0  1897    3.5  1896    4.8  2006    7.7  1993   10.6  1947   12.6  1999   12.5  2018   10.5  1884    8.0  1976    5.0  2024    3.7  1911    2.53  1921    5.17  1920   11.64  2012    7.60  1982    6.60  1997
    2.8  2012    3.0  2000    3.5  1988    4.8  1972    7.7  1988   10.5  1940   12.5  2005   12.5  2013   10.4  1933    8.0  1996    4.9  2004    3.7  1924    2.50  1923    5.13  1912   11.63  2001    7.58  2013    6.59  2019
    2.7  1996    2.9  1977    3.5  1936    4.8  1952    7.7  2009   10.5  1993   12.5  2001   12.4  2019   10.4  1968    7.9  1910    4.9  1970    3.5  1994    2.47  1937    5.12  2020   11.62  2014    7.58  1945    6.55  2005
    2.7  1948    2.7  1980    3.5  1903    4.6  2002    7.7  1953   10.5  1983   12.5  1947   12.4  1983   10.3  2009    7.9  1921    4.9  1928    3.4  1956    2.46  2025    5.12  1945   11.61  1911    7.54  1989    6.44  2009
    2.7  1976    2.7  1957    3.5  1967    4.6  1992    7.7  1912   10.5  2019   12.5  1900   12.4  2006   10.3  1969    7.9  1913    4.8  1913    3.4  1979    2.43  2019    5.12  1960   11.60  2010    7.49  2000    6.43  1983
    2.6  1890    2.6  1950    3.4  1950    4.6  1942    7.7  2023   10.5  1960   12.4  2023   12.3  2025   10.3  1983    7.9  1916    4.8  1999    3.4  1987    2.42  2004    5.09  1989   11.58  1899    7.44  2017    6.41  2008
    2.5  1925    2.6  1912    3.4  1960    4.5  1998    7.6  1908   10.4  1889   12.4  1899   12.3  1994   10.3  1946    7.8  2020    4.8  1895    3.2  1915    2.37  2002    5.07  1988   11.57  1933    7.43  2016    6.40  2003
    2.5  1998    2.6  1998    3.4  1952    4.5  1966    7.6  1937   10.4  2012   12.4  2009   12.3  1992   10.3  1947    7.8  1988    4.7  1931    3.2  1997    2.34  2008    5.06  1961   11.56  2002    7.43  1978    6.39  2001
    2.5  1994    2.6  1935    3.3  2014    4.5  1904    7.5  2001   10.4  1905   12.3  1921   12.3  1959   10.3  2022    7.8  1958    4.7  2023    3.1  1929    2.34  1972    5.02  2004   11.48  2024    7.42  1946    6.34  1957
    2.5  1937    2.6  1884    3.3  2012    4.5  1957    7.5  1918   10.4  1897   12.3  1975   12.3  1999   10.2  1967    7.8  1906    4.6  1894    3.1  1921    2.32  1950    5.02  2003   11.47  2005    7.39  1963    6.29  1988
    2.4  1957    2.5  2004    3.2  2005    4.5  1926    7.5  1917   10.3  1917   12.2  1982   12.3  2023   10.2  2019    7.8  1984    4.6  1986    3.1  1972    2.27  1930    5.02  2005   11.46  1950    7.38  1898    6.28  1949
    2.4  2004    2.5  1989    3.2  1923    4.5  1963    7.5  1970   10.3  1930   12.2  1944   12.2  1973   10.2  1987    7.8  1886    4.6  2006    3.1  2011    2.25  1903    4.96  2006   11.45  2007    7.37  1938    6.27  1992
    2.4  2016    2.5  1974    3.2  1897    4.5  1964    7.5  1911   10.2  1931   12.2  1935   12.2  1971   10.2  1973    7.7  1979    4.6  1983    3.1  2019    2.23  1961    4.96  2001   11.39  1999    7.36  1970    6.23  2012
    2.4  1943    2.4  2023    3.2  2007    4.4  2019    7.5  2003   10.2  1910   12.1  1926   12.2  2015   10.2  1939    7.7  1959    4.6  1995    3.1  1959    2.20  2003    4.95  2012   11.38  1955    7.28  1983    6.18  1982
    2.3  1899    2.3  1920    3.2  2003    4.4  2023    7.4  1981   10.2  1992   12.1  2024   12.2  1933   10.1  1924    7.7  2004    4.6  2008    3.0  1951    2.19  1920    4.90  1943   11.36  2000    7.25  1924    6.17  1945
    2.2  1939    2.3  1905    3.2  2020    4.4  1914    7.4  1919   10.2  2008   12.1  1967   12.1  1952   10.1  1970    7.7  1903    4.6  1964    3.0  1993    2.18  1949    4.89  2015   11.36  1989    7.23  1954    6.13  1959
    2.2  1913    2.3  1928    3.1  2015    4.4  2003    7.4  1945   10.2  2002   12.0  2008   12.1  2000   10.1  1991    7.6  2015    4.5  1917    3.0  1989    2.14  1898    4.86  1997   11.31  1991    7.19  1998    6.13  1921
    2.2  1924    2.2  1925    3.1  2021    4.4  1930    7.4  2004   10.1  1968   12.0  1934   12.1  1969   10.1  1913    7.6  1908    4.4  1992    3.0  1948    2.13  2005    4.85  1964   11.31  1975    7.18  1951    6.11  1898
    2.1  1949    2.2  2021    3.1  1921    4.4  1940    7.3  1924   10.1  1963   12.0  1904   12.1  2021   10.1  1985    7.6  1945    4.4  1900    2.9  1922    2.13  1948    4.84  1991   11.29  1959    7.18  1997    6.10  1961
    2.1  1906    2.2  2025    3.1  1905    4.3  1985    7.3  1893   10.1  1936   12.0  1911   12.1  1893   10.1  1895    7.5  1986    4.3  1960    2.9  1998    2.12  2001    4.83  1990   11.28  1935    7.17  1969    6.08  1960
    2.0  1936    2.2  2019    3.0  1948    4.3  2001    7.3  2015   10.1  2009   12.0  1941   12.0  1958   10.1  1984    7.5  1985    4.3  1974    2.9  1949    2.10  2012    4.78  1927   11.27  1957    7.16  2018    6.07  1913
    2.0  2023    2.1  1967    3.0  2008    4.3  2015    7.3  1920   10.0  2022   12.0  1969   12.0  1917   10.0  1981    7.5  1998    4.3  1981    2.8  1986    2.08  1994    4.63  1913   11.26  2015    7.15  1990    6.05  1977
    1.9  1971    2.1  2016    3.0  2001    4.2  1896    7.3  1976   10.0  2010   12.0  1901   11.9  1980   10.0  1982    7.5  2019    4.3  1924    2.8  2013    2.07  2017    4.61  2016   11.24  1897    7.12  2019    6.03  2013
    1.9  1935    2.0  1972    3.0  1920    4.2  2022    7.1  1933    9.9  1986   11.9  2015   11.9  1916   10.0  1992    7.5  1966    4.3  1906    2.8  2020    2.03  1993    4.60  1967   11.23  1905    7.12  1961    6.02  1993
    1.8  1902    2.0  1999    3.0  1913    4.2  1980    7.1  1973    9.9  1945   11.9  1952   11.9  1982   10.0  1930    7.5  1909    4.2  1945    2.8  1932    2.01  1926    4.59  1950   11.23  1944    7.11  1977    5.99  1967
    1.8  2006    2.0  1939    2.9  1945    4.2  2000    7.1  1925    9.8  1933   11.9  1912   11.9  1898   10.0  1935    7.4  1978    4.2  1990    2.7  1955    1.97  2000    4.58  1972   11.22  1952    7.05  1906    5.98  1948
    1.8  2011    1.9  1982    2.9  1978    4.2  2017    7.1  1965    9.8  1988   11.9  1986   11.9  1942    9.9  1941    7.4  1963    4.1  1898    2.6  1983    1.97  1967    4.56  1896   11.22  1893    7.04  1953    5.98  1976
    1.8  1920    1.9  1958    2.8  2004    4.1  1947    7.1  1969    9.8  1934   11.8  1949   11.8  1937    9.9  2020    7.4  1960    4.1  1948    2.6  2016    1.92  2021    4.54  1933   11.21  1990    7.03  1960    5.97  1926
