Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England SW and S Wales
Areal series, starting in 1931
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.0  1963   25.6  1947   22.6  1955    9.3  2021    5.1  1941    0.3  1991    0.0  1984    0.0  1976    0.4  1969    5.0  2003   11.0  2005   23.8  2010    68.8  1963    24.8  1955     0.3  1991    12.3  1993    80.7  2010
   24.4  1979   24.4  1986   19.9  1962    8.7  1968    4.0  1979    0.1  1962    0.0  1965    0.0  1987    0.2  1986    4.9  1931   10.1  1965   19.7  1950    52.1  1979    24.8  2013     0.1  1962    11.1  1988    77.4  1963
   23.6  1940   24.3  1963   16.9  2013    8.2  1936    2.5  1996    0.1  1989    0.0  1973    0.0  1934    0.2  2018    4.8  1993    9.9  1988   19.2  1933    51.7  1947    22.1  1962     0.1  1989    11.1  1955    73.2  1955
   22.4  1985   22.9  1956   16.6  1937    7.7  1956    2.4  1945    0.1  1969    0.0  1971    0.0  1964    0.2  1974    4.2  1955    9.6  1985   17.1  1981    48.8  1940    20.9  1970     0.1  1969    11.0  2005    72.1  1979
   20.6  1945   22.2  1942   13.5  1970    7.6  1938    2.3  1935    0.1  1985    0.0  2020    0.0  1971    0.2  1975    3.2  2018    9.2  1952   16.1  1963    44.9  1942    20.2  1958     0.1  1985    10.7  2010    64.4  1933
   19.1  2010   19.5  1968   13.3  1958    7.5  2013    2.3  1982    0.1  1973    0.0  1996    0.0  2018    0.1  1948    3.2  1992    8.9  1971   15.6  1961    43.9  2010    19.1  1941     0.1  1973    10.6  1952    63.7  1947
   18.8  1980   18.9  1955   13.2  1931    7.4  1970    1.9  1932    0.0  1975    0.0  1986    0.0  1983    0.1  1952    2.9  1997    8.4  2010   15.5  1962    42.4  1934    17.7  1979     0.1  1971    10.1  1985    63.3  1985
   18.4  1941   18.6  1991   13.0  1932    7.1  1986    1.7  2021    0.0  2011    0.0  2001    0.0  2010    0.1  2025    2.4  1951    8.4  1996   15.4  1976    41.8  1991    17.7  1969     0.0  1975    10.1  1965    63.1  1996
   18.0  1987   17.4  1979   12.9  1953    7.0  1975    1.6  1967    0.0  1971    0.0  1931    0.0  1977    0.1  1979    2.2  2010    7.9  1937   15.3  1996    41.5  1965    16.8  1937     0.0  2011     9.2  1971    61.4  1962
   17.6  1933   17.0  1969   12.8  1969    6.9  1958    1.5  2020    0.0  1999    0.0  1932    0.0  1993    0.1  2010    1.9  1939    7.5  1969   14.8  1995    41.2  1985    16.7  1932     0.0  1999     8.4  1996    61.3  1969
   17.5  1942   16.9  1996   11.9  1947    6.1  1989    1.4  1944    0.0  1972    0.0  1933    0.0  1972    0.1  2003    1.9  1983    7.5  1993   14.3  1937    40.1  2011    16.1  2021     0.0  1972     8.4  1962    60.8  1940
   16.7  1959   16.8  1983   11.6  1944    6.1  1984    1.3  2019    0.0  1977    0.0  1934    0.0  1933    0.1  1957    1.6  1987    7.4  1962   14.2  2008    39.9  1986    15.9  1953     0.0  1977     8.2  1972    60.4  1968
   15.4  1997   16.0  1981   11.6  2010    6.1  1978    1.2  1995    0.0  1987    0.0  1935    0.0  1935    0.1  1932    1.5  1950    7.3  1942   14.2  1964    39.7  1996    15.6  1968     0.0  1987     8.0  1969    60.0  1941
   15.0  1992   14.6  1933   11.5  1987    5.9  1941    1.1  1984    0.0  1956    0.0  1936    0.0  1932    0.1  1962    1.4  2008    7.1  1980   14.2  2001    39.7  1941    15.3  2010     0.0  1956     7.9  1937    59.7  1956
   14.9  1953   14.5  1934   11.5  1946    5.9  1990    1.1  2010    0.0  2001    0.0  1937    0.0  1931    0.1  1959    1.4  1964    7.0  1977   13.8  1939    39.1  1956    15.2  1975     0.0  2001     7.7  1942    57.8  1970
   14.6  1946   14.0  1965   10.5  1985    5.4  2008    1.0  1977    0.0  2008    0.0  1946    0.0  1946    0.1  1987    1.4  1948    7.0  1972   13.4  1969    38.8  1953    15.1  1956     0.0  1984     7.7  1983    57.4  1965
   14.6  1952   13.7  1978   10.3  1951    4.9  1977    0.9  1956    0.0  1984    0.0  1947    0.0  1947    0.1  1936    1.4  1941    6.8  1955   13.0  1970    38.2  2009    15.0  1984     0.0  2008     7.6  1980    57.2  1952
   14.4  2021   13.7  1932   10.3  1965    4.9  1979    0.8  1965    0.0  1978    0.0  1948    0.0  1948    0.1  2024    1.4  1932    6.2  1947   13.0  2009    37.9  1968    14.9  1976     0.0  1976     7.5  2003    56.7  1942
   14.2  1977   13.5  2018   10.1  1976    4.6  1969    0.8  1948    0.0  1996    0.0  1949    0.0  1949    0.1  1942    1.3  1952    6.2  1973   12.6  1946    36.3  1933    14.5  1996     0.0  1978     7.2  1973    55.1  1986
   13.8  1954   13.1  1970   10.0  1940    4.5  1996    0.7  1997    0.0  2024    0.0  1950    0.0  1950    0.1  2007    1.3  1981    5.8  1983   12.4  2022    35.9  1951    13.9  1931     0.0  1996     7.0  1977    54.0  1987
   13.8  2009   13.1  1960    9.7  2006    4.4  2022    0.7  1971    0.0  2022    0.0  1951    0.0  1951    0.0  1972    1.2  1936    5.6  1943   12.1  1968    35.7  1964    13.8  1965     0.0  1965     6.6  1947    53.9  2013
   13.7  1955   12.3  1952    9.3  1973    4.3  1976    0.7  1961    0.0  1941    0.0  1952    0.0  1936    0.0  2020    1.2  2002    5.5  1989   11.7  1952    35.6  1970    13.7  1986     0.0  2024     6.5  1936    51.2  1976
   13.6  1947   12.2  1936    9.3  1995    4.2  1954    0.7  1938    0.0  1939    0.0  1953    0.0  1937    0.0  1931    1.2  1988    5.4  1967   11.6  1960    35.5  1955    13.7  2006     0.0  2022     6.2  2018    51.0  2001
   13.5  2011   12.2  1953    9.3  1964    3.9  2016    0.7  1946    0.0  1957    0.0  1938    0.0  1938    0.0  1943    1.2  1972    5.1  1936   10.8  1935    35.3  1987    13.7  1951     0.0  1934     5.8  1966    50.9  1964
   13.3  1965   12.1  1987    9.0  2025    3.9  2006    0.6  1974    0.0  1932    0.0  1939    0.0  1939    0.0  1939    1.2  2012    5.1  1979   10.6  1990    35.1  1959    13.7  1946     0.0  1964     5.8  1943    50.6  1981
   12.6  1991   12.1  1985    8.8  1979    3.9  2012    0.6  1981    0.0  1974    0.0  1940    0.0  1940    0.0  1990    1.1  1935    4.9  1933   10.6  1992    34.5  1982    13.4  1944     0.0  1941     5.6  1933    50.4  1958
   12.2  1966   12.0  1944    8.8  2018    3.8  1981    0.6  1968    0.0  2004    0.0  1941    0.0  1941    0.0  1988    1.1  1946    4.8  1966   10.3  1978    34.3  1969    13.4  1973     0.0  1939     5.5  1989    49.4  1991
   12.0  1960   12.0  2001    8.8  1949    3.7  1999    0.6  1976    0.0  1988    0.0  1942    0.0  1942    0.0  2015    1.1  1975    4.8  2025   10.1  1943    34.1  1997    13.4  1940     0.0  1957     5.5  1941    48.8  1973
   11.5  2024   11.9  1941    8.1  1941    3.7  1988    0.5  2005    0.0  2019    0.0  1943    0.0  1943    0.0  1944    1.1  1973    4.7  1968    9.8  1967    33.8  1977    13.3  1995     0.0  1974     5.4  1950    48.3  1978
   11.5  1950   11.9  2010    8.1  1974    3.7  2003    0.5  1993    0.0  2021    0.0  1944    0.0  1944    0.0  1984    1.1  1974    4.7  2017    9.5  2005    32.7  1945    12.8  1985     0.0  1932     5.4  1967    48.1  1937
   11.5  1956   11.5  2012    8.0  1975    3.7  1933    0.5  2013    0.0  1935    0.0  1945    0.0  1945    0.0  2005    1.0  1966    4.7  2013    9.5  1957    32.5  1981    12.8  1987     0.0  2004     5.2  1931    46.3  1980
   11.2  2003   11.4  2005    7.8  1984    3.7  1973    0.5  1942    0.0  1936    0.0  1961    0.0  1961    0.0  1999    0.9  1994    4.5  1978    9.4  1940    31.9  2006    12.7  1947     0.0  2020     5.2  1979    46.2  1946
   11.1  2013   11.4  2015    7.7  2011    3.6  1998    0.5  1987    0.0  1968    0.0  1960    0.0  1960    0.0  1965    0.8  1962    4.5  2007    9.4  1973    31.0  1936    12.2  1964     0.0  1988     4.9  2025    45.9  2021
   11.1  2006   11.3  2006    7.7  2005    3.6  1983    0.4  1962    0.0  1946    0.0  1959    0.0  1959    0.0  2019    0.8  1960    4.5  2016    9.4  2007    30.9  1962    12.0  1936     0.0  2019     4.9  1964    45.6  1950
   11.0  1931   11.3  1940    7.6  2001    3.4  1940    0.4  1973    0.0  2005    0.0  1958    0.0  1958    0.0  2022    0.7  1956    4.3  1995    9.3  1944    30.5  1952    11.5  1938     0.0  2021     4.9  2017    45.2  1953
   10.7  1958   11.1  2004    7.5  1996    3.4  1991    0.4  2018    0.0  1951    0.0  1957    0.0  1957    0.0  1996    0.7  1933    4.3  1957    9.1  1982    29.7  2023    11.2  1974     0.0  1935     4.9  2007    44.9  2005
   10.4  1982   10.6  2013    7.4  1971    3.2  2000    0.4  1980    0.0  1986    0.0  1956    0.0  1956    0.0  1976    0.7  1949    4.2  1990    8.9  1938    29.4  2013    10.6  2001     0.0  1936     4.8  2012    44.9  2006
   10.4  2001   10.4  2003    7.2  2004    3.1  1951    0.3  2003    0.0  1995    0.0  1955    0.0  1955    0.0  1934    0.6  1954    4.1  1944    8.2  1958    29.3  2021    10.6  1935     0.0  1968     4.8  1956    44.6  1960
   10.3  2000   10.3  1948    7.2  1993    3.1  1966    0.3  1955    0.0  1993    0.0  1954    0.0  1954    0.0  1993    0.6  2019    4.1  1941    8.2  1998    29.3  2001    10.6  1978     0.0  1946     4.7  1968    44.1  1936
   10.3  2019   10.3  1959    6.9  1934    2.9  1964    0.3  1969    0.0  1994    0.0  1969    0.0  1953    0.0  1973    0.5  1980    4.1  1956    7.9  2014    29.0  1980    10.5  2016     0.0  1986     4.7  1978    43.9  2003
   10.2  2017   10.2  2009    6.8  1942    2.8  1953    0.3  1949    0.0  1964    0.0  1968    0.0  1952    0.0  1970    0.5  1985    3.9  1950    7.9  1980    28.7  1992    10.5  1971     0.0  1951     4.7  2013    43.7  1984
   10.1  1964   10.2  1976    6.7  1980    2.8  2001    0.3  1975    0.0  1981    0.0  1970    0.0  1969    0.0  1971    0.5  1934    3.9  2006    7.8  2012    28.6  1983    10.2  1949     0.0  2005     4.6  2016    43.5  2009
    9.9  2025   10.2  1954    6.7  1935    2.8  1995    0.3  1931    0.0  1998    0.0  1972    0.0  1968    0.0  1967    0.5  1961    3.8  2021    7.6  1975    27.7  1958    10.1  2005     0.0  2018     4.5  1949    43.1  1944
    9.8  1973   10.1  1984    6.6  1986    2.8  1997    0.2  1991    0.0  2015    0.0  1974    0.0  1973    0.0  1961    0.5  1998    3.8  2001    7.4  1979    27.7  1971    10.1  2018     0.0  1993     4.5  1957    41.4  1931
    9.8  1986    9.6  1994    6.5  1956    2.7  1952    0.2  1957    0.0  1934    0.0  1967    0.0  1962    0.0  1982    0.4  1942    3.8  2024    7.2  1991    27.0  2015     9.8  1954     0.0  1995     4.4  1944    41.3  1932
    9.7  2022    9.5  1964    6.4  2016    2.7  1965    0.2  1951    0.0  2018    0.0  1966    0.0  1967    0.0  1933    0.4  1940    3.8  1949    7.1  1997    26.8  1960     9.6  1934     0.0  1994     4.3  1995    40.6  1995
    9.7  1984    9.1  2021    6.4  1968    2.7  1994    0.2  1959    0.0  1967    0.0  1962    0.0  1966    0.0  1991    0.4  2024    3.8  1982    7.0  2017    26.3  2003     9.6  2025     0.0  1981     4.3  2008    40.2  1992
    9.6  1961    9.0  1962    6.2  1963    2.7  2010    0.2  1994    0.0  1979    0.0  1977    0.0  1974    0.0  1940    0.4  1947    3.8  1991    7.0  2000    26.3  2018     9.4  2008     0.0  1983     4.3  2024    40.0  1945
    9.2  1998    8.8  1973    5.6  1943    2.6  1934    0.2  2016    0.0  1976    0.0  1976    0.0  1975    0.0  1994    0.4  1984    3.7  1958    6.9  1987    26.1  1944     9.4  1945     0.0  2010     4.3  1990    39.4  1954
    9.1  1970    8.6  1971    5.5  1954    2.5  1974    0.2  2001    0.0  1954    0.0  1980    0.0  1970    0.0  1985    0.3  1986    3.7  2012    6.8  1989    25.6  1954     9.2  1989     0.0  2015     4.3  1975    39.4  1982
    9.0  2023    8.4  2008    5.3  1952    2.4  1982    0.2  1943    0.0  1938    0.0  1978    0.0  1978    0.0  1995    0.3  1982    3.6  1998    6.7  2003    25.4  1984     9.1  1980     0.0  1998     4.2  1997    39.3  1935
    9.0  1978    8.4  2016    5.3  1945    2.3  1971    0.2  1953    0.0  1959    0.0  1981    0.0  1981    0.0  1938    0.3  1953    3.5  1964    6.7  1984    25.3  2004     8.9  1990     0.0  1967     4.2  1987    39.0  1983
    8.7  1939    8.2  2023    5.1  2021    2.3  2017    0.2  2017    0.0  1970    0.0  1982    0.0  1982    0.0  1954    0.3  1991    3.5  1976    6.2  1965    25.0  1976     8.8  1977     0.0  1979     4.1  1992    38.8  1971
    8.7  1934    7.5  1958    5.1  2009    2.3  1985    0.2  2007    0.0  1933    0.0  1983    0.0  1980    0.0  1947    0.3  1970    3.4  1961    6.2  2016    24.9  1978     8.7  1982     0.0  1954     4.1  1982    38.4  2008
    8.7  1951    7.5  1951    4.9  1972    2.2  1950    0.2  2025    0.0  1937    0.0  1979    0.0  1979    0.0  1977    0.3  1971    3.3  1960    6.0  2004    24.2  1932     8.4  1993     0.0  1938     4.1  1991    37.3  2018
    8.7  2026    7.3  1967    4.8  1961    2.1  1992    0.2  1960    0.0  2002    0.0  1985    0.0  1985    0.0  2012    0.3  2007    3.0  1975    5.8  1931    23.4  1946     8.1  2003     0.0  1959     4.1  1998    37.0  1967
    8.7  1967    7.0  1982    4.5  2015    2.1  1980    0.1  1992    0.0  1953    0.0  1987    0.0  1984    0.0  1945    0.3  2009    2.9  2008    5.8  2020    23.2  1938     8.0  2004     0.0  1970     4.0  1960    36.8  1951
    8.6  1981    7.0  1957    4.5  1978    2.0  2019    0.1  2012    0.0  1942    0.0  1988    0.0  1988    0.0  1950    0.3  1999    2.8  2019    5.8  1985    23.2  2002     8.0  1952     0.0  1933     3.9  1961    36.3  1977
    8.6  1968    7.0  1938    4.4  1939    2.0  2020    0.1  1950    0.0  1958    0.0  1989    0.0  1986    0.0  1935    0.2  2017    2.8  2023    5.5  1983    22.6  1966     7.8  2011     0.0  1937     3.9  2006    36.2  2012
    8.4  1972    6.5  1988    4.2  2020    1.9  1955    0.1  1985    0.0  1961    0.0  1990    0.0  1989    0.0  1964    0.2  1944    2.8  2018    5.5  1999    22.4  1939     7.7  1988     0.0  1961     3.8  2021    35.9  1934
    8.3  1957    6.5  1992    4.1  2003    1.9  1932    0.1  1939    0.0  1943    0.0  1975    0.0  1990    0.0  1941    0.2  1959    2.7  1959    5.5  1936    21.7  1973     7.7  2020     0.0  1953     3.8  2001    35.7  1939
    8.1  1935    6.0  1935    4.0  2008    1.9  2002    0.1  1934    0.0  1944    0.0  1963    0.0  1963    0.0  1937    0.1  2023    2.7  1940    5.4  1948    21.6  1961     7.6  1942     0.0  1942     3.8  1958    35.3  1997
    8.0  1996    5.9  1949    4.0  1982    1.9  2005    0.1  1989    0.0  1931    0.0  1964    0.0  1965    0.0  1953    0.1  2011    2.7  1945    5.4  1993    21.4  2017     7.3  1933     0.0  1958     3.7  1935    35.2  1961
    7.9  1936    5.7  1989    3.9  1988    1.8  2023    0.1  1936    0.0  1960    0.0  1993    0.0  1992    0.0  1960    0.1  1978    2.6  1987    5.4  1956    20.9  1948     7.2  1963     0.0  2002     3.6  1976    34.9  2016
    7.6  2015    5.4  1931    3.8  1936    1.8  1960    0.1  2004    0.0  1955    0.0  1992    0.0  1991    0.0  1958    0.1  1976    2.6  1935    5.3  1986    20.8  1994     6.8  2022     0.0  1955     3.5  2019    34.6  2004
    7.5  2004    5.3  1999    3.6  2023    1.7  1945    0.1  1998    0.0  1950    0.0  1991    0.0  1994    0.0  1955    0.1  1957    2.4  1934    5.2  1947    20.8  1950     6.7  1991     0.0  1950     3.4  1951    34.4  1959
    7.1  1976    5.2  2007    3.6  1933    1.7  1962    0.1  1963    0.0  1947    0.0  1995    0.0  1995    0.0  1956    0.1  1943    2.4  2003    5.2  1941    20.7  1957     6.7  1999     0.0  1947     3.1  1940    34.4  1993
    6.7  1937    5.1  2019    3.3  2000    1.6  1935    0.1  1988    0.0  1949    0.0  1997    0.0  1998    0.0  1949    0.1  2000    2.4  2020    5.0  2006    20.3  2005     6.5  2000     0.0  1960     3.0  1959    33.8  1975
    6.4  2012    5.0  2017    3.3  1938    1.6  1939    0.1  1972    0.0  1948    0.0  1998    0.0  1999    0.0  1946    0.1  1969    2.2  1954    4.9  1949    20.2  2012     6.4  1966     0.0  1948     3.0  1948    31.7  1989
    6.4  1995    4.8  1974    3.2  1966    1.5  1948    0.1  1954    0.0  1952    0.0  1999    0.0  1996    0.0  1951    0.1  2015    2.1  2015    4.7  2002    20.1  1998     6.3  1983     0.0  1952     3.0  1934    31.1  1966
    6.4  1962    4.7  1939    3.1  1991    1.5  1946    0.0  2002    0.0  1945    0.0  1994    0.0  1997    0.0  1992    0.1  1990    2.0  2014    4.7  1955    19.9  2008     6.1  1939     0.0  1945     2.9  2023    31.1  2022
    6.1  1971    4.6  1993    3.0  1989    1.5  1967    0.0  1990    0.0  1940    0.0  2002    0.0  2002    0.0  1968    0.1  1958    2.0  1999    4.6  1945    19.4  1999     6.1  2009     0.0  1940     2.9  1981    31.1  1957
