Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England SW and S Wales
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   26.3  1948   24.5  2014   25.2  1914   23.0  1920   21.4  1967   20.0  1907   24.6  1936   24.4  1912   25.7  1918   29.0  1903   25.8  1963   28.0  1934    70.0  2014    54.3  1983    59.2  1912    64.9  2000   193.9  1903
   25.7  1988   24.1  1910   24.3  1947   22.9  1998   20.8  1969   19.5  1912   22.5  1920   22.3  1917   23.6  1896   25.5  1907   25.2  1960   26.0  1911    66.6  1994    54.1  1920    55.7  2012    64.8  1935   191.7  1960
   25.3  2014   23.5  1916   23.3  1912   19.8  1932   20.6  1983   19.4  2012   21.5  1939   22.1  1985   22.9  1950   24.4  1967   25.0  2009   25.9  1993    63.6  1915    53.5  1913    54.3  1927    61.3  1960   190.2  2000
   24.3  1984   23.5  2020   22.7  1903   19.4  2012   20.2  1981   18.5  1998   21.5  2009   21.4  1897   22.1  1974   24.3  1917   24.5  1926   25.8  1959    62.9  1995    52.7  1947    49.1  1907    60.0  1974   189.4  1910
   24.0  1990   23.1  1923   22.6  2023   19.4  1961   19.9  2021   18.0  1935   20.6  1960   20.9  1891   21.5  1935   24.1  1916   24.2  2000   25.0  1929    62.9  1916    52.7  1979    49.0  1958    59.9  1954   188.0  1927
   23.5  1928   22.6  1937   21.3  1896   19.1  1897   19.9  1925   17.6  1991   20.3  1988   20.8  1924   20.6  1927   23.8  1923   23.8  2002   25.0  1919    62.8  1910    48.9  1986    48.7  1946    58.2  1903   186.6  1930
   23.5  2026   22.5  2026   21.1  1909   18.8  1966   19.7  1924   17.5  1946   20.1  2007   20.6  1951   20.4  1954   23.6  1976   23.1  2015   24.9  1918    62.6  2026    48.6  2024    48.6  1931    57.4  1918   185.6  1912
   23.4  1943   21.9  1977   21.0  1979   18.8  1935   19.1  1898   17.4  1972   20.0  1931   20.4  1946   19.5  2017   23.5  2000   23.0  1951   24.5  1999    61.8  2016    48.4  1932    48.0  1960    57.4  1967   184.9  1950
   23.4  1974   21.7  1925   21.0  2024   18.7  1950   18.3  1945   17.2  1945   19.5  1927   20.3  2012   19.2  1924   23.3  1909   22.8  1992   24.4  2015    61.8  1937    48.1  1897    47.5  1910    57.3  1930   184.7  1923
   23.2  1994   21.5  1995   20.5  2018   18.5  1907   18.1  1932   16.8  2007   18.1  1894   20.0  2008   18.8  1946   23.0  1981   22.5  1944   24.3  1915    61.4  1912    47.4  1981    47.2  2007    56.9  2019   184.1  1907
   22.9  1913   21.5  1904   20.2  1913   18.0  2000   17.2  1979   16.3  1980   17.7  2023   19.9  1950   18.4  1967   22.9  1930   22.4  1939   24.1  2020    60.1  2020    47.1  1963    47.2  1924    56.7  1950   183.3  1916
   22.5  1921   21.4  1893   20.1  1981   17.6  1983   17.2  1986   16.2  2020   17.5  1918   19.6  1958   17.6  1930   22.8  1906   22.2  1982   23.7  1912    59.0  1960    46.9  1914    47.2  1891    55.6  1976   183.1  1951
   22.5  1993   21.3  2024   20.0  1951   17.3  1899   17.0  1931   16.2  1982   17.4  1953   19.6  1941   17.5  1999   22.6  1928   21.9  1929   23.7  1914    58.7  1920    46.8  1903    47.0  1939    55.0  2022   181.9  1974
   22.5  1937   21.2  1915   19.7  1978   17.0  1905   17.0  1906   16.0  1928   17.1  1922   19.5  1927   17.2  1994   22.3  2020   21.6  1935   23.7  1965    58.5  1904    46.7  1951    47.0  1985    54.5  1984   181.8  1994
   22.4  1926   20.7  1957   19.5  1927   16.9  1922   16.9  1955   15.9  1990   16.8  1957   19.3  1992   17.2  2000   21.7  1960   21.5  1997   23.2  2012    58.5  1919    46.6  1994    46.7  1894    53.6  1923   181.5  2012
   22.3  1936   20.3  2002   19.4  1905   16.9  1963   16.9  2002   15.7  1900   16.7  1914   18.7  1942   17.1  1981   21.7  1891   21.5  1970   22.8  2011    58.4  1990    45.1  2008    45.7  1917    53.5  1981   181.1  2023
   22.0  1920   19.9  1990   19.2  2001   16.9  1913   16.8  1891   15.7  1948   16.2  1915   18.7  1905   17.0  1968   21.6  1935   21.4  1974   22.7  1986    56.9  2021    44.4  1907    44.9  1950    53.3  1992   181.1  1928
   22.0  1894   19.8  1966   19.1  1994   16.7  1910   16.7  1972   15.4  1902   16.1  1965   18.6  1910   17.0  2025   21.4  1932   21.4  2022   22.7  2023    56.6  1926    43.9  1930    44.9  1963    53.0  2023   180.9  1954
   21.9  1995   19.2  2000   18.9  1897   16.4  1999   16.6  1923   15.3  1927   16.0  2012   18.5  1956   17.0  1957   21.3  1987   20.9  1913   22.7  1955    56.6  1966    43.9  1925    44.2  1954    52.7  1982   180.7  1920
   21.9  2018   19.1  1951   18.6  1921   16.2  1923   16.4  1913   15.2  1966   16.0  1940   18.5  1903   16.9  1984   21.3  2019   20.6  1984   22.5  1910    56.5  1900    43.7  1923    44.0  1920    52.6  1891   180.7  1894
   21.8  1927   19.1  1997   18.6  1919   15.8  1925   16.2  1907   14.7  1987   15.8  1950   18.3  1963   16.8  1934   21.2  2004   20.5  1938   22.1  1900    56.5  1922    43.5  1908    43.7  1936    52.6  2025   179.1  2020
   21.6  1975   18.7  1931   18.5  2008   15.8  1993   15.9  2007   14.7  1997   15.4  1954   18.1  1960   16.7  1943   21.0  2013   20.4  1910   21.5  1908    56.4  1925    43.2  1972    43.5  2008    52.6  1998   178.7  1924
   21.6  1900   18.7  1972   18.4  1988   15.8  2001   15.7  2014   14.6  2016   15.4  1893   17.5  1943   16.5  1932   20.8  1961   20.4  2023   21.3  1978    56.0  2024    43.0  1937    43.1  1956    52.4  1944   178.7  2014
   21.6  1938   18.4  1912   18.4  1908   15.6  2005   15.7  1942   14.6  2019   15.3  1912   17.1  2014   16.5  1908   20.6  2022   20.4  1931   21.3  2000    56.0  1923    42.7  1966    42.8  2020    51.9  1916   178.2  1914
   21.5  1919   18.3  1950   18.3  1992   15.5  1940   15.6  2006   14.6  1963   15.3  1932   16.9  1902   16.4  1995   19.9  1954   20.4  1911   21.2  1896    56.0  1970    42.5  2023    42.8  1948    51.9  1938   177.8  1918
   21.5  1986   18.2  1941   18.2  1980   15.4  1970   15.5  1947   14.5  1958   15.2  2015   16.3  1934   16.4  1998   19.7  1998   20.3  2019   21.2  1901    55.9  1931    42.0  1916    42.7  1988    51.5  1963   177.1  1966
   21.4  1922   18.2  1970   18.1  1920   15.4  2024   15.3  1902   14.5  2011   15.0  1924   16.3  1930   16.3  1965   19.5  1938   20.3  2025   21.0  1942    55.5  1977    41.9  2018    42.4  2009    51.1  1932   176.6  1935
   21.4  1930   18.1  2007   18.1  1959   15.3  1894   15.1  1997   14.4  1910   14.9  1903   16.2  1986   16.2  1983   19.5  1982   20.2  1950   20.9  1895    55.2  1913    41.9  1998    42.3  1922    50.0  1926   176.0  1998
   21.3  2016   18.1  1935   18.0  1928   15.2  1930   15.1  1910   14.1  1916   14.9  1958   16.2  1948   16.2  2024   19.4  2001   20.1  1959   20.8  1907    55.2  1957    41.5  1969    42.2  1903    49.9  1917   174.1  1936
   21.2  1906   17.9  1900   17.5  1977   15.1  1986   15.1  2003   13.8  1905   14.8  1891   16.1  1997   16.0  1992   19.4  1898   20.0  1940   20.8  1966    55.2  1974    41.4  1959    41.7  1943    49.4  1913   173.7  1900
   20.9  1970   17.7  1906   17.5  1963   15.0  1975   15.0  1958   13.8  1931   14.8  1930   16.1  1971   16.0  1958   19.4  2014   20.0  1895   20.2  2013    55.2  1951    41.3  2001    41.3  1965    49.4  1928   173.6  1931
   20.8  1904   17.7  1954   17.3  1989   14.9  2008   15.0  1973   13.6  1920   14.7  1909   15.9  2015   16.0  1899   19.3  1996   20.0  1996   20.2  1909    55.1  1943    41.2  2000    40.8  1902    49.3  1943   173.6  2002
   20.5  2015   17.5  1994   17.2  1937   14.8  1931   15.0  1894   13.3  1894   14.5  1938   15.7  1954   15.9  1976   19.1  2012   19.8  1900   20.1  1930    54.9  1936    41.1  1894    40.8  1938    49.0  1927   172.6  1913
   20.5  1999   17.3  1922   17.0  2017   14.8  1959   14.9  1904   13.2  1985   14.5  1910   15.7  2020   15.5  1891   18.8  1934   19.7  1928   20.0  1998    54.5  2007    40.9  2006    40.4  2023    48.5  2017   171.7  1946
   20.1  1899   17.1  1914   16.9  1982   14.8  1901   14.9  1993   13.1  1968   14.3  1944   15.7  1895   15.3  1952   18.8  1980   19.7  1946   19.9  1985    54.1  1935    40.8  1909    40.2  1997    48.0  2020   171.0  1967
   20.1  1969   16.8  1989   16.8  1934   14.5  1937   14.8  1916   13.1  1954   14.3  2008   15.6  1922   15.3  2019   18.7  1966   19.6  1986   19.7  2019    53.6  1999    40.7  1977    40.1  1905    47.6  2006   170.8  2008
   20.1  1962   16.8  1978   16.7  1970   14.4  1952   14.7  2015   13.0  1917   14.2  1925   15.5  1907   15.3  2016   18.5  2023   19.6  1954   19.6  1891    53.5  2000    40.7  1992    40.1  1966    47.6  1970   170.8  1970
   20.1  2008   16.5  2022   16.6  1986   14.4  1992   14.4  1903   13.0  1947   14.1  1993   15.5  1921   14.8  1923   18.5  2006   19.0  1949   19.6  1945    52.5  1961    40.6  1952    40.0  1980    47.6  1896   170.7  1891
   19.9  2004   16.4  2011   16.6  2006   14.4  1979   14.2  1938   12.9  1971   14.0  2017   15.5  2023   14.8  1903   18.4  1949   18.7  1969   19.6  1952    52.0  1930    40.5  1965    40.0  1928    47.5  2013   170.3  1977
   19.9  1939   16.2  1960   16.5  1917   14.1  1939   14.2  2000   12.8  2025   13.8  1904   15.4  2004   14.6  2011   17.7  1893   18.5  2006   19.5  1994    51.7  1978    40.5  1967    39.8  1953    47.3  1952   169.8  2015
   19.7  1971   16.2  1958   16.3  1936   14.0  1994   14.1  1966   12.8  1936   13.5  1907   15.4  1925   14.6  1993   17.5  1924   18.4  1977   19.4  2018    51.7  2018    40.4  1905    39.5  1998    47.3  1924   169.7  1958
   19.1  1951   16.1  2016   16.2  1916   13.8  1919   13.7  1962   12.5  1909   13.5  1895   15.4  1894   14.5  1956   17.5  1929   18.1  1905   19.3  1979    51.6  1894    40.4  1924    39.4  1974    47.2  1987   169.7  2024
   19.1  1961   16.0  1974   16.2  2019   13.7  1909   13.6  1926   12.3  1999   13.4  1956   15.3  1938   14.5  1962   17.5  1892   18.0  2014   19.2  1923    51.2  1948    39.7  1919    39.3  2017    46.9  2012   169.6  1979
   19.0  2002   15.9  1918   16.1  1983   13.6  1953   13.6  1994   12.2  1955   13.3  2021   15.2  1974   14.4  1901   17.4  1918   18.0  1916   19.1  2017    50.8  1939    39.6  1931    39.3  1945    46.8  1907   169.6  1925
   18.9  1924   15.9  1980   16.1  1991   13.6  1989   13.4  1930   12.2  1943   13.2  1992   15.1  1982   14.4  1960   17.3  1896   17.9  1914   19.0  1960    50.7  1988    39.5  2014    38.7  2011    46.8  1961   169.2  1999
   18.8  1915   15.8  1945   16.0  1995   13.5  1934   13.4  1951   12.1  1965   13.0  2003   15.1  1962   14.3  1951   17.3  2002   17.8  1943   18.8  2021    50.5  1984    39.3  2002    38.6  1914    46.6  1946   167.8  2019
   18.6  1952   15.7  1926   15.9  1954   13.5  2018   13.4  1965   12.0  1977   13.0  1970   15.0  1904   14.3  1953   17.2  1944   17.6  1979   18.7  1922    50.1  2013    39.1  1985    38.5  1957    46.5  1980   166.8  1986
   18.5  1910   15.5  1933   15.6  1957   13.4  1926   13.3  1952   11.9  1939   13.0  1947   15.0  1952   14.2  1980   17.2  2005   17.4  2010   18.5  1925    49.6  2001    39.0  1917    38.3  1930    46.1  1996   166.5  1982
   18.4  2007   15.4  1898   15.4  1985   13.4  1951   13.3  1908   11.9  2002   12.8  1991   14.9  2019   14.2  1945   17.1  1990   17.3  2020   18.4  1980    49.5  1928    38.9  1898    38.2  1915    46.0  1940   166.3  1939
   18.4  1978   15.1  2010   15.3  1930   13.3  1985   13.1  1949   11.7  2022   12.8  1998   14.8  1931   14.2  1937   17.1  1984   17.2  1972   18.4  1984    49.3  2002    38.8  1910    38.2  1900    45.9  2002   165.8  2017
   18.3  1983   14.9  1894   14.9  1987   13.3  2016   13.0  1946   11.7  1974   12.8  2010   14.7  1928   14.2  1925   16.7  1900   16.8  1930   18.3  1972    49.1  1979    38.7  1921    38.0  1897    45.8  1911   165.3  1906
   18.3  2013   14.7  2021   14.7  1895   13.1  2023   13.0  1920   11.5  1924   12.4  1974   14.6  1923   14.2  1975   16.6  1933   16.7  2017   18.2  1982    48.5  1892    38.6  1934    37.9  2015    45.8  1892   164.9  1922
   18.3  1977   14.5  1936   14.5  1965   13.1  2014   13.0  1921   11.4  1891   12.4  1978   14.5  1988   14.1  1936   16.6  1895   16.7  1965   18.2  1949    48.5  1899    38.5  1999    37.8  1982    45.7  1949   164.8  1952
   18.3  1895   14.5  1940   14.1  1922   13.1  1968   12.7  1963   11.4  1944   12.3  2001   14.5  1926   14.0  2023   16.5  1952   16.6  2003   18.2  1924    48.4  1946    38.5  1950    37.5  1992    45.7  1934   164.7  1926
   18.3  1972   14.5  1961   14.0  2020   13.0  1948   12.7  1968   11.4  2017   12.3  1942   14.5  2001   13.8  1942   16.5  1974   16.6  1947   18.1  2009    48.3  1967    38.5  1902    37.2  1909    45.1  1994   164.7  1965
   18.1  2021   14.4  2017   13.9  1941   12.9  1972   12.5  1976   11.4  1911   12.3  2024   14.4  1957   13.6  1961   16.5  1913   16.5  1998   18.0  1935    48.3  1906    38.4  1978    37.0  1944    44.8  2004   164.5  1904
   17.9  1956   14.3  1892   13.8  1975   12.8  1947   12.4  2022   11.3  1933   12.1  1923   14.4  1900   13.3  1987   16.5  2008   16.5  1936   18.0  2006    48.2  1980    38.3  1922    36.6  1991    44.8  1951   164.3  1948
   17.7  1903   14.1  1955   13.6  1972   12.7  1965   12.3  2009   11.3  1896   12.1  1943   14.2  1979   13.1  2022   16.4  1942   16.4  2012   18.0  1974    48.1  1897    38.2  1970    36.6  1941    44.6  2009   164.2  1963
   17.4  1934   14.0  1911   13.6  2004   12.7  1977   12.3  1964   11.2  2003   12.0  1963   14.1  2009   13.0  1897   16.3  1901   16.4  1927   17.8  1897    47.9  1975    38.2  1891    36.4  1951    44.5  1900   163.8  1937
   17.3  1965   14.0  1897   13.3  1942   12.6  2004   12.2  2024   11.2  1956   11.7  1985   14.0  2017   12.9  2005   15.9  1979   16.3  1894   17.8  1958    47.9  1958    37.9  1904    36.4  1904    44.4  1968   163.6  2009
   17.1  2023   14.0  1928   13.2  1901   12.5  1917   12.1  1914   11.0  1978   11.6  1937   13.9  1999   12.6  1944   15.8  1940   16.2  1892   17.7  2002    47.9  1941    37.5  1927    36.1  1895    44.1  2005   162.8  1915
   17.0  1931   13.9  1969   13.1  1902   12.5  2009   12.0  1933   10.9  1938   11.5  1926   13.8  1892   12.6  1973   15.8  1983   16.1  1976   17.7  1921    47.8  2015    37.4  1942    36.0  2019    43.9  2008   162.7  1934
   17.0  1957   13.8  2001   12.9  1952   12.5  1991   11.9  1929   10.8  1953   11.5  1980   13.8  1994   12.6  2008   15.7  1989   15.8  1902   17.6  1956    47.3  1955    37.1  1940    36.0  1926    43.9  1909   162.4  1919
   16.9  1960   13.7  1908   12.9  1998   12.5  1964   11.8  1899   10.8  1898   11.5  1933   13.7  2010   12.4  1893   15.5  1968   15.8  2018   17.5  1928    47.0  1969    36.9  1968    35.8  1971    43.7  1929   162.4  1981
   16.9  2020   13.7  1946   12.9  1940   12.4  1924   11.7  2008   10.7  2005   11.3  1966   13.6  1929   12.2  1970   15.4  1991   15.5  1906   17.4  1938    46.4  1972    36.8  1993    35.1  1916    43.5  2024   162.1  1992
   16.9  1912   13.5  1939   12.8  1911   12.2  1987   11.6  2013   10.7  2013   11.3  1975   13.6  1906   12.2  1955   15.4  2025   15.4  1891   17.4  1946    46.3  1893    36.8  1988    35.0  1918    43.4  1906   161.4  1897
   16.8  1955   13.5  1996   12.5  1960   12.1  1904   11.4  2011   10.6  1959   11.2  2011   13.6  1939   12.1  1892   15.2  1948   15.4  1952   17.1  1904    46.1  1950    36.7  1964    34.8  2004    43.1  2011   161.3  1980
   16.7  1958   13.4  1927   12.3  1891   12.0  1996   11.4  2016   10.6  1929   11.1  1973   13.5  1967   12.0  1913   15.2  1959   15.3  1975   17.0  1951    45.9  2022    36.7  1928    34.6  2016    42.9  1979   161.1  1943
   16.5  1901   13.1  1999   12.3  1933   12.0  1962   11.4  1996   10.6  1993   11.1  2004   13.5  1916   11.8  1938   15.2  1988   15.0  1991   17.0  1948    45.6  1938    36.6  1906    34.3  1986    42.7  1977   159.6  1972
   16.5  1942   12.8  1982   12.0  2010   11.9  1918   11.3  1937   10.2  2000   10.9  2020   13.5  1966   11.8  2013   15.2  1977   15.0  1923   17.0  1899    45.4  1901    36.4  1912    34.2  1942    42.6  1895   159.3  1988
   16.4  1944   12.8  1903   12.0  1964   11.9  1978   11.2  1954   10.0  1926   10.9  2002   13.1  1965   11.8  2010   15.2  2024   14.9  1907   17.0  1950    45.4  2010    36.2  1899    34.2  1896    42.6  2001   159.2  1938
   16.4  1925   12.4  1987   11.8  1939   11.8  1908   11.2  2017    9.8  1964   10.9  1948   13.0  2011   11.7  1919   15.2  1939   14.9  1995   16.9  1969    45.3  1982    36.1  2016    34.1  1970    42.6  2015   159.2  1993
   16.1  1947   12.4  1899   11.8  1967   11.1  1928   10.9  1974    9.7  1892   10.8  1946   13.0  1914   11.7  2004   15.2  2021   14.9  2008   16.7  1936    45.2  1908    35.6  1987    34.0  2014    42.4  1939   158.8  1909
   16.0  1959   12.4  2015   11.6  1999   11.0  2002   10.8  1988    9.6  1970   10.8  1981   13.0  1915   11.7  1902   15.0  1910   14.8  1941   16.7  1981    45.1  1911    35.5  2005    33.8  2000    42.4  1999   158.2  1917
   15.9  1998   12.2  1979   11.4  2002   11.0  1936   10.8  1943    9.5  1922   10.7  2005   12.9  2000   11.7  1947   15.0  2011   14.8  1917   16.6  2025    44.9  1924    35.0  1962    33.7  1893    42.3  1902   156.5  2011
   15.9  1982   12.2  1967   11.4  2016   10.9  1916   10.6  1999    9.5  1897   10.7  2000   12.9  1898   11.4  1963   14.9  1912   14.7  2013   16.6  1977    44.6  1956    34.9  1975    33.4  2001    42.1  1936   156.2  1932
   15.5  1979   12.1  2025   11.4  2007   10.9  2019   10.5  1977    9.4  1952   10.6  1967   12.8  1896   11.4  2012   14.9  1911   14.6  1971   16.3  1894    44.4  1945    34.8  1935    33.3  1978    41.8  2010   155.6  2001
