Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England SW and S Wales
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  248.5  2014  248.0  1923  232.5  1947  174.6  2012  188.4  2021  211.2  1860  218.9  2009  246.4  1912  246.2  1866  284.1  1903  323.0  1929  300.9  1934   691.2  2014   411.1  1981   507.7  1879   636.4  2000  1681.5  1872
  241.4  1948  240.9  2020  232.1  1981  166.3  2000  161.8  1942  193.9  2012  207.8  1939  219.4  1917  231.9  1918  258.6  1967  303.4  1852  275.9  1911   624.8  1990   409.8  1947   497.3  1912   612.1  1960  1619.6  2000
  238.9  1974  227.8  2024  196.5  2023  159.1  1920  160.0  1967  190.0  1879  195.4  1936  203.1  1860  222.8  1974  255.9  1891  266.6  1842  273.6  1929   614.2  1995   392.0  1913   484.6  1860   550.7  1841  1593.9  1960
  230.6  1995  225.7  2014  189.9  1912  155.5  1998  151.9  2002  161.2  1998  186.3  1839  198.8  1992  206.3  1981  249.1  2000  259.8  2009  265.2  1965   588.7  2026   370.3  1920   476.0  2012   547.9  1852  1566.1  2012
  226.2  1988  220.1  1990  181.0  1914  152.4  1966  149.4  1878  151.5  1912  181.2  1888  198.5  1891  203.1  1841  238.4  1998  259.3  1940  261.6  1876   583.1  2024   369.4  2024   416.3  1839   542.2  1954  1557.8  1852
  224.7  1984  205.2  2002  170.2  1903  148.4  1882  138.3  2007  146.8  2007  163.8  2007  192.6  1879  198.2  1896  234.8  1960  251.1  1926  260.0  1959   578.1  1994   369.1  1979   402.1  1882   540.7  1929  1534.7  2023
  222.7  1851  204.5  1950  168.2  2018  148.4  1961  137.1  2006  145.7  1852  159.1  1920  190.2  1950  190.0  1958  233.0  1987  248.5  1939  255.2  1915   571.2  1915   340.7  1963   388.9  1917   537.5  2019  1513.6  1882
  222.1  1872  198.3  1915  161.9  1963  145.7  1913  137.1  1869  139.0  1839  158.6  1880  179.4  1852  188.8  1950  230.1  1932  243.4  1954  253.2  1999   562.9  1877   338.3  1998   387.4  2008   526.0  1976  1488.1  1998
  221.1  1928  195.9  1937  159.7  2024  143.5  1935  136.2  1983  137.7  1980  158.2  1988  176.2  1985  180.1  1976  222.3  1916  240.6  2002  253.0  1993   562.6  2016   333.4  2023   387.4  2007   523.3  1935  1487.8  2020
  217.1  1943  193.7  1977  159.0  1905  140.0  1850  134.2  1969  135.4  2020  158.0  2008  169.4  1946  178.5  1876  222.2  1949  237.7  1963  250.6  1868   557.8  1869   330.6  1867   382.8  1852   517.6  1872  1487.1  2024
  215.6  2016  181.9  1925  157.0  1919  133.3  1871  134.1  1979  132.1  1971  158.0  2023  169.1  1997  176.9  1927  221.5  1976  233.1  2000  246.4  1914   554.7  2020   328.4  1983   379.2  1927   515.5  1875  1486.6  1903
  215.3  2026  179.9  1974  156.0  1979  124.1  1856  132.1  1981  129.3  1848  157.9  1882  168.9  1878  176.0  1869  218.3  2004  229.8  1970  243.5  2012   547.4  2021   328.0  1994   377.4  1888   506.6  1967  1478.7  2002
  212.8  1852  178.0  1997  155.8  1913  121.2  1907  130.9  1925  129.3  1997  153.4  1861  167.8  2008  176.0  1946  212.9  1909  226.1  1931  241.0  2020   535.4  1960   326.0  1903   376.1  1939   503.0  1984  1464.8  1877
  208.8  1877  175.1  1916  152.7  1982  119.8  2001  125.3  1932  128.0  1982  151.9  1871  160.9  1951  174.4  1885  211.9  2013  226.0  1951  234.2  2000   532.2  1937   320.5  2018   372.3  1985   493.7  1998  1457.7  1974
  207.7  1990  173.7  2026  150.5  1836  118.7  1858  122.0  1955  126.8  1872  142.2  1960  158.1  1877  174.1  1999  211.9  1907  223.3  1888  233.5  1979   530.9  1966   318.8  1862   371.9  1950   492.0  1903  1451.2  1994
  205.4  1999  171.2  1966  149.4  1851  118.6  1963  121.1  1924  125.6  1968  140.4  1924  155.5  1952  166.0  1883  207.2  1928  221.6  1960  229.4  2023   522.3  1974   317.5  1886   371.8  1848   491.7  1839  1438.2  1924
  198.5  1930  170.8  1883  146.2  1897  118.3  1999  119.6  1886  123.8  1863  138.6  1931  155.3  1910  163.6  2019  206.4  1870  221.5  2022  221.1  1994   508.8  1912   317.4  1972   369.1  1931   489.5  1944  1437.0  1954
