Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SW and S Wales
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   82.7  1933  114.0  2018  197.5  1929  243.9  2021  311.1  2020  317.4  1925  315.7  1911  282.4  1995  225.5  1959  140.4  1919   98.1  1923   83.3  2001   228.8  1963   695.5  2020   759.9  1911   403.2  1959  1769.8  1911
   80.6  2003  111.7  2008  173.5  1948  233.7  1984  280.0  1948  297.3  1957  297.7  2013  281.9  1947  189.0  1929  134.2  1921   94.5  1915   73.5  2008   219.0  1949   668.0  2025   750.2  1989   393.9  1971  1769.3  2025
   79.4  1940  108.8  2019  170.0  1955  229.2  1914  273.5  2025  284.2  1975  293.2  1955  280.9  1976  186.0  1914  133.5  1994   89.2  1988   69.2  1946   218.8  1934   654.3  1948   741.0  1976   361.1  1999  1767.5  1949
   78.3  1963  106.4  1988  169.3  2025  228.9  2020  267.2  1990  280.4  1940  289.6  1990  239.5  2022  185.0  1928  128.3  1971   89.0  1925   66.7  1944   218.4  1933   606.1  1990   726.3  1949   357.7  1911  1758.1  1959
   75.8  1959  105.7  1934  165.8  2012  225.3  1954  260.6  2023  266.8  1949  280.1  1989  236.8  1989  184.2  1940  128.3  2018   88.9  1971   65.4  1962   215.5  2018   587.9  1929   724.8  1995   355.7  1955  1737.7  1955
   74.8  1952  102.9  1996  163.9  2022  225.2  2025  256.8  1989  262.5  1962  269.1  1971  236.1  1983  183.3  1911  126.4  2010   88.1  2006   64.8  1917   212.4  1952   585.5  1956   696.9  1975   352.0  1929  1734.0  1929
   72.0  1931   99.5  1949  162.3  2003  224.2  1921  246.1  1956  261.4  2010  265.6  2006  232.3  2005  179.5  2015  124.8  1962   86.5  2005   64.3  2025   208.9  2015   568.8  2007   686.0  1959   350.0  1921  1719.2  1995
   70.4  2010   97.5  2004  159.7  1933  223.7  2015  245.0  1992  259.4  1969  263.6  1984  224.4  1998  179.0  1964  123.8  1993   83.4  1989   63.4  1948   207.0  2003   563.1  1955   683.4  2022   349.0  1928  1718.9  1990
   70.4  1979   94.7  1956  159.6  2007  220.4  2007  240.2  1997  257.7  1960  261.1  1983  224.3  1911  176.6  1971  123.4  1959   80.9  1999   63.4  2014   206.8  1998   559.8  1921   680.8  1940   345.2  2010  1716.9  1989
   70.0  2001   92.6  1970  159.1  1944  218.2  2011  239.0  1977  257.6  2018  261.0  1934  220.4  1955  174.9  1990  123.3  1999   80.9  1933   62.1  1960   206.3  2010   559.6  1997   679.7  1984   343.0  1964  1709.7  1933
   69.4  1945   91.7  2001  157.7  1910  216.7  1938  237.3  1949  256.4  2023  260.3  2018  216.5  1919  172.3  2002  123.0  2016   80.8  1977   61.3  2009   204.8  2001   553.4  2010   679.7  1996   341.9  1933  1707.8  1921
   67.4  1985   90.0  1933  157.0  1924  216.7  2010  237.1  1922  255.2  1921  254.4  1949  214.3  1937  171.9  1991  121.3  1955   80.1  1990   60.5  1970   202.2  2008   552.3  1953   679.4  2006   339.3  1990  1681.7  2022
   67.4  1965   87.8  1910  155.7  2009  210.9  1990  235.1  1966  251.2  1942  248.1  1921  214.1  1933  170.4  1915  120.2  1922   79.3  1998   60.5  1929   199.2  2023   549.1  2011   669.6  2013   338.5  1940  1671.7  2020
   67.3  2024   87.4  1952  155.4  2020  209.5  1945  231.4  1961  250.4  2006  246.0  2014  212.0  1940  170.0  1939  119.9  1997   77.8  2016   60.0  1997   197.4  1945   544.6  1944   667.1  2014   337.2  1915  1657.6  2010
   67.0  1980   86.7  2003  153.3  2011  204.2  1916  231.2  1959  244.2  1996  239.8  1935  210.0  2007  168.9  1933  118.8  2022   76.8  1967   59.5  1965   196.9  1988   542.9  2003   665.8  1934   337.0  1923  1651.2  2003
   65.6  2025   86.5  1951  152.7  1953  204.0  1912  230.6  1921  241.4  1918  238.4  1959  207.7  1944  166.4  1978  118.3  1947   76.8  1995   58.8  1961   194.7  2004   539.0  2021   665.8  1955   336.7  2003  1648.8  1940
   65.3  2023   85.8  1998  150.9  1973  201.2  1969  230.3  1957  240.1  1959  238.2  1999  207.5  1959  164.7  1996  116.8  1939   76.7  1969   58.1  1957   193.4  1985   534.6  1949   659.9  2018   334.6  1919  1642.1  1975
   65.2  1978   85.3  2014  150.7  1956  200.8  1948  230.0  2018  237.5  1932  234.7  1976  206.5  2025  163.0  2020  116.7  1965   75.7  1918   58.1  1952   192.3  2000   534.3  1995   656.7  1921   333.4  1988  1626.4  2018
   64.1  2017   85.2  1989  149.6  1967  198.8  1997  229.6  1944  236.8  2014  234.4  1997  205.3  1991  161.9  1921  115.2  1975   75.3  1996   57.9  1983   188.5  2002   533.1  2015   655.3  1983   331.9  2018  1624.9  2014
   63.4  2006   85.1  1967  143.1  1995  197.6  1951  228.3  1971  236.6  1984  231.6  1996  205.1  1949  159.2  1955  114.8  1931   75.1  1955   57.8  2010   188.1  2009   530.6  1943   655.2  1925   331.2  1914  1612.2  1984
   62.9  1991   85.0  1963  142.5  1972  195.9  1946  225.4  2001  236.4  1961  229.9  1928  204.6  2003  158.7  1972  114.0  1951   75.1  2010   56.8  1933   186.2  1959   530.5  2009   648.3  1933   330.9  1997  1597.6  1948
   62.6  1994   84.5  2000  142.5  1932  193.0  2003  224.8  1918  235.4  2015  227.5  1918  204.4  1923  158.7  1966  112.8  2008   74.7  2017   55.9  1914   185.7  1991   529.3  1982   631.9  1969   328.7  1925  1595.8  2007
   61.8  2009   84.3  1955  142.0  1982  191.4  1953  223.5  1911  234.1  1929  227.3  1929  204.0  1972  158.0  2019  112.3  2003   74.2  1910   55.8  1935   184.5  1915   529.0  1922   628.5  1918   328.1  2002  1595.4  2006
   61.7  1989   83.9  2015  141.5  2026  190.9  1982  220.7  1975  233.4  1989  222.5  1951  203.9  1996  157.0  1954  111.9  1943   73.6  1965   55.3  1925   183.9  1962   527.0  2016   625.9  1919   327.3  1966  1592.8  1976
   61.7  2015   83.5  1928  139.4  1943  188.7  1956  220.3  2004  233.1  1951  221.1  2022  202.8  1981  156.8  1999  111.6  1945   72.5  1986   55.2  1963   182.8  1930   512.9  1945   621.6  1929   326.9  1975  1589.5  1953
   61.4  1911   82.6  1983  138.2  2016  187.0  1939  219.7  1998  232.1  1930  220.4  2025  202.0  1953  155.3  2014  111.1  1956   72.4  1948   55.2  1916   181.5  1956   512.5  2022   617.4  1951   326.4  1939  1586.6  1996
   61.0  1998   82.3  1960  137.3  1938  185.9  2017  218.8  1995  230.5  1995  218.8  1933  200.5  1975  154.5  2009  110.9  1941   71.4  1972   53.5  2022   181.1  1951   512.3  1914   616.0  2025   326.1  1996  1585.7  1925
   60.8  1954   81.4  2016  137.2  1945  185.6  1980  218.5  1929  230.5  1939  218.4  2019  198.0  1990  154.1  2003  109.9  1953   71.3  1985   52.7  1964   180.8  2006   508.3  2012   615.3  1957   324.6  2007  1582.1  1919
   60.5  2026   81.0  1957  136.2  1949  183.6  2008  218.1  1940  230.1  1914  217.7  1941  194.7  2016  151.6  2025  109.0  1917   71.3  2025   52.6  2005   180.7  1931   507.6  1910   613.9  1947   324.5  2016  1574.8  1914
   59.8  1928   81.0  1968  133.1  1968  181.0  1960  217.6  1915  228.0  1950  215.7  2021  193.9  1936  151.4  1986  108.3  2007   71.1  1973   52.5  1996   178.9  2005   506.6  1938   613.3  1990   323.4  1995  1573.1  2015
   58.8  2000   80.7  2005  131.9  1965  180.5  1976  217.0  1934  226.5  1992  212.3  1975  192.4  1993  151.4  1997  107.9  1928   70.7  1911   52.4  1923   177.5  1953   505.9  1989   613.2  2005   322.7  2006  1570.6  2001
   58.5  2022   80.4  2023  131.5  2015  180.3  1942  215.0  1939  225.4  1976  212.2  1916  191.7  1964  150.5  1937  107.8  1912   70.6  1960   52.3  2012   177.4  1967   505.3  1954   606.8  1961   320.2  1993  1566.8  1934
   58.2  1918   79.3  1932  130.3  2010  178.5  1955  214.9  1980  224.5  1926  211.8  1995  191.5  1914  149.2  2007  107.8  1927   70.3  2003   51.6  1939   176.1  2014   501.7  1984   604.3  1935   319.6  2005  1566.2  2005
