Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England SW and S Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.6  1916   10.8  2019   12.6  1948   16.7  1893   18.3  2025   21.9  2023   24.0  1983   24.3  1995   20.8  1895   17.1  1921   12.6  2011   12.1  2015    9.83  2016   15.65  1893   22.09  1899   15.76  2006   14.91  2022
    9.6  2007   10.3  2024   12.5  2012   16.5  2007   18.2  1896   21.2  1887   23.5  2006   23.8  1899   20.4  2023   16.2  2022   12.5  2015   10.3  1934    9.42  1989   15.26  2025   21.95  1976   15.64  2023   14.84  2025
    9.5  2008   10.2  1990   12.4  1893   16.5  2011   17.9  1989   21.1  2018   23.5  2018   23.5  1947   20.3  1959   16.0  1959   12.4  1994   10.1  2023    9.39  2022   14.63  2020   21.63  1995   15.59  1959   14.64  2023
    9.5  1921   10.1  1998   12.2  1957   15.8  2020   17.9  1893   21.0  1899   23.1  2013   23.3  2022   20.2  1929   15.9  1995   12.0  2022   10.1  1898    9.38  2007   14.44  2007   21.57  2018   15.49  2022   14.46  2014
    9.5  1990    9.9  2022   11.9  1938   15.6  2025   17.8  2020   20.8  1940   23.0  1921   22.9  1976   19.9  1898   15.9  1969   11.8  1938   10.0  2018    9.33  2024   14.32  2011   21.52  2022   15.46  2014   14.39  1921
    9.2  1975    9.8  2002   11.9  2025   14.2  1945   17.8  1895   20.8  1896   22.7  1989   22.5  1955   19.8  2006   15.8  2001   11.8  2002   10.0  1953    9.28  2019   14.01  1896   21.31  2025   15.41  2011   14.33  2020
    9.2  1993    9.7  2026   11.8  2003   14.2  1943   17.7  1990   20.8  1976   22.6  1911   22.3  2003   19.6  2014   15.7  2006   11.8  2006    9.9  1988    9.26  1990   13.97  2022   21.30  1983   15.12  1921   14.27  2018
    9.1  1983    9.6  2008   11.8  2022   14.2  2003   17.6  1992   20.7  1893   22.5  1934   22.3  1911   19.6  1949   15.7  2023   11.7  2020    9.9  1900    9.26  1995   13.95  1948   21.27  1887   15.11  2021   14.23  1949
    9.1  1989    9.6  1945   11.8  2026   14.1  2015   17.5  2008   20.3  1895   22.2  2022   22.0  1983   19.4  2021   15.6  1908   11.7  1997    9.9  1994    9.24  2008   13.89  2017   21.16  1911   14.93  1949   14.23  1989
    9.0  1932    9.4  2023   11.5  2017   14.0  1914   17.4  2023   20.2  2006   22.1  1976   21.7  2025   19.4  1933   15.6  2011   11.6  1939    9.8  1974    9.12  2014   13.77  1990   21.14  2006   14.91  1898   14.20  2007
