Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England SW and S Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    5.2  1916    5.3  2024    6.2  1957    6.5  2011    8.9  2024   12.0  2025   13.4  1983   13.9  1997   12.3  2023   10.1  2001    8.1  1994    7.9  2015    4.47  2016    6.47  2024   12.42  2025    9.18  2011    7.57  2023
    5.2  1921    5.2  2026    5.2  1981    6.3  1961    8.8  2008   11.7  2023   13.2  2006   13.2  1995   12.1  2006   10.0  2005    7.2  2015    6.3  1934    4.19  2024    5.93  2017   12.05  2023    9.00  2023    7.34  2024
    4.5  2007    4.7  1926    5.0  2017    5.9  2007    8.6  1999   11.3  2017   13.0  2025   13.1  2020   11.7  2016    9.8  1968    7.2  2011    5.5  1974    4.12  2007    5.92  1999   11.94  2018    8.81  2006    7.17  2025
    4.4  1884    4.6  1961    4.8  1998    5.9  2024    8.4  2017   11.2  2016   12.8  1995   13.1  1911   11.7  1949    9.8  1995    6.6  1938    5.5  2023    4.07  1975    5.70  2014   11.91  2006    8.69  2022    7.09  2014
    4.2  1990    4.5  1990    4.7  2024    5.9  1937    8.3  1998   11.1  2018   12.8  2021   12.9  2003   11.2  2011    9.7  2006    6.6  2022    5.4  1988    4.07  1935    5.67  1998   11.89  2003    8.46  2014    7.02  2017
    4.1  1898    4.4  1918    4.6  1994    5.9  2018    8.3  2022   10.9  2007   12.7  2018   12.8  1932   11.2  2021    9.7  2013    6.6  2002    5.3  2018    3.94  1989    5.60  2007   11.83  2016    8.29  2021    7.01  2006
    4.1  1975    4.2  1897    4.5  2026    5.8  1993    8.1  1964   10.8  2005   12.6  1923   12.7  2012   11.1  1926    9.5  2022    6.3  1939    5.2  1953    3.82  1943    5.59  1957   11.77  1995    8.19  1949    7.01  2011
    4.0  1983    4.1  2022    4.5  1990    5.7  1943    8.1  1893   10.7  1896   12.6  1989   12.6  1955   11.0  1958    9.4  2014    6.3  2009    5.1  2021    3.72  2026    5.59  2011   11.68  1983    8.17  1968    6.97  2022
    4.0  2008    4.0  1903    4.5  2019    5.7  2014    8.0  1989   10.7  1970   12.5  2013   12.6  1990   10.9  2004    9.3  2023    5.9  1953    5.1  1918    3.71  2022    5.57  1992   11.63  1997    8.06  2009    6.94  2020
    3.8  1932    4.0  1966    4.4  1997    5.4  1999    8.0  1952   10.7  1950   12.5  1934   12.6  2004   10.9  1998    9.3  2017    5.9  1997    5.0  1898    3.69  2020    5.54  2023   11.63  1911    8.04  2001    6.89  2002
    3.7  2020    4.0  1923    4.3  1912    5.4  2020    8.0  2014   10.7  1976   12.5  1921   12.6  2022   10.9  1956    9.1  1969    5.8  1946    4.9  1942    3.66  1990    5.51  1959   11.59  2019    7.98  2025    6.87  2007
    3.7  1944    4.0  1946    4.2  2023    5.4  1949    8.0  1992   10.6  1897   12.4  2010   12.6  1947   10.7  1980    9.1  2011    5.8  2025    4.9  2024    3.62  1925    5.43  1952   11.57  2020    7.94  1995    6.78  1999
    3.6  2005    4.0  2002    4.2  1991    5.4  1945    7.9  2025   10.6  2004   12.4  1926   12.6  1975   10.7  2000    9.0  2021    5.8  1899    4.7  1924    3.54  1923    5.38  2025   11.55  2021    7.93  2024    6.76  2004
    3.5  2002    4.0  2011    4.1  1938    5.3  1987    7.9  1960   10.4  2003   12.4  2003   12.5  1899   10.7  1961    9.0  1954    5.7  1888    4.6  1954    3.50  1995    5.37  2022   11.55  2017    7.93  1994    6.74  2019
    3.5  1974    3.9  1995    4.1  1992    5.3  1944    7.9  1919   10.4  2020   12.3  2005   12.4  1893   10.6  1945    8.7  1990    5.7  1963    4.5  1912    3.46  2019    5.33  1960   11.47  1893    7.85  2004    6.74  2018
    3.5  2012    3.9  2020    4.1  1927    5.3  1959    7.7  1908   10.3  1940   12.3  2014   12.4  2019   10.6  1936    8.7  1959    5.6  1951    4.4  1900    3.33  1916    5.33  2002   11.45  2004    7.85  1946    6.71  1998
    3.5  1925    3.8  1945    4.1  2012    5.3  2025    7.7  2016   10.3  1960   12.2  1901   12.4  2008   10.5  2005    8.7  1949    5.6  2020    4.3  2025    3.30  1899    5.31  1912   11.43  2022    7.84  1913    6.67  1949
    3.5  1938    3.7  1998    4.1  2002    5.2  2004    7.7  2011   10.3  1982   12.2  1991   12.3  2024   10.5  1951    8.7  1908    5.6  1917    4.2  2006    3.28  2014    5.31  1981   11.42  1899    7.83  2005    6.67  2015
    3.4  1989    3.7  1914    4.1  1959    5.1  1920    7.7  1911   10.3  2006   12.2  2023   12.3  1906   10.5  1999    8.6  1977    5.6  2014    4.2  1971    3.17  1920    5.26  1961   11.41  1955    7.83  2013    6.67  1990
    3.4  1943    3.7  2017    4.0  1948    5.0  2019    7.7  2006   10.3  2014   12.2  2016   12.2  2023   10.5  1884    8.5  2025    5.5  1978    4.2  1985    3.17  1937    5.26  2008   11.41  1933    7.79  1938    6.66  2005
    3.4  1993    3.6  1937    4.0  1977    4.9  1894    7.6  2007   10.3  2021   12.2  2019   12.2  2025   10.4  1929    8.5  1989    5.5  1982    4.2  1994    3.15  1998    5.26  1945   11.41  1897    7.77  1978    6.65  1994
    3.3  1976    3.6  2007    3.9  1936    4.9  2009    7.6  2023   10.2  1966   12.2  2017   12.2  1933   10.4  2014    8.5  1921    5.5  1948    4.2  1911    3.09  2017    5.22  2019   11.37  1976    7.75  1945    6.63  1997
    3.3  1969    3.6  1980    3.9  1989    4.9  2005    7.6  1953   10.2  1998   12.1  1933   12.2  2006   10.4  2019    8.4  1996    5.5  2018    4.1  1910    3.08  1921    5.21  2003   11.37  2009    7.68  2017    6.62  2016
    3.2  2016    3.5  1920    3.8  1903    4.9  1940    7.6  1947   10.2  2012   12.1  1975   12.2  1984   10.3  1970    8.3  1978    5.4  2004    4.1  1921    3.03  2025    5.18  1993   11.34  2013    7.67  1908    6.62  2021
    3.2  1949    3.4  2000    3.8  1950    4.8  1896    7.5  1889   10.1  1935   12.1  1976   12.1  2016   10.2  1946    8.3  1916    5.4  1970    4.0  2011    3.01  2012    5.13  1893   11.33  2005    7.64  1997    6.59  1921
    3.2  1988    3.4  1997    3.8  1952    4.8  2003    7.4  2018   10.1  2019   12.1  1911   12.1  2001   10.2  1913    8.2  1898    5.4  2024    4.0  1977    2.98  1957    5.10  1920   11.32  1947    7.63  1958    6.56  1995
    3.1  1890    3.4  1928    3.8  1896    4.8  1914    7.4  2000   10.1  2000   12.1  2022   12.1  2013   10.2  1930    8.2  2024    5.4  2023    3.9  2002    2.97  1949    5.08  1943   11.30  2012    7.63  1970    6.56  1989
    3.1  2014    3.3  2014    3.7  1988    4.8  1942    7.4  1970   10.1  1934   12.1  1957   12.1  2009   10.2  1933    8.2  2009    5.4  1913    3.8  1955    2.95  2008    5.07  1997   11.28  1975    7.62  2002    6.54  2000
    3.1  1924    3.2  1885    3.7  2005    4.8  1904    7.4  1990   10.1  1963   12.1  1935   12.0  2018   10.2  1947    8.2  1886    5.3  2003    3.8  2000    2.91  1913    5.06  1927   11.15  2008    7.57  2015    6.47  1959
    3.0  1948    3.2  1935    3.7  1960    4.7  1957    7.4  1912   10.0  1905   12.1  1893   12.0  1926   10.2  1941    8.1  1945    5.3  1928    3.8  1922    2.88  1926    5.05  2005   11.13  1990    7.57  1989    6.43  2003
    3.0  1996    3.1  1943    3.7  1999    4.7  2006    7.3  1918   10.0  2009   12.1  1905   11.9  1973   10.1  1985    8.0  1913    5.3  1895    3.7  1956    2.88  1898    5.04  2020   11.12  2014    7.56  1898    6.40  2008
