Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England and Wales
Areal series, starting in 1931
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.4  1963   27.1  1947   23.1  1955   12.7  2021    5.6  1941    0.6  1962    0.0  1965    0.0  1932    0.8  1932    7.2  1931   13.2  1965   23.7  2010    74.8  1963    27.3  1955     0.6  1962    16.5  1993    84.9  2010
   27.4  1940   26.7  1963   21.2  1962    9.9  1956    4.3  1979    0.3  1991    0.0  1954    0.0  1977    0.5  1986    5.3  1955   12.9  1985   22.7  1950    61.3  1947    27.1  2013     0.3  1991    14.4  1988    83.3  1955
   26.0  1979   25.6  1942   18.7  1937    9.4  1968    3.4  1996    0.1  1975    0.0  2000    0.0  1931    0.4  1969    5.2  1993   12.3  1988   21.2  1981    60.1  1979    24.8  1962     0.1  1975    14.2  1952    82.9  1963
   24.0  1985   24.6  1986   18.3  2013    8.8  1938    3.0  1935    0.1  1989    0.0  1973    0.0  1937    0.2  1974    4.9  1997   12.2  1996   19.7  1962    57.4  1942    24.8  1970     0.1  1989    13.4  1965    81.5  1979
   23.0  1945   24.1  1956   17.7  1931    8.7  1970    2.3  1945    0.1  1941    0.0  1960    0.0  1964    0.2  1954    4.3  1992   11.6  2005   19.5  1933    55.8  1940    23.9  1958     0.1  1941    13.2  1985    79.5  1947
   22.5  1942   21.0  1979   16.8  1958    8.5  1936    2.2  1944    0.1  1936    0.0  1984    0.0  1934    0.2  1943    4.0  2003   11.4  1952   19.0  1961    49.2  2010    23.6  1941     0.1  1977    12.3  1973    77.7  1942
   22.0  1941   20.5  1968   16.1  1970    8.2  2013    2.0  1982    0.1  1971    0.0  1971    0.0  1976    0.2  1975    3.3  1983   11.2  1993   18.6  1976    48.0  1941    22.2  1969     0.1  1936    12.2  1996    77.0  1941
   21.7  1959   19.7  1955   15.2  1947    7.3  1984    1.9  2021    0.0  1969    0.0  1962    0.0  2012    0.2  1979    2.9  1951   10.7  1971   17.4  2001    47.7  1956    20.4  1932     0.1  1971    12.0  2010    75.0  1940
   20.1  1987   19.4  1983   15.1  1987    7.1  1969    1.8  1932    0.0  1977    0.0  1961    0.0  1962    0.2  1948    2.9  1950   10.0  1937   16.8  1937    47.7  1985    20.1  1956     0.0  1969    11.8  1955    74.4  1962
   19.9  1933   19.3  1991   14.7  1969    6.8  1958    1.8  1967    0.0  1955    0.0  2001    0.0  1983    0.2  1942    2.9  1981    9.9  1969   16.3  1964    45.7  1934    20.0  1931     0.0  1955    11.7  1971    74.3  1985
