Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England and Wales
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   23.6  2014   20.5  1923   21.7  1947   21.3  1920   21.0  1967   19.4  1912   20.2  1936   22.7  1912   22.9  1918   26.0  1903   22.3  2009   23.1  1934    58.6  2014    50.4  1983    56.4  1912    55.3  1960   169.7  1903
   22.8  1948   20.2  2020   20.7  2023   20.0  1998   19.1  1924   17.9  1907   19.4  1920   21.4  1917   20.6  1896   21.4  1976   21.6  1960   22.8  1911    56.0  1915    48.5  1920    49.1  1927    54.5  1935   166.8  1960
   20.6  1928   19.9  1916   20.4  1914   19.1  2012   19.0  1983   17.8  1991   18.7  1988   20.3  1891   19.0  1950   21.1  1907   20.9  1951   22.3  1915    53.9  1916    48.4  1979    48.9  2012    54.0  2000   165.0  1927
   20.6  1988   19.6  1910   19.9  1981   18.5  1932   18.5  1969   17.7  1998   18.7  2009   19.7  1956   18.7  1974   20.5  1960   20.4  1963   22.0  1959    53.5  1910    45.7  1932    45.9  1958    51.9  1954   165.0  1912
   20.0  1984   19.4  2026   18.8  1912   18.2  2000   17.6  1932   17.3  2012   18.6  1939   18.6  1941   17.5  1935   20.3  1909   20.2  1944   21.9  1929    52.6  1912    45.1  1913    45.5  1946    51.8  1903   164.6  2000
   19.9  1943   18.9  1977   18.8  1903   16.9  1983   17.4  2021   17.2  1935   17.9  1960   18.4  1927   17.5  1954   20.2  1916   20.1  2002   21.7  1914    52.2  1995    45.0  1947    45.1  1956    51.1  1974   164.1  1916
   19.3  1939   18.9  1937   18.5  1896   16.8  1935   17.0  1925   17.0  1987   17.5  2007   18.1  1897   17.4  2017   20.1  2020   20.1  2000   21.0  1993    52.1  2026    44.6  1981    44.5  1985    50.2  2019   162.5  1923
   19.1  1900   18.9  2014   18.4  1979   16.5  2001   17.0  1981   16.7  1946   16.9  1931   17.8  1985   16.8  1927   19.9  1932   20.0  1926   20.8  1919    52.0  1937    44.3  1986    44.1  1907    49.8  1944   162.4  1951
   19.0  2016   17.9  1904   18.1  1913   16.0  1931   16.6  1902   16.5  1980   16.7  2012   17.8  1946   16.6  1924   19.7  1923   19.7  2015   20.3  2023    51.4  1960    44.0  2024    43.8  1924    48.9  1976   161.0  1930
   18.9  2026   17.9  1893   17.8  1897   15.9  1966   16.5  1898   16.2  1997   16.5  1922   17.7  1951   16.1  1968   19.6  1906   19.5  1935   20.3  1999    51.3  1994    43.3  1951    43.6  1931    48.4  1918   160.9  2012
   18.9  1936   17.8  1915   17.7  2018   15.8  1899   16.2  1979   16.1  1948   16.5  1915   17.5  1924   16.1  1946   19.4  1967   19.4  1946   20.1  2015    50.8  2016    42.9  1903    43.4  1891    47.3  1930   160.6  1954
   18.8  1919   17.6  1995   17.7  1909   15.8  1950   15.9  1907   15.8  1927   16.5  1957   17.4  2008   15.7  1957   19.4  2000   19.2  1970   19.9  2020    50.0  2021    41.8  1963    43.3  1954    47.2  2022   160.1  1910
   18.7  1990   17.6  2002   17.4  1905   15.7  1961   15.6  1955   15.8  1982   16.3  1953   17.2  1954   15.3  1930   19.3  1891   19.1  1929   19.6  1978    50.0  1900    41.4  1908    42.8  1894    47.1  1950   159.8  1900
   18.6  1937   17.5  1925   17.4  2024   15.5  1970   15.6  1891   15.7  1958   16.3  1918   17.0  1950   15.1  1967   18.8  2013   18.9  1939   19.6  1918    48.7  2020    41.1  1897    42.5  1960    46.2  1984   159.3  1924
   18.6  1975   17.2  1900   17.4  1951   15.4  1905   15.6  2006   15.6  2007   16.2  2023   16.9  2004   15.1  1995   18.6  1928   18.7  2019   19.5  1965    48.4  1990    40.7  1907    41.7  2007    46.1  1967   159.0  1894
   18.5  1938   17.2  1951   17.0  1988   15.1  1907   15.1  2014   15.2  1900   15.7  1940   16.7  1903   15.1  1899   18.5  1917   18.7  1950   19.3  2012    48.3  1922    40.3  1925    40.9  1917    45.9  1891   158.7  2023
   18.5  1922   16.9  1990   16.6  1916   15.0  1963   14.9  1972   15.1  1945   15.3  1894   16.6  1905   15.0  1965   18.3  1896   18.3  1992   19.2  1896    48.3  1919    40.2  1937    40.6  1939    45.8  1923   158.0  2014
   18.4  1986   16.6  2000   16.5  1908   15.0  1913   14.8  1986   14.9  1928   15.1  1909   16.6  1963   15.0  1999   18.2  1998   18.0  1954   18.6  1910    48.0  1923    40.0  2006    40.5  1936    45.5  1932   157.9  1928
   18.4  1970   16.3  1931   16.1  2008   14.8  2024   14.7  2002   14.8  2016   14.9  1924   16.4  1960   14.9  1984   18.0  1892   17.9  1900   18.6  1909    47.8  1970    39.8  2023    40.5  1910    45.4  1896   156.9  1950
   18.3  2004   16.3  1950   16.1  1992   14.8  1925   14.6  1906   14.7  1972   14.9  1927   16.3  1910   14.6  2000   18.0  2004   17.9  2022   18.3  1986    47.5  1977    39.8  1972    40.4  1963    45.2  1938   156.5  1907
   18.3  1999   16.2  2024   16.0  1980   14.8  1986   14.6  2007   14.7  1985   14.7  1893   16.2  1958   14.5  1976   17.8  2019   17.9  2025   18.1  2011    47.3  2007    39.5  1994    40.2  1922    44.7  1998   156.2  1966
   18.3  1894   16.2  2007   16.0  1927   14.7  1910   14.4  1910   14.4  2020   14.6  1932   15.9  1992   14.5  1981   17.7  1981   17.9  1940   18.0  1966    47.2  1939    39.2  1916    39.7  1900    44.2  1982   154.9  1998
   18.2  1906   16.1  1966   15.8  1994   14.6  1922   14.2  1926   13.6  1990   14.5  1895   15.8  1902   14.4  2024   17.5  1935   17.5  1895   17.9  1912    47.0  2024    39.1  1967    39.7  2020    44.2  1992   154.7  1891
   18.2  1995   15.8  1941   15.4  1919   14.5  2008   14.1  2003   13.5  1963   14.5  1965   15.7  1930   14.4  1994   17.2  1938   17.4  1982   17.8  1901    46.8  1931    38.8  2008    39.5  2008    44.1  2025   154.4  1946
   18.1  2008   15.6  1957   15.3  1937   14.5  1975   13.9  1894   13.5  1936   14.4  1930   15.3  2014   14.3  1932   17.2  1987   17.3  1974   17.7  2009    46.8  1936    38.8  1969    39.4  1902    44.1  2023   154.2  1958
   18.0  1926   15.5  1997   15.2  1978   14.5  2016   13.9  1973   13.5  1902   14.3  1954   15.2  1894   14.1  1992   17.2  1961   17.2  1997   17.7  1900    46.6  1935    38.5  1914    39.3  1953    44.0  1981   153.8  1920
   18.0  1994   15.3  2022   15.0  1977   14.2  1897   13.9  1945   13.4  2019   14.3  1891   15.1  1900   14.0  2025   17.1  2022   17.1  1984   17.6  1891    46.5  1926    38.1  2000    39.2  1903    43.0  1916   153.7  1936
   17.7  1993   15.2  1970   15.0  1963   14.2  1989   13.9  1958   13.1  1916   14.3  1912   15.0  2012   14.0  1952   16.8  2001   17.1  1911   17.5  1938    46.5  1966    37.9  2001    39.1  1909    42.9  1926   153.4  1935
   17.5  1930   14.9  1958   14.8  2001   13.9  1930   13.8  1923   12.9  1966   14.0  1958   14.9  1943   13.9  1925   16.6  1966   17.1  1928   17.3  1979    46.3  1920    37.8  2018    39.0  1950    42.3  1946   153.3  1918
   17.5  1899   14.9  1922   14.8  1928   13.7  1979   13.8  1903   12.9  1909   14.0  1903   14.9  1895   13.8  1958   16.5  2014   16.9  1914   17.2  1955    46.3  1951    37.8  1998    38.9  1957    42.3  1892   152.6  2002
   17.4  2018   14.9  1906   14.8  1934   13.6  1937   13.5  1931   12.8  1931   13.9  1914   14.3  1922   13.7  2019   16.5  1954   16.6  1996   17.2  1942    46.1  1904    37.7  1930    38.9  1948    42.1  1927   152.2  1922
   17.4  1921   14.8  2010   14.8  1920   13.5  1993   13.4  1942   12.6  1892   13.7  1993   14.3  1921   13.5  1983   16.4  1930   16.5  1949   16.8  2000    45.7  1943    37.6  1965    38.7  1980    41.9  1963   151.7  1974
   17.4  1974   14.7  1954   14.7  1986   13.4  1959   13.3  2015   12.6  2011   13.5  1938   14.2  1942   13.5  1962   16.4  1944   16.3  2023   16.7  2021    45.7  1948    37.4  1905    38.1  1997    41.8  1928   151.5  2008
   17.3  1895   14.5  1935   14.7  2006   13.3  1965   13.1  1951   12.3  1968   13.5  2017   14.2  1925   13.5  1903   16.2  2012   16.2  2014   16.6  1952    45.5  2000    37.1  1909    38.1  2004    41.7  1924   151.5  1906
   17.2  1956   14.0  1974   14.6  1982   13.3  2004   12.9  1962   12.3  1956   13.3  2015   14.2  1923   13.4  1936   16.1  2023   16.2  1913   16.5  2002    45.5  2010    37.0  1924    38.0  2009    41.6  2001   151.4  1999
   17.1  2021   14.0  2011   14.5  1983   13.3  1994   12.8  1904   12.2  1894   13.3  1950   14.2  2006   13.4  1908   16.1  1900   16.2  1905   16.4  1998    45.5  1894    36.8  1902    37.3  1920    41.4  2006   151.2  1914
