Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England and Wales
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  173.3  1948  179.3  2020  160.7  1947  141.0  2012  136.0  1967  157.8  2012  149.5  1888  180.3  1912  181.3  1918  210.1  1903  194.8  1929  186.7  1868   445.1  2014   306.5  1979   396.4  1912   484.1  2000  1269.0  1872
  173.3  2014  149.6  1923  158.9  1981  134.8  2000  127.4  2021  150.3  1860  143.9  1880  172.3  1917  163.4  1866  182.9  2000  192.9  1852  185.5  1914   414.2  1915   305.9  1981   392.6  1879   427.6  1960  1215.2  2000
  159.4  1995  143.7  1990  134.7  2023  123.8  1998  121.5  1932  148.8  2007  141.9  2009  150.4  1956  151.0  1976  175.9  1967  191.0  2009  182.3  1929   413.2  1995   295.6  1947   372.6  2012   411.4  1852  1204.6  2012
  157.3  1928  143.1  2024  125.2  1979  119.6  1920  120.7  1878  133.5  1879  136.0  1839  148.6  2004  150.1  1896  167.6  1987  182.7  1940  181.6  1876   412.1  1990   283.8  2024   349.3  1860   408.2  1935  1160.1  2023
  155.5  1988  140.9  2002  120.7  1912  106.4  1882  119.8  1924  126.5  1998  135.5  2007  147.3  1891  146.1  1974  167.3  1960  177.8  1951  176.9  1915   406.0  2024   283.0  1983   341.2  2007   390.8  2019  1153.7  1852
  150.7  1939  139.4  2014  117.5  1919  103.9  1846  117.7  1886  126.3  1997  134.9  1936  144.0  1878  144.1  1968  163.8  1998  177.5  2000  175.7  1934   402.0  1877   281.6  1920   327.7  1927   389.4  1954  1152.4  1960
  146.2  1943  138.7  1950  116.8  1836  103.8  1983  115.6  1979  121.8  1848  133.1  1920  143.3  1879  143.5  1981  162.3  1865  170.2  1970  171.7  1911   390.9  1869   273.6  1913   324.3  1839   388.0  1872  1140.4  1903
  145.6  1877  136.7  1977  114.1  1903  102.6  1966  112.3  1983  121.1  1912  132.4  1939  139.9  1860  140.6  2024  162.2  1891  167.4  1954  167.7  1965   384.4  2016   263.2  1862   320.5  1848   385.5  1976  1120.3  2024
  145.1  2008  132.1  1937  114.1  1914   99.3  1913  111.9  1969  119.8  1980  131.1  1988  137.0  1881  140.1  1927  160.2  2023  159.3  1926  165.9  1959   381.1  2021   262.3  1932   318.3  1956   384.4  1841  1109.0  1882
  144.9  1984  125.6  1915  110.3  1951   98.3  2001  110.3  2007  119.3  1982  131.1  1875  135.8  1946  138.1  1869  156.8  1870  158.7  1963  165.5  1993   379.7  2020   259.3  1951   317.3  1931   376.3  1903  1105.7  1877
  142.8  1872  124.9  1848  108.8  1897   97.5  1935  109.5  2006  117.5  1852  129.9  2023  133.7  1927  134.5  1935  154.6  2020  157.0  1946  164.7  2012   373.4  1960   258.4  2000   313.8  1852   376.3  2023  1092.5  2020
  140.6  2016  124.6  1916  108.5  1913   97.4  1961  108.2  1869  112.7  2019  121.4  1915  130.9  1992  133.8  1965  152.7  1907  154.3  1939  164.4  2023   369.2  2026   255.5  1886   299.7  1917   374.6  1875  1091.8  1954
  140.0  2021  123.7  1966  108.2  2018   93.6  1993  105.0  1843  106.4  1958  118.7  1922  129.1  1852  131.7  1883  152.6  1932  154.2  2002  164.1  1978   368.8  1994   254.7  1998   298.9  1872   370.9  1944  1091.6  2002
  138.4  1852  123.6  1900  106.9  1862   92.8  2024  100.3  2014  106.1  1987  116.2  2012  128.1  1877  131.7  1950  151.6  1949  154.0  2025  162.0  1979   359.5  1916   251.4  1986   298.3  1954   362.5  1974  1079.7  1848
  136.6  1999  120.4  1925  104.0  2024   92.5  1871  100.3  1955  105.4  1882  115.7  1879  127.5  1951  130.5  1871  151.3  1976  152.4  2022  160.9  2015   351.7  1937   249.8  1903   297.3  1882   362.5  1984  1075.9  1912
  133.7  1990  119.4  2026  103.9  1963   88.8  1931   98.9  1942  105.2  1872  114.0  1872  124.2  2020  130.0  1876  149.2  1843  151.8  1842  154.2  2020   347.4  1966   249.3  2006   297.0  1888   357.9  2025  1074.8  2008
  131.4  1974  119.0  1997  103.5  1988   88.4  1867   98.8  1925  105.2  1839  113.8  1861  123.3  1950  128.5  1841  148.7  2013  151.5  1944  154.2  1999   341.1  2007   243.9  2023   296.3  1958   353.6  2022  1068.8  1998
  131.2  2026  115.9  1958  103.1  1851   87.6  1970   93.7  2002  102.5  1838  113.7  1895  121.0  1903  127.1  1839  148.1  2004  151.2  1960  144.1  1986   334.5  1930   240.6  1969   295.7  2020   352.9  1885  1064.8  2019
  129.8  1906  114.2  2022  102.6  1982   87.2  1843   89.4  1981  101.7  1863  113.4  1855  120.9  1865  125.9  1946  147.0  1882  148.2  1888  141.8  1919   334.3  1912   238.5  2018   294.4  1946   351.4  1967  1062.4  1927
  128.3  1930  113.1  1995  100.7  1980   85.2  1850   88.1  1993  100.2  2016  113.0  1871  120.3  1954  125.9  1957  145.2  1875  145.3  1984  140.6  1994   331.0  1980   236.4  1963   288.7  2008   348.2  1882  1062.3  1951
  125.4  1975  108.6  1951  100.3  2019   84.9  1877   87.5  1847   98.9  1927  112.0  1882  119.7  1848  124.4  2019  144.8  1872  143.7  1836  139.2  2000   329.0  1910   236.3  1967   287.6  1903   344.9  1880  1060.5  2014
  125.1  1937  106.4  1974   99.8  1905   84.5  1986   87.3  1860   98.4  1928  111.8  1960  118.9  1986  123.7  2000  144.6  1906  143.3  1935  136.8  1910   327.3  1923   234.3  1867   287.4  1985   344.6  1929  1054.9  1841
  124.5  1960  106.3  1893   99.3  2008   83.8  1989   87.2  2015   98.0  2020  109.5  1918  118.9  1985  120.8  1885  141.9  1841  141.4  1950  135.6  1872   323.3  1977   234.2  1937   283.3  1891   342.6  1998  1039.7  1924
  123.7  2004  105.7  1910   98.9  1848   83.3  2018   87.0  2024   97.9  1971  109.0  1924  117.4  2008  120.8  1999  141.3  1880  141.4  1872  134.7  1909   323.1  1883   233.2  1889   282.2  1875   342.4  1981  1038.0  1946
  123.0  1851  105.6  1883   98.5  1909   82.3  1932   86.9  1986   95.3  1985  108.4  1853  117.1  1941  120.3  1958  141.2  1909  139.7  1877  134.7  1989   320.7  1925   232.6  1877   279.2  1877   341.5  1940  1035.1  1860
  122.2  1994  104.4  1904   98.2  1896   81.8  1899   86.6  1898   95.0  1935  107.8  1930  115.8  1845  116.8  1984  141.1  1928  138.5  1992  133.5  1891   318.6  1935   232.1  2001   278.6  1881   339.2  1839  1031.9  1999
  121.8  1986  103.2  1881   97.9  1998   81.5  1859   86.3  1862   94.5  1991  107.8  1931  115.3  1931  114.5  2025  140.9  1846  136.1  1931  132.7  1886   318.0  1939   229.7  1994   276.2  1980   337.1  1883  1025.7  1966
  120.2  1936  101.1  1866   95.2  1916   80.2  1959   85.4  1931   94.3  1931  107.6  1940  114.3  1948  111.9  1993  140.8  1916  135.5  1875  132.4  2013   315.3  1984   229.1  2008   275.4  2004   336.4  1836  1020.7  1930
  119.6  1899  100.9  2007   95.0  1994   80.1  1963   85.2  1865   93.1  1936  107.3  2008  113.2  1962  111.1  1995  140.7  2021  135.1  2015  131.7  1852   311.1  1928   228.0  1924   273.5  2019   334.5  2012  1014.6  1974
  118.2  1998  100.2  1935   94.7  1876   79.1  1947   85.1  2000   93.0  1948  107.1  1957  112.7  1900  110.5  1924  140.7  1855  133.7  1840  131.0  1901   309.5  2001   225.2  2012   270.2  1853   328.9  1930  1012.2  1994
  118.1  1913   97.9  2000   93.6  2006   79.1  1848   85.0  1907   92.6  1907  103.6  1877  112.3  2014  109.4  1859  138.9  2019  132.7  1969  129.9  2006   308.4  1974   224.5  1878   269.7  1924   327.3  1982  1012.1  1958
  117.2  1875   97.2  1879   92.3  1989   78.9  1889   82.3  1903   89.0  1954   99.6  1956  111.9  1910  109.1  1880  138.0  1885  130.1  1861  129.0  1896   307.4  2000   224.5  1843   268.9  1950   324.3  2024  1011.8  1928
  115.3  1866   96.3  1885   91.3  2001   78.6  2004   82.0  1958   88.7  2017   99.6  1867  110.3  1971  109.1  1960  136.2  1923  128.3  1982  128.9  2002   306.2  1979   224.0  1972   268.5  1997   322.2  2002  1008.6  2007
  114.9  1919   96.3  2001   90.7  1987   78.1  1876   81.5  1943   87.1  1853   99.1  1932  109.9  1897  108.5  1930  133.4  2002  127.5  2019  128.2  1985   304.3  1919   220.5  1908   268.5  1910   319.9  1946  1008.5  1866
  114.5  1956   95.8  1941   89.4  1908   77.7  1922   81.1  1889   85.2  1883   99.1  1968  107.7  1930  108.1  1863  132.9  1848  127.4  2012  125.8  1900   302.7  1900   215.6  1872   267.5  1845   319.8  1950  1008.3  1876
  113.7  1961   95.1  1869   89.1  1888   77.3  1937   80.4  1856   84.9  1955   98.0  1965  106.6  1905  106.2  1852  132.1  1892  126.2  1882  124.0  1847   300.6  1948   215.6  1882   267.0  1939   319.3  1918  1003.4  1839
  113.0  1886   95.1  1876   88.8  1964   77.0  1849   79.5  1945   84.7  1946   97.9  1950  105.3  1957  104.2  2008  131.4  2001  125.9  1996  122.4  1924   299.0  1943   212.7  1897   266.0  1960   319.1  1891  1002.4  1967
