Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England and Wales
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   77.9  2022  118.0  2019  183.4  2025  241.7  2025  297.6  2020  285.2  1957  292.0  1911  269.0  1995  192.4  1959  134.4  1959   91.5  2006   75.0  2001   218.2  2015   687.4  2025   748.7  1976   378.2  1959  1801.0  2025
   76.4  1959  116.6  2008  176.2  1929  234.3  2020  265.5  1989  277.6  1940  283.9  2006  268.9  1947  188.2  1911  131.3  1921   90.3  2005   69.6  2014   217.4  2000   686.2  2020   724.6  1989   375.6  1971  1720.0  2003
   74.1  2001  106.1  1949  167.6  2022  229.1  2021  262.3  2025  268.2  1975  272.6  2013  251.7  1976  184.0  1914  130.1  2003   85.9  1988   66.1  2008   214.7  2023   596.3  1948   722.3  1911   364.8  2003  1710.7  2022
   73.6  2023  105.6  1988  165.6  2003  222.6  1914  251.1  2018  262.5  1925  266.2  2018  236.4  2022  178.4  1929  128.7  1919   83.7  1925   65.7  1962   213.0  1949   584.0  1990   694.1  1995   353.5  1921  1710.2  1995
   72.1  1952  100.9  2018  165.2  2012  220.1  2015  247.6  1992  255.0  1960  265.9  1955  232.0  1989  176.3  1964  128.3  2018   83.3  1989   61.1  2009   212.8  2008   556.8  1929   688.9  1975   349.0  1999  1699.6  1989
   70.7  2003   97.1  1970  160.5  1933  218.1  1984  246.6  1948  253.8  2023  262.4  1990  219.5  1975  173.9  1928  128.1  1997   82.8  1996   58.0  1946   212.6  2019   554.1  2011   676.1  2018   346.2  1986  1683.6  1949
   68.0  2025   95.2  2003  158.7  1948  216.8  2011  245.2  1990  250.1  1969  260.8  1989  219.1  1911  172.4  1991  127.7  1971   81.9  1923   57.3  1999   208.6  2018   546.3  2003   672.5  1959   345.1  2018  1681.8  1959
   67.4  2024   93.6  2000  156.3  1995  216.6  2007  236.4  1956  246.9  1949  253.2  1934  217.8  1933  169.2  1933  126.8  2022   81.9  1971   57.0  2022   206.0  2001   537.4  1995   670.6  1949   344.2  1929  1672.4  2018
   67.0  2015   91.9  1934  154.3  2020  216.5  1912  236.0  1922  244.7  2018  252.4  1976  215.4  1983  168.4  2015  122.9  1999   81.6  1973   56.8  2005   205.5  1963   537.0  1921   664.8  2022   344.0  1964  1657.6  1911
   66.6  2012   91.0  2016  153.0  2007  206.3  1942  233.6  1997  244.6  1976  248.4  1935  211.2  1990  167.1  2003  122.1  2008   81.4  1977   56.4  1961   203.5  1952   536.3  2007   659.4  2006   341.1  2006  1654.1  1990
   66.6  1991   90.0  1989  152.6  1967  204.6  1990  231.9  1943  238.9  1970  243.3  2014  208.7  2005  166.2  1915  120.3  1995   80.0  2017   56.2  1929   199.9  2003   534.1  1956   654.5  1933   339.4  1911  1650.5  2020
   66.5  2000   88.9  1998  152.4  2009  200.4  2010  227.8  2023  238.6  1950  240.8  1928  208.1  2003  166.0  1971  118.3  1917   79.7  2016   56.0  2025   191.4  2002   533.1  2009   648.9  1996   335.0  1928  1640.0  1921
   65.5  1965   88.3  2004  151.5  1955  198.8  1921  227.7  1921  238.5  1996  238.9  1984  208.0  1991  164.6  1986  118.1  1931   78.5  1985   55.9  1967   190.4  1989   532.3  1982   638.0  2013   329.4  1997  1630.6  1929
   65.0  1984   86.7  1996  147.3  1924  191.0  1948  226.7  1929  237.6  2010  236.8  1959  206.4  1959  163.9  1940  117.7  1955   77.8  1915   55.3  2019   190.2  2004   529.3  2010   636.7  1984   327.2  1996  1610.8  1955
   64.1  1940   86.3  2001  145.8  1910  190.9  2003  226.5  2001  236.4  1962  234.1  1921  204.6  2016  163.8  2020  116.8  1922   75.9  2013   54.3  2012   190.0  2014   526.9  2015   635.2  1940   326.0  1923  1603.1  1933
   63.9  1963   85.4  2014  143.8  1982  189.8  1945  226.0  1977  231.8  1989  233.6  1971  204.2  1998  162.6  1921  115.4  1994   74.8  1947   54.0  1948   189.2  2022   524.1  1997   633.5  2014   324.8  1955  1591.1  2006
   63.1  1994   84.1  2023  141.6  2026  188.8  2002  223.7  1980  229.3  1959  233.1  1999  201.1  2019  162.4  2019  115.4  2010   73.7  1965   53.3  1976   188.7  1933   523.5  1943   628.8  2025   324.1  1947  1588.5  2019
   61.6  1989   83.1  1928  138.9  1961  186.4  1969  223.5  1971  229.2  1921  232.5  1983  199.9  1919  157.7  1979  113.1  1920   73.2  1975   53.2  1965   188.5  1988   520.0  2022   624.6  1935   323.6  2016  1575.1  2014
   61.1  1933   82.9  1943  138.8  2014  184.1  1951  223.3  1959  228.9  1914  225.2  1995  199.2  1949  156.5  1954  112.2  2011   73.1  1986   53.1  2017   187.7  1934   514.4  1955   622.2  1934   323.5  2007  1565.8  1975
   60.1  2017   82.3  1939  138.5  1938  183.7  2022  223.2  1919  227.2  1942  224.5  1949  199.0  1923  155.5  2006  110.5  2016   72.4  1998   52.6  2003   187.2  2020   513.9  1953   616.3  1955   323.1  1975  1565.6  2007
   60.0  2007   81.7  2022  137.8  1931  183.6  1946  222.3  1949  226.5  2006  221.5  1997  198.7  2025  155.1  2004  110.3  1961   72.4  1910   52.6  2004   186.5  1962   508.7  2021   614.3  1983   321.8  1988  1564.5  2015
   59.9  1931   81.5  2015  137.2  2011  182.6  1954  217.1  1966  226.0  1951  220.5  1996  197.9  2007  155.0  1999  109.9  1965   72.2  1969   52.3  1984   185.2  2012   504.3  2019   612.4  1921   321.8  1979  1553.5  2010
   59.6  1980   81.4  1933  136.0  1956  181.3  1916  216.3  1915  225.3  2025  219.4  1994  196.1  1953  154.8  1923  109.7  1964   71.9  2023   52.2  1994   181.9  1998   503.3  1949   612.0  1947   319.9  1919  1552.7  1976
   59.4  1962   80.8  1952  134.2  1990  178.9  2017  215.4  1940  221.9  1973  218.7  1933  195.0  1955  154.6  2025  109.5  1951   71.1  1999   52.2  2013   180.3  2005   501.9  2016   608.3  1928   319.5  2005  1552.5  2009
   59.3  2010   79.4  1999  133.9  1953  176.9  2019  214.9  1982  221.2  2015  211.2  1929  191.6  1935  154.4  1997  109.2  1981   69.8  1972   51.7  1952   179.8  2010   501.3  1989   605.0  1969   318.3  1995  1544.1  1997
   58.7  1999   79.2  1957  133.5  1972  174.6  1995  214.6  2005  220.0  1918  210.1  2022  191.5  1984  153.9  2002  109.1  1956   69.4  2025   51.4  1925   178.5  1985   499.3  2017   595.5  1994   317.1  2010  1542.5  1943
   58.6  1979   79.2  1955  133.4  1973  173.7  1982  211.6  2009  219.8  1930  209.0  1969  190.6  2000  153.6  2012  109.1  1930   69.2  2007   51.4  1980   177.2  2009   493.0  1922   595.0  1990   317.1  2011  1539.4  1999
   58.6  1967   78.4  1967  130.3  1943  172.4  1968  211.0  1918  218.3  2022  208.9  1941  189.9  1996  153.1  1934  108.4  1986   68.8  1978   51.2  1917   177.1  1999   488.0  2012   590.3  2003   316.8  1914  1534.6  2016
