Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for England and Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.6  1916   10.8  2019   13.0  1938   16.8  2011   18.3  2025   22.1  2023   24.9  2006   24.2  1995   20.9  1895   17.1  1921   12.2  2011   12.0  2015    9.40  2016   15.43  2025   22.53  1976   15.94  2006   15.00  2022
    9.4  2007   10.3  2024   12.7  2012   16.2  2007   18.2  2018   21.7  1976   24.5  2018   23.8  1947   20.9  2023   16.3  1959   12.1  2015    9.8  1974    9.01  2007   15.24  1893   22.22  2022   15.66  2011   14.95  2025
    9.2  1921   10.3  1998   12.5  1948   15.9  1893   18.0  1992   21.5  2025   24.0  1983   23.7  2022   20.5  2006   16.2  2022   12.0  1994    9.6  1934    9.01  1989   14.62  2011   22.16  2018   15.52  2023   14.63  2023
    9.2  2008   10.0  1990   12.3  1893   15.8  2025   18.0  2020   21.5  1940   23.5  1921   23.0  1899   20.4  1929   16.2  1995   11.6  1938    9.5  1898    8.93  2024   14.58  2020   22.15  2025   15.43  2022   14.52  2014
    9.0  1990    9.8  2022   12.2  2025   15.5  2020   17.8  1989   21.0  2018   23.4  2013   23.0  1975   20.2  1949   16.1  1969   11.6  2022    9.4  1988    8.80  2020   14.28  2007   21.87  1995   15.40  1959   14.40  2020
    8.9  1975    9.7  1945   12.1  1957   14.6  1943   17.8  1919   20.7  1970   23.4  1911   23.0  1911   20.1  1959   16.0  2001   11.4  2006    9.3  1900    8.80  2019   14.25  2017   21.82  2006   15.28  2014   14.36  2011
    8.8  1983    9.7  2002   12.0  1961   14.5  1914   17.7  2024   20.7  1896   23.2  1976   22.9  1997   20.1  1898   15.9  2006   11.4  2020    9.3  2023    8.79  2008   14.14  2022   21.76  1911   15.13  2021   14.32  2003
    8.8  2020    9.5  2023   11.9  2017   14.4  1945   17.6  2008   20.6  2006   23.1  2022   22.7  2003   19.9  2021   15.9  2011   11.1  1899    9.2  2013    8.77  2022   14.10  1945   21.74  1899   14.83  2005   14.31  2018
    8.7  1989    9.5  2008   11.9  2003   14.3  1946   17.6  1893   20.6  1887   23.0  1995   22.7  1976   19.6  2016   15.7  2005   11.1  1978    9.2  2018    8.74  2014   14.00  2003   21.48  2003   14.82  1949   14.29  1921
    8.7  1932    9.4  1914   11.8  2026   14.2  2003   17.6  1990   20.5  1950   23.0  1934   22.6  1990   19.5  1999   15.5  2023   11.1  2025    9.1  1912    8.72  1975   13.94  1948   21.46  1933   14.67  1898   14.28  2006
    8.6  2005    9.3  1903   11.8  2022   14.1  2009   17.5  1922   20.5  1899   22.8  1989   22.4  1955   19.5  1933   15.5  1908   11.1  2014    9.1  2024    8.71  1990   13.92  1943   21.33  1983   14.62  2009   14.24  2024
    8.6  1993    9.2  1997   11.7  1945   14.0  2014   17.5  2017   20.4  1893   22.6  2025   22.3  1933   19.3  2003   15.5  2014   11.0  1913    9.1  1918    8.66  1998   13.90  1990   21.28  1975   14.60  1995   14.17  1949
    8.4  1944    9.2  1961   11.6  2014   13.9  2015   17.4  1947   20.4  1960   22.5  2014   22.3  2025   19.3  2014   15.2  1945   11.0  2009    9.1  1994    8.49  1995   13.89  2014   21.26  1947   14.59  1999   14.16  1990
    8.4  1890    9.2  2020   11.6  1997   13.9  1987   17.4  1918   20.3  2003   22.4  1994   21.9  1983   19.1  2005   15.2  2017   11.0  1997    9.1  2016    8.42  1899   13.88  2024   21.20  1887   14.55  1947   14.14  2007
    8.4  1974    9.0  2000   11.6  1990   13.9  1944   17.4  1911   20.3  1957   22.4  1901   21.9  1984   19.1  1947   15.2  2013   11.0  2003    9.1  2025    8.24  1949   13.69  2009   21.06  1989   14.54  1921   14.11  1989
    8.3  2002    9.0  1995   11.5  1929   13.9  1949   17.3  1917   20.3  1992   22.3  1887   21.8  1884   19.1  1991   15.1  1949   11.0  2002    9.0  1953    8.24  2026   13.59  1997   20.99  1949   14.48  1978   14.10  1959
    8.3  1898    8.9  2026   11.4  1933   13.8  1894   17.2  1952   20.2  2010   22.3  1900   21.8  1893   19.0  1911   15.1  1971   10.9  1939    9.0  1921    8.19  1943   13.52  2019   20.92  1959   14.45  2015   14.07  2019
    8.3  2012    8.9  1926   11.1  2019   13.7  2010   17.2  1998   20.0  2017   22.2  1955   21.6  1959   19.0  1890   15.0  2021   10.7  2018    8.8  1942    8.15  2002   13.40  1992   20.88  2013   14.42  2001   14.06  2017
    8.3  2014    8.9  1949   11.1  1950   13.6  2019   17.2  1895   19.9  1889   22.1  2019   21.5  1935   18.9  2011   15.0  1978   10.7  1951    8.7  2006    8.13  1999   13.37  1933   20.81  1893   14.39  2003   14.03  1995
