Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England and Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.9  1916    7.4  2024    8.6  1957   11.4  2011   13.4  2024   16.6  2025   19.1  2006   18.4  1995   16.5  2023   13.0  2001    9.5  1994    9.3  2015    6.45  2016   10.15  2025   17.23  2025   12.26  2006   10.85  2025
    6.6  1921    7.0  1990    8.5  1938   10.9  2007   12.9  2008   16.6  2023   18.6  2018   18.3  1997   16.3  2006   12.7  2005    9.2  2011    7.5  1934    6.21  2024   10.10  2024   16.94  2018   12.08  2011   10.83  2022
    6.6  2007    6.9  1998    8.3  2017   10.2  2025   12.8  1992   16.1  1976   18.5  1983   18.1  2022   15.8  1949   12.6  2006    9.2  2015    7.3  1974    6.16  2007    9.92  2017   16.90  2022   11.92  2023   10.82  2023
    6.2  2008    6.6  2026    8.0  2012   10.1  2020   12.8  2025   15.7  2018   17.9  2013   17.9  1947   15.7  2016   12.6  2022    8.9  2022    6.9  1988    6.11  1989    9.91  2011   16.79  1976   11.87  2022   10.66  2014
    6.2  1990    6.5  1945    7.9  1990   10.0  1943   12.8  2017   15.7  2017   17.9  1995   17.8  1975   15.6  2021   12.6  1995    8.6  1938    6.9  2023    5.95  1975    9.78  2007   16.79  2006   11.70  2014   10.63  2024
    6.2  1975    6.5  2002    7.8  2026    9.8  2014   12.8  2018   15.7  1940   17.8  2022   17.7  1911   15.2  1999   12.5  1921    8.3  2020    6.7  2024    5.94  2020    9.71  2014   16.69  2003   11.55  2021   10.48  2006
    6.1  2020    6.5  2022    7.8  1997    9.6  1893   12.6  2022   15.4  1950   17.8  2025   17.6  2003   15.2  1895   12.4  1969    8.3  2009    6.7  1953    5.90  1990    9.63  2022   16.63  1995   11.17  2005   10.48  2020
    6.1  1983    6.4  2019    7.8  1948    9.5  1987   12.5  1998   15.4  2003   17.6  1921   17.5  1990   15.1  1929   12.2  2011    8.2  2002    6.6  1898    5.76  2014    9.59  1893   16.36  1911   11.13  1949   10.45  2011
    5.8  1898    6.4  1961    7.7  2024    9.5  1945   12.5  1989   15.4  2006   17.5  1976   17.3  1955   14.8  2011   12.2  2013    8.2  2014    6.6  2018    5.74  2022    9.58  2020   16.33  1983   11.13  2009   10.33  2018
    5.8  1989    6.3  1926    7.6  2019    9.5  1949   12.5  1999   15.4  1896   17.5  1989   17.3  1899   14.8  2005   12.1  2014    8.2  1997    6.6  1900    5.72  1998    9.46  1999   16.29  1947   11.05  2001   10.32  2017
    5.7  1884    6.3  1903    7.6  1961    9.5  2009   12.5  1952   15.4  1970   17.4  1911   17.2  2025   14.7  2014   12.1  2017    8.1  2025    6.5  2025    5.67  2026    9.45  1945   16.26  1933   11.04  1959   10.27  2007
    5.7  2005    6.2  1914    7.5  1998    9.4  2018   12.4  1964   15.2  1960   17.4  1934   17.2  2020   14.7  1898   12.1  1968    8.1  1939    6.5  1918    5.65  1935    9.34  2003   16.23  1899   11.03  1995   10.22  1990
    5.7  1932    6.1  2023    7.5  2022    9.4  1944   12.4  1919   15.2  2021   17.4  2021   17.0  2004   14.6  1933   12.0  1959    8.0  1899    6.3  1924    5.59  2019    9.31  1992   16.20  2023   10.98  2025   10.19  1999
    5.5  1944    6.1  2011    7.4  2025    9.3  1961   12.4  1947   15.1  1992   17.3  2014   17.0  1933   14.6  1961   12.0  2023    8.0  1978    6.2  1912    5.44  1995    9.26  2009   16.11  2019   10.96  1999   10.19  2002
    5.5  1974    6.1  2020    7.4  1945    9.3  2003   12.2  2020   15.0  2005   17.3  2019   16.9  2019   14.5  1959   11.7  2021    8.0  1953    6.2  1942    5.42  2008    9.20  1990   16.09  1975   10.93  1978   10.15  2003
    5.5  1993    6.1  1997    7.4  1991    9.2  1946   12.2  2023   14.9  2004   17.2  1994   16.8  1984   14.5  1958   11.6  1908    7.9  2003    6.1  2021    5.37  1943    9.18  1943   16.07  2021   10.78  1898   10.14  2019
    5.4  2014    6.0  1995    7.3  2014    9.2  1914   12.2  1893   14.9  2010   17.1  1901   16.8  1893   14.4  1947   11.5  1990    7.9  1951    6.1  1954    5.28  1925    9.18  1998   16.01  2013   10.77  2020   10.14  2004
    5.3  2002    5.9  2014    7.3  1981    9.2  2024   12.2  1911   14.9  2014   17.1  1933   16.7  1983   14.4  2004   11.5  1954    7.8  2006    6.1  2006    5.26  1899    9.13  1952   15.99  1997   10.74  2015   10.10  2005
    5.3  2012    5.9  2017    7.2  2003    9.1  1894   12.1  1918   14.8  1887   17.0  1999   16.7  1976   14.4  2000   11.4  1949    7.8  2018    6.1  1971    5.21  2017    9.12  2002   15.95  2016   10.71  2024   10.09  1989
    5.3  1999    5.9  1918    7.2  2002    9.1  2004   12.1  1990   14.8  2020   17.0  1900   16.7  1932   14.3  1890   11.4  1989    7.8  1913    6.1  1994    5.12  1999    9.11  1959   15.87  1959   10.70  1913   10.08  1997
    5.3  1938    5.8  2000    7.1  1994    9.0  1999   12.0  1970   14.8  1893   17.0  2003   16.7  1959   14.3  1998   11.4  1978    7.7  1946    6.0  2013    5.11  1923    9.11  2023   15.84  1989   10.70  2004   10.06  1949
    5.3  1890    5.7  2007    7.0  1950    9.0  1993   12.0  2016   14.8  1889   16.8  1923   16.7  2016   14.2  1991   11.3  1945    7.6  1984    6.0  1921    5.11  1949    9.10  1997   15.84  2020   10.69  1945   10.06  2015
