Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for England and Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.2  1916    4.5  2024    5.1  1957    6.1  2011    9.2  2024   11.8  2025   13.3  2006   13.6  1997   12.1  2006    9.9  2001    7.0  1994    6.7  2015    3.52  2016    6.35  2024   12.36  2025    8.58  2006    7.04  2023
    4.0  1921    4.4  2026    4.6  2017    5.8  2018    8.3  1999   11.4  2017   13.0  2025   13.0  2020   12.1  2023    9.7  2005    6.3  2011    5.4  1934    3.50  2024    5.62  2017   11.92  2003    8.52  2011    7.03  2024
    3.8  2007    4.0  1990    4.5  1981    5.7  2014    8.2  2022   11.2  2023   13.0  1983   12.9  2004   11.7  2016    9.3  2006    6.2  2015    4.8  1974    3.34  2007    5.58  1999   11.79  2006    8.32  2023    6.82  2014
    3.5  2020    3.6  1926    4.4  2024    5.6  2007    8.2  2008   10.8  2016   12.8  2021   12.6  2022   11.4  1949    9.3  1968    6.1  2022    4.5  1988    3.23  1935    5.55  2014   11.75  2018    8.30  2022    6.77  2025
    3.4  1975    3.6  1961    4.2  1998    5.6  1961    8.2  2017   10.6  2003   12.7  1995   12.5  1995   11.3  2021    9.1  2013    5.7  1938    4.4  2023    3.23  1989    5.33  1998   11.70  2021    8.12  2014    6.70  2006
    3.4  1990    3.5  1998    4.2  1990    5.5  1943    7.9  2014   10.6  2021   12.7  2018   12.5  2003   10.8  1999    8.9  1995    5.5  2009    4.4  1953    3.21  1975    5.30  2007   11.68  2016    7.98  2021    6.68  2022
    3.4  2008    3.4  2011    4.1  2019    5.4  2024    7.9  1998   10.6  2007   12.6  2003   12.5  1975   10.7  2011    8.9  2017    5.5  2002    4.3  2024    3.11  1990    5.25  1992   11.68  2023    7.69  2001    6.61  2017
    3.3  1983    3.4  2002    4.0  1991    5.4  1993    7.8  1964   10.6  1976   12.5  2022   12.5  1990   10.7  1958    8.9  2022    5.3  2014    4.0  2018    3.10  2026    5.23  2011   11.62  2022    7.65  2009    6.57  2020
    3.3  1884    3.4  1945    4.0  1997    5.2  1987    7.7  1952   10.5  1982   12.5  2019   12.5  2008   10.6  1998    8.8  2014    5.3  1997    3.9  1924    3.09  2020    5.13  2022   11.61  2019    7.64  1968    6.56  2011
    3.3  1898    3.2  2017    4.0  1938    5.1  1949    7.7  1992   10.5  2018   12.5  2010   12.5  1911   10.5  2000    8.7  1969    5.3  1953    3.9  2025    2.80  2014    5.05  2023   11.57  1997    7.59  2025    6.50  2002
    2.9  1989    3.2  1903    3.9  1994    5.1  2004    7.6  1889   10.4  1950   12.4  2013   12.4  2019   10.4  1980    8.6  2023    5.2  1939    3.8  1898    2.80  1998    4.97  1952   11.55  2020    7.52  2005    6.45  2004
    2.8  2005    3.2  2022    3.9  2026    5.0  1999    7.5  2006   10.4  2004   12.4  1923   12.3  2025   10.4  2005    8.5  2011    5.2  2020    3.8  1900    2.71  2022    4.96  2002   11.52  2017    7.48  1995    6.43  1999
    2.8  1932    3.2  1918    3.7  1992    4.9  1937    7.4  2011   10.4  2020   12.3  1991   12.2  1955   10.4  2004    8.5  2021    5.2  2025    3.8  1918    2.59  1925    4.91  1959   11.44  2004    7.47  1949    6.42  2007
    2.7  1976    3.1  1995    3.6  1912    4.9  2009    7.4  2002   10.3  2005   12.2  2014   12.2  1932   10.3  1961    8.3  1954    5.1  1951    3.7  1971    2.58  1943    4.88  2025   11.40  1995    7.40  1978    6.37  2018
    2.6  1944    3.1  2014    3.5  2023    4.8  1944    7.4  2023   10.3  1896   12.2  1989   12.2  2002   10.3  1936    8.3  1990    5.0  1984    3.7  1942    2.52  1923    4.88  1981   11.35  1983    7.37  2004    6.32  1998
    2.6  1974    3.0  2020    3.5  1999    4.8  1959    7.4  2018   10.3  2006   12.1  2016   12.2  2024   10.2  1956    8.2  2025    5.0  1946    3.7  2021    2.43  1995    4.84  2009   11.34  1947    7.35  1999    6.30  2005
    2.6  1938    3.0  1997    3.5  2005    4.8  2020    7.4  1947   10.2  1966   12.1  1933   12.2  2016   10.1  2014    8.0  1921    5.0  2018    3.6  1954    2.41  2019    4.83  1961   11.18  2013    7.34  2024    6.29  1990
    2.5  2014    2.9  1914    3.4  2012    4.7  2025    7.4  2025   10.2  2014   12.0  1999   12.1  2012   10.1  1945    8.0  1989    4.9  1899    3.5  1985    2.31  2017    4.83  2004   11.18  2008    7.31  1984    6.25  2016
    2.5  1969    2.9  1946    3.4  2000    4.6  1945    7.4  2016   10.1  2000   12.0  1957   12.1  2009   10.0  1926    7.9  1977    4.9  1982    3.5  2006    2.30  2025    4.82  2018   11.14  2009    7.29  1945    6.24  2019
    2.3  1993    2.8  1966    3.3  1927    4.5  1920    7.4  2007   10.1  1970   12.0  1994   12.1  2013   10.0  1941    7.8  1978    4.9  1888    3.4  1910    2.26  1916    4.81  1945   11.09  1933    7.28  1994    6.22  1997
    2.3  1988    2.7  2023    3.3  2002    4.4  1926    7.4  1960   10.1  1947   12.0  2005   12.0  2018   10.0  1989    7.8  2024    4.9  1978    3.4  2002    2.26  1957    4.79  1993   11.07  1976    7.24  2017    6.21  2021
    2.3  2012    2.7  2007    3.3  1959    4.4  1964    7.3  1970   10.1  1998   12.0  2017   12.0  1947    9.9  2024    7.7  1908    4.8  2003    3.3  1977    2.24  1988    4.77  1960   11.06  1982    7.19  2013    6.19  2000
    2.3  1999    2.6  1923    3.3  1967    4.4  2005    7.3  1953   10.0  1960   11.9  1947   12.0  2001    9.9  1951    7.7  1949    4.7  2004    3.2  1912    2.19  1921    4.75  2005   11.06  2005    7.19  2020    6.18  2015
    2.3  2016    2.6  2000    3.3  2021    4.4  1992    7.3  1908    9.9  1992   11.9  2023   11.9  2023    9.9  1970    7.7  1959    4.7  1963    3.1  1921    2.13  1999    4.75  1957   11.04  2010    7.10  1946    6.15  1994
    2.3  2002    2.6  1897    3.2  1977    4.3  1894    7.3  2003    9.9  2019   11.9  1926   11.9  1893    9.9  1985    7.7  1898    4.6  1917    3.1  1956    2.12  1899    4.72  2008   10.99  2014    7.08  1913    6.09  1989
    2.3  1996    2.5  1935    3.2  1989    4.3  2003    7.2  1989    9.9  1935   11.9  2001   11.8  2006    9.8  2022    7.6  2009    4.5  1999    3.0  1911    2.12  2005    4.70  2003   10.98  2002    7.07  1958    6.03  2009
    2.2  2018    2.4  1980    3.2  1936    4.3  1972    7.1  2009    9.9  1897   11.9  1975   11.8  1984    9.8  2009    7.6  1996    4.5  1913    3.0  1994    2.10  1972    4.70  2000   10.98  2012    7.04  1938    6.02  1995
    2.2  1948    2.3  1937    3.2  2022    4.2  1955    7.1  2000    9.8  1940   11.9  1901   11.8  1933    9.8  1946    7.6  1886    4.4  1931    3.0  1987    2.09  2008    4.70  2019   10.98  2001    7.04  2015    6.00  2008
    2.2  1930    2.2  2025    3.1  1945    4.2  2006    7.1  1911    9.7  1997   11.8  1976   11.7  2021    9.8  1939    7.4  1945    4.4  1894    3.0  2000    2.07  1974    4.64  1997   10.96  1911    7.01  1989    5.98  2003
    2.2  1925    2.2  1989    3.1  1961    4.2  1946    7.0  1919    9.7  2002   11.8  1900   11.7  1959    9.8  1929    7.3  1967    4.4  1983    2.9  1997    2.02  1937    4.63  1994   10.92  2024    7.00  2016    5.97  1949
    2.1  1890    2.2  1885    3.1  2014    4.2  1904    7.0  2001    9.7  1963   11.8  1905   11.7  1944    9.8  1947    7.3  1910    4.3  1945    2.9  1922    2.01  1976    4.62  1991   10.91  1975    6.97  2002    5.90  1945
    2.1  2004    2.2  1943    3.0  1950    4.2  1952    7.0  1893    9.7  1993   11.8  1992   11.6  1991    9.8  1968    7.2  1979    4.3  1970    2.8  2016    2.00  2012    4.58  1920   10.90  1992    6.95  1982    5.88  1983
    2.1  1998    2.1  1974    3.0  1903    4.2  2023    6.9  1918    9.7  2012   11.7  2009   11.6  1899    9.7  1884    7.2  1958    4.3  2023    2.8  2011    2.00  1948    4.58  2020   10.88  1994    6.93  2000    5.83  1959
    2.1  1957    2.1  2004    3.0  1948    4.2  1995    6.9  2012    9.6  2010   11.7  1899   11.6  1983    9.7  2019    7.2  1984    4.3  2006    2.8  2013    1.99  1949    4.54  1912   10.84  1959    6.92  1997    5.82  1957
    2.1  1923    2.1  2019    2.9  1952    4.1  1930    6.9  1937    9.6  1889   11.7  1934   11.6  1969    9.7  1984    7.2  1913    4.3  2024    2.8  1959    1.98  1903    4.52  1990   10.83  1955    6.91  1970    5.81  1988
    2.0  1906    2.1  1928    2.9  1921    4.1  1963    6.9  2004    9.6  2022   11.7  1944   11.6  1942    9.7  1933    7.1  1985    4.3  1995    2.8  2019    1.96  2004    4.46  1943   10.82  1899    6.91  1898    5.79  2001
    2.0  1949    2.1  1920    2.9  2007    4.1  2002    6.9  1933    9.6  2009   11.7  1921   11.5  1999    9.7  1981    7.1  2020    4.3  1928    2.8  1932    1.94  1950    4.46  2012   10.82  1990    6.84  1983    5.79  1921
    2.0  1994    2.1  1993    2.9  1960    4.1  1896    6.9  1912    9.6  1931   11.6  2008   11.5  2000    9.7  1983    7.1  1976    4.2  2008    2.7  1979    1.91  2002    4.46  1964   10.82  1999    6.81  2018    5.75  1938
    1.9  1937    1.9  1967    2.7  1897    4.1  1985    6.8  1924    9.5  1930   11.6  1952   11.4  1906    9.6  1973    7.1  1906    4.1  2021    2.7  1949    1.89  1913    4.39  1988   10.81  2007    6.80  1990    5.74  2012
    1.9  2023    1.9  1884    2.7  1988    4.1  2017    6.8  1976    9.5  1988   11.5  1945   11.4  1939    9.6  1930    7.0  1963    4.1  1986    2.6  1929    1.88  1898    4.35  1933   10.78  1893    6.80  1951    5.73  1992
    1.9  1943    1.9  1977    2.7  1983    4.0  1960    6.7  1925    9.5  1910   11.5  1941   11.4  1917    9.6  1969    7.0  2004    4.1  1981    2.6  1986    1.87  1920    4.34  2006   10.77  1950    6.73  1969    5.66  1953
    1.8  1935    1.9  1939    2.7  1923    4.0  2022    6.7  1922    9.5  1968   11.5  1932   11.4  2015    9.6  1890    7.0  1903    4.0  1964    2.5  1972    1.83  1912    4.27  1989   10.76  2000    6.73  1953    5.64  1948
    1.7  1973    1.9  1999    2.6  1896    3.9  1914    6.7  1981    9.4  1945   11.4  1967   11.3  1958    9.6  2010    7.0  2015    4.0  1895    2.5  1983    1.82  2000    4.21  2015   10.70  1932    6.72  1959    5.63  2013
    1.7  2024    1.8  1912    2.6  1978    3.9  2019    6.7  1945    9.4  1905   11.4  1935   11.3  1973    9.6  1913    6.9  1971    4.0  1906    2.5  1948    1.79  1911    4.20  1967   10.69  1935    6.72  2007    5.62  1961
    1.6  1902    1.8  1992    2.6  1920    3.9  1975    6.7  1988    9.4  1959   11.4  1911   11.3  1952    9.5  1924    6.9  1988    3.9  1948    2.3  1947    1.78  2003    4.19  1927   10.67  1944    6.71  1963    5.61  1898
    1.6  1924    1.8  1950    2.6  1905    3.9  1957    6.7  1917    9.4  1983   11.4  1982   11.3  1996    9.5  1917    6.9  1916    3.9  1924    2.3  1931    1.75  1967    4.13  1950   10.65  1998    6.69  1954    5.59  1982
    1.6  1971    1.7  1938    2.6  1926    3.9  1998    6.7  1920    9.4  1933   11.4  1904   11.3  1971    9.5  1978    6.9  2016    3.9  1897    2.3  1941    1.75  1914    4.11  1896   10.65  1952    6.69  1998    5.58  1960
    1.5  2006    1.7  1905    2.6  2025    3.9  1947    6.7  1965    9.4  2008   11.4  1949   11.3  1994    9.5  1948    6.9  2007    3.8  1900    2.3  1955    1.71  1932    4.09  1972   10.65  1989    6.67  1924    5.56  1943
    1.5  1896    1.7  2021    2.5  2003    3.9  1942    6.7  1990    9.4  1900   11.4  1912   11.3  1949    9.5  1997    6.9  1998    3.8  1908    2.3  2020    1.71  1973    4.08  1926   10.62  1991    6.67  1908    5.55  1967
    1.5  1928    1.7  1908    2.5  2009    3.8  1933    6.6  1993    9.3  1973   11.4  2024   11.2  1980    9.5  1967    6.8  1960    3.8  2007    2.2  1993    1.68  1993    4.06  2016   10.60  1897    6.67  1977    5.55  1926
    1.5  2000    1.7  1925    2.5  2004    3.8  1940    6.6  1959    9.3  1936   11.3  1969   11.2  1926    9.4  2017    6.8  1934    3.8  1968    2.2  1951    1.64  1961    4.02  2001   10.58  1945    6.65  1886    5.55  1975
    1.5  1899    1.6  1982    2.5  1902    3.8  1997    6.6  1973    9.3  1953   11.3  1937   11.2  1982    9.4  2007    6.8  1957    3.8  1990    2.2  2004    1.64  2023    4.01  1913   10.57  1957    6.65  1961    5.54  1913
    1.5  2003    1.6  1957    2.4  2020    3.8  1994    6.6  1969    9.3  1994   11.3  1959   11.2  2017    9.4  1895    6.7  1961    3.7  1960    2.2  1998    1.58  1930    4.01  1940   10.56  1970    6.58  2019    5.54  1934
    1.5  1920    1.5  1910    2.4  1966    3.7  1996    6.6  1986    9.3  1986   11.3  1925   11.2  1937    9.4  2013    6.7  1999    3.7  1987    2.1  1980    1.56  1946    3.98  1948   10.50  1949    6.48  1947    5.54  1911
    1.5  1927    1.4  1972    2.4  2008    3.7  1988    6.5  2015    9.3  1917   11.3  1955   11.2  1916    9.4  2002    6.7  1986    3.7  1992    2.1  1913    1.54  1926    3.95  1939   10.50  1900    6.47  1906    5.52  1976
    1.4  1950    1.4  1948    2.4  1993    3.7  2015    6.5  2020    9.2  1934   11.3  1997   11.2  1897    9.4  2001    6.7  1930    3.7  1955    2.1  1919    1.51  1922    3.95  1893   10.49  1926    6.47  1948    5.49  1971
    1.4  1967    1.4  1976    2.4  2015    3.7  1939    6.5  1940    9.2  1938   11.3  1956   11.1  1898    9.4  1982    6.7  1965    3.7  1898    2.1  1915    1.50  1939    3.93  1966   10.48  1984    6.47  1960    5.48  1939
    1.4  1939    1.4  1949    2.3  1935    3.7  1935    6.4  2005    9.2  1893   11.3  1985   11.1  1989    9.4  1898    6.7  1909    3.6  2001    2.1  1945    1.47  1938    3.92  1911   10.48  1937    6.46  1941    5.47  1977
    1.4  1981    1.4  2016    2.3  1933    3.7  1931    6.4  1954    9.2  1964   11.2  2020   11.1  1968    9.4  2025    6.6  1942    3.6  1947    2.0  2014    1.45  1994    3.90  1914   10.47  1973    6.44  1939    5.47  1993
    1.3  2022    1.3  1988    2.3  1939    3.7  1980    6.3  1913    9.2  1980   11.2  1927   11.1  1918    9.3  1966    6.6  2000    3.6  2000    2.0  1984    1.43  1960    3.88  1938   10.44  2015    6.40  1934    5.44  1935
    1.3  1913    1.3  1958    2.2  1914    3.6  1948    6.3  1991    9.1  1891   11.2  1893   11.1  1943    9.3  2008    6.6  1924    3.6  1932    2.0  1989    1.42  1980    3.86  1937   10.43  1958    6.39  2008    5.44  1991
    1.3  1926    1.2  2005    2.2  1968    3.6  1913    6.3  1931    9.1  2024   11.2  1971   11.1  1927    9.3  1953    6.6  1982    3.6  1902    2.0  1966    1.40  2021    3.85  1963   10.42  1917    6.37  1991    5.44  1966
    1.3  2015    1.2  1893    2.2  1928    3.6  1899    6.3  1950    9.1  1984   11.2  1887   11.0  1981    9.3  1991    6.6  1970    3.6  1980    1.9  1905    1.36  2015    3.84  1995   10.41  1905    6.33  1957    5.42  1930
    1.2  1900    1.2  1964    2.2  2011    3.6  2000    6.3  1958    9.1  1941   11.2  1987   11.0  1938    9.3  1955    6.5  2019    3.5  1959    1.9  1975    1.36  1966    3.83  1921   10.40  1953    6.31  1996    5.40  1974
    1.2  1995    1.2  2009    2.1  1913    3.5  1966    6.2  1916    9.1  1943   11.1  1998   11.0  1957    9.3  1992    6.5  2010    3.5  2019    1.9  1894    1.35  2001    3.80  1977   10.40  1936    6.30  1930    5.40  1984
    1.2  1968    1.2  1911    2.1  1884    3.5  2010    6.2  1890    9.1  1990   11.1  1950   11.0  1953    9.2  1934    6.5  1991    3.5  1889    1.9  1936    1.31  1971    3.79  1949   10.39  1969    6.29  1980    5.39  1968
    1.2  1915    1.2  1921    2.0  1954    3.5  2008    6.2  1985    9.1  1887   11.1  2012   11.0  1992    9.2  1891    6.5  1966    3.5  1940    1.9  2007    1.30  1992    3.77  1928   10.37  1930    6.27  1933    5.37  1958
    1.2  2026    1.1  1975    2.0  1972    3.5  1991    6.2  1994    9.1  1924   11.1  2007   11.0  2011    9.2  1987    6.5  1946    3.5  1957    1.9  1907    1.28  2018    3.75  1947   10.35  1934    6.25  1916    5.37  1914
    1.1  2019    1.1  1959    1.9  1963    3.5  1927    6.2  1995    9.1  1912   11.1  2015   11.0  1987    9.2  2020    6.5  1983    3.4  1974    1.8  2017    1.27  1954    3.74  1930   10.34  1925    6.25  1987    5.36  1920
    1.1  1903    1.0  1913    1.9  1943    3.5  1928    6.1  1898    9.1  1954   11.1  1958   11.0  1884    9.2  1901    6.4  1933    3.4  1954    1.7  1902    1.27  1944    3.73  1936   10.32  1921    6.24  1976    5.35  1937
    1.1  1972    1.0  1971    1.8  2010    3.5  1967    6.1  1943    9.1  1965   11.1  1986   11.0  1925    9.2  1995    6.4  1938    3.3  1935    1.6  1958    1.24  1906    3.70  1978   10.30  1981    6.21  1979    5.35  1950
    1.0  2013    1.0  1962    1.8  1890    3.5  2001    6.1  1997    9.0  1899   11.0  2002   10.9  2010    9.2  1896    6.4  1943    3.3  1958    1.6  2003    1.22  1885    3.67  2010   10.29  1967    6.19  1956    5.34  1933
    1.0  1960    1.0  2008    1.8  2016    3.4  1979    6.1  1978    9.0  2013   11.0  2004   10.9  1970    9.1  1935    6.4  2018    3.3  2012    1.6  2012    1.22  2006    3.67  1905   10.29  1968    6.19  1967    5.33  1884
    0.9  1962    1.0  1899    1.8  1956    3.4  1982    6.1  2019    9.0  2001   11.0  1884   10.9  1930    9.1  1886    6.4  1937    3.3  2017    1.6  1888    1.14  1927    3.64  1983   10.27  1901    6.15  1921    5.33  1970
    0.9  2017    1.0  1894    1.7  1982    3.4  1895    6.1  1936    9.0  1952   11.0  1936   10.8  1936    9.1  2018    6.4  1925    3.3  1991    1.5  1914    1.10  1984    3.63  1889   10.26  1941    6.11  2010    5.33  1978
    0.9  1951    0.9  2006    1.7  1974    3.4  1934    6.0  1972    9.0  1979   11.0  1914   10.8  1914    9.1  1988    6.4  1920    3.3  1949    1.5  1884    1.10  1928    3.63  1976   10.25  1988    6.10  1903    5.30  1932
    0.9  2011    0.9  1922    1.7  1940    3.4  1981    6.0  1910    9.0  1920   11.0  1951   10.8  1967    9.1  1996    6.4  1972    3.2  1886    1.5  1973    1.10  1981    3.63  1982   10.25  1943    6.07  1929    5.29  1954
    0.8  1970    0.9  1953    1.6  2001    3.3  1893    5.9  1971    9.0  2011   11.0  1964   10.8  2005    9.1  1942    6.3  1941    3.2  1916    1.5  1990    1.07  1915    3.62  1918   10.25  1939    6.04  1966    5.28  1973
