Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Midlands
Areal series, starting in 1931
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.8  1940   27.8  1947   23.7  1955   13.8  2021    6.4  1941    0.6  1962    0.0  1965    0.0  1934    1.0  1932    8.4  1931   14.4  1988   24.6  1950    76.8  1963    29.0  2013     0.6  1962    18.4  1993    87.9  1979
   28.6  1963   27.5  1963   22.5  1962   10.1  1956    4.9  1979    0.3  1991    0.0  1990    0.0  1942    0.6  1969    6.2  1997   14.3  1965   23.4  2010    66.5  1979    27.8  1941     0.3  1991    17.2  1988    87.3  1955
   27.6  1979   26.5  1942   20.7  1937   10.1  1938    4.0  1996    0.1  1989    0.0  1931    0.0  1932    0.6  1986    6.0  1993   13.9  1996   23.2  1981    66.1  1947    27.3  1955     0.1  1989    16.3  1952    87.1  1941
   25.1  1941   25.1  1986   19.9  2013    9.7  1968    3.2  1935    0.1  1936    0.0  1934    0.0  1964    0.5  1975    5.7  1955   13.5  1985   20.7  1976    60.5  1942    26.3  1962     0.1  1936    14.5  1965    86.0  2010
   24.9  1985   24.0  1956   19.8  1931    9.1  1936    2.5  1944    0.0  1941    0.0  1935    0.0  1977    0.3  1939    4.5  1992   12.6  1952   20.6  1962    58.1  1940    25.8  1970     0.0  1941    14.0  1996    84.9  1963
   23.8  1942   23.4  1979   18.3  1958    8.9  1970    2.5  1945    0.0  1975    0.0  1932    0.0  1933    0.2  1942    4.3  2003   12.5  2005   20.3  1961    53.0  1941    25.4  1969     0.0  1975    13.8  1973    84.3  1947
   23.7  1945   21.8  1968   17.3  1969    8.7  2013    2.1  1984    0.0  1939    0.0  1933    0.0  1935    0.2  1948    4.3  1983   12.4  1993   20.1  1933    50.5  2010    25.0  1958     0.0  1939    13.5  1985    83.6  1942
   23.3  1959   20.9  1983   16.9  1970    8.0  1969    2.1  1942    0.0  1977    0.0  1938    0.0  1937    0.2  1959    4.0  1950   12.0  1971   18.7  2001    50.4  1985    22.5  1951     0.0  1977    13.4  1955    80.1  1952
   21.5  1933   20.1  1969   16.8  1951    7.8  1984    2.0  1932    0.0  2001    0.0  1939    0.0  1938    0.1  1974    3.6  1935   10.9  1937   18.3  1937    49.5  1956    22.1  1937     0.0  2001    13.1  2010    79.8  1969
   20.7  1987   20.1  1991   16.5  1987    7.6  1989    1.9  1982    0.0  1973    0.0  1940    0.0  1940    0.1  1952    3.6  1951   10.6  2010   17.8  1964    49.4  1936    22.0  1931     0.0  1973    12.9  1971    79.6  1996
   20.7  1947   20.0  1955   16.2  1947    7.6  1954    1.8  2020    0.0  1935    0.0  1941    0.0  1939    0.1  1943    3.5  1952   10.5  1973   17.6  1946    49.2  1934    21.5  1932     0.0  1934    12.5  2005    79.3  1940
   19.9  1997   19.9  1996   15.5  1946    7.4  1978    1.8  1967    0.0  2011    0.0  1942    0.0  1941    0.1  1979    3.5  1981   10.0  1969   16.9  1995    47.9  1968    21.1  1956     0.0  1935    11.3  1937    78.1  1933
   19.5  1952   19.7  1936   15.4  1941    7.4  1990    1.8  1949    0.0  1955    0.0  1943    0.0  1943    0.1  1964    3.4  1973    9.4  1947   16.7  1952    47.9  1951    20.3  1995     0.0  2011    11.2  1936    77.7  1956
   19.0  1980   19.4  1981   15.4  1953    7.1  1986    1.7  1946    0.0  1934    0.0  1936    0.0  1936    0.1  2018    3.2  2018    9.3  1936   16.2  1996    47.9  1986    20.2  1979     0.0  1955    10.7  1962    77.4  1985
   18.7  2010   17.4  1978   15.3  1942    6.7  1958    1.6  1971    0.0  1964    0.0  1937    0.0  1931    0.1  1941    2.9  1946    9.2  1962   15.9  1963    47.7  1965    20.1  1996     0.0  1964    10.7  1983    77.3  1962
   17.9  1946   17.0  1933   15.2  1932    6.4  1975    1.6  1995    0.0  1969    0.0  1946    0.0  1946    0.1  1931    2.9  1987    8.9  1972   15.7  2008    47.6  1991    20.0  1953     0.0  1942    10.6  1969    71.6  1968
   17.3  2021   16.9  1952   14.6  1995    6.3  1977    1.5  1938    0.0  1974    0.0  1947    0.0  1947    0.1  1938    2.9  1948    8.7  1975   15.5  1978    47.2  1982    19.6  2021     0.0  1969    10.4  1947    71.6  1936
   17.2  1977   16.4  2010   14.1  1976    5.9  1941    1.5  2021    0.0  1961    0.0  1948    0.0  1948    0.1  1944    2.8  1964    8.6  1967   15.4  2009    47.0  1953    19.0  1946     0.0  1974    10.2  1948    71.6  1965
   17.0  1966   16.3  1940   14.0  1944    5.9  2022    1.4  1981    0.0  1985    0.0  1949    0.0  1949    0.0  1954    2.8  1988    8.4  1943   15.4  1935    47.0  1933    18.6  1976     0.0  1961    10.1  1972    71.3  1981
   17.0  1954   16.3  2013   13.9  1949    5.9  1996    1.4  1957    0.0  1933    0.0  1950    0.0  1950    0.0  1987    2.7  2008    8.4  1942   15.4  1969    46.1  1996    18.2  1942     0.0  1985    10.1  1975    71.1  1970
   16.7  1991   16.0  1932   13.7  1985    5.8  2008    1.4  2010    0.0  1971    0.0  1951    0.0  1951    0.0  1972    2.6  1939    8.0  1989   14.6  1968    45.8  1959    17.7  1944     0.0  1933     9.8  1942    70.6  1931
   16.6  1953   16.0  1941   13.4  1965    5.4  1983    1.3  1948    0.0  1942    0.0  1952    0.0  1952    0.0  2003    2.6  1941    7.9  1977   14.4  2003    45.0  1952    17.7  1947     0.0  1932     9.6  1943    69.6  2001
   16.5  1955   15.7  1970   12.9  2006    5.4  2016    1.3  1956    0.0  1978    0.0  1953    0.0  1953    0.0  1988    2.5  2010    7.7  1955   14.4  1992    44.5  2009    17.6  1965     0.0  1971     9.5  1980    69.4  1937
   16.3  2001   15.6  1934   12.4  1934    5.4  1940    1.2  2005    0.0  1987    0.0  1954    0.0  1954    0.0  1995    2.2  1980    7.6  1976   14.0  1982    44.1  1977    17.6  1940     0.0  1978     9.5  1931    69.1  1986
   16.3  1965   15.5  2003   12.2  1940    5.2  2019    1.2  1974    0.0  1957    0.0  1955    0.0  1955    0.0  1936    2.2  1949    7.4  1961   13.9  1943    43.3  1987    17.5  1968     0.0  1987     9.3  1950    69.0  2013
   16.0  2013   15.4  1960   11.9  1964    5.1  1988    1.2  1980    0.0  2004    0.0  1956    0.0  1956    0.0  1976    1.9  1932    7.4  1979   13.4  2022    43.1  1969    17.5  1987     0.0  1957     8.7  1997    68.3  1958
   15.9  1986   15.4  2018   11.5  1973    5.0  2012    1.1  1997    0.0  1966    0.0  1957    0.0  1957    0.0  1933    1.8  1936    7.3  1980   13.3  1970    42.8  2013    17.5  1934     0.0  2004     8.7  1967    67.3  1976
   15.7  2009   15.3  1985   11.5  2018    4.8  1966    1.1  1962    0.0  1932    0.0  1958    0.0  1958    0.0  2012    1.8  2002    7.2  1948   13.1  1939    42.7  1970    17.4  1984     0.0  1965     8.6  1961    67.0  1987
   15.7  1931   15.1  1944   11.1  1943    4.8  1979    1.1  1975    0.0  1972    0.0  1959    0.0  1959    0.0  1935    1.7  1956    7.1  1959   12.9  1944    41.5  1981    17.3  1975     0.0  1966     8.1  2003    66.0  1978
   15.4  2025   15.0  1994   10.5  1979    4.7  1951    1.1  1965    0.0  2015    0.0  1944    0.0  1944    0.0  2020    1.6  1974    7.0  2024   12.9  1967    41.4  1955    17.3  1949     0.0  1972     8.1  1934    65.1  1973
   15.3  1956   15.0  2001   10.5  2010    4.7  2000    1.0  1955    0.0  2005    0.0  1945    0.0  1945    0.0  1934    1.6  1966    6.7  1998   12.4  2005    41.2  1945    16.9  1985     0.0  1990     8.0  1941    64.7  1946
   15.2  2017   14.4  1987   10.4  2001    4.7  1981    1.0  1959    0.0  1952    0.0  1961    0.0  1961    0.0  2024    1.6  1934    6.5  1934   12.2  1938    41.0  2011    16.8  1986     0.0  2005     8.0  1989    64.2  1964
   15.1  1992   13.8  1953   10.2  1996    4.7  1934    0.9  1951    0.0  1951    0.0  1960    0.0  1960    0.0  1947    1.5  1970    6.4  1933   12.2  1960    40.6  1964    16.6  1973     0.0  2015     7.9  1979    64.2  1950
   15.0  1958   13.7  1954   10.1  1971    4.6  2003    0.9  1961    0.0  1956    0.0  1963    0.0  1963    0.0  1996    1.4  1962    6.3  1983   11.9  2017    40.5  2001    16.6  1938     0.0  1952     7.9  1977    62.9  2003
   15.0  1960   13.6  1965    9.8  1980    4.5  1997    0.8  1973    0.0  1954    0.0  1962    0.0  1962    0.0  1990    1.4  2012    6.2  1995   11.9  1940    40.4  1997    16.3  2006     0.0  1951     7.8  2008    62.6  1991
   14.7  2011   13.5  1984    9.7  1975    4.5  1935    0.7  1977    0.0  1996    0.0  1966    0.0  1966    0.0  1963    1.4  1953    6.1  2016   11.8  2007    40.3  1958    15.6  1971     0.0  1956     7.7  1998    61.1  1932
   14.5  1961   13.5  1958    9.6  1986    4.4  1933    0.7  1931    0.0  1999    0.0  1967    0.0  1967    0.0  1945    1.2  1986    6.0  2025   11.7  1957    39.5  1983    15.5  1936     0.0  1954     7.6  1976    59.9  1944
   14.4  1982   13.3  2012    9.6  1956    4.4  1991    0.7  1987    0.0  2024    0.0  1968    0.0  1968    0.0  1985    1.2  1942    6.0  2017   11.6  2014    39.5  1962    15.3  1935     0.0  1996     7.6  1933    59.3  1951
   14.3  2019   13.1  2009    8.7  2025    4.3  1973    0.6  2012    0.0  1953    0.0  1964    0.0  1965    0.0  1993    1.2  1940    5.8  1956   11.4  1973    37.5  2021    14.6  1964     0.0  1999     7.6  1956    59.0  1995
   14.2  1984   13.0  1931    8.6  1963    4.3  1976    0.6  1968    0.0  1946    0.0  1970    0.0  1969    0.0  2010    1.2  1933    5.8  1978   10.8  1991    37.1  1944    14.5  2010     0.0  2024     7.5  2024    58.8  2021
   14.2  1936   12.7  1959    8.6  2005    4.2  1932    0.6  1936    0.0  1931    0.0  1971    0.0  1970    0.0  1991    1.1  1961    5.7  1966   10.8  1936    36.8  2004    14.3  1954     0.0  1931     7.5  1959    57.5  1980
   13.8  1939   12.7  1951    8.5  1993    4.2  1945    0.6  2014    0.0  1937    0.0  1972    0.0  1972    0.0  2005    1.1  1972    5.7  2012   10.8  1998    35.6  1932    14.1  1980     0.0  1937     7.4  1992    57.2  1984
   13.8  1978   12.6  2008    8.3  1974    4.1  1953    0.5  1993    0.0  1938    0.0  1973    0.0  1971    0.0  2025    1.1  1943    5.7  2001   10.7  1990    35.6  1984    13.8  2001     0.0  1938     7.4  1966    56.1  1935
   13.6  1964   12.0  2006    8.2  2003    4.1  1995    0.5  2013    0.0  1940    0.0  1974    0.0  1973    0.0  1973    1.0  1954    5.6  2007   10.6  2012    35.3  1978    13.3  2016     0.0  1940     7.2  1949    55.4  1934
   13.5  1934   11.8  1973    7.7  1972    4.1  1998    0.5  2011    0.0  1943    0.0  1975    0.0  1974    0.0  2022    1.0  1947    5.6  1944   10.4  1931    35.0  2015    13.3  1978     0.0  1943     7.2  2012    55.2  1953
   13.3  1968   11.7  2004    7.7  1952    4.0  1950    0.5  1943    0.0  1944    0.0  1976    0.0  1975    0.0  1957    1.0  1994    5.5  2021   10.3  1945    35.0  1966    13.1  2003     0.0  1944     7.1  1964    55.2  1954
   13.2  2022   11.6  2021    7.6  1935    3.9  1971    0.5  1953    0.0  1945    0.0  1969    0.0  1976    0.0  2007    0.9  1998    5.4  2013   10.3  1984    34.9  1946    12.9  1974     0.0  1945     6.9  1981    55.1  1945
   13.0  1950   11.5  1948    7.6  1933    3.9  1999    0.4  1950    0.0  1960    0.0  1977    0.0  1978    0.0  1961    0.9  1971    5.3  1941   10.1  1955    34.9  2006    12.5  1945     0.0  1960     6.6  1995    55.1  1982
   12.4  1981   11.2  2015    7.6  2016    3.8  1939    0.4  1934    0.0  1959    0.0  1978    0.0  1979    0.0  2015    0.9  1975    5.3  1950   10.1  1999    34.3  2018    12.4  2008     0.0  1959     6.5  2017    54.8  1960
   12.2  2015   11.2  2016    7.4  1984    3.7  2002    0.3  2016    0.0  1958    0.0  1980    0.0  1980    0.0  1950    0.8  1982    5.1  2008   10.1  1941    34.0  1992    12.3  1943     0.0  1958     6.3  1935    53.9  1983
   11.8  2003   11.2  1976    7.2  1968    3.5  1982    0.3  1991    0.0  1947    0.0  1979    0.0  1981    0.0  1940    0.8  1960    5.1  1991    9.8  1958    33.9  1939    12.3  2018     0.0  1947     6.2  1987    52.7  2005
   11.8  1937   11.2  1964    7.1  2011    3.5  2006    0.3  2018    0.0  1949    0.0  1982    0.0  1982    0.0  1962    0.8  1984    5.1  2004    9.8  1948    33.0  1960    12.3  1989     0.0  1949     6.1  2016    52.0  2008
   11.7  2026   10.9  2005    7.0  1948    3.4  1948    0.2  2019    0.0  1948    0.0  1983    0.0  1983    0.0  1983    0.8  2019    5.1  1949    9.8  1956    33.0  1954    12.3  2005     0.0  1948     6.1  2018    51.8  1961
   11.7  1970   10.6  1962    6.9  2020    3.4  1974    0.2  2017    0.0  1950    0.0  1984    0.0  1984    0.0  2019    0.6  1991    4.9  1957    9.7  1980    32.9  1980    12.0  1933     0.0  1950     6.0  2007    51.5  1943
   11.5  1995   10.3  1957    6.6  1939    3.3  1960    0.2  2015    0.0  1979    0.0  1981    0.0  1985    0.0  1965    0.5  2017    4.9  2019    9.6  1965    32.8  1994    11.8  1990     0.0  1953     6.0  2025    51.1  1971
   11.4  1973    9.7  1975    6.6  1954    3.3  2023    0.2  2001    0.0  1976    0.0  1985    0.0  1986    0.0  1966    0.5  2024    4.9  1958    9.2  2000    32.8  2003    11.7  1977     0.0  1946     6.0  1944    51.1  1993
   11.1  1972    9.5  1982    6.5  2008    3.3  2001    0.2  1939    0.0  1970    0.0  1986    0.0  1987    0.0  1982    0.4  1979    4.7  1982    8.9  1993    31.8  2002    11.7  1948     0.0  1976     6.0  1978    50.7  1966
   11.0  1935    9.2  1971    6.1  1982    3.2  1965    0.2  1954    0.0  1967    0.0  1988    0.0  1988    0.0  1960    0.4  1990    4.4  1968    8.8  1979    31.2  2023    11.6  1982     0.0  1967     5.8  1932    50.5  1948
