Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Midlands
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   23.5  2014   20.9  1923   22.2  1947   21.5  1920   21.3  1967   20.5  1912   19.8  1939   22.3  1917   22.4  1918   25.3  1903   22.4  2009   22.3  1934    55.1  2014    49.5  1983    57.2  1912    53.9  1960   158.4  1903
   22.7  1948   20.1  1977   20.4  2023   20.1  2012   19.5  1969   18.4  1998   19.6  1936   22.0  1912   20.0  1896   21.6  1976   20.8  1951   21.7  1915    52.1  1910    47.8  1920    50.1  2012    51.6  1935   157.8  1912
   19.6  1928   19.8  2020   19.7  1981   19.0  1932   18.9  1983   18.1  1987   19.1  2009   20.3  1891   18.5  1974   20.7  1960   20.5  1960   21.6  1911    51.9  2026    47.4  1979    48.4  1927    50.7  2000   157.2  1960
   19.4  1939   19.5  1916   18.8  1914   18.7  2000   18.7  1924   18.0  2012   18.4  1920   19.7  1956   17.9  2017   20.0  1916   19.9  1944   21.2  1959    51.7  1915    45.5  1932    46.0  1958    49.5  2019   157.1  1951
   19.0  2026   19.3  2026   18.4  1896   18.4  1998   17.2  2021   17.9  1907   17.9  2007   18.1  1927   17.7  1950   19.7  1909   19.5  2019   20.8  1929    51.2  1916    45.2  1947    45.3  1956    49.2  1954   156.2  2000
   18.9  1988   18.9  1937   18.3  1912   17.0  1935   17.0  1925   17.6  1980   17.4  1988   17.9  1951   16.7  1935   19.6  1907   19.3  2002   20.7  1914    50.4  1937    44.5  1981    44.4  1907    48.5  1903   155.6  2012
   18.6  1943   18.4  1910   18.0  1979   16.9  1983   16.8  1932   17.5  1991   17.2  2012   17.9  1941   16.7  1924   19.4  1891   19.0  1935   20.5  2023    50.3  1912    43.9  2024    42.9  1946    48.2  1974   155.5  1927
   18.6  1970   17.4  2002   17.9  2018   16.6  1966   16.7  1981   17.2  1958   17.0  1915   17.6  2004   16.1  1968   19.0  1906   18.9  1970   19.9  1999    49.0  1960    43.8  1913    42.4  1931    48.0  1944   155.3  1916
   18.5  1984   17.2  1893   17.7  1913   16.4  1931   16.6  2006   17.0  1982   16.5  1957   17.6  1954   15.8  1954   18.9  2013   18.9  2015   19.9  1978    48.6  1995    43.7  1951    42.0  1954    46.3  1976   154.1  1900
   18.4  1999   17.2  1904   17.3  1903   16.3  1961   16.5  1898   16.9  1935   16.5  2023   17.3  1946   15.6  1957   18.5  2020   18.8  1963   19.7  1993    47.6  1900    42.2  1903    42.0  1891    45.5  1918   153.7  2023
   18.3  1900   17.0  2014   17.3  1916   16.0  2001   16.2  1891   16.9  1997   16.4  1960   17.3  1897   15.4  1965   18.1  1932   18.8  1946   19.4  2015    47.5  1994    42.0  1986    41.6  1939    44.0  2022   153.4  2014
   18.1  1922   16.8  1925   17.3  1905   15.4  2016   16.1  1979   16.5  1946   16.4  1922   16.8  1905   15.2  1927   18.1  1923   18.7  1926   19.1  1909    47.4  1977    41.5  2006    41.5  1924    44.0  1930   152.6  1923
   17.9  2008   16.6  1900   17.2  1951   15.3  1899   15.9  2014   16.3  1927   16.1  1931   16.7  1902   14.8  1994   18.0  2000   18.2  2000   18.8  2020    47.4  2016    40.9  1963    41.3  1917    43.8  1891   152.1  1954
   17.9  2016   16.4  2007   17.2  2024   15.1  1970   15.6  1902   15.9  1948   15.9  1918   16.5  2008   14.8  1967   17.9  1967   18.1  1929   18.8  1919    47.2  2021    40.5  2023    41.1  1985    43.5  1896   151.6  1924
