Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Midlands
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  148.8  2014  162.0  2020  146.4  1947  140.2  2012  143.9  1932  166.9  2007  154.1  1880  167.4  1912  161.6  1918  178.4  1903  173.5  1852  168.1  1868   347.4  1990   289.7  1979   388.1  1912   404.4  2000  1119.9  1872
  144.1  1948  141.4  1977  130.5  1981  137.9  2000  140.9  1886  151.9  2012  145.7  1875  155.0  2004  159.6  2024  151.9  2023  168.8  1951  157.8  1876   347.0  2014   275.2  1981   359.6  1879   371.3  1960  1084.2  2012
  138.5  1939  129.3  1923  118.3  2023  118.9  1920  138.7  1967  136.9  1860  143.4  2007  152.6  1878  149.3  1866  150.3  1875  167.5  1940  156.7  1914   346.5  2024   274.9  1932   352.6  2012   369.1  2019  1033.6  2000
  134.9  1928  126.0  1950  116.5  1919  117.0  1998  128.0  1878  133.6  1982  139.3  1888  147.7  1917  144.2  1976  147.1  1960  167.2  1929  153.5  1929   343.1  1915   274.6  1983   351.2  2007   365.2  1935  1019.3  1960
  131.3  1995  120.3  2024  110.0  1979  113.4  1846  125.1  1969  128.2  1879  132.8  1915  139.4  1956  137.3  1871  145.2  2000  147.4  1970  150.7  2023   339.9  1869   268.9  1947   322.9  1839   348.6  1852  1013.8  1882
  127.0  2008  119.2  2026  105.7  1913  107.7  1983  123.8  1924  124.1  2019  128.2  1936  133.8  1879  134.6  1965  143.2  1967  145.3  1954  150.4  1965   332.5  1877   262.7  1886   314.0  1931   347.9  1875   999.5  2023
  124.7  1960  117.0  2002  105.1  2018   98.1  1961  119.0  2021  123.5  1848  127.4  2009  133.4  1946  131.8  1896  142.7  1891  144.0  1946  149.2  1978   328.6  1995   258.0  2024   314.0  1860   320.5  1954   998.2  2024
  124.5  2021  114.3  1900  103.8  1916   96.5  1966  117.4  1869  121.0  1839  127.2  1839  128.0  1860  131.7  1883  141.0  1907  143.9  2000  144.8  1915   324.3  2026   257.7  1920   312.1  1872   317.7  1882   976.0  1912
  124.1  1988  112.6  1990  103.7  1836   95.4  1882  115.3  1979  119.6  1997  126.5  1939  127.3  1881  128.3  1968  140.6  1998  141.0  2009  138.5  1979   318.9  1960   255.3  1889   307.4  1848   317.7  1903   973.4  2019
  122.4  1943  112.5  1966  102.4  1951   94.0  2001  112.4  2007  119.0  1998  123.1  1920  120.9  1891  127.7  1981  139.1  1882  141.0  2025  137.7  1911   315.3  2021   254.3  1913   298.7  1956   317.6  1872   970.3  1903
  116.6  1872  112.5  1937  100.4  1903   92.6  1931  111.6  1983  117.3  1912  121.4  1855  119.6  1954  125.4  1876  137.7  1880  137.4  1888  137.4  2012   314.6  2020   252.8  1862   297.2  1927   317.3  2024   966.1  1848
  114.9  1999  112.4  1916   99.6  1912   91.5  1989  104.3  1843  112.5  1987  120.4  1988  119.3  1992  121.9  1957  135.6  1870  132.5  1935  133.1  1934   306.1  1966   250.1  1969   294.6  1875   316.9  1976   953.8  1852
  114.4  1930  111.4  2022   99.3  1862   89.9  1935  104.1  2006  112.1  1872  120.1  2023  119.3  1951  121.3  1927  134.8  1865  132.4  1842  132.7  1993   305.4  1977   246.5  1951   292.2  1852   315.3  1880   938.8  2008
  114.1  1984  109.5  1958   96.5  2024   89.1  1913  103.5  1955  111.9  1852  119.9  1872  118.4  1931  121.2  1869  134.1  1987  131.6  1926  130.9  1959   300.1  1916   243.5  2000   286.2  1958   315.1  1841   936.0  1954
  113.7  1877  108.6  2014   94.2  1982   87.7  1889  102.7  2014  111.8  1980  114.5  1922  118.3  1922  119.4  1935  132.9  1906  131.4  1836  128.5  1910   296.1  1994   239.2  2018   283.2  2019   313.8  2023   928.6  1951
  108.9  1852  102.4  1848   93.7  1848   87.0  2004   93.9  1862  110.4  1958  113.9  1930  118.3  2020  115.3  2000  132.9  2013  128.7  1963  127.7  1989   289.6  2016   236.1  1903   277.8  2020   307.9  2025   927.2  2020
  108.2  2026   97.9  1881   89.5  1980   83.4  1993   93.3  1925  105.7  1882  113.2  1861  117.5  1877  115.0  2019  129.6  1843  127.1  1984  126.6  2020   288.8  1980   228.2  1986   275.5  1880   307.7  1883   926.8  2007
  108.1  1986   97.7  1915   87.7  1964   82.8  1986   90.7  1847  102.8  1853  112.6  2012  117.3  1857  113.9  1974  129.0  2019  125.1  2019  120.7  2015   287.8  1912   225.5  2006   275.2  1954   305.7  1984   926.0  2002
  107.0  1990   97.1  1904   87.4  1988   81.6  1970   90.5  1942  102.7  1863  110.2  1968  117.2  1927  113.6  1994  128.3  1855  123.5  2022  117.5  1999   285.6  1930   225.3  1998   271.4  1888   305.3  1944   920.2  2014
  105.1  1906   95.7  1925   87.4  1861   81.5  1932   89.6  1889   99.2  1931  105.0  1871  115.4  1986  113.0  1841  127.7  2020  121.9  1840  117.3  1901   282.2  1937   223.4  1967   270.0  1845   305.0  1885   920.1  1877
  104.0  1912   89.6  1997   86.9  1897   80.6  1867   88.7  1903   99.2  2016  103.4  1912  114.9  1848  108.3  1946  126.7  1949  120.4  1939  116.6  2000   279.5  1883   218.9  2001   269.7  1882   303.1  1940   919.9  1927
  102.9  1956   89.3  1933   86.4  1876   80.2  1858   88.1  1907   97.5  1927  102.0  1882  110.5  1903  107.8  1880  126.4  2002  119.7  1944  115.8  1909   277.8  1939   218.3  1924   266.9  2004   296.2  1839   919.5  1880
  100.7  1886   87.8  1995   84.4  2008   79.9  2024   86.5  1931   95.8  1977  100.5  1958  110.4  1845  106.3  1960  125.2  1885  118.4  1839  114.0  1900   277.7  2007   217.4  2023   265.2  1946   294.4  2022   919.1  1875
   98.8  2016   86.7  1951   84.4  1998   79.1  2018   84.4  1891   95.3  1936   99.4  1973  110.0  1852  104.5  1999  122.8  1846  118.0  1960  113.4  1919   275.3  1923   214.7  2012   263.5  1980   292.4  1929   909.9  1966
   98.2  1913   85.1  2007   83.8  2019   78.7  1871   83.7  1951   95.1  1985   98.7  1960  110.0  1962  104.3  1984  122.6  1848  115.7  1950  113.2  1986   271.5  1979   214.3  1878   263.1  1922   287.5  2012   907.4  1876
   98.1  1899   84.7  1883   82.9  1905   78.3  1872   81.9  1898   93.1  2020   98.2  1895  109.7  1856  104.0  2008  122.2  1976  115.3  2002  110.2  2002   271.1  1900   214.3  1937   260.4  1878   287.3  1866   904.7  1958
   98.0  2004   84.1  1893   82.8  2016   77.9  1959   81.6  2024   90.4  1838   98.2  2008  109.2  1865  102.5  1839  121.3  2004  114.4  1872  109.9  1886   267.8  1928   214.0  1867   260.4  1853   282.8  1998   903.9  1930
   97.8  1937   83.2  1980   82.0  1963   74.7  1876   81.1  1981   89.1  1871   97.7  1879  108.7  1971  101.9  1950  121.2  1872  113.9  1992  109.6  1994   267.4  1910   210.5  1908   260.2  1866   281.9  1876   903.8  1999
   97.6  1919   83.0  1974   81.9  1914   74.3  1922   79.7  1986   87.7  1883   96.4  1931  107.7  1957  101.5  1848  120.0  1928  113.4  1875  109.2  1891   260.8  1984   207.1  2008   256.6  1917   281.4  1974   902.3  1924
