Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Midlands
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   80.7  2022  118.1  2019  185.5  2025  246.3  2025  293.5  2020  284.3  1957  290.1  2006  264.0  1995  182.1  1914  134.0  2003   94.6  2006   75.4  2014   225.3  2015   681.9  2025   721.3  1976   370.5  1971  1789.4  2025
   77.8  2023  115.7  2008  167.6  2012  233.9  2020  255.6  1989  272.9  1940  282.0  1911  259.6  1947  181.8  1911  132.7  1919   90.0  2005   73.2  2001   223.1  2023   678.0  2020   716.1  1989   362.9  2003  1691.4  2003
   74.3  1952  104.8  1988  166.3  1929  224.2  1914  250.2  2025  260.1  1975  269.9  2013  236.4  1989  179.0  1929  132.1  2022   85.6  1977   65.7  2008   220.9  2000   574.5  1948   693.0  1911   353.4  1959  1678.4  1995
   73.1  2001  104.5  1949  164.0  2022  220.3  2021  249.8  2018  259.7  1960  268.0  2018  234.7  2022  175.7  1959  130.5  1921   84.6  1996   62.9  2009   214.0  2019   567.4  1990   681.1  1975   349.8  1986  1674.9  2022
   72.5  2015   99.1  2016  163.6  2003  218.5  2015  243.4  1992  248.3  1925  259.9  1955  230.7  1976  171.9  1964  129.9  1959   84.1  1971   59.2  2022   210.9  2001   538.7  2003   672.6  1995   345.4  1999  1662.8  1989
   71.6  1959   97.2  1970  161.8  1995  218.2  1912  240.5  1948  246.0  1969  258.9  1990  219.6  1975  171.0  1991  128.1  1997   83.9  1925   58.2  1980   209.9  2008   538.1  2011   667.0  2018   341.8  1921  1636.2  2018
   70.6  2003   96.6  2018  157.9  1967  216.1  2007  234.5  1943  241.9  1976  255.6  1989  217.1  1933  169.8  2020  127.6  1971   82.0  2017   58.1  2012   206.1  2018   531.4  1995   654.7  1959   341.1  1929  1625.9  2020
   69.7  2012   96.5  2000  155.5  1933  213.4  1984  233.7  1997  240.9  2023  248.6  1976  214.8  1983  166.4  2019  127.5  2008   82.0  1973   57.8  1967   206.0  1952   528.4  1929   645.2  1984   338.4  2006  1619.1  1949
   69.6  2025   91.9  1989  153.0  2009  209.0  2011  233.6  1990  238.4  1950  247.8  2014  210.5  1911  166.3  1986  124.2  2018   80.7  2016   57.4  2013   201.4  1949   519.6  2009   644.7  2022   334.7  2018  1605.5  1990
   69.1  2000   91.3  2003  152.0  1948  206.7  1942  230.0  1956  237.2  1949  246.9  1984  209.0  1990  166.2  1915  122.8  1995   80.5  1988   56.7  1929   198.9  2014   519.3  2007   643.4  2006   333.5  1964  1604.6  1959
   67.1  2024   89.9  2001  150.6  2020  192.7  1990  228.5  1919  236.4  1996  245.3  1934  207.4  2005  164.1  2003  120.1  1999   77.6  2013   56.4  2019   196.9  2003   517.1  2010   643.2  1949   320.9  2016  1580.1  1921
   66.9  1984   89.1  1998  147.5  2007  190.3  1945  228.4  1922  233.6  2010  243.4  1935  205.5  1991  163.7  1933  118.9  1917   77.2  1947   55.6  2004   192.3  1989   516.8  1982   641.9  1996   320.8  1911  1566.0  1911
   66.6  1991   88.8  2004  144.9  1910  190.0  2010  223.8  1929  233.2  1970  236.0  1928  203.4  1959  163.3  2015  117.7  2010   77.2  2023   55.5  2005   191.1  2004   516.6  1921   636.0  1933   320.3  1975  1562.6  1929
   66.4  1994   87.5  1934  144.1  1961  188.5  2002  223.7  1921  232.1  2018  232.9  1999  202.9  2016  161.4  1954  117.0  1955   77.0  1989   55.4  2017   190.1  2020   514.9  1943   627.4  2025   317.6  2023  1558.0  2006
   65.3  1965   86.1  2023  141.8  1955  186.7  1921  220.5  1977  231.1  2025  230.1  1921  200.9  2007  160.5  1940  116.5  2011   76.8  1985   55.3  1999   189.4  2022   512.8  2015   624.9  2013   316.7  1928  1551.1  2019
   63.8  2007   83.9  2014  141.2  1990  184.0  1969  220.0  1949  227.0  1914  227.7  1959  199.8  2019  159.6  1921  115.8  1931   76.5  1986   55.2  1962   189.2  2012   506.0  1997   623.3  2014   316.7  2012  1542.8  2007
   61.8  1962   83.8  1943  139.7  2026  183.2  2003  219.5  2023  226.5  1921  225.2  1996  198.2  1998  159.4  2004  112.1  1981   76.4  1923   55.0  1946   187.5  2002   501.8  2022   622.9  1940   316.6  2007  1542.1  2014
   60.9  2010   82.5  1933  138.9  2014  182.1  1948  218.8  2005  226.1  1962  224.9  1971  197.6  2003  158.8  1971  111.4  1961   75.4  1969   54.9  1984   186.0  1933   499.1  1956   619.7  1935   316.3  2010  1533.9  2015
   60.8  1989   80.5  2022  138.2  1938  181.4  1916  218.8  1915  224.2  1989  221.5  1983  194.6  1984  158.3  1928  111.2  1922   75.3  1975   53.5  1965   182.2  1988   497.8  2017   600.6  1983   315.9  2011  1529.7  1955
   60.5  1910   80.0  1952  136.4  1924  181.1  1951  216.9  1982  223.7  1959  220.2  1995  194.4  1919  156.6  1999  110.3  1964   74.4  1915   53.2  2003   181.1  1962   495.3  2019   600.0  1969   315.3  1981  1527.5  1933
   59.1  1999   79.4  1999  135.6  1931  177.8  2022  216.7  1971  220.2  1915  217.9  1969  194.2  1953  155.5  1979  110.1  1930   73.2  1972   52.8  2016   179.8  1963   487.5  2016   598.9  1928   314.5  1996  1525.6  2009
   58.9  1963   79.0  2020  135.6  1982  175.8  1946  216.0  1966  219.7  2015  217.7  1997  194.1  1949  155.1  2012  108.1  1983   72.8  1938   52.4  1976   177.9  2010   486.9  1955   598.0  1921   314.4  1919  1520.3  2016
   58.8  1967   79.0  1973  134.1  2011  175.5  1995  215.7  1980  218.1  1973  215.8  1994  193.5  2025  155.1  1981  107.5  2016   72.7  2025   52.2  2025   177.7  2016   486.1  1949   594.7  1934   313.8  1955  1516.4  2010
   58.4  1990   78.5  1996  130.7  2019  175.4  2017  213.8  1959  217.2  1967  215.5  1933  193.1  1935  152.9  2006  107.0  1986   71.7  1978   51.8  1951   177.0  1999   484.6  1953   588.5  1994   313.7  1979  1511.9  2011
   57.6  2014   78.5  1939  129.4  2010  168.5  2019  211.1  2001  216.5  1951  211.9  1949  192.4  1923  152.3  2025  106.2  1996   69.4  2010   51.2  1994   176.6  2005   481.9  2021   580.6  1947   313.6  2005  1507.2  2013
   57.5  1933   77.4  2015  127.7  1965  167.4  1954  210.1  1935  215.6  1942  205.9  1941  188.2  2000  151.1  2005  105.9  1980   69.3  1965   50.8  1983   176.5  2007   480.7  2012   577.3  1950   313.0  1947  1504.1  1975
   57.5  1986   77.4  1955  127.5  1973  165.5  2016  205.9  2009  213.3  1961  204.6  1943  187.2  1926  150.2  2023  105.8  1994   68.7  1999   50.5  2011   176.2  1995   480.3  1989   575.7  1990   312.1  1988  1502.7  2023
   57.4  1980   76.9  1957  125.7  1972  164.4  1968  205.3  2016  212.6  2006  203.5  1917  186.1  1930  148.8  2002  104.8  1929   68.2  2007   50.5  1986   175.9  1985   475.8  2002   575.5  1955   309.8  1995  1497.4  1999
   56.2  2026   76.7  1910  125.3  1956  164.2  1982  204.5  1918  211.5  2022  202.8  2025  185.3  1964  148.5  1955  104.7  2007   68.2  2009   50.4  1961   175.9  2009   473.6  1915   574.7  2003   308.6  1997  1497.4  1943
   55.7  2009   76.7  1922  124.7  2017  164.0  1994  203.4  1942  208.9  1922  202.3  1967  184.4  1974  147.7  2018  104.0  1975   67.8  1913   50.4  1979   174.5  2013   472.4  1945   569.7  1941   308.1  2022  1491.4  2005
   55.6  1940   76.3  1985  124.4  1997  161.5  1939  202.8  1953  208.7  1918  201.4  1975  180.9  1937  145.5  1923  103.9  1956   67.7  1910   49.9  1948   174.4  1934   465.8  1942   569.7  2005   305.0  1923  1485.4  1935
   55.2  1928   75.9  1915  124.0  1945  161.0  1949  198.6  1940  207.0  1939  199.5  2021  180.7  2014  144.9  1934  102.9  1928   66.6  1952   49.5  1952   173.7  1998   461.3  1914   565.7  1918   302.9  1914  1483.5  1997
   54.8  1979   75.8  2002  122.1  1943  161.0  1953  197.8  2010  206.8  2003  198.5  2022  180.5  1997  144.5  2011  102.3  2001   65.9  1995   48.9  1949   173.1  2006   458.3  1935   562.9  1967   301.2  1973  1483.4  1984
   54.7  2020   74.5  1990  121.4  1978  160.9  2013  197.7  2017  206.2  1930  197.6  1918  180.2  1996  143.7  2007  101.7  1987   65.8  1930   48.9  1960   170.8  1967   457.0  1946   562.1  1999   298.5  2004  1475.7  2001
   54.1  2018   74.5  2021  121.0  2015  160.8  2009  196.5  1944  204.9  1917  196.6  1929  179.1  1940  143.0  1997  101.2  1952   65.7  1998   48.6  1974   169.3  1994   455.7  1977   560.0  1929   298.3  1961  1475.2  1976
   53.0  1934   74.3  1967  120.8  1953  158.3  1943  196.2  2012  203.8  1984  192.0  1991  178.8  1981  141.7  2021  100.7  1951   65.2  2012   48.3  1973   168.6  1984   453.3  1922   554.7  1925   298.2  1991  1457.7  2017
