Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Midlands
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.7  1916   11.0  2019   13.5  1938   17.2  2011   18.7  2025   22.4  2023   25.7  2006   24.8  1995   21.5  1895   17.2  1921   12.0  2015   12.1  2015    9.41  2016   15.87  1893   23.12  1976   15.93  2006   15.14  2025
    9.5  2007   10.6  1998   12.9  1893   16.7  1893   18.7  2018   22.3  2025   25.4  2018   24.3  1947   21.1  2023   16.6  1959   11.9  1994    9.9  1974    8.97  1989   15.82  2025   22.77  2025   15.76  2011   15.11  2022
    9.3  1921   10.5  2024   12.9  2012   16.4  2007   18.6  1919   22.3  1976   24.7  1983   24.2  2022   20.8  2006   16.2  2022   11.9  2011    9.5  1934    8.92  2007   14.88  2011   22.76  2018   15.54  2023   14.71  2023
    9.2  2008   10.0  1990   12.8  1948   16.2  2025   18.5  1992   22.0  1940   24.5  1921   23.8  1975   20.7  1929   16.2  1995   11.7  1938    9.5  1988    8.89  2024   14.86  2020   22.61  2022   15.41  2022   14.56  2011
    9.0  1990    9.9  2022   12.6  2025   15.9  2020   18.3  2020   21.5  2018   24.2  1911   23.6  1911   20.3  1898   16.1  2011   11.4  2022    9.5  1898    8.75  2019   14.44  2017   22.42  1995   15.41  1959   14.56  2014
    9.0  1975    9.9  1945   12.4  1961   15.0  1914   18.2  1922   21.4  1887   24.0  2013   23.6  1997   20.3  1949   16.0  2001   11.2  2006    9.2  1900    8.73  2020   14.40  1945   22.42  1911   15.21  2021   14.49  2020
    8.9  1983    9.7  2002   12.3  1957   14.9  1943   18.1  2024   21.3  2006   24.0  1976   23.6  1899   20.3  2021   15.9  1969   11.1  2020    9.2  1912    8.65  2008   14.36  2022   22.36  2006   15.15  2014   14.47  2003
    8.8  2020    9.7  2023   12.1  2017   14.7  1945   18.1  1989   21.2  1970   23.9  1934   23.2  1990   20.3  1959   15.8  2006   11.0  1913    9.2  1918    8.63  2022   14.34  2007   22.12  1899   14.82  2005   14.47  2018
    8.6  1989    9.6  1914   12.1  2003   14.6  1946   18.1  1893   21.1  1896   23.8  1995   23.1  2003   19.8  1999   15.6  2005   11.0  1899    9.2  2013    8.62  2014   14.25  2003   21.99  1933   14.65  1949   14.42  1921
    8.6  1932    9.4  1997   12.0  1945   14.4  2003   18.1  1918   21.1  1960   23.5  2022   23.1  1976   19.7  2016   15.5  2023   11.0  1978    9.1  2023    8.59  1975   14.19  1990   21.93  2003   14.64  1999   14.42  2006
    8.5  2005    9.4  1903   11.9  2026   14.4  2009   18.0  1917   20.9  1950   23.2  2025   22.8  1933   19.7  1933   15.3  2014   10.9  2025    9.1  2018    8.58  1990   14.15  1948   21.90  1975   14.58  2009   14.32  2024
    8.5  1993    9.3  2008   11.9  1929   14.3  1987   18.0  1947   20.9  2003   23.2  1994   22.8  1955   19.7  2003   15.3  1908   10.8  2009    9.1  2024    8.55  1998   14.14  1943   21.87  1887   14.54  1898   14.32  1990
    8.4  1890    9.3  2020   11.9  2022   14.3  2015   17.9  1990   20.9  1893   23.1  1989   22.8  2025   19.4  1991   15.2  2017   10.8  2003    8.9  1921    8.36  1995   14.12  2024   21.76  1983   14.52  1995   14.23  1949
    8.3  1944    9.2  1961   11.9  1997   14.3  1894   17.9  1911   20.8  1899   23.1  1887   22.5  1884   19.4  2014   15.1  2013   10.8  1997    8.9  1994    8.33  1899   14.05  2014   21.69  1947   14.48  1947   14.18  1959
    8.3  1884    9.1  2000   11.9  1990   14.2  1944   17.8  1895   20.8  1957   23.0  2014   22.5  1984   19.4  2005   15.0  1945   10.8  2014    8.9  2025    8.08  1949   13.92  2009   21.45  1949   14.47  1978   14.17  1989
    8.2  1974    9.0  1995   11.8  2014   14.1  2014   17.7  2017   20.6  1992   22.9  1900   22.4  1893   19.4  1890   15.0  2021   10.8  1939    8.8  2016    8.06  1920   13.78  1997   21.45  1989   14.45  2015   14.16  2007
    8.2  2012    8.9  1949   11.7  1933   14.1  1949   17.7  2008   20.6  2010   22.8  1955   22.2  1983   19.3  2011   15.0  1971   10.7  2002    8.7  1942    8.05  1935   13.74  2019   21.38  1959   14.43  2003   14.14  1893
    8.2  1898    8.9  1926   11.3  2019   14.0  2010   17.6  1952   20.5  1889   22.8  1901   22.2  1935   19.2  1911   15.0  1978   10.6  2018    8.7  1924    8.04  1943   13.70  1992   21.37  1935   14.42  1921   14.13  1995
    8.1  2002    8.9  2011   11.2  1894   13.9  1909   17.6  1940   20.4  1933   22.7  1933   22.1  1959   19.2  1947   14.8  1968   10.5  1951    8.6  1954    8.03  2026   13.68  1933   21.30  1893   14.37  2001   14.13  2017
    8.1  1999    8.9  1989   11.1  2002   13.9  1952   17.6  1964   20.3  1949   22.6  2021   21.9  1991   19.0  1961   14.8  1949   10.5  1953    8.6  2006    8.03  1999   13.61  1952   21.26  1984   14.34  2025   14.10  2019
    8.1  2014    8.8  1920   11.1  2024   13.9  2019   17.5  1970   20.3  1925   22.6  1999   21.8  1906   19.0  1921   14.7  2009   10.5  2001    8.6  1953    7.98  2002   13.58  1938   21.24  1921   14.33  1929   14.09  1999
    8.1  2016    8.7  2026   11.1  1950   13.8  2002   17.5  1896   20.3  2017   22.5  1935   21.7  1937   19.0  1934   14.7  1989   10.5  1986    8.5  1986    7.95  2000   13.57  2002   21.24  2013   14.30  2018   14.06  2015
    8.0  1923    8.7  1943   11.0  1907   13.8  1912   17.4  1959   20.2  2021   22.4  1949   21.7  2019   18.9  1906   14.6  1990   10.4  1917    8.4  2011    7.92  2023   13.56  1959   21.16  1934   14.27  2020   14.05  1997
    8.0  1938    8.7  2007   11.0  1998   13.8  2022   17.4  1998   20.2  2005   22.4  1941   21.6  2004   18.8  1964   14.6  1954   10.4  2007    8.4  2021    7.90  1925   13.54  1896   21.07  1955   14.25  1971   14.04  2005
    7.9  2023    8.7  1918   10.9  2009   13.5  2017   17.4  2023   20.1  1895   22.3  2019   21.6  2020   18.8  1971   14.6  1996   10.3  2021    8.3  1971    7.89  2012   13.53  1999   20.95  2023   14.23  1913   14.00  2002
    7.9  1930    8.7  1891   10.9  2011   13.5  1955   17.3  2022   20.1  2022   22.3  1984   21.6  1949   18.6  1981   14.6  1947   10.2  1928    8.3  1985    7.89  2017   13.47  1961   20.92  1990   14.21  2007   13.95  2004
    7.8  1928    8.6  2014   10.8  1991   13.4  2004   17.2  2001   20.0  1975   22.3  1959   21.4  1944   18.6  2022   14.5  2024   10.2  1963    8.2  2019    7.87  1974   13.37  2012   20.88  1997   14.12  2017   13.92  2016
    7.8  1957    8.6  1928   10.8  2007   13.4  1948   17.1  1953   19.9  1930   22.2  1990   21.4  1989   18.6  1985   14.3  1979   10.2  1981    8.2  1998    7.82  2005   13.36  2004   20.85  2021   14.11  1938   13.92  2021
    7.7  2022    8.5  1992   10.8  1989   13.3  1942   17.1  1960   19.9  1917   22.1  1905   21.4  2013   18.5  1884   14.3  2007   10.2  1946    8.2  1955    7.80  1916   13.35  1921   20.80  2019   14.11  2016   13.78  1911
    7.7  1920    8.5  1885   10.8  2000   13.3  1999   17.0  2016   19.9  2014   22.0  1899   21.4  2016   18.5  2020   14.3  2018   10.2  1894    8.2  2004    7.66  2004   13.32  2023   20.76  1996   14.10  1906   13.69  2009
